itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_52,day,word,produces,NA,day,NA,day,day
item_53,horse,word,produces,NA,horse,NA,horse,horse
item_54,lamp_torch,word,produces,NA,lamp/torch,NA,lamp/torch,lamp
item_55,carry,word,produces,NA,carry,NA,carry,carry
item_56,tonight,word,produces,NA,tonight,NA,tonight,tonight
item_57,aeroplane,word,produces,NA,aeroplane,NA,aeroplane,airplane
item_58,plate,word,produces,NA,plate,NA,plate,plate
item_59,chase,word,produces,NA,chase,NA,chase,chase
item_60,our,word,produces,NA,our,NA,our,our
item_61,boat,word,produces,NA,boat,NA,boat,boat
item_62,rubbish,word,produces,NA,rubbish,NA,rubbish,trash
item_63,pour,word,produces,NA,pour,NA,pour,pour
item_64,them,word,produces,NA,them,NA,them,them
item_65,car,word,produces,NA,car,NA,car,car
item_66,tray,word,produces,NA,tray,NA,tray,tray
item_67,finish,word,produces,NA,finish,NA,finish,finish
item_68,this,word,produces,NA,this,NA,this,this
item_69,ball,word,produces,NA,ball,NA,ball,ball
item_70,towel,word,produces,NA,towel,NA,towel,towel
item_71,fit,word,produces,NA,fit,NA,fit,fit
item_72,us,word,produces,NA,us,NA,us,us
item_73,book,word,produces,NA,book,NA,book,book
item_74,bed,word,produces,NA,bed,NA,bed,bed
item_75,hug_cuddle,word,produces,NA,hug/cuddle,NA,hug/cuddle,hug
item_76,where,word,produces,NA,where,NA,where,where (question)
item_77,game,word,produces,NA,game,NA,game,game
item_78,bedroom,word,produces,NA,bedroom,NA,bedroom,bedroom
item_79,listen,word,produces,NA,listen,NA,listen,listen
item_80,beside,word,produces,NA,beside,NA,beside,beside
item_81,sandwich,word,produces,NA,sandwich,NA,sandwich,sandwich
item_82,settee_sofa,word,produces,NA,settee/sofa,NA,settee/sofa,couch
item_83,like,word,produces,NA,like,NA,like,like
item_84,down,word,produces,NA,down,NA,down,down
item_85,fish,word,produces,NA,fish,NA,fish,fish (animal)
item_85,fish,word,produces,NA,fish,NA,fish,fish (food)
item_86,oven_cooker,word,produces,NA,oven/cooker,NA,oven/cooker,oven
item_87,pretend,word,produces,NA,pretend,NA,pretend,pretend
item_88,under,word,produces,NA,under,NA,under,under
item_89,sauce,word,produces,NA,sauce,NA,sauce,sauce
item_90,stairs,word,produces,NA,stairs,NA,stairs,stairs
item_91,rip_tear,word,produces,NA,rip/tear,NA,rip/tear,tear
item_92,all,word,produces,NA,all,NA,all,all
item_93,cream_cracker,word,produces,NA,cream cracker,NA,cream cracker,biscuit
item_94,flag,word,produces,NA,flag,NA,flag,flag
item_95,shake,word,produces,NA,shake,NA,shake,shake
item_96,much,word,produces,NA,much,NA,much,much
item_97,juice,word,produces,NA,juice,NA,juice,juice
item_98,rain,word,produces,NA,rain,NA,rain,rain
item_99,taste,word,produces,NA,taste,NA,taste,taste
item_100,could,word,produces,NA,could,NA,could,could
item_101,meat,word,produces,NA,meat,NA,meat,meat
item_102,star,word,produces,NA,star,NA,star,star
item_103,gentle,word,produces,NA,gentle,NA,gentle,gentle
item_104,need_to,word,produces,NA,need to,NA,need to,need
item_105,milk,word,produces,NA,milk,NA,milk,milk
item_106,swing,word,produces,NA,swing,NA,swing,swing (object)
item_106,swing,word,produces,NA,swing,NA,swing,swing (action)
item_107,think,word,produces,NA,think,NA,think,think
item_108,would,word,produces,NA,would,NA,would,would
item_109,peas,word,produces,NA,peas,NA,peas,peas
item_110,school,word,produces,NA,school,NA,school,school
item_111,wish,word,produces,NA,wish,NA,wish,wish
item_112,if,word,produces,NA,if,NA,if,if
item_1,s01s1,complexity,simple; complex,NA,s01s1,NA,NA,NA
item_2,s02s1,complexity,simple; complex,NA,s02s1,NA,NA,NA
item_3,s03s1,complexity,simple; complex,NA,s03s1,NA,NA,NA
item_4,s04s1,complexity,simple; complex,NA,s04s1,NA,NA,NA
item_5,s05s1,complexity,simple; complex,NA,s05s1,NA,NA,NA
item_6,s06s1,complexity,simple; complex,NA,s06s1,NA,NA,NA
item_7,s07s1,complexity,simple; complex,NA,s07s1,NA,NA,NA
item_8,s08s1,complexity,simple; complex,NA,s08s1,NA,NA,NA
item_9,s09s1,complexity,simple; complex,NA,s09s1,NA,NA,NA
item_10,s10s1,complexity,simple; complex,NA,s10s1,NA,NA,NA
item_11,s11s1,complexity,simple; complex,NA,s11s1,NA,NA,NA
item_12,s12s1,complexity,simple; complex,NA,s12s1,NA,NA,NA
item_113,combines_words,combine,often; sometimes; not yet,NA,Has your child begun to combine words yet?,NA,NA,NA
