itemID,definition,item,gloss,category,type,choices
item_137,针,zhen1,needle,household,word,understands; produces
item_138,跳舞,tiao4wu3,dance,action_words,word,understands; produces
item_139,吹,chui1,blow,action_words,word,understands; produces
item_140,敲,qiao1,knock,action_words,word,understands; produces
item_141,打扫,da3sao3,clean; sweep,action_words,word,understands; produces
item_142,关(门),guan1(men2),close the door,action_words,word,understands; produces
item_143,开(门),kai1(men2),open the door,action_words,word,understands; produces
item_144,哭,ku1,cry,action_words,word,understands; produces
item_145,喝,he1,drink,action_words,word,understands; produces
item_146,开车,kai1che1,drive,action_words,word,understands; produces
item_147,吃,chi1,eat,action_words,word,understands; produces
item_148,喂,wei4,feed,action_words,word,understands; produces
item_149,给,gei3,give,action_words,word,understands; produces
item_150,打,da3,hit,action_words,word,understands; produces
item_151,抱,bao4,hug,action_words,word,understands; produces
item_152,跳,tiao4,jump,action_words,word,understands; produces
item_153,亲,qin1,kiss,action_words,word,understands; produces
item_154,看,kan4,look,action_words,word,understands; produces
item_155,爱,ai4,love,action_words,word,understands; produces
item_156,打开,da3kai1,open,action_words,word,understands; produces
item_157,玩,wan2,play,action_words,word,understands; produces
item_158,拉,la1,pull,action_words,word,understands; produces
item_159,读,du2,read,action_words,word,understands; produces
item_160,骑,qi2,ride,action_words,word,understands; produces
item_161,跑,pao3,run,action_words,word,understands; produces
item_162,说,shuo1,say,action_words,word,understands; produces
item_163,唱,chang4,sing,action_words,word,understands; produces
item_164,睡觉,shui4jiao4,sleep,action_words,word,understands; produces
item_165,笑,xiao4,smile,action_words,word,understands; produces
item_166,停,ting2,stop,action_words,word,understands; produces
item_167,扔,reng1,throw,action_words,word,understands; produces
item_168,走,zou3,go; walk,action_words,word,understands; produces
item_169,洗 ,xi3,wash,action_words,word,understands; produces
item_170,擦,ca1,wipe,action_words,word,understands; produces
item_171,写,xie3,write,action_words,word,understands; produces
item_172,拿,na2,bring; take,action_words,word,understands; produces
item_173,要,yao4,want,action_words,word,understands; produces
item_174,买,mai3,buy,action_words,word,understands; produces
item_175,飞,fei1,fly,action_words,word,understands; produces
item_176,生病,sheng1bing4,get sick,action_words,word,understands; produces
item_177,爬,pa2,climb,action_words,word,understands; produces
item_178,坐,zuo4,sit,action_words,word,understands; produces
item_179,放,fang4,put,action_words,word,understands; produces
item_180,再见,zai4jian4,bye,games_routines,word,understands; produces
item_181,不,bu4,no,games_routines,word,understands; produces
item_182,你好,ni3hao3,hello,games_routines,word,understands; produces
item_183,藏猫猫,cang2mao1mao5,peekaboo,games_routines,word,understands; produces
item_184,谢谢,xie4xie5,thank you,games_routines,word,understands; produces
item_185,是,shi4,yes,games_routines,word,understands; produces
item_186,洗澡,xi3zao3,bath,games_routines,word,understands; produces
item_187,不要,bu2yao4,don't,games_routines,word,understands; produces
item_188,想要,xiang3yao4,wanna; want to,games_routines,word,understands; produces
item_189,吃饭,chi1fan4,eat,games_routines,word,understands; produces
item_190,等,deng3,wait,games_routines,word,understands; produces
item_191,前,qian2,front,games_routines,word,understands; produces
item_192,后,hou4,back,games_routines,word,understands; produces
item_193,一个,yi2ge5,one,games_routines,word,understands; produces
item_194,上面,shang4mian5,above,games_routines,word,understands; produces
item_195,下面,xia4mian5,under,games_routines,word,understands; produces
item_196,两个,liang3ge5,two,games_routines,word,understands; produces
item_197,爸爸,ba4ba5,daddy,people,word,understands; produces
item_198,妈妈,ma1ma5,mommy,people,word,understands; produces
item_199,宝宝,bao3bao5,baby,people,word,understands; produces
item_200,阿姨,a1yi2,aunt,people,word,understands; produces
item_201,哥哥,ge1ge5,elder brother,people,word,understands; produces
item_202,奶奶,nai3nai5,grandma,people,word,understands; produces
item_203,爷爷,ye2ye5,grandpa,people,word,understands; produces
item_204,姐姐,jie3jie5,elder sister,people,word,understands; produces
item_205,舅舅,jiu4jiu5,mother's brother,people,word,understands; produces
item_206,伯伯,bo2bo5,father's brother,people,word,understands; produces
item_207,姑姑,gu1gu5,father's sister,people,word,understands; produces
item_208,宝宝自己的名字,bao3bao5 zi4ji5 de5 ming2zi5,baby's name,people,word,understands; produces
item_209,弟弟,di4di5,younger brother,people,word,understands; produces
item_210,姥姥,lao3lao5,mother's mother,people,word,understands; produces
item_211,姥爷,lao3ye5,mother's father,people,word,understands; produces
item_212,妹妹,mei4mei5,younger sister,people,word,understands; produces
item_213,叔叔,shu1shu5,father's brother,people,word,understands; produces
item_214,我,wo3,I,pronouns,word,understands; produces
item_215,这个,zhe4ge5,this,pronouns,word,understands; produces
item_216,那个,na4ge5,that,pronouns,word,understands; produces
item_217,这儿,zher4,here,pronouns,word,understands; produces
item_218,那儿,nar4,there,pronouns,word,understands; produces
item_219,衣服,yi1fu5,dress,clothing,word,understands; produces
item_220,帽子,mao4zi5,hat,clothing,word,understands; produces
item_221,珠子,zhu1zi5,beads,clothing,word,understands; produces
item_222,钮扣,niu3kou4,button,clothing,word,understands; produces
item_223,裤子,ku4zi5,pants,clothing,word,understands; produces
item_224,鞋,xie2,shoe,clothing,word,understands; produces
item_225,袜子,wa4zi5,sock,clothing,word,understands; produces
item_226,皮球,pi2qiu2,ball,toys,word,understands; produces
item_227,书,shu1,book,toys,word,understands; produces
item_228,泡泡,pao4pao5,bubbles,toys,word,understands; produces
item_229,汽球,qi4qiu2,balloon,toys,word,understands; produces
item_230,娃娃,wa2wa5,doll,toys,word,understands; produces
item_231,笔,bi3,pen,toys,word,understands; produces
item_232,积木,ji1mu4,block,toys,word,understands; produces
