definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
Aç,action_words,Ac,word,understands; produces,NA,item_258,open,open (action)
Yıka,action_words,Yika,word,understands; produces,NA,item_346,wash,wash
Yıkan,action_words,Yikan,word,understands; produces,NA,item_347,take a bath/wash yourself,bathe
Yırt,action_words,Yirt_,word,understands; produces,NA,item_348,tear,tear
Yürü,action_words,Yuru,word,understands; produces,NA,item_350,walk,walk
Yut,action_words,Yut,word,understands; produces,NA,item_349,swallow,swallow
Arı,animals,Ari,word,understands; produces,NA,item_147,bee,bee
At (animal),animals,At,word,understands; produces,NA,item_146,horse,horse
Ayı,animals,Ayi,word,understands; produces,NA,item_145,bear,bear
Balık (animal),animals,Balik,word,understands; produces,NA,item_144,fish,fish (animal)
Böcek,animals,Bocek,word,understands; produces,NA,item_143,bug,bug
Eşek,animals,Esek,word,understands; produces,NA,item_142,donkey,donkey
İnek,animals,Inek,word,understands; produces,NA,item_141,cow,cow
Kedi,animals,Kedi,word,understands; produces,NA,item_140,cat,cat
Kelebek,animals,Kelebek,word,understands; produces,NA,item_139,butterfly,butterfly
Köpek,animals,Kopek,word,understands; produces,NA,item_138,dog,dog
Kurbağa,animals,Kurbaga,word,understands; produces,NA,item_137,frog,frog
Kuş,animals,Kus,word,understands; produces,NA,item_136,bird,bird
Kuzu,animals,Kuzu,word,understands; produces,NA,item_135,lamb,lamb
Maymun,animals,Maymun,word,understands; produces,NA,item_134,monkey,monkey
Ördek,animals,Ordek,word,understands; produces,NA,item_133,duck,duck
Tavşan,animals,Tavsan,word,understands; produces,NA,item_132,rabbit/bunny,bunny
Tavuk,animals,Tavuk,word,understands; produces,NA,item_131,chicken/hen,chicken (animal)
Ağız,body_parts,Agiz,word,understands; produces,NA,item_54,mouth,mouth
Ayak,body_parts,Ayak,word,understands; produces,NA,item_53,foot,foot
Bacak,body_parts,Bacak,word,understands; produces,NA,item_52,leg,leg
Baş/Kafa,body_parts,Bas/Kafa,word,understands; produces,NA,item_51,head,head
Burun,body_parts,Burun,word,understands; produces,NA,item_50,nose,nose
Dil,body_parts,Dil,word,understands; produces,NA,item_49,tongue,tongue
Diş,body_parts,Dis,word,understands; produces,NA,item_48,tooth,tooth
Diz,body_parts,Diz,word,understands; produces,NA,item_47,knee,knee
El,body_parts,El,word,understands; produces,NA,item_46,hand,hand
Göbek,body_parts,Gobek,word,understands; produces,NA,item_45,belly,tummy
Göz,body_parts,Goz,word,understands; produces,NA,item_44,eye,eye
Kulak,body_parts,Kulak,word,understands; produces,NA,item_43,ear,ear
Meme,body_parts,Meme_,word,understands; produces,NA,item_42,breast,breast
Parmak,body_parts,Parmak,word,understands; produces,NA,item_41,finger,finger
Popo,body_parts,Popo,word,understands; produces,NA,item_40,buttocks,butt
Saç,body_parts,Sac,word,understands; produces,NA,item_39,hair,hair
Yanak,body_parts,Yanak,word,understands; produces,NA,item_38,cheek,cheek
Ayakkabı/Pabuç,clothing,Ayakkabi/Pabuc,word,understands; produces,NA,item_72,shoe,shoe
Bez (çocuk bezi),clothing,Bez_(cocuk_bezi),word,understands; produces,NA,item_71,diaper,diaper
Boncuk,clothing,Boncuk,word,understands; produces,NA,item_70,bead,beads
Ceket,clothing,Ceket,word,understands; produces,NA,item_69,jacket,jacket
Çorap,clothing,Corap,word,understands; produces,NA,item_68,socks,sock
Elbise,clothing,Elbise,word,understands; produces,NA,item_67,dress,dress (object)
Gömlek,clothing,Gomlek,word,understands; produces,NA,item_66,shirt,shirt
Gözlük,clothing,Gozluk,word,understands; produces,NA,item_65,eyeglasses,glasses
Kazak,clothing,Kazak,word,understands; produces,NA,item_64,sweater,sweater
Kolye,clothing,Kolye,word,understands; produces,NA,item_63,necklace,necklace
Önlük,clothing,Onluk_,word,understands; produces,NA,item_62,bib,bib
Palto,clothing,Palto,word,understands; produces,NA,item_61,coat,coat
Pantolon,clothing,Pantolon,word,understands; produces,NA,item_60,pants,pants
Pijama,clothing,Pijama,word,understands; produces,NA,item_59,pyjamas,pajamas
Şapka,clothing,Sapka,word,understands; produces,NA,item_58,hat,hat
Terlik,clothing,Terlik,word,understands; produces,NA,item_57,slipper,slipper
Tişört,clothing,Tisort,word,understands; produces,NA,item_56,t-shirt,t-shirt
Yelek,clothing,Yelek,word,understands; produces,NA,item_55,vest,vest
Acı (lezzet),descriptive_words,Aci_(lezzet),word,understands; produces,NA,item_351,bitter,bitter
Açık,descriptive_words,Acik,word,understands; produces,NA,item_352,open,open (description)
Boş,descriptive_words,Bos,word,understands; produces,NA,item_353,empty,empty
Büyük,descriptive_words,Buyuk,word,understands; produces,NA,item_354,big,big
Cici,descriptive_words,Cici,word,understands; produces,NA,item_356,cute,cute
Çirkin,descriptive_words,Cirkin,word,understands; produces,NA,item_357,ugly,ugly
Çok (description),descriptive_words,Cok,word,understands; produces,NA,item_355,many/much/a lot,many
Güzel,descriptive_words,Guzel,word,understands; produces,NA,item_358,beautiful,pretty
Hasta,descriptive_words,Hasta,word,understands; produces,NA,item_359,sick/ill,sick
Islak,descriptive_words,Islak,word,understands; produces,NA,item_360,wet,wet (description)
İyi,descriptive_words,Iyi,word,understands; produces,NA,item_361,good,good
Kapalı,descriptive_words,Kapali,word,understands; produces,NA,item_362,closed,closed
Karanlık,descriptive_words,Karanlik_,word,understands; produces,NA,item_363,dark,dark
Kirli,descriptive_words,Kirli,word,understands; produces,NA,item_365,dirty,dirty
Kırmızı,descriptive_words,Kirmizi,word,understands; produces,NA,item_364,red,red
Kocaman,descriptive_words,Kocaman,word,understands; produces,NA,item_366,huge/giant,big
Komik,descriptive_words,Komik,word,understands; produces,NA,item_367,funny,funny
Küçük,descriptive_words,Kucuk,word,understands; produces,NA,item_368,little/small,little (description)
Pis,descriptive_words,Pis,word,understands; produces,NA,item_371,foul/nasty/dirty,dirty
Sıcak,descriptive_words,Sicak,word,understands; produces,NA,item_369,hot,hot
Soğuk,descriptive_words,Soguk,word,understands; produces,NA,item_370,cold,cold
Tatlı,descriptive_words,Tatli,word,understands; produces,NA,item_372,sweet,sweet
Temiz,descriptive_words,Temiz_,word,understands; produces,NA,item_373,clean,clean (description)
Yaramaz,descriptive_words,Yaramaz,word,understands; produces,NA,item_374,naughty,naughty
Yeni,descriptive_words,Yeni,word,understands; produces,NA,item_375,new,new
Armut,food_drink,Armut,word,understands; produces,NA,item_115,pear,pear
Ayran,food_drink,Ayran,word,understands; produces,NA,item_114,yoghurt drink,yogurt drink
Bal,food_drink,Bal,word,understands; produces,NA,item_113,honey,honey
Balık (food),food_drink,Balik,word,understands; produces,NA,item_112,fish,fish (food)
Bisküvi,food_drink,Biskuvi,word,understands; produces,NA,item_111,biscuit,cracker
Börek,food_drink,Borek,word,understands; produces,NA,item_110,pastry,pastry
Çay,food_drink,Cay,word,understands; produces,NA,item_109,tea,tea
Çikolata,food_drink,Cikolata,word,understands; produces,NA,item_108,chocolate,chocolate
Çorba,food_drink,Corba,word,understands; produces,NA,item_107,soup,soup
Domates,food_drink,Domates,word,understands; produces,NA,item_106,tomato,tomato
Dondurma,food_drink,Dondurma,word,understands; produces,NA,item_105,ice cream,ice cream
Ekmek,food_drink,Ekmek,word,understands; produces,NA,item_104,bread,bread
Elma,food_drink,Elma,word,understands; produces,NA,item_103,apple,apple
Et,food_drink,Et,word,understands; produces,NA,item_102,meat,meat
Fıstık,food_drink,Fistik,word,understands; produces,NA,item_101,peanut,nut
Havuç,food_drink,Havuc,word,understands; produces,NA,item_100,carrots,carrot
Karpuz,food_drink,Karpuz,word,understands; produces,NA,item_99,watermelon,watermelon
Kek,food_drink,Kek,word,understands; produces,NA,item_98,cake,cake
Köfte,food_drink,Kofte,word,understands; produces,NA,item_96,meatball,meatball
Kola,food_drink,Kola,word,understands; produces,NA,item_97,coke,soda
Kurabiye,food_drink,Kurabiye,word,understands; produces,NA,item_95,cookie,cookie
Limon,food_drink,Limon,word,understands; produces,NA,item_94,lemon,lemon
Makarna,food_drink,Makarna,word,understands; produces,NA,item_93,pasta/spaghetti,pasta
Meyve,food_drink,Meyve,word,understands; produces,NA,item_92,fruit,fruit
Muhallebi,food_drink,Muhallebi,word,understands; produces,NA,item_91,pudding,pudding
Muz,food_drink,Muz,word,understands; produces,NA,item_90,banana,banana
Pasta,food_drink,Pasta,word,understands; produces,NA,item_89,cake,cake
Patates,food_drink,Patates,word,understands; produces,NA,item_87,potato,potato
Peynir,food_drink,Peynir,word,understands; produces,NA,item_88,cheese,cheese
Pilav,food_drink,Pilav,word,understands; produces,NA,item_86,rice,rice
Portakal,food_drink,Portakal,word,understands; produces,NA,item_85,orange,orange (food)
Reçel,food_drink,Recel,word,understands; produces,NA,item_84,jam,jam
Şeftali,food_drink,Seftali,word,understands; produces,NA,item_80,peach,peach
Şeker,food_drink,Seker,word,understands; produces,NA,item_79,sugar /candy,candy
Simit,food_drink,Simit,word,understands; produces,NA,item_83,pretzel/common turkish snack,pretzel
Su,food_drink,Su,word,understands; produces,NA,item_82,water,water (beverage)
Süt,food_drink,Sut,word,understands; produces,NA,item_81,milk,milk
Tarhana,food_drink,Tarhana,word,understands; produces,NA,item_78,kind of soup,tarhana
Tost,food_drink,Tost,word,understands; produces,NA,item_77,toast,toast
Yemek,food_drink,Yemek,word,understands; produces,NA,item_76,food,food
Yoğurt,food_drink,Yogurt,word,understands; produces,NA,item_75,yogurt,yogurt
Yumurta,food_drink,Yumurta,word,understands; produces,NA,item_74,egg,egg
Zeytin,food_drink,Zeytin,word,understands; produces,NA,item_73,olive,olive
Balkon,furniture_rooms,Balkon,word,understands; produces,NA,item_10,balcony,porch
Banyo (object),furniture_rooms,Banyo,word,understands; produces,NA,item_9,bathroom,bathroom
Beşik,furniture_rooms,Besik,word,understands; produces,NA,item_8,crib,crib
Bilgisayar,furniture_rooms,Bilgisayar,word,understands; produces,NA,item_7,computer,computer
Buzdolabı,furniture_rooms,Buzdolabi,word,understands; produces,NA,item_6,refrigerator,refrigerator
Çekmece,furniture_rooms,Cekmece,word,understands; produces,NA,item_5,drawer,drawer
Dolap,furniture_rooms,Dolap,word,understands; produces,NA,item_4,cupboard,cupboard
Fırın,furniture_rooms,Firin,word,understands; produces,NA,item_3,oven,oven
Kapı,furniture_rooms,Kapi,word,understands; produces,NA,item_2,door,door
Koltuk,furniture_rooms,Koltuk,word,understands; produces,NA,item_1,armchair,armchair
Lazımlık/Oturak,furniture_rooms,Lazimlik/Oturak,word,understands; produces,NA,item_158,potty,potty
Masa,furniture_rooms,Masa,word,understands; produces,NA,item_159,table,table
Merdiven,furniture_rooms,Merdiven,word,understands; produces,NA,item_160,stairs,stairs
Mutfak,furniture_rooms,Mutfak,word,understands; produces,NA,item_161,kitchen,kitchen
Oda,furniture_rooms,Oda,word,understands; produces,NA,item_162,room,room
Pencere,furniture_rooms,Pencere,word,understands; produces,NA,item_163,window,window
Sandalye/İskemle,furniture_rooms,Sandalye/Iskemle,word,understands; produces,NA,item_164,chair,chair
Televizyon,furniture_rooms,Televizyon,word,understands; produces,NA,item_165,TV,TV
Tuvalet,furniture_rooms,Tuvalet,word,understands; produces,NA,item_166,toilet,potty
Yastık,furniture_rooms,Yastik,word,understands; produces,NA,item_168,pillow,pillow
Yatak,furniture_rooms,Yatak,word,understands; produces,NA,item_167,bed,bed
Zil,furniture_rooms,Zil,word,understands; produces,NA,item_169,bell,bell
Aferin,games_routines,Aferin,word,understands; produces,NA,item_225,well done/bravo,bravo
Alkış,games_routines,Alkis,word,understands; produces,NA,item_226,hand clap,clap
Alo,games_routines,Alo,word,understands; produces,NA,item_227,hello (on the phone),hello
Ayıp,games_routines,Ayip,word,understands; produces,NA,item_228,shameful,shame
Banyo (routine),games_routines,Banyo,word,understands; produces,NA,item_229,bathroom,bath
Bay-bay,games_routines,Bay-bay,word,understands; produces,NA,item_230,bye,bye
Çiş,games_routines,Cis,word,understands; produces,NA,item_231,pee,go potty
Dikkat,games_routines,Dikkat,word,understands; produces,NA,item_232,watch out/attention,watch out
Evet,games_routines,Evet_,word,understands; produces,NA,item_233,yes,yes
Gol,games_routines,Gol,word,understands; produces,NA,item_234,goal,goal
Güle-güle,games_routines,Gule-gule,word,understands; produces,NA,item_235,goodbye,bye
Günaydın,games_routines,Gunaydin,word,understands; produces,NA,item_236,good morning,good morning
Hadi,games_routines,Hadi,word,understands; produces,NA,item_238,come on,come on
Hayır,games_routines,Hayir,word,understands; produces,NA,item_239,no/don´t,don't
Hoşçakal,games_routines,Hoscakal,word,understands; produces,NA,item_237,goodbye,bye
İyi geceler,games_routines,Iyi_geceler,word,understands; produces,NA,item_240,good night,good night
Kaka,games_routines,Kaka,word,understands; produces,NA,item_241,poo-poo/go potty,go potty
Kucak,games_routines,Kucak,word,understands; produces,NA,item_242,)take in) lap/arms,take in arms
Mama,games_routines,Mama,word,understands; produces,NA,item_243,food (child word),baby food
Müzik,games_routines,Muzik,word,understands; produces,NA,item_244,music,music
Ninni,games_routines,Ninni,word,understands; produces,NA,item_245,lullaby,lullaby
Öcü,games_routines,Ocu,word,understands; produces,NA,item_246,boogeyman,boogeyman
Saklambaç,games_routines,Saklambac,word,understands; produces,NA,item_247,hide-and-seek,hide and seek
Şarkı,games_routines,Sarki,word,understands; produces,NA,item_249,song,sing
Sürpriz,games_routines,Surpriz,word,understands; produces,NA,item_248,surprise,surprise
Takla,games_routines,Takla,word,understands; produces,NA,item_250,somersault,somersault
Tamam,games_routines,Tamam,word,understands; produces,NA,item_251,ok/allright,ok
Teşekkür/Sağol,games_routines,Tesekkur/Sagol,word,understands; produces,NA,item_252,thank you,thank you
Uyku,games_routines,Uyku,word,understands; produces,NA,item_253,nap/sleep,sleep
Var,games_routines,Var,word,understands; produces,NA,item_254,present/there is,present
Yok,games_routines,Yok,word,understands; produces,NA,item_255,absent/allgone,all gone
Anahtar,household,Anahtar,word,understands; produces,NA,item_37,key,key
Ayna,household,Ayna,word,understands; produces,NA,item_36,mirror,mirror
Bardak,household,Bardak,word,understands; produces,NA,item_35,glass,glasses
Battaniye,household,Battaniye,word,understands; produces,NA,item_34,blanket,blanket
Biberon,household,Biberon,word,understands; produces,NA,item_33,baby bottle,bottle
Çanta,household,Canta,word,understands; produces,NA,item_32,purse/bag,purse
Çatal,household,Catal,word,understands; produces,NA,item_31,fork,fork
Emzik,household,Emzik,word,understands; produces,NA,item_30,pacifier,pacifier
İlaç,household,Ilac,word,understands; produces,NA,item_29,medicine,medicine
İp,household,Ip,word,understands; produces,NA,item_28,rope,rope
Kağıt,household,Kagit,word,understands; produces,NA,item_27,paper,paper
Kaşık,household,Kasik,word,understands; produces,NA,item_26,spoon,spoon
Kumanda,household,Kumanda_,word,understands; produces,NA,item_25,remote control,remote control
Kürek,household,Kurek,word,understands; produces,NA,item_23,shovel,shovel
Kutu,household,Kutu,word,understands; produces,NA,item_24,box/can,box
Lamba/Işık,household,Lamba/Isik,word,understands; produces,NA,item_22,lamp/light,lamp
Pil,household,Pil,word,understands; produces,NA,item_21,battery,battery
Pipet/Kamış,household,Pipet/Kamis,word,understands; produces,NA,item_20,pipet,pipe
Radyo,household,Radyo,word,understands; produces,NA,item_19,radio,radio
Resim,household,Resim,word,understands; produces,NA,item_18,picture,picture
Saat,household,Saat,word,understands; produces,NA,item_17,clock,clock
Sabun,household,Sabun,word,understands; produces,NA,item_16,soap,soap
Şişe,household,Sise,word,understands; produces,NA,item_14,bottle,bottle
Süpürge,household,Supurge,word,understands; produces,NA,item_15,broom/vacuum cleaner,vacuum
Tabak,household,Tabak,word,understands; produces,NA,item_13,plate,plate
Tarak,household,Tarak,word,understands; produces,NA,item_12,comb,comb (object)
Telefon,household,Telefon,word,understands; produces,NA,item_11,telephone,telephone
Altında,locations,Altinda,word,understands; produces,NA,item_401,under,under
Arkasında,locations,Arkasinda,word,understands; produces,NA,item_402,behind,back (location)
Burada,locations,Burada_,word,understands; produces,NA,item_403,here,here
Dışarıda,locations,Disarida,word,understands; produces,NA,item_404,out/outside,out
İçeride,locations,Iceride,word,understands; produces,NA,item_405,inside,inside
İçinde,locations,Icinde,word,understands; produces,NA,item_406,in,in
Önünde,locations,Onunde,word,understands; produces,NA,item_408,in front of,front
Orada,locations,Orada,word,understands; produces,NA,item_407,there,there
Şurada,locations,Surada,word,understands; produces,NA,item_409,there,there
Üstünde/Üzerinde,locations,Ustunde/Uzerinde,word,understands; produces,NA,item_410,on,on
Ağaç,outside,Agac,word,understands; produces,NA,item_171,tree,tree
Ateş,outside,Ates,word,understands; produces,NA,item_172,fire,fire
Ay/Aydede,outside,Ay/Aydede,word,understands; produces,NA,item_170,moon,moon
Bahçe,outside,Bahce,word,understands; produces,NA,item_173,garden,garden
Çamur,outside,Camur,word,understands; produces,NA,item_174,mud,mud
Çiçek,outside,Cicek_,word,understands; produces,NA,item_175,flower,flower
Duvar,outside,Duvar,word,understands; produces,NA,item_176,wall,wall
Güneş,outside,Gunes,word,understands; produces,NA,item_177,sun,sun
Havuz,outside,Havuz,word,understands; produces,NA,item_178,pool,pool
Kaydırak,outside,Kaydirak,word,understands; produces,NA,item_179,slide,slide (object)
Köprü,outside,Kopru,word,understands; produces,NA,item_180,bridge,bridge
Kum,outside,Kum,word,understands; produces,NA,item_181,sand,sand
Salıncak,outside,Salincak,word,understands; produces,NA,item_182,swing,swing (object)
Sokak,outside,Sokak,word,understands; produces,NA,item_183,street,street
Taş,outside,Tas,word,understands; produces,NA,item_184,stone/rock,rock (object)
Toprak,outside,Toprak,word,understands; produces,NA,item_185,ground/earth,soil
Toz,outside,Toz,word,understands; produces,NA,item_186,dust,dust
Yağmur,outside,Yagmur,word,understands; produces,NA,item_187,rain,rain
Yaprak,outside,Yaprak,word,understands; produces,NA,item_188,leaf,leaf
Yıldız,outside,Yildiz,word,understands; produces,NA,item_189,star,star
Yol,outside,Yol,word,understands; produces,NA,item_190,road/path,road
Abi,people,Abi,word,understands; produces,NA,item_204,brother,brother
Abla,people,Abla,word,understands; produces,NA,item_205,sister,sister
Adam,people,Adam,word,understands; produces,NA,item_206,man,man
Amca,people,Amca,word,understands; produces,NA,item_207,uncle (paternal),uncle
Anne,people,Anne,word,understands; produces,NA,item_208,mommy/mother,mommy
Anneanne/Babaanne/Büyükanne,people,Anneanne/Babaanne/_Buyukanne,word,understands; produces,NA,item_209,grandma/grandmother,grandma
Arkadaş,people,Arkadas,word,understands; produces,NA,item_210,friend,friend
Baba,people,Baba,word,understands; produces,NA,item_211,daddy/father,daddy
Bebek (person),people,Bebek,word,understands; produces,NA,item_213,baby,baby
Çocuk,people,Cocuk,word,understands; produces,NA,item_212,child,child
Dayı,people,Dayi,word,understands; produces,NA,item_214,uncle (maternal),uncle
Dede,people,Dede,word,understands; produces,NA,item_215,grandpa/grandfather,grandpa
Doktor,people,Doktor,word,understands; produces,NA,item_216,doctor,doctor
Hala,people,Hala,word,understands; produces,NA,item_217,aunt (paternal),aunt
Kardeş,people,Kardes,word,understands; produces,NA,item_218,sibling,sibling
Kendi ismi,people,Kendi_ismi,word,understands; produces,NA,item_219,child´s own name,child's own name
Kız,people,Kiz,word,understands; produces,NA,item_220,girl,girl
Nine,people,Nine,word,understands; produces,NA,item_221,grandma,grandma
Palyaço,people,Palyaco_,word,understands; produces,NA,item_222,clown,clown
Polis,people,Polis,word,understands; produces,NA,item_223,policeman,police
Teyze,people,Teyze,word,understands; produces,NA,item_224,aunt (maternal),aunt
Atta,places,Atta,word,understands; produces,NA,item_191,outing,outing
Bakkal,places,Bakkal,word,understands; produces,NA,item_192,grocer,market
Çarşı,places,Carsi,word,understands; produces,NA,item_193,bazaar/market,market
Deniz,places,Deniz,word,understands; produces,NA,item_195,sea,sea
Dışarı,places,Disari_,word,understands; produces,NA,item_194,outside,outside
Dükkan,places,Dukkan,word,understands; produces,NA,item_196,shop/store,store
Ev,places,Ev,word,understands; produces,NA,item_197,home/house,home
İş,places,Is,word,understands; produces,NA,item_198,work,work (place)
Köy,places,Koy,word,understands; produces,NA,item_199,village,town
Market,places,Market,word,understands; produces,NA,item_200,market,market
Okul,places,Okul,word,understands; produces,NA,item_201,school,school
Park,places,Park,word,understands; produces,NA,item_202,park/playground,park
Pazar,places,Pazar,word,understands; produces,NA,item_203,bazaar/marketplace,market
Bana,pronouns,Bana,word,understands; produces,NA,item_382,me,1SG
Ben,pronouns,Ben,word,understands; produces,NA,item_383,I,1SG
Benim,pronouns,Benim,word,understands; produces,NA,item_384,my,1SG.POSS
Biri,pronouns,Biri,word,understands; produces,NA,item_393,someone,someone
Bu,pronouns,Bu,word,understands; produces,NA,item_385,this,this
O,pronouns,O,word,understands; produces,NA,item_389,that/s/he/it,that
Ona,pronouns,Ona,word,understands; produces,NA,item_390,him/her/it,3SG
Onun,pronouns,Onun,word,understands; produces,NA,item_391,his/hers/its,3SG.POSS
Sana,pronouns,Sana,word,understands; produces,NA,item_392,(to)you,2SG
Sen,pronouns,Sen,word,understands; produces,NA,item_386,you,2SG
Senin,pronouns,Senin,word,understands; produces,NA,item_387,your,2SG.POSS
Şu,pronouns,Su,word,understands; produces,NA,item_388,that,that
Biraz,quantifiers,Biraz,word,understands; produces,NA,item_411,some/a little,some
Çok (amount),quantifiers,Cok,word,understands; produces,NA,item_412,much/many,much
Daha/Bir daha,quantifiers,Daha/Bir_daha,word,understands; produces,NA,item_413,more /once again,more
Hepsi,quantifiers,Hepsi_,word,understands; produces,NA,item_414,all,all
