itemID,item,type,category,choices,definition,gloss,uni_lemma,item_id,original_category
item_87,item_87,word,animals,understands; produces,hibou,,,item_72,Noms d'animaux (vrais ou jouets)
item_88,item_88,word,animals,understands; produces,lapin,,,item_51,Noms d'animaux (vrais ou jouets)
item_89,item_89,word,animals,understands; produces,lion,,,item_69,Noms d'animaux (vrais ou jouets)
item_90,item_90,word,animals,understands; produces,mouton,,,item_77,Noms d'animaux (vrais ou jouets)
item_91,item_91,word,animals,understands; produces,nounours,,,item_79,Noms d'animaux (vrais ou jouets)
item_92,item_92,word,animals,understands; produces,oie,,,item_65,Noms d'animaux (vrais ou jouets)
item_93,item_93,word,animals,understands; produces,oiseau,,,item_49,Noms d'animaux (vrais ou jouets)
item_94,item_94,word,animals,understands; produces,ours,,,item_47,Noms d'animaux (vrais ou jouets)
item_95,item_95,word,animals,understands; produces,papillon,,,item_52,Noms d'animaux (vrais ou jouets)
item_96,item_96,word,animals,understands; produces,petite bête,,,item_50,Noms d'animaux (vrais ou jouets)
item_97,item_97,word,animals,understands; produces,pingouin,,,item_73,Noms d'animaux (vrais ou jouets)
item_98,item_98,word,animals,understands; produces,poisson,,,item_61,Noms d'animaux (vrais ou jouets)
item_99,item_99,word,animals,understands; produces,poney,,,item_75,Noms d'animaux (vrais ou jouets)
item_100,item_100,word,animals,understands; produces,poule,,,item_54,Noms d'animaux (vrais ou jouets)
item_100,item_100,word,animals,understands; produces,poule,,,item_85,Noms d'animaux (vrais ou jouets)
item_101,item_101,word,animals,understands; produces,singe,,,item_70,Noms d'animaux (vrais ou jouets)
item_102,item_102,word,animals,understands; produces,souris,,,item_71,Noms d'animaux (vrais ou jouets)
item_103,item_103,word,animals,understands; produces,tigre,,,item_80,Noms d'animaux (vrais ou jouets)
item_104,item_104,word,animals,understands; produces,tortue,,,item_82,Noms d'animaux (vrais ou jouets)
item_105,item_105,word,animals,understands; produces,vache,,,item_55,Noms d'animaux (vrais ou jouets)
item_106,item_106,word,food_drink,understands; produces,baguette,,,item_121,Nourriture et boisson
item_107,item_107,word,food_drink,understands; produces,banane,,,,
item_108,item_108,word,food_drink,understands; produces,beurre,,,item_109,Nourriture et boisson
item_109,item_109,word,food_drink,understands; produces,boisson,,,item_116,Nourriture et boisson
item_110,item_110,word,food_drink,understands; produces,café,,,item_98,Nourriture et boisson
item_111,item_111,word,food_drink,understands; produces,carotte,,,item_115,Nourriture et boisson
item_112,item_112,word,food_drink,understands; produces,céréales,,,item_91,Nourriture et boisson
item_113,item_113,word,food_drink,understands; produces,clémentine,,,item_118,Nourriture et boisson
item_114,item_114,word,food_drink,understands; produces,cornflakes,,,item_92,Nourriture et boisson
item_115,item_115,word,food_drink,understands; produces,eau,,,item_117,Nourriture et boisson
item_116,item_116,word,food_drink,understands; produces,fromage,,,item_94,Nourriture et boisson
item_117,item_117,word,food_drink,understands; produces,gâteau,,,item_111,Nourriture et boisson
item_118,item_118,word,food_drink,understands; produces,gâteaux apéro,,,item_102,Nourriture et boisson
item_119,item_119,word,food_drink,understands; produces,glace,,,item_110,Nourriture et boisson
item_120,item_120,word,food_drink,understands; produces,jus de fruit,,,item_112,Nourriture et boisson
item_121,item_121,word,food_drink,understands; produces,lait,,,item_90,Nourriture et boisson
item_122,item_122,word,food_drink,understands; produces,nourriture,,,item_108,Nourriture et boisson
item_123,item_123,word,food_drink,understands; produces,œuf,,,item_105,Nourriture et boisson
item_124,item_124,word,food_drink,understands; produces,orange,,,item_93,Nourriture et boisson
item_125,item_125,word,food_drink,understands; produces,pain,,,item_107,Nourriture et boisson
item_126,item_126,word,food_drink,understands; produces,pâtes,,,item_123,Nourriture et boisson
item_127,item_127,word,food_drink,understands; produces,petits gâteaux,,,item_100,Nourriture et boisson
item_128,item_128,word,food_drink,understands; produces,petits pois,,,item_120,Nourriture et boisson
item_129,item_129,word,food_drink,understands; produces,pizza,,,item_97,Nourriture et boisson
item_130,item_130,word,food_drink,understands; produces,poisson,,,item_106,Nourriture et boisson
item_131,item_131,word,food_drink,understands; produces,pomme,,,item_104,Nourriture et boisson
item_132,item_132,word,food_drink,understands; produces,poulet,,,item_96,Nourriture et boisson
item_133,item_133,word,food_drink,understands; produces,purée,,,item_119,Nourriture et boisson
item_134,item_134,word,food_drink,understands; produces,raisin,,,item_99,Nourriture et boisson
item_135,item_135,word,food_drink,understands; produces,soupe,,,item_122,Nourriture et boisson
item_136,item_136,word,food_drink,understands; produces,spaghetti,,,item_101,Nourriture et boisson
item_137,item_137,word,food_drink,understands; produces,sucre,,,item_113,Nourriture et boisson
item_138,item_138,word,food_drink,understands; produces,tartine,,,item_103,Nourriture et boisson
item_139,item_139,word,food_drink,understands; produces,viande,,,item_114,Nourriture et boisson
item_140,item_140,word,toys,understands; produces,balle,,,item_28,Jouets
item_141,item_141,word,toys,understands; produces,ballon,,,item_29,Jouets
item_142,item_142,word,toys,understands; produces,bulles,,,item_32,Jouets
item_143,item_143,word,toys,understands; produces,crayon,,,item_34,Jouets
item_144,item_144,word,toys,understands; produces,cube,,,item_30,Jouets
item_145,item_145,word,toys,understands; produces,livre,,,item_31,Jouets
item_146,item_146,word,toys,understands; produces,poupée,,,item_33,Jouets
item_147,item_147,word,body_parts,understands; produces,aïe bobo,,,,
item_148,item_148,word,body_parts,understands; produces,bouche,,,item_205,Parties du corps
item_149,item_149,word,body_parts,understands; produces,bras,,,item_192,Parties du corps
item_150,item_150,word,body_parts,understands; produces,cheveux,,,item_200,Parties du corps
item_151,item_151,word,body_parts,understands; produces,cœur,,,item_218,Parties du corps
item_152,item_152,word,body_parts,understands; produces,dent,,,item_209,Parties du corps
item_153,item_153,word,body_parts,understands; produces,doigt,,,item_199,Parties du corps
item_154,item_154,word,body_parts,understands; produces,doigt de pied,,,item_210,Parties du corps
item_155,item_155,word,body_parts,understands; produces,figure,,,item_197,Parties du corps
item_156,item_156,word,body_parts,understands; produces,genou,,,item_203,Parties du corps
item_157,item_157,word,body_parts,understands; produces,jambe,,,item_204,Parties du corps
item_158,item_158,word,body_parts,understands; produces,joue,,,item_194,Parties du corps
item_159,item_159,word,body_parts,understands; produces,langue,,,item_211,Parties du corps
item_160,item_160,word,body_parts,understands; produces,main,,,item_201,Parties du corps
item_161,item_161,word,body_parts,understands; produces,nez,,,item_206,Parties du corps
item_162,item_162,word,body_parts,understands; produces,nombril,,,item_193,Parties du corps
item_163,item_163,word,body_parts,understands; produces,oreille,,,item_195,Parties du corps
item_164,item_164,word,body_parts,understands; produces,pied,,,item_198,Parties du corps
item_165,item_165,word,body_parts,understands; produces,pouce,,,item_220,Parties du corps
item_166,item_166,word,body_parts,understands; produces,tête,,,item_202,Parties du corps
item_167,item_167,word,body_parts,understands; produces,ventre,,,item_212,Parties du corps
item_168,item_168,word,body_parts,understands; produces,yeux,,,item_196,Parties du corps
item_169,item_169,word,people,understands; produces,bébé,,,item_420,Personnes
item_170,item_170,word,people,understands; produces,dame,,,item_430,Personnes
item_171,item_171,word,people,understands; produces,enfant,,,item_425,Personnes
item_172,item_172,word,people,understands; produces,fille,,,item_427,Personnes
item_173,item_173,word,people,understands; produces,frère,,,item_424,Personnes
item_174,item_174,word,people,understands; produces,garçon,,,item_423,Personnes
item_175,item_175,word,people,understands; produces,gens,,,item_433,Personnes
item_176,item_176,word,people,understands; produces,grand-mère,,,item_428,Personnes
item_177,item_177,word,people,understands; produces,grand-père,,,item_429,Personnes
item_178,item_178,word,people,understands; produces,maître/sse,,,item_436,Personnes
item_179,item_179,word,people,understands; produces,maman,,,item_431,Personnes
item_180,item_180,word,people,understands; produces,nom de l'enfant,,,item_432,Personnes
item_181,item_181,word,people,understands; produces,nom de la nounou,,,item_422,Personnes
item_182,item_182,word,people,understands; produces,nounou,,,item_421,Personnes
item_183,item_183,word,people,understands; produces,oncle,,,item_437,Personnes
item_184,item_184,word,people,understands; produces,papa,,,item_426,Personnes
item_185,item_185,word,people,understands; produces,personne,,,item_434,Personnes
item_186,item_186,word,people,understands; produces,sœur,,,item_435,Personnes
item_187,item_187,word,people,understands; produces,tante,,,item_419,Personnes
item_188,item_188,word,clothing,understands; produces,basket,,,item_188,Vêtements
item_189,item_189,word,clothing,understands; produces,bavoir/bavette,,,item_164,Vêtements
item_190,item_190,word,clothing,understands; produces,body,,,item_171,Vêtements
item_191,item_191,word,clothing,understands; produces,bottes,,,,
item_192,item_192,word,clothing,understands; produces,boutons,,,,
item_193,item_193,word,clothing,understands; produces,ceinture,,,item_184,Vêtements
item_194,item_194,word,clothing,understands; produces,chapeau,,,item_176,Vêtements
item_195,item_195,word,clothing,understands; produces,chaussettes,,,item_175,Vêtements
item_196,item_196,word,clothing,understands; produces,chausson/pantoufle,,,item_182,Vêtements
item_197,item_197,word,clothing,understands; produces,chaussure,,,item_169,Vêtements
item_198,item_198,word,clothing,understands; produces,chemise,,,item_167,Vêtements
item_199,item_199,word,clothing,understands; produces,collants,,,item_190,Vêtements
item_200,item_200,word,clothing,understands; produces,collier,,,item_163,Vêtements
item_201,item_201,word,clothing,understands; produces,combinaison de ski,,,item_189,Vêtements
item_202,item_202,word,clothing,understands; produces,couche,,,item_170,Vêtements
item_203,item_203,word,clothing,understands; produces,culotte/slip,,,item_191,Vêtements
item_204,item_204,word,clothing,understands; produces,écharpe,,,item_187,Vêtements
item_205,item_205,word,clothing,understands; produces,gants,,,item_185,Vêtements
item_206,item_206,word,clothing,understands; produces,grenouillère,,,,
item_207,item_207,word,clothing,understands; produces,jeans,,,item_180,Vêtements
item_208,item_208,word,clothing,understands; produces,manteau,,,item_168,Vêtements
item_209,item_209,word,clothing,understands; produces,moufles,,,item_186,Vêtements
item_210,item_210,word,clothing,understands; produces,pantalon,,,item_166,Vêtements
item_211,item_211,word,clothing,understands; produces,perles,,,item_162,Vêtements
item_212,item_212,word,clothing,understands; produces,pull,,,item_183,Vêtements
item_213,item_213,word,clothing,understands; produces,pyjama,,,item_165,Vêtements
item_214,item_214,word,clothing,understands; produces,robe,,,item_174,Vêtements
item_215,item_215,word,clothing,understands; produces,salopette,,,item_181,Vêtements
item_216,item_216,word,clothing,understands; produces,short,,,item_173,Vêtements
item_217,item_217,word,clothing,understands; produces,sweat,,,item_177,Vêtements
item_218,item_218,word,clothing,understands; produces,tee-shirt,,,item_179,Vêtements
item_219,item_219,word,clothing,understands; produces,veste,,,item_178,Vêtements
item_220,item_220,word,household,understands; produces,argent,,,item_483,Petits objets ménagers
item_221,item_221,word,household,understands; produces,aspirateur,,,item_498,Petits objets ménagers
item_222,item_222,word,household,understands; produces,assiette,,,item_488,Petits objets ménagers
item_223,item_223,word,household,understands; produces,balai,,,item_469,Petits objets ménagers
item_224,item_224,word,household,understands; produces,biberon,,,item_503,Petits objets ménagers
item_225,item_225,word,household,understands; produces,boîte,,,item_468,Petits objets ménagers
item_226,item_226,word,household,understands; produces,bol,,,item_467,Petits objets ménagers
item_227,item_227,word,household,understands; produces,bouteille,,,item_466,Petits objets ménagers
item_228,item_228,word,household,understands; produces,brosse,,,item_470,Petits objets ménagers
item_229,item_229,word,household,understands; produces,brosse à dent,,,item_495,Petits objets ménagers
item_230,item_230,word,household,understands; produces,ciseaux,,,item_491,Petits objets ménagers
item_231,item_231,word,household,understands; produces,clefs,,,item_479,Petits objets ménagers
item_232,item_232,word,household,understands; produces,couverture,,,item_465,Petits objets ménagers
item_233,item_233,word,household,understands; produces,cuillère,,,item_493,Petits objets ménagers
item_234,item_234,word,household,understands; produces,dent,,,,
item_235,item_235,word,household,understands; produces,feuille,,,item_500,Petits objets ménagers
item_236,item_236,word,household,understands; produces,fourchette,,,item_475,Petits objets ménagers
item_237,item_237,word,household,understands; produces,horloge,,,item_471,Petits objets ménagers
item_238,item_238,word,household,understands; produces,lampe,,,item_480,Petits objets ménagers
item_239,item_239,word,household,understands; produces,lumière,,,item_481,Petits objets ménagers
item_240,item_240,word,household,understands; produces,lunettes,,,item_477,Petits objets ménagers
item_241,item_241,word,household,understands; produces,marteau,,,item_478,Petits objets ménagers
item_242,item_242,word,household,understands; produces,médicaments,,,item_482,Petits objets ménagers
item_243,item_243,word,household,understands; produces,montre,,,item_499,Petits objets ménagers
item_244,item_244,word,household,understands; produces,musique,,,item_501,Petits objets ménagers
item_245,item_245,word,household,understands; produces,oreiller,,,item_487,Petits objets ménagers
item_246,item_246,word,household,understands; produces,papier,,,item_484,Petits objets ménagers
item_247,item_247,word,household,understands; produces,peigne,,,item_472,Petits objets ménagers
item_248,item_248,word,household,understands; produces,photo,,,item_486,Petits objets ménagers
item_248,item_248,word,household,understands; produces,photo,,,item_508,Petits objets ménagers
item_249,item_249,word,household,understands; produces,plante,,,,
item_250,item_250,word,household,understands; produces,plat,,,item_474,Petits objets ménagers
item_251,item_251,word,household,understands; produces,porte-monnaie,,,item_489,Petits objets ménagers
item_252,item_252,word,household,understands; produces,poubelle,,,item_497,Petits objets ménagers
item_253,item_253,word,household,understands; produces,radio,,,item_490,Petits objets ménagers
item_254,item_254,word,household,understands; produces,savon,,,item_492,Petits objets ménagers
item_255,item_255,word,household,understands; produces,serviette,,,item_496,Petits objets ménagers
item_256,item_256,word,household,understands; produces,sirop,,,item_502,Petits objets ménagers
item_257,item_257,word,household,understands; produces,sous/pièces,,,item_485,Petits objets ménagers
item_258,item_258,word,household,understands; produces,sucette,,,item_505,Petits objets ménagers
item_259,item_259,word,household,understands; produces,tasse,,,item_473,Petits objets ménagers
item_260,item_260,word,household,understands; produces,télécommande,,,item_504,Petits objets ménagers
item_261,item_261,word,household,understands; produces,téléphone,,,item_494,Petits objets ménagers
item_262,item_262,word,household,understands; produces,verre,,,item_476,Petits objets ménagers
item_263,item_263,word,furniture_rooms,understands; produces,baignoire,,,item_222,Meubles et pièces
item_264,item_264,word,furniture_rooms,understands; produces,berceau,,,item_227,Meubles et pièces
item_265,item_265,word,furniture_rooms,understands; produces,canapé,,,item_226,Meubles et pièces
item_266,item_266,word,furniture_rooms,understands; produces,chaise,,,item_225,Meubles et pièces
item_267,item_267,word,furniture_rooms,understands; produces,chaise haute,,,item_231,Meubles et pièces
item_268,item_268,word,furniture_rooms,understands; produces,chambre,,,item_224,Meubles et pièces
item_269,item_269,word,furniture_rooms,understands; produces,cuisinière,,,item_241,Meubles et pièces
item_270,item_270,word,furniture_rooms,understands; produces,escalier,,,item_240,Meubles et pièces
item_271,item_271,word,furniture_rooms,understands; produces,évier,,,item_253,Meubles et pièces
item_272,item_272,word,furniture_rooms,understands; produces,fauteuil,,,item_238,Meubles et pièces
item_273,item_273,word,furniture_rooms,understands; produces,fenêtre,,,item_244,Meubles et pièces
item_274,item_274,word,furniture_rooms,understands; produces,four,,,item_234,Meubles et pièces
item_275,item_275,word,furniture_rooms,understands; produces,frigo,,,item_237,Meubles et pièces
item_276,item_276,word,furniture_rooms,understands; produces,garage,,,item_230,Meubles et pièces
item_277,item_277,word,furniture_rooms,understands; produces,lavabo,,,item_239,Meubles et pièces
item_278,item_278,word,furniture_rooms,understands; produces,lit,,,item_223,Meubles et pièces
item_279,item_279,word,furniture_rooms,understands; produces,parc,,,item_235,Meubles et pièces
item_280,item_280,word,furniture_rooms,understands; produces,porte,,,item_228,Meubles et pièces
item_281,item_281,word,furniture_rooms,understands; produces,pot,,,item_236,Meubles et pièces
item_282,item_282,word,furniture_rooms,understands; produces,salle de bain,,,item_221,Meubles et pièces
item_283,item_283,word,furniture_rooms,understands; produces,salon,,,item_233,Meubles et pièces
item_284,item_284,word,furniture_rooms,understands; produces,table,,,item_242,Meubles et pièces
item_285,item_285,word,furniture_rooms,understands; produces,télé,,,item_243,Meubles et pièces
item_286,item_286,word,furniture_rooms,understands; produces,tiroir,,,item_229,Meubles et pièces
item_287,item_287,word,outside_places,understands; produces,arbre,,,item_410,Objets extérieurs
item_288,item_288,word,outside_places,understands; produces,balançoire,,,item_409,Objets extérieurs
item_289,item_289,word,outside_places,understands; produces,caillou,,,item_401,Objets extérieurs
item_290,item_290,word,outside_places,understands; produces,ciel,,,item_412,Objets extérieurs
item_291,item_291,word,outside_places,understands; produces,cour,,,item_299,Endroits où aller
item_292,item_292,word,outside_places,understands; produces,crèche,,,item_302,Endroits où aller
item_293,item_293,word,outside_places,understands; produces,dehors,,,item_290,Endroits où aller
item_294,item_294,word,outside_places,understands; produces,eau,,,item_411,Objets extérieurs
item_295,item_295,word,outside_places,understands; produces,école,,,item_295,Endroits où aller
item_296,item_296,word,outside_places,understands; produces,église,,,item_282,Endroits où aller
item_297,item_297,word,outside_places,understands; produces,étoile,,,item_406,Objets extérieurs
item_298,item_298,word,outside_places,understands; produces,fête,,,item_292,Endroits où aller
item_299,item_299,word,outside_places,understands; produces,fleur,,,item_392,Objets extérieurs
item_300,item_300,word,outside_places,understands; produces,garderie,,,item_301,Endroits où aller
item_301,item_301,word,outside_places,understands; produces,jardin,,,item_393,Objets extérieurs
item_302,item_302,word,outside_places,understands; produces,lune,,,item_395,Objets extérieurs
item_303,item_303,word,outside_places,understands; produces,magasin,,,item_296,Endroits où aller
item_304,item_304,word,outside_places,understands; produces,maison,,,item_288,Endroits où aller
item_305,item_305,word,outside_places,understands; produces,neige,,,,
item_306,item_306,word,outside_places,understands; produces,parc,,,item_291,Endroits où aller
item_307,item_307,word,outside_places,understands; produces,pelle,,,item_403,Objets extérieurs
item_308,item_308,word,outside_places,understands; produces,piscine,,,item_399,Objets extérieurs
item_309,item_309,word,outside_places,understands; produces,plage,,,item_280,Endroits où aller
item_310,item_310,word,outside_places,understands; produces,pluie,,,item_400,Objets extérieurs
item_311,item_311,word,outside_places,understands; produces,soleil,,,item_408,Objets extérieurs
item_312,item_312,word,outside_places,understands; produces,toboggan,,,item_405,Objets extérieurs
item_313,item_313,word,outside_places,understands; produces,travail,,,item_298,Endroits où aller
item_314,item_314,word,outside_places,understands; produces,zoo,,,item_300,Endroits où aller
item_315,item_315,word,vehicles,understands; produces,avion,,,item_14,Véhicules ( vrais ou jouets)
item_316,item_316,word,vehicles,understands; produces,bus,,,item_16,Véhicules ( vrais ou jouets)
item_317,item_317,word,vehicles,understands; produces,camion,,,item_22,Véhicules ( vrais ou jouets)
item_318,item_318,word,vehicles,understands; produces,camion de pompier,,,item_18,Véhicules ( vrais ou jouets)
item_319,item_319,word,vehicles,understands; produces,moto,,,item_19,Véhicules ( vrais ou jouets)
item_320,item_320,word,vehicles,understands; produces,poussette,,,item_20,Véhicules ( vrais ou jouets)
item_321,item_321,word,vehicles,understands; produces,train,,,item_21,Véhicules ( vrais ou jouets)
item_322,item_322,word,vehicles,understands; produces,vélo,,,item_15,Véhicules ( vrais ou jouets)
item_323,item_323,word,vehicles,understands; produces,voiture,,,item_17,Véhicules ( vrais ou jouets)
item_324,item_324,word,descriptive_words,understands; produces,attention,,,item_527,Mots descriptifs
item_325,item_325,word,descriptive_words,understands; produces,avoir faim,,,item_542,Mots descriptifs
item_326,item_326,word,descriptive_words,understands; produces,avoir peur,,,item_550,Mots descriptifs
item_327,item_327,word,descriptive_words,understands; produces,avoir soif,,,item_553,Mots descriptifs
item_328,item_328,word,descriptive_words,understands; produces,beau/belle,,,item_557,Mots descriptifs
item_329,item_329,word,descriptive_words,understands; produces,bien,,,item_536,Mots descriptifs
item_330,item_330,word,descriptive_words,understands; produces,blessé,,,item_543,Mots descriptifs
item_331,item_331,word,descriptive_words,understands; produces,bleu,,,item_525,Mots descriptifs
item_332,item_332,word,descriptive_words,understands; produces,bon/ne,,,item_538,Mots descriptifs
item_333,item_333,word,descriptive_words,understands; produces,cassé,,,item_526,Mots descriptifs
item_334,item_334,word,descriptive_words,understands; produces,chaud/e,,,item_541,Mots descriptifs
item_335,item_335,word,descriptive_words,understands; produces,content/e,,,item_539,Mots descriptifs
item_336,item_336,word,descriptive_words,understands; produces,dégoûtant/e,,,item_556,Mots descriptifs
item_337,item_337,word,descriptive_words,understands; produces,doux/ce,,,item_537,Mots descriptifs
item_337,item_337,word,descriptive_words,understands; produces,doux/ce,,,item_578,Mots descriptifs
item_338,item_338,word,descriptive_words,understands; produces,dur,,,item_540,Mots descriptifs
item_339,item_339,word,descriptive_words,understands; produces,endormi,,,item_522,Mots descriptifs
item_340,item_340,word,descriptive_words,understands; produces,fatigué,,,item_554,Mots descriptifs
item_341,item_341,word,descriptive_words,understands; produces,froid,,,item_529,Mots descriptifs
item_342,item_342,word,descriptive_words,understands; produces,gentil/le,,,item_546,Mots descriptifs
item_343,item_343,word,descriptive_words,understands; produces,grand,,,item_524,Mots descriptifs
item_344,item_344,word,descriptive_words,understands; produces,joli,,,item_548,Mots descriptifs
item_345,item_345,word,descriptive_words,understands; produces,malade,,,item_551,Mots descriptifs
item_346,item_346,word,descriptive_words,understands; produces,méchant/e,,,item_558,Mots descriptifs
item_347,item_347,word,descriptive_words,understands; produces,mignon/ne,,,item_530,Mots descriptifs
item_348,item_348,word,descriptive_words,understands; produces,mouillé,,,item_555,Mots descriptifs
item_349,item_349,word,descriptive_words,understands; produces,parti,,,item_521,Mots descriptifs
item_350,item_350,word,descriptive_words,understands; produces,pas bon,,,item_523,Mots descriptifs
item_351,item_351,word,descriptive_words,understands; produces,petit/e,,,item_544,Mots descriptifs
item_352,item_352,word,descriptive_words,understands; produces,propre,,,item_528,Mots descriptifs
