columns,field,group,type 
balançoire,item_289,item,word
bâton,item_290,item,word
bonhomme de neige,item_291,item,word
ciel,item_292,item,word
cour,item_293,item,word
drapeau,item_294,item,word
eau,item_295,item,word
échelle,item_296,item,word
étoile,item_297,item,word
fleur,item_298,item,word
gazon,item_299,item,word
glissoire,item_300,item,word
jardin,item_301,item,word
lune,item_302,item,word
neige,item_303,item,word
nuage,item_304,item,word
pelle,item_305,item,word
pierre,item_306,item,word
piscine,item_307,item,word
pluie,item_308,item,word
roche,item_309,item,word
roue,item_310,item,word
rue,item_311,item,word
sable,item_312,item,word
soleil,item_313,item,word
toit,item_314,item,word
tondeuse,item_315,item,word
trottoir,item_316,item,word
tuyau/boyau,item_317,item,word
vent,item_318,item,word
véranda/balcon,item_319,item,word
campagne,item_320,item,word
camping,item_321,item,word
chez nous,item_322,item,word
cirque,item_323,item,word
dehors,item_324,item,word
école,item_325,item,word
église,item_326,item,word
ferme,item_327,item,word
fête,item_328,item,word
forêt,item_329,item,word
garage (essence),item_330,item,word
magasin,item_331,item,word
maison,item_332,item,word
parc,item_333,item,word
pique-nique,item_334,item,word
plage,item_335,item,word
terrain de jeu,item_336,item,word
travail/bureau,item_337,item,word
zoo,item_338,item,word
ami,item_339,item,word
bébé,item_340,item,word
bonhomme,item_341,item,word
clown,item_342,item,word
cowboy,item_343,item,word
docteur,item_344,item,word
enfant,item_345,item,word
facteur,item_346,item,word
fille,item_347,item,word
frère,item_348,item,word
garçon,item_349,item,word
gardienne,item_350,item,word
gens/monde,item_351,item,word
grand-maman,item_352,item,word
grand-papa,item_353,item,word
madame,item_354,item,word
maman,item_355,item,word
monsieur,item_356,item,word
nom animal domestique,item_357,item,word
nom gardien(ne),item_358,item,word
oncle/mononcle,item_359,item,word
papa,item_360,item,word
personne,item_361,item,word
police,item_362,item,word
pompier,item_363,item,word
professeur(e),item_364,item,word
sœur,item_365,item,word
son propre nom,item_366,item,word
tante/matante,item_367,item,word
aller au magasin,item_368,item,word
allô,item_369,item,word
bain,item_370,item,word
bonjour,item_371,item,word
bonne nuit,item_372,item,word
bravo,item_373,item,word
bye/au revoir,item_374,item,word
chut,item_375,item,word
collation,item_376,item,word
coucou,item_377,item,word
déjeuner,item_378,item,word
dîner,item_379,item,word
dodo,item_380,item,word
donne moi/tape dedans,item_381,item,word
faire caca/faire pipi,item_382,item,word
faire le tour de la maison,item_383,item,word
gros comme ça,item_384,item,word
je te tiens par la barbichette,item_385,item,word
j'vais t'attraper,item_386,item,word
menouche menouche,item_387,item,word
merci,item_388,item,word
non,item_389,item,word
okay,item_390,item,word
oui,item_391,item,word
parler (au téléphone),item_392,item,word
retourne-toi,item_393,item,word
s'il-vous-plaît,item_394,item,word
souper,item_395,item,word
tape tape,item_396,item,word
acheter,item_397,item,word
aider,item_398,item,word
aimer,item_399,item,word
aller,item_400,item,word
allumer,item_401,item,word
amener,item_402,item,word
applaudir,item_403,item,word
apporter,item_404,item,word
arrêter,item_405,item,word
arroser,item_406,item,word
asseoir,item_407,item,word
attacher,item_408,item,word
attendre,item_409,item,word
attraper,item_410,item,word
avoir,item_411,item,word
balancer,item_412,item,word
balayer,item_413,item,word
bercer,item_414,item,word
boire,item_415,item,word
brasser,item_416,item,word
briser/casser,item_417,item,word
brosser,item_418,item,word
cacher,item_419,item,word
chanter,item_420,item,word
chatouiller,item_421,item,word
chercher,item_422,item,word
choisir,item_423,item,word
cogner (à),item_424,item,word
coller,item_425,item,word
conduire,item_426,item,word
construire/bâtir,item_427,item,word
couper,item_428,item,word
courir,item_429,item,word
couvrir,item_430,item,word
cracher,item_431,item,word
danser,item_432,item,word
débarquer,item_433,item,word
déchirer,item_434,item,word
descendre,item_435,item,word
dessiner,item_436,item,word
dire,item_437,item,word
donner,item_438,item,word
dormir,item_439,item,word
échapper,item_440,item,word
écouter,item_441,item,word
écrire,item_442,item,word
embarquer,item_443,item,word
embrasser,item_444,item,word
enlever,item_445,item,word
entendre,item_446,item,word
essayer,item_447,item,word
essuyer,item_448,item,word
être,item_449,item,word
faire,item_450,item,word
fermer,item_451,item,word
finir,item_452,item,word
glisser,item_453,item,word
goûter,item_454,item,word
grimper,item_455,item,word
jeter,item_456,item,word
jouer,item_457,item,word
lancer,item_458,item,word
laver,item_459,item,word
lécher,item_460,item,word
lire,item_461,item,word
manger,item_462,item,word
 marcher,item_463,item,word
mettre,item_464,item,word
monter (à cheval...),item_465,item,word
montrer,item_466,item,word
mordre,item_467,item,word
nager,item_468,item,word
nettoyer,item_469,item,word
ouvrir,item_470,item,word
parler,item_471,item,word
partager,item_472,item,word
patiner,item_473,item,word
peinturer,item_474,item,word
penser,item_475,item,word
pleurer,item_476,item,word
pousser,item_477,item,word
pouvoir,item_478,item,word
prendre,item_479,item,word
ramasser,item_480,item,word
ranger,item_481,item,word
regarder,item_482,item,word
renverser,item_483,item,word
réparer,item_484,item,word
rester,item_485,item,word
réveiller,item_486,item,word
sauter,item_487,item,word
sécher,item_488,item,word
se dépêcher,item_489,item,word
souffler,item_490,item,word
sourire,item_491,item,word
surveiller,item_492,item,word
taper,item_493,item,word
tenir,item_494,item,word
tirer,item_495,item,word
tomber,item_496,item,word
toucher,item_497,item,word
tourner,item_498,item,word
transporter,item_499,item,word
travailler,item_500,item,word
trouver,item_501,item,word
venir,item_502,item,word
verser,item_503,item,word
voir,item_504,item,word
vouloir,item_505,item,word
(avoir) mal,item_506,item,word
beau/belle,item_507,item,word
bien,item_508,item,word
blanc,item_509,item,word
bleu,item_510,item,word
bon,item_511,item,word
brisé/cassé,item_512,item,word
brun,item_513,item,word
capable,item_514,item,word
chaud,item_515,item,word
collant,item_516,item,word
content,item_517,item,word
debout,item_518,item,word
dégueulasse,item_519,item,word
dernier,item_520,item,word
doux,item_521,item,word
dur,item_522,item,word
endormi,item_523,item,word
fâché,item_524,item,word
faim,item_525,item,word
fatigué,item_526,item,word
fini,item_527,item,word
fort,item_528,item,word
froid,item_529,item,word
gentil,item_530,item,word
gros/grand,item_531,item,word
haut,item_532,item,word
jaune,item_533,item,word
joli,item_534,item,word
long,item_535,item,word
lourd,item_536,item,word
mal,item_537,item,word
malade,item_538,item,word
mieux,item_539,item,word
mignon/cute,item_540,item,word
mouillé,item_541,item,word
noir,item_542,item,word
nouveau,item_543,item,word
orange,item_544,item,word
parti,item_545,item,word
pauvre,item_546,item,word
petit,item_547,item,word
peur,item_548,item,word
plein,item_549,item,word
premier,item_550,item,word
pris,item_551,item,word
propre,item_552,item,word
réveillé,item_553,item,word
rond,item_554,item,word
rouge,item_555,item,word
sale,item_556,item,word
sec,item_557,item,word
soif,item_558,item,word
tannant/méchant,item_559,item,word
tranquille,item_560,item,word
triste / (avoir)peine,item_561,item,word
vert,item_562,item,word
vide,item_563,item,word
vieux,item_564,item,word
vite,item_565,item,word
après,item_566,item,word
aujourd'hui,item_567,item,word
avant,item_568,item,word
bientôt,item_569,item,word
ce soir,item_570,item,word
demain,item_571,item,word
heure,item_572,item,word
hier,item_573,item,word
jour,item_574,item,word
maintenant,item_575,item,word
matin,item_576,item,word
nuit,item_577,item,word
plus tard,item_578,item,word
tantôt,item_579,item,word
tout à l'heure,item_580,item,word
à eux,item_581,item,word
à lui,item_582,item,word
à moi,item_583,item,word
à nous,item_584,item,word
à toi,item_585,item,word
à vous,item_586,item,word
ça,item_587,item,word
ce,item_588,item,word
celui-là,item_589,item,word
elle,item_590,item,word
elles,item_591,item,word
il,item_592,item,word
ils,item_593,item,word
je,item_594,item,word
le mien,item_595,item,word
le tien,item_596,item,word
lui,item_597,item,word
me,item_598,item,word
moi,item_599,item,word
mon,item_600,item,word
nous,item_601,item,word
nôtre/nos,item_602,item,word
on,item_603,item,word
son,item_604,item,word
toi,item_605,item,word
ton,item_606,item,word
tu,item_607,item,word
vous,item_608,item,word
comment,item_609,item,word
lequel/laquelle,item_610,item,word
où,item_611,item,word
pourquoi,item_612,item,word
quand,item_613,item,word
quel,item_614,item,word
qui,item_615,item,word
quoi,item_616,item,word
à,item_617,item,word
à côté de,item_618,item,word
à terre/par terre,item_619,item,word
au-dessus,item_620,item,word
autour,item_621,item,word
avec,item_622,item,word
comme,item_623,item,word
dans,item_624,item,word
de,item_625,item,word
de l'autre côté,item_626,item,word
devant/en avant,item_627,item,word
en,item_628,item,word
en arrière,item_629,item,word
en bas,item_630,item,word
en dehors,item_631,item,word
en haut,item_632,item,word
ici,item_633,item,word
là/là-bas,item_634,item,word
loin,item_635,item,word
par,item_636,item,word
par-dessus,item_637,item,word
pour,item_638,item,word
sous/en-dessous,item_639,item,word
sur,item_640,item,word
y,item_641,item,word
autre,item_642,item,word
beaucoup,item_643,item,word
de/du,item_644,item,word
des,item_645,item,word
encore,item_646,item,word
le/la,item_647,item,word
même,item_648,item,word
pareil,item_649,item,word
pas,item_650,item,word
plus,item_651,item,word
plusieurs,item_652,item,word
tout/toute,item_653,item,word
trop,item_654,item,word
un/une,item_655,item,word
un autre,item_656,item,word
un peu,item_657,item,word
alors,item_658,item,word
aussi,item_659,item,word
et,item_660,item,word
mais,item_661,item,word
parce que,item_662,item,word
puis,item_663,item,word
si,item_664,item,word
1. PASSÉ,item_665,item,how_to_use_words
2. FUTUR,item_666,item,how_to_use_words
3. OBJETS ABSENTS,item_667,item,how_to_use_words
4. CHERCHER,item_668,item,how_to_use_words
5. ATTRIBUTION,item_669,item,how_to_use_words
aime,item_670,item,word_endings
aimons,item_671,item,word_endings
aimez,item_672,item,word_endings
aimer,item_673,item,word_endings
finis,item_674,item,word_endings
finissons,item_675,item,word_endings
finissez,item_676,item,word_endings
finir,item_677,item,word_endings
veux,item_678,item,word_endings
voulons,item_679,item,word_endings
voulez,item_680,item,word_endings
vouloir,item_681,item,word_endings
va manger,item_682,item,word_forms_verbs
mangerai,item_683,item,word_forms_verbs
fini,item_684,item,word_forms_verbs
a fini,item_685,item,word_forms_verbs
finissais,item_686,item,word_forms_verbs
mange,item_687,item,word_forms_verbs
finis,item_688,item,word_forms_verbs
viens,item_689,item,word_forms_verbs
ai,item_690,item,word_forms_verbs
as/a,item_691,item,word_forms_verbs
avons,item_692,item,word_forms_verbs
avez,item_693,item,word_forms_verbs
ont,item_694,item,word_forms_verbs
suis,item_695,item,word_forms_verbs
es/est,item_696,item,word_forms_verbs
sommes,item_697,item,word_forms_verbs
êtes,item_698,item,word_forms_verbs
sont,item_699,item,word_forms_verbs
vais,item_700,item,word_forms_verbs
vas/va,item_701,item,word_forms_verbs
allons,item_702,item,word_forms_verbs
allez,item_703,item,word_forms_verbs
vont,item_704,item,word_forms_verbs
adjectif,item_705,item,word_endings
COMBINAISONS,item_706,item,combine
C1,item_707,item,complexity
C2,item_708,item,complexity
C3,item_709,item,complexity
C4,item_710,item,complexity
C5,item_711,item,complexity
C6,item_712,item,complexity
C7,item_713,item,complexity
C8,item_714,item,complexity
C9,item_715,item,complexity
C10,item_716,item,complexity
C11,item_717,item,complexity
C12,item_718,item,complexity
C13,item_719,item,complexity
C14,item_720,item,complexity
C15,item_721,item,complexity
C16,item_722,item,complexity
C17,item_723,item,complexity
C18,item_724,item,complexity
C19,item_725,item,complexity
C20,item_726,item,complexity
C21,item_727,item,complexity
C22,item_728,item,complexity
C23,item_729,item,complexity
C24,item_730,item,complexity
C25,item_731,item,complexity
C26,item_732,item,complexity
C27,item_733,item,complexity
C28,item_734,item,complexity
C29,item_735,item,complexity
C30,item_736,item,complexity
C31,item_737,item,complexity
C32,item_738,item,complexity
C33,item_739,item,complexity
C34,item_740,item,complexity
C35,item_741,item,complexity
C36,item_742,item,complexity
C37,item_743,item,complexity
D1,item_744,item,complexity
D2,item_745,item,complexity
D3,item_746,item,complexity
D4,item_747,item,complexity
D5,item_748,item,complexity
D6,item_749,item,complexity
D7,item_750,item,complexity
D8,item_751,item,complexity
D9,item_752,item,complexity
D10,item_753,item,complexity
D11,item_754,item,complexity
