"itemID","item","type","choices","category","definition","uni_lemma","gloss","complexity_category","new_lemma"
"item_51",,"word","produces","animals","tortue","turtle","tortoise",,"turtle"
"item_52",,"word","produces","animals","vache","cow","cow",,"cow"
"item_53",,"word","produces","animals","zèbre",,"zebra",,
"item_54",,"word","produces","vehicles","auto","car","auto",,"car"
"item_55",,"word","produces","vehicles","autobus","bus","bus",,"bus"
"item_56",,"word","produces","vehicles","avion","airplane","plane",,"airplane"
"item_57",,"word","produces","vehicles","bateau",,"boat",,
"item_58",,"word","produces","vehicles","bicyclette","bicycle","bicycle",,"bicycle"
"item_59",,"word","produces","vehicles","camion","truck","truck",,"truck"
"item_60",,"word","produces","vehicles","camion de pompier","firetruck","fire truck",,"firetruck"
"item_61",,"word","produces","vehicles","hélicoptère","helicopter","helicopter",,
"item_62",,"word","produces","vehicles","moto","motorcycle","motorbike",,"motorcycle"
"item_63",,"word","produces","vehicles","poussette","stroller","stroller",,
"item_64",,"word","produces","vehicles","tracteur","tractor","tractor",,
"item_65",,"word","produces","vehicles","train","train","train",,"train"
"item_66",,"word","produces","vehicles","traîneau",,"sled",,
"item_67",,"word","produces","vehicles","tricycle",,"tricycle",,
"item_68",,"word","produces","toys","balle","ball","ball",,"ball"
"item_69",,"word","produces","toys","ballon","ball","ball",,"ball"
"item_70",,"word","produces","toys","bâton",,"stick",,
"item_71",,"word","produces","toys","bloc","block","block",,"block"
"item_72",,"word","produces","toys","bulles","bubbles","bubbles",,"bubbles"
"item_73",,"word","produces","toys","cadeau",,"gift",,
"item_74",,"word","produces","toys","casse-tête",,"brain teaser",,
"item_75",,"word","produces","toys","colle",,"glue",,
"item_76",,"word","produces","toys","craie",,"chalk",,
"item_77",,"word","produces","toys","crayon","pen/pencil","pencil",,
"item_78",,"word","produces","toys","crayon de couleur",,"colored pencil",,
"item_79",,"word","produces","toys","histoire",,"history",,
"item_80",,"word","produces","toys","jeu",,"game",,
"item_81",,"word","produces","toys","jouet","toy (object)","toy",,"toy (object)"
"item_82",,"word","produces","toys","lego",,"lego",,
"item_83",,"word","produces","toys","livre","book","book",,"book"
"item_84",,"word","produces","toys","pâte à modeler",,"plasticine",,
"item_85",,"word","produces","toys","poupée","doll","doll",,"doll"
"item_86",,"word","produces","toys","stylo","pen/pencil","pen",,
"item_87",,"word","produces","toys","toutou","teddybear","doggie",,"teddybear"
"item_88",,"word","produces","food_drink","banane","banana","banana",,"banana"
"item_89",,"word","produces","food_drink","beigne",,"donut",,
"item_90",,"word","produces","food_drink","beurre","butter","butter",,"butter"
"item_91",,"word","produces","food_drink","beurre de pinotte/d'arachide",,"pinotte butter / peanut",,
"item_92",,"word","produces","food_drink","biscuit","cookie","biscuit",,"cookie"
"item_93",,"word","produces","food_drink","biscuit soda","cracker","soda biscuit",,"cracker"
"item_94",,"word","produces","food_drink","blé d'inde",,"Corn",,
"item_95",,"word","produces","food_drink","bonbon","candy","candy",,"candy"
"item_96",,"word","produces","food_drink","café","coffee","coffee",,"coffee"
"item_97",,"word","produces","food_drink","carotte","carrots","carrot",,"carrots"
"item_98",,"word","produces","food_drink","céréales","cereal","cereals",,"cereal"
"item_99",,"word","produces","food_drink","cheerios","cheerios","cheerios",,"cheerios"
"item_100",,"word","produces","food_drink","chips",,"chips",,
"item_101",,"word","produces","food_drink","chocolat",,"chocolate",,
"item_102",,"word","produces","food_drink","citrouille",,"pumpkin",,
"item_103",,"word","produces","food_drink","coke",,"coke",,
"item_104",,"word","produces","food_drink","compote de pommes",,"applesauce",,
"item_105",,"word","produces","food_drink","confiture",,"jam",,
"item_106",,"word","produces","food_drink","cornichon",,"pickle",,
"item_107",,"word","produces","food_drink","crème glacée","ice cream","ice cream",,"ice cream"
"item_108",,"word","produces","food_drink","crêpe",,"crepe",,
"item_109",,"word","produces","food_drink","eau (beverage)","water (beverage)","water",,"water (beverage)"
"item_110",,"word","produces","food_drink","fraise",,"strawberry",,
"item_111",,"word","produces","food_drink","fromage","cheese","cheese",,"cheese"
"item_112",,"word","produces","food_drink","gâteau","cake","Cake",,"cake"
"item_113",,"word","produces","food_drink","glace",,"ice",,
"item_114",,"word","produces","food_drink","gomme",,"gum",,
"item_115",,"word","produces","food_drink","hamburger",,"Hamburger",,
"item_116",,"word","produces","food_drink","haricot",,"bean",,
"item_117",,"word","produces","food_drink","jello",,"jello",,
"item_118",,"word","produces","food_drink","jus","juice","juice",,"juice"
"item_119",,"word","produces","food_drink","lait","milk","milk",,"milk"
"item_120",,"word","produces","food_drink","melon",,"melon",,
"item_121",,"word","produces","food_drink","muffin",,"muffin",,
"item_122",,"word","produces","food_drink","noix",,"nuts",,
"item_123",,"word","produces","food_drink","nouilles/pâtes","pasta","noodles / pasta",,"pasta"
"item_124",,"word","produces","food_drink","nourriture","food","food",,"food"
"item_125",,"word","produces","food_drink","oeuf","egg","egg",,"egg"
"item_126",,"word","produces","food_drink","orange","orange (food)","orange",,"orange (food)"
"item_127",,"word","produces","food_drink","pain","bread","bread",,"bread"
"item_128",,"word","produces","food_drink","patate",,"potato",,
"item_129",,"word","produces","food_drink","patate frite",,"fried potato",,
"item_130",,"word","produces","food_drink","pizza","pizza","Pizza",,"pizza"
"item_131",,"word","produces","food_drink","pois","peas","peas",,"peas"
"item_132",,"word","produces","food_drink","poisson (food)","fish (food)","fish",,"fish (food)"
"item_133",,"word","produces","food_drink","pomme","apple","apple",,"apple"
"item_134",,"word","produces","food_drink","popcorn",,"pop corn",,
"item_135",,"word","produces","food_drink","popsicle",,"popsicle",,
"item_136",,"word","produces","food_drink","pouding",,"pudding",,
"item_137",,"word","produces","food_drink","poulet (food)","chicken (food)","chicken",,
"item_138",,"word","produces","food_drink","raisin","grapes","grapes",,"grapes"
"item_139",,"word","produces","food_drink","raisin sec","raisin","raisin",,"raisin"
"item_140",,"word","produces","food_drink","sandwich",,"sandwich",,
"item_141",,"word","produces","food_drink","sauce",,"sauce",,
"item_142",,"word","produces","food_drink","sel",,"salt",,
"item_143",,"word","produces","food_drink","soupe",,"soup",,
"item_144",,"word","produces","food_drink","spaghetti","pasta","spaghetti",,"pasta"
"item_145",,"word","produces","food_drink","suçon",,"lollipop",,
"item_146",,"word","produces","food_drink","thon",,"tuna",,
"item_147",,"word","produces","food_drink","toast","toast","toast",,
"item_148",,"word","produces","food_drink","vanille",,"vanilla",,
"item_149",,"word","produces","food_drink","viande","meat","meat",,"meat"
"item_150",,"word","produces","food_drink","vitamine",,"vitamin",,
"item_151",,"word","produces","food_drink","yogourt",,"yogurt",,
"item_152",,"word","produces","clothing","bas","sock","low",,"sock"
"item_153",,"word","produces","clothing","bavette","bib","bib",,"bib"
"item_154",,"word","produces","clothing","bottes","boots","boots",,"boots"
"item_155",,"word","produces","clothing","bouton","button","button",,"button"
"item_156",,"word","produces","clothing","ceinture",,"belt",,
"item_157",,"word","produces","clothing","chandail","sweater","sweater",,"sweater"
"item_158",,"word","produces","clothing","chapeau","hat","hat",,"hat"
"item_159",,"word","produces","clothing","chemise","shirt","shirt",,"shirt"
"item_160",,"word","produces","clothing","collants","tights","tights",,
"item_161",,"word","produces","clothing","collier","necklace","necklace",,"necklace"
"item_162",,"word","produces","clothing","couche","diaper","layer",,"diaper"
"item_163",,"word","produces","clothing","espadrille",,"sandal",,
"item_164",,"word","produces","clothing","foulard",,"scarf",,
"item_165",,"word","produces","clothing","gants",,"gloves",,
"item_166",,"word","produces","clothing","habit de neige",,"snowsuit",,
"item_167",,"word","produces","clothing","jeans","jeans","jeans",,"jeans"
"item_168",,"word","produces","clothing","manteau","coat","coat",,"coat"
"item_169",,"word","produces","clothing","mitaine",,"mitt",,
"item_170",,"word","produces","clothing","pantalons","pants","pants",,
"item_171",,"word","produces","clothing","pantoufle",,"slipper",,
"item_172",,"word","produces","clothing","perles/boules",,"beads / balls",,
"item_173",,"word","produces","clothing","petite culotte","underpants","panties",,
"item_174",,"word","produces","clothing","pyjama","pajamas","pajamas",,"pajamas"
"item_175",,"word","produces","clothing","robe","dress (object)","dress",,"dress (object)"
"item_176",,"word","produces","clothing","shorts",,"shorts",,
"item_177",,"word","produces","clothing","soulier","shoe","shoe",,"shoe"
"item_178",,"word","produces","clothing","zip/fermeture éclair","zipper","zip / zipper",,
"item_179",,"word","produces","body_parts","bedaine/ventre","tummy","belly / belly",,"tummy"
"item_180",,"word","produces","body_parts","bobo","owie","hurts",,"owie"
"item_181",,"word","produces","body_parts","bouche","mouth","mouth",,"mouth"
"item_182",,"word","produces","body_parts","bras","arm","arms",,"arm"
"item_183",,"word","produces","body_parts","cheveux","hair","hair",,"hair"
"item_184",,"word","produces","body_parts","dent","tooth","tooth",,"tooth"
"item_185",,"word","produces","body_parts","doigt","finger","finger",,"finger"
"item_186",,"word","produces","body_parts","épaule",,"shoulder",,
"item_187",,"word","produces","body_parts","fesses",,"buttocks",,
"item_188",,"word","produces","body_parts","genou","knee","knee",,"knee"
"item_189",,"word","produces","body_parts","jambe","leg","leg",,"leg"
"item_190",,"word","produces","body_parts","joue","cheek","cheek",,"cheek"
"item_191",,"word","produces","body_parts","langue","tongue","tongue",,"tongue"
"item_192",,"word","produces","body_parts","lèvres",,"lips",,
"item_193",,"word","produces","body_parts","main","hand","hand",,"hand"
"item_194",,"word","produces","body_parts","menton",,"chin",,
"item_195",,"word","produces","body_parts","moustache","mustache","mustache",,"mustache"
"item_196",,"word","produces","body_parts","nez","nose","nose",,"nose"
"item_197",,"word","produces","body_parts","nombril","belly button","belly button",,"belly button"
"item_198",,"word","produces","body_parts","oreille","ear","hear",,"ear"
"item_199",,"word","produces","body_parts","orteil","toe","toe",,"toe"
"item_200",,"word","produces","body_parts","pénis","penis","penis",,
"item_201",,"word","produces","body_parts","pied","foot","foot",,"foot"
"item_202",,"word","produces","body_parts","tête","head","head",,"head"
"item_203",,"word","produces","body_parts","vagin vulve","vagina","vagina",,
"item_204",,"word","produces","body_parts","visage","face","face",,"face"
"item_205",,"word","produces","body_parts","yeux","eye","eyes",,"eye"
"item_206",,"word","produces","household","argent",,"money",,
"item_207",,"word","produces","household","aspirateur","vacuum","vacuum",,"vacuum"
"item_208",,"word","produces","household","assiette","plate","plate",,"plate"
"item_209",,"word","produces","household","balai","broom","broom",,"broom"
"item_210",,"word","produces","household","boîte","box","box",,"box"
"item_211",,"word","produces","household","bol","bowl","bowl",,"bowl"
"item_212",,"word","produces","household","bouteille","bottle","bottle",,"bottle"
"item_213",,"word","produces","household","brosse","brush (object)","brush",,"brush (object)"
"item_214",,"word","produces","household","brosse à dents","toothbrush","toothbrush",,
"item_215",,"word","produces","household","caméra",,"camera",,
"item_216",,"word","produces","household","ciseaux","scissors","scissors",,"scissors"
"item_217",,"word","produces","household","clés","keys","keys",,"keys"
"item_218",,"word","produces","household","clou","nail","nail",,
"item_219",,"word","produces","household","couteau",,"knife",,
"item_220",,"word","produces","household","couverte/couverture","blanket","blanket",,"blanket"
"item_221",,"word","produces","household","cuillère","spoon","spoon",,"spoon"
"item_222",,"word","produces","household","fourchette","fork","fork",,"fork"
"item_223",,"word","produces","household","horloge","clock","clock",,"clock"
"item_224",,"word","produces","household","image","picture","picture",,"picture"
"item_225",,"word","produces","household","lampe","lamp","lamp",,"lamp"
"item_226",,"word","produces","household","lumière","light","light",,"light"
"item_227",,"word","produces","household","lunettes","glasses","glasses",,"glasses"
"item_228",,"word","produces","household","marteau","hammer","hammer",,"hammer"
"item_229",,"word","produces","household","médicament","medicine","drug",,"medicine"
"item_230",,"word","produces","household","montre","watch (object)","watch",,"watch (object)"
"item_231",,"word","produces","household","mouchoir/kleenex",,"handkerchief / Kleenex",,
"item_232",,"word","produces","household","oreiller","pillow","pillow",,"pillow"
"item_233",,"word","produces","household","panier",,"basket",,
"item_234",,"word","produces","household","papier","paper","paper",,"paper"
"item_235",,"word","produces","household","peigne","comb (object)","comb",,"comb (object)"
"item_236",,"word","produces","household","photo","photos","Photo",,"photos"
"item_237",,"word","produces","household","plante","plant","plant",,"plant"
"item_238",,"word","produces","household","plat","dish","dish",,"dish"
"item_239",,"word","produces","household","pot",,"pot",,
"item_240",,"word","produces","household","poubelle",,"trash can",,
"item_241",,"word","produces","household","radio","radio","radio",,"radio"
"item_242",,"word","produces","household","ruban",,"ribbon",,
"item_243",,"word","produces","household","sacoche/sac à main","purse","bag / purse",,"purse"
"item_244",,"word","produces","household","savon","soap","soap",,"soap"
"item_245",,"word","produces","household","seau",,"bucket",,
"item_246",,"word","produces","household","serviette","towel","towel",,"towel"
"item_247",,"word","produces","household","serviette de table",,"table napkin",,
"item_248",,"word","produces","household","sou",,"Sun",,
"item_249",,"word","produces","household","tasse","cup","Cup",,"cup"
"item_250",,"word","produces","household","téléphone","telephone","phone",,"telephone"
"item_251",,"word","produces","household","verre","glass","glass",,"glass"
"item_252",,"word","produces","household","vidanges","trash","sewage",,"trash"
"item_253",,"word","produces","furniture_rooms","bain (object)","bathtub","bath",,"bathtub"
"item_254",,"word","produces","furniture_rooms","banc",,"bench",,
"item_255",,"word","produces","furniture_rooms","bassinette/berceau","crib","bassinet / cradle",,"crib"
"item_256",,"word","produces","furniture_rooms","chaise","chair","chair",,"chair"
"item_257",,"word","produces","furniture_rooms","chaise berçante","rocking chair","rocking chair",,"rocking chair"
"item_258",,"word","produces","furniture_rooms","chaise haute","high chair","high chair",,"high chair"
"item_259",,"word","produces","furniture_rooms","chambre","bedroom","bedroom",,"bedroom"
"item_260",,"word","produces","furniture_rooms","cuisine","kitchen","kitchen room",,"kitchen"
"item_261",,"word","produces","furniture_rooms","divan/sofa","couch","couch / sofa",,
"item_262",,"word","produces","furniture_rooms","douche",,"shower",,
"item_263",,"word","produces","furniture_rooms","entrée",,"Entrance",,
"item_264",,"word","produces","furniture_rooms","escalier","stairs","staircase",,"stairs"
"item_265",,"word","produces","furniture_rooms","évier/lavabo","sink","sink / sink",,"sink"
"item_266",,"word","produces","furniture_rooms","fenêtre","window","window",,"window"
"item_267",,"word","produces","furniture_rooms","four","oven","oven",,"oven"
"item_268",,"word","produces","furniture_rooms","foyer",,"home",,
"item_269",,"word","produces","furniture_rooms","frigidaire/frigo","refrigerator","fridge / refrigerator",,"refrigerator"
"item_270",,"word","produces","furniture_rooms","garage","garage","garage",,"garage"
"item_271",,"word","produces","furniture_rooms","garde-robe",,"wardrobe",,
"item_272",,"word","produces","furniture_rooms","laveuse",,"washer",,
"item_273",,"word","produces","furniture_rooms","lit","bed","bed",,"bed"
"item_274",,"word","produces","furniture_rooms","marche",,"market",,
"item_275",,"word","produces","furniture_rooms","parc (d'enfant)","play pen","Park (for children)",,
"item_276",,"word","produces","furniture_rooms","pièce",,"piece",,
"item_277",,"word","produces","furniture_rooms","poêle","stove","stove",,"stove"
"item_278",,"word","produces","furniture_rooms","porte","door","door",,"door"
"item_279",,"word","produces","furniture_rooms","pot","potty","pot",,"potty"
"item_280",,"word","produces","furniture_rooms","salle de bain/toilette","bathroom","bathroom / toilet",,"bathroom"
"item_281",,"word","produces","furniture_rooms","salon","living room","living room",,"living room"
"item_282",,"word","produces","furniture_rooms","sécheuse",,"dryer",,
"item_283",,"word","produces","furniture_rooms","sous-sol",,"subsoil",,
"item_284",,"word","produces","furniture_rooms","table","table","table",,"table"
"item_285",,"word","produces","furniture_rooms","télévision","tv","television",,"tv"
"item_286",,"word","produces","furniture_rooms","tiroir","drawer","drawer",,"drawer"
"item_287",,"word","produces","outside","arbre","tree","tree",,"tree"
"item_288",,"word","produces","outside","arrosoir",,"watering can",,
"item_289",,"word","produces","outside","balançoire","swing (object)","swing",,"swing (object)"
"item_290",,"word","produces","outside","bâton",,"stick",,
"item_291",,"word","produces","outside","bonhomme de neige",,"snowman",,
"item_292",,"word","produces","outside","ciel","sky","sky",,"sky"
"item_293",,"word","produces","outside","cour","yard","court",,"yard"
"item_294",,"word","produces","outside","drapeau",,"flag",,
"item_295",,"word","produces","outside","eau (not beverage)","water (not beverage)","water",,"water (not beverage)"
"item_296",,"word","produces","outside","échelle",,"ladder",,
"item_297",,"word","produces","outside","étoile","star","star",,"star"
"item_298",,"word","produces","outside","fleur","flower","flower",,"flower"
"item_299",,"word","produces","outside","gazon",,"grass",,
"item_300",,"word","produces","outside","glissoire","slide (object)","slide",,"slide (object)"
"item_301",,"word","produces","outside","jardin",,"garden",,
"item_302",,"word","produces","outside","lune","moon","Moon",,"moon"
"item_303",,"word","produces","outside","neige","snow","snow",,"snow"
"item_304",,"word","produces","outside","nuage",,"cloud",,
"item_305",,"word","produces","outside","pelle","shovel","shovel",,"shovel"
"item_306",,"word","produces","outside","pierre",,"rock",,
"item_307",,"word","produces","outside","piscine","pool","swimming pool",,"pool"
"item_308",,"word","produces","outside","pluie","rain","rain",,"rain"
"item_309",,"word","produces","outside","roche","rock (object)","rock",,"rock (object)"
"item_310",,"word","produces","outside","roue",,"wheel",,
"item_311",,"word","produces","outside","rue",,"street",,
"item_312",,"word","produces","outside","sable",,"sand",,
"item_313",,"word","produces","outside","soleil","sun","Sun",,"sun"
"item_314",,"word","produces","outside","toit",,"roof",,
"item_315",,"word","produces","outside","tondeuse","lawn mower","mower",,
"item_316",,"word","produces","outside","trottoir",,"pavement",,
"item_317",,"word","produces","outside","tuyau/boyau",,"pipe / hose",,
"item_318",,"word","produces","outside","vent",,"wind",,
"item_319",,"word","produces","outside","véranda/balcon",,"verandah / balcony",,
"item_320",,"word","produces","places","campagne",,"campaign",,
"item_321",,"word","produces","places","camping",,"camping",,
"item_322",,"word","produces","places","chez nous",,"home",,
"item_323",,"word","produces","places","cirque",,"circus",,
"item_324",,"word","produces","places","dehors",,"outside",,
"item_325",,"word","produces","places","école",,"school",,
"item_326",,"word","produces","places","église",,"church",,
"item_327",,"word","produces","places","ferme",,"closed",,
"item_328",,"word","produces","places","fête",,"Party",,
"item_329",,"word","produces","places","forêt",,"forest",,
"item_330",,"word","produces","places","garage (essence)",,"Garage (petrol)",,
"item_331",,"word","produces","places","magasin",,"shop",,
"item_332",,"word","produces","places","maison",,"House",,
"item_333",,"word","produces","places","parc",,"Park",,
"item_334",,"word","produces","places","pique-nique",,"picnic",,
"item_335",,"word","produces","places","plage",,"beach",,
"item_336",,"word","produces","places","terrain de jeu",,"playing field",,
"item_337",,"word","produces","places","travail/bureau",,"work / office",,
"item_338",,"word","produces","places","zoo",,"zoo",,
"item_339",,"word","produces","people","ami",,"friend",,
"item_340",,"word","produces","people","bébé","baby","baby",,"baby"
"item_341",,"word","produces","people","bonhomme","snowman","fellow",,"snowman"
"item_342",,"word","produces","people","clown",,"clown",,
"item_343",,"word","produces","people","cowboy",,"cowboy",,
"item_344",,"word","produces","people","docteur",,"doctor",,
"item_345",,"word","produces","people","enfant","child","child",,"child"
"item_346",,"word","produces","people","facteur",,"postman",,
"item_347",,"word","produces","people","fille","girl","girl",,"girl"
"item_348",,"word","produces","people","frère","brother","brother",,"brother"
"item_349",,"word","produces","people","garçon","boy","boy",,"boy"
"item_350",,"word","produces","people","gardienne","babysitter","guardian",,"babysitter"
"item_351",,"word","produces","people","gens/monde","people","people / world",,"people"
"item_352",,"word","produces","people","grand-maman","grandma","grandma",,"grandma"
"item_353",,"word","produces","people","grand-papa","grandpa","Grandpa",,"grandpa"
"item_354",,"word","produces","people","madame","lady","Mrs",,
"item_355",,"word","produces","people","maman","mommy","mom",,"mommy"
"item_356",,"word","produces","people","monsieur","man","gentleman",,"man"
"item_357",,"word","produces","people","nom animal domestique",,"pet name",,
"item_358",,"word","produces","people","nom gardien(ne)","babysitter's name","guardian name",,
"item_359",,"word","produces","people","oncle/mononcle","uncle","uncle / my uncle",,"uncle"
"item_360",,"word","produces","people","papa","daddy","dad",,"daddy"
"item_361",,"word","produces","people","personne",,"no one",,
"item_362",,"word","produces","people","police","police","police",,
"item_363",,"word","produces","people","pompier","firefighter","firefighter",,
"item_364",,"word","produces","people","professeur(e)",,"Professor",,
"item_365",,"word","produces","people","sœur","sister","sister",,
"item_366",,"word","produces","people","son propre nom","child's own name","his/her own name",,"child's own name"
"item_367",,"word","produces","people","tante/matante","aunt","aunt / aunt",,"aunt"
"item_368",,"word","produces","games_routines","aller au magasin",,"go to the store",,
"item_369",,"word","produces","games_routines","allô","hello","Hello",,
"item_370",,"word","produces","games_routines","bain (routine)","bath","Bath",,"bath"
"item_371",,"word","produces","games_routines","bonjour","hi","Hello",,"hi"
"item_372",,"word","produces","games_routines","bonne nuit","good night","good night",,"good night"
"item_373",,"word","produces","games_routines","bravo","bravo","Bravo",,"bravo"
"item_374",,"word","produces","games_routines","bye/au revoir","bye","bye / bye",,"bye"
"item_375",,"word","produces","games_routines","chut","shh","hush",,"shh"
"item_376",,"word","produces","games_routines","collation",,"sorting",,
"item_377",,"word","produces","games_routines","coucou","peekaboo","Hello",,"peekaboo"
"item_378",,"word","produces","games_routines","déjeuner","breakfast","lunch",,"breakfast"
"item_379",,"word","produces","games_routines","dîner","lunch","having dinner",,"lunch"
"item_380",,"word","produces","games_routines","dodo","nap","nap",,"nap"
"item_381",,"word","produces","games_routines","donne moi/tape dedans",,"gives me / tape in",,
"item_382",,"word","produces","games_routines","faire caca/faire pipi","go potty","poop / pee",,
"item_383",,"word","produces","games_routines","faire le tour de la maison","go around the house","go around the house",,"go around the house"
"item_384",,"word","produces","games_routines","gros comme ça",,"this big",,
"item_385",,"word","produces","games_routines","je te tiens par la barbichette",,"I hold you by the goatee",,
"item_386",,"word","produces","games_routines","j'vais t'attraper",,"I'm gonna catch you",,
"item_387",,"word","produces","games_routines","menouche menouche",,"menouche menouche",,
"item_388",,"word","produces","games_routines","merci","thank you","thank you",,"thank you"
"item_389",,"word","produces","games_routines","non","no","no",,"no"
"item_390",,"word","produces","games_routines","okay","ok","okay",,
"item_391",,"word","produces","games_routines","oui","yes","Yes",,"yes"
"item_392",,"word","produces","games_routines","parler (au téléphone)",,"talk (on the phone)",,
"item_393",,"word","produces","games_routines","retourne-toi",,"turn around",,
"item_394",,"word","produces","games_routines","s'il-vous-plaît","please","please",,
"item_395",,"word","produces","games_routines","souper","dinner","supper",,"dinner"
"item_396",,"word","produces","games_routines","tape tape","pattycake","tape tape",,"pattycake"
"item_397",,"word","produces","action_words","acheter",,"buy",,
"item_398",,"word","produces","action_words","aider","help","help",,"help"
"item_399",,"word","produces","action_words","aimer","love","like",,"love"
"item_400",,"word","produces","action_words","aller","go","go",,"go"
"item_401",,"word","produces","action_words","allumer","turn on","light up",,"turn on"
"item_402",,"word","produces","action_words","amener","bring","lead",,"bring"
"item_403",,"word","produces","action_words","applaudir",,"applaud",,
"item_404",,"word","produces","action_words","apporter","bring","to bring",,"bring"
"item_405",,"word","produces","action_words","arrêter","stop","Stop",,"stop"
"item_406",,"word","produces","action_words","arroser","splash","water",,"splash"
"item_407",,"word","produces","action_words","asseoir","sit","seat",,"sit"
"item_408",,"word","produces","action_words","attacher","attach","to attach",,"attach"
"item_409",,"word","produces","action_words","attendre","wait","expect",,"wait"
"item_410",,"word","produces","action_words","attraper","catch","to catch",,"catch"
"item_411",,"word","produces","action_words","avoir","have","to have",,"have"
"item_412",,"word","produces","action_words","balancer","swing (action)","swing",,"swing (action)"
"item_413",,"word","produces","action_words","balayer","sweep","sweep",,"sweep"
"item_414",,"word","produces","action_words","bercer","rock (action)","rock",,"rock (action)"
"item_415",,"word","produces","action_words","boire","drink (action)","to drink",,"drink (action)"
"item_416",,"word","produces","action_words","brasser","stir","brew",,"stir"
"item_417",,"word","produces","action_words","briser/casser","break","break / break",,"break"
"item_418",,"word","produces","action_words","brosser","brush (action)","brush",,"brush (action)"
"item_419",,"word","produces","action_words","cacher","hide","hide",,"hide"
"item_420",,"word","produces","action_words","chanter","sing","sing",,"sing"
"item_421",,"word","produces","action_words","chatouiller","tickle","tickle",,"tickle"
"item_422",,"word","produces","action_words","chercher","look for","look for",,"look for"
"item_423",,"word","produces","action_words","choisir","choose","to choose",,"choose"
"item_424",,"word","produces","action_words","cogner (à)","bang","knock (at)",,"bang"
"item_425",,"word","produces","action_words","coller",,"paste",,
"item_426",,"word","produces","action_words","conduire",,"drive",,
"item_427",,"word","produces","action_words","construire/bâtir",,"construct / build",,
"item_428",,"word","produces","action_words","couper","cut","cut",,"cut"
"item_429",,"word","produces","action_words","courir","run","run",,"run"
"item_430",,"word","produces","action_words","couvrir",,"cover",,
