definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Çizme,,boots,clothing,Cizme,word,produces,,item_162
Çorap,,socks,clothing,Corap,word,produces,,item_163
Don/Külot,,underpants,clothing,Don/Kulot,word,produces,,item_164
Elbise,,dress,clothing,Elbise,word,produces,,item_165
Eldiven,,gloves,clothing,Eldiven,word,produces,,item_166
Eşofman,,tracksuit,clothing,Esofman,word,produces,,item_167
Etek,,skirt,clothing,Etek,word,produces,,item_168
Fanila/Atlet,,undershirt,clothing,Fanila/Atlet,word,produces,,item_169
Gecelik,,night gown,clothing,Gecelik,word,produces,,item_170
Gözlük,,eyeglasses,clothing,Gozluk,word,produces,,item_171
Kazak,,sweater,clothing,Kazak,word,produces,,item_172
Kemer,,belt,clothing,Kemer,word,produces,,item_173
Küpe,,earring,clothing,Kupe,word,produces,,item_174
Mont,,jacket,clothing,Mont,word,produces,,item_175
Önlük,,bib,clothing,Onluk,word,produces,,item_176
Palto,,coat,clothing,Palto,word,produces,,item_177
Pantolon,,pants,clothing,Pantolon,word,produces,,item_178
Pijama,,pyjamas,clothing,Pijama,word,produces,,item_179
Şapka,,hat,clothing,Sapka,word,produces,,item_180
Şort,,shorts,clothing,Sort,word,produces,,item_181
Taç,,headband,clothing,Tac,word,produces,,item_182
Tayt,,tights,clothing,Tayt,word,produces,,item_183
Terlik,,slipper,clothing,Terlik,word,produces,,item_184
Tişört,,t-shirt,clothing,Tisort,word,produces,,item_185
Toka,,hairpin,clothing,Toka,word,produces,,item_186
Ağız,,mouth,body_parts,Agiz,word,produces,,item_187
Ayak,,foot,body_parts,Ayak,word,produces,,item_188
Bacak,,leg,body_parts,Bacak,word,produces,,item_189
Baş/Kafa,,head,body_parts,Bas/Kafa,word,produces,,item_190
Bıyık,,mustache,body_parts,Biyik,word,produces,,item_191
Boğaz,,throat,body_parts,Bogaz,word,produces,,item_192
Boyun,,neck,body_parts,Boyun,word,produces,,item_193
Burun,,nose,body_parts,Burun,word,produces,,item_194
Çene,,chin,body_parts,Cene,word,produces,,item_195
Dil,,tongue,body_parts,Dil,word,produces,,item_196
Diş,,tooth,body_parts,Dis,word,produces,,item_197
Diz,,knee,body_parts,Diz,word,produces,,item_198
El,,hand,body_parts,El,word,produces,,item_199
Göbek,,belly,body_parts,Gobek,word,produces,,item_200
Göz,,eye,body_parts,Goz,word,produces,,item_201
Kalp,,heart,body_parts,Kalp,word,produces,,item_202
Karın,,tummy,body_parts,Karin,word,produces,,item_203
Kirpik,,eyelash,body_parts,Kirpik,word,produces,,item_204
Kol,,arm,body_parts,Kol,word,produces,,item_205
Kulak,,ear,body_parts,Kulak,word,produces,,item_206
Parmak,,finger,body_parts,Parmak,word,produces,,item_207
Popo,,buttocks,body_parts,Popo,word,produces,,item_208
Saç,,hair,body_parts,Sac,word,produces,,item_209
Tırnak,,fingernail,body_parts,Tirnak,word,produces,,item_210
Vücut,,body,body_parts,Vucut,word,produces,,item_211
Yanak,,cheek,body_parts,Yanak,word,produces,,item_212
Yüz/Surat,,face,body_parts,Yuz/Surat,word,produces,,item_213
Anahtar,,key,household,Anahtar,word,produces,,item_214
Ayna,,mirror,household,Ayna,word,produces,,item_215
Bant (plaster),,bandaid,household,Bant_(plaster),word,produces,,item_216
Bardak,,glass,household,Bardak,word,produces,,item_217
Battaniye,,blanket,household,Battaniye,word,produces,,item_218
Bıçak,,knife,household,Bicak,word,produces,,item_219
Biberon,,baby bottle,household,Biberon,word,produces,,item_220
Çanta,,purse/bag,household,Canta,word,produces,,item_221
Çatal,,fork,household,Catal,word,produces,,item_222
Çaydanlık,,teapot,household,Caydanlik,word,produces,,item_223
Çekiç,,hammer,household,Cekic,word,produces,,item_224
Çöp,,trash,household,Cop,word,produces,,item_225
Emzik,,pacifier,household,Emzik,word,produces,,item_226
Havlu,,towel,household,Havlu,word,produces,,item_227
İlaç,,medicine,household,Ilac,word,produces,,item_228
Kağıt,,paper,household,Kagit,word,produces,,item_229
Kaşık,,spoon,household,Kasik,word,produces,,item_230
