itemID,item,type,category,choices,uni_lemma,definition,gloss,complexity_category
item_192,a05_14,word,clothing,produces,,,trousers,
item_193,a05_15,word,clothing,produces,,,shorts,
item_194,a05_16,word,clothing,produces,,,dress,
item_195,a05_17,word,clothing,produces,,,helmet,
item_196,a05_18,word,clothing,produces,,,briefs,
item_197,a05_19,word,clothing,produces,,,mask,
item_198,a05_20,word,clothing,produces,,,raincoat,
item_199,a05_21,word,clothing,produces,,,sandals,
item_200,a05_22,word,clothing,produces,,,sneakers,
item_201,a05_23,word,clothing,produces,,,necklace,
item_202,a05_24,word,clothing,produces,,,scarf,
item_203,a05_25,word,clothing,produces,,,swimsuit,
item_204,a05_26,word,clothing,produces,,,bead,
item_205,a05_27,word,clothing,produces,,,belt,
item_206,a05_28,word,clothing,produces,,,leather shoes,
item_207,a05_29,word,clothing,produces,,,sweater,
item_208,a05_30,word,clothing,produces,,,pajamas,
item_209,a06_01,word,toys,produces,,,ball,
item_210,a06_02,word,toys,produces,,,balloon,
item_211,a06_03,word,toys,produces,,,pen,
item_212,a06_04,word,toys,produces,,,book,
item_213,a06_05,word,toys,produces,,,doll,
item_214,a06_06,word,toys,produces,,,toy,
item_215,a06_07,word,toys,produces,,,bubbles,
item_216,a06_08,word,toys,produces,,,stickers,
item_217,a06_09,word,toys,produces,,,block,
item_218,a06_10,word,toys,produces,,,pencil,
item_219,a06_11,word,toys,produces,,,crayon,
item_220,a06_12,word,toys,produces,,,jigsaw puzzle,
item_221,a06_13,word,toys,produces,,,present,
item_222,a06_14,word,toys,produces,,,robot,
item_223,a06_15,word,toys,produces,,,crayon,
item_224,a06_16,word,toys,produces,,,drum,
item_225,a06_17,word,toys,produces,,,clay,
item_226,a06_18,word,toys,produces,,,glue,
item_227,a06_19,word,toys,produces,,,handgun,
item_228,a06_20,word,toys,produces,,,bat,
item_229,a07_01,word,household,produces,,,telephone,
item_230,a07_02,word,household,produces,,,cup,
item_231,a07_03,word,household,produces,,,toothbrush,
item_232,a07_04,word,household,produces,,,television,
item_233,a07_05,word,household,produces,,,spoon,
item_234,a07_06,word,household,produces,,,key,
item_235,a07_07,word,household,produces,,,blanket,
item_236,a07_08,word,household,produces,,,medicine,
item_237,a07_09,word,household,produces,,,bowl,
item_238,a07_10,word,household,produces,,,straw,
item_239,a07_11,word,household,produces,,,money,
item_240,a07_12,word,household,produces,,,pillow,
item_241,a07_13,word,household,produces,,,glasses,
item_242,a07_14,word,household,produces,,,trash can,
item_243,a07_15,word,household,produces,,,chopsticks,
item_244,a07_16,word,household,produces,,,garbage,
item_245,a07_17,word,household,produces,,,towel,
item_246,a07_18,word,household,produces,,,mirror,
item_247,a07_19,word,household,produces,,,comb,
item_248,a07_20,word,household,produces,,,broom,
item_249,a07_21,word,household,produces,,,soap,
item_250,a07_22,word,household,produces,,,paper,
item_251,a07_23,word,household,produces,,,plate,
item_252,a07_24,word,household,produces,,,clock,
item_253,a07_25,word,household,produces,,,bottle,
item_254,a07_26,word,household,produces,,,radio,
item_255,a07_27,word,household,produces,,,pot,
item_256,a07_28,word,household,produces,,,box,
item_257,a07_29,word,household,produces,,,electric pot,
item_258,a07_30,word,household,produces,,,penny,
item_259,a07_31,word,household,produces,,,purse,
item_260,a07_32,word,household,produces,,,picture,
item_261,a07_33,word,household,produces,,,cell-phone,
item_262,a07_34,word,household,produces,,,lamp,
item_263,a07_35,word,household,produces,,,tissue paper,
item_264,a07_36,word,household,produces,,,refrigerator,
item_265,a07_37,word,household,produces,,,toothpaste,
item_266,a07_38,word,household,produces,,,dryer,
item_267,a07_39,word,household,produces,,,scissors,
item_268,a07_40,word,household,produces,,,air conditioning,
