itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_293,EGG,word,food_drink,produces,EGG,NA,egg,egg
item_294,FRENCH_FRIES,word,food_drink,produces,FRENCH FRIES,NA,french fries,french fries
item_295,GRAPES,word,food_drink,produces,GRAPES,NA,grapes,grapes
item_296,GREEN_BEANS,word,food_drink,produces,GREEN BEANS,NA,green beans,green beans
item_297,GUM,word,food_drink,produces,GUM,NA,gum,gum
item_298,HAMBURGER,word,food_drink,produces,HAMBURGER,NA,hamburger,hamburger
item_299,HOT_DOG,word,food_drink,produces,HOT DOG,NA,hot dog,hot dog
item_300,ICE,word,food_drink,produces,ICE,NA,ice,ice
item_301,ICE_CREAM,word,food_drink,produces,ICE CREAM,NA,ice cream,ice cream
item_302,JELLY,word,food_drink,produces,JELLY,NA,jelly,jelly
item_303,JUICE,word,food_drink,produces,JUICE,NA,juice,juice
item_304,LOLLIPOP,word,food_drink,produces,LOLLIPOP,NA,lollipop,lollipop
item_305,MEAT,word,food_drink,produces,MEAT,NA,meat,meat
item_306,MILK,word,food_drink,produces,MILK,NA,milk,milk
item_307,NUT,word,food_drink,produces,NUT,NA,nut,nut
item_308,ORANGE,word,food_drink,produces,ORANGE,NA,orange,orange (food)
item_308,ORANGE,word,food_drink,produces,ORANGE,NA,orange,orange (description)
item_308,ORANGE,word,food_drink,produces,ORANGE,NA,orange,orange (description)
item_309,PANCAKE,word,food_drink,produces,PANCAKE,NA,pancake,pancake
item_310,PEANUT_BUTTER,word,food_drink,produces,PEANUT BUTTER,NA,peanut butter,peanut butter
item_311,PIZZA,word,food_drink,produces,PIZZA,NA,pizza,pizza
item_312,POPSICLE,word,food_drink,produces,POPSICLE,NA,popsicle,popsicle
item_313,POTATO,word,food_drink,produces,POTATO,NA,potato,potato
item_314,POTATO_CHIPS,word,food_drink,produces,POTATO CHIPS,NA,potato chips,chips
item_315,PUMPKIN,word,food_drink,produces,PUMPKIN,NA,pumpkin,pumpkin
item_316,SALAD,word,food_drink,produces,SALAD,NA,salad,salad
item_317,SALT,word,food_drink,produces,SALT,NA,salt,salt
item_318,SANDWICH,word,food_drink,produces,SANDWICH,NA,sandwich,sandwich
item_319,SAUCE,word,food_drink,produces,SAUCE,NA,sauce,sauce
item_320,SODA_POP,word,food_drink,produces,SODA/POP,NA,soda/pop,soda
item_321,SOUP,word,food_drink,produces,SOUP,NA,soup,soup
item_322,SPAGHETTI,word,food_drink,produces,SPAGHETTI,NA,spaghetti,spaghetti
item_323,STRAWBERRY,word,food_drink,produces,STRAWBERRY,NA,strawberry,strawberry
item_324,SYRUP,word,food_drink,produces,SYRUP,NA,syrup,syrup
item_325,TEA,word,food_drink,produces,TEA,NA,tea,tea
item_326,TOAST,word,food_drink,produces,TOAST,NA,toast,toast
