field,column,group,type
Item_92,CLEAN,item,word
Item_93,CLIMB_LADDER,item,word
Item_94,CLOSE,item,word
Item_95,CLOTHES,item,word
Item_96,CLOUD_1,item,word
Item_97,CLOWN,item,word
Item_98,COFFEE,item,word
Item_99,COLD,item,word
Item_100,COMB,item,word
Item_101,COMPLAIN,item,word
Item_102,COOK,item,word
Item_103,COOKIE,item,word
Item_104,CORN_1,item,word
Item_105,COUNT,item,word
Item_106,COUNTRY,item,word
Item_107,COUSIN,item,word
Item_108,COW,item,word
Item_109,COWBOY,item,word
Item_110,CRACKER,item,word
Item_111,CRAZY,item,word
Item_112,CROCODILE,item,word
Item_113,CRY,item,word
Item_114,CUTE_1,item,word
Item_115,CUT_1,item,word
Item_116,DANCE,item,word
Item_117,DARK,item,word
Item_118,DAY,item,word
Item_119,DEAF_1,item,word
Item_120,DEER,item,word
Item_121,DELICIOUS,item,word
Item_122,DIAPER,item,word
Item_123,DIFFERENT,item,word
Item_124,DINING_ROOM,item,word
Item_125,DINNER,item,word
Item_126,DIRTY,item,word
Item_127,DISAPPOINT,item,word
Item_128,DOCTOR,item,word
Item_129,DOG,item,word
Item_130,DOLL,item,word
Item_131,DONT_CARE,item,word
Item_132,DONT_KNOW,item,word
Item_133,DONT_LIKE,item,word
Item_134,DONT_WANT,item,word
Item_135,DOOR,item,word
Item_136,DOWN,item,word
Item_137,DO_DO,item,word
Item_138,DRAW,item,word
Item_139,DRAWER,item,word
Item_140,DRESS,item,word
Item_141,DRINK,item,word
Item_142,DRIVE,item,word
Item_143,DROP,item,word
Item_144,DRY,item,word
Item_145,DUCK,item,word
Item_146,EACH,item,word
Item_147,EAR,item,word
Item_148,EARRING,item,word
Item_149,EAT_1,item,word
Item_150,EGG,item,word
Item_151,ELEPHANT,item,word
Item_152,EMPTY_1,item,word
Item_153,ENTER,item,word
Item_154,ESCAPE,item,word
Item_155,EYES,item,word
Item_156,EYES_AWAKE,item,word
Item_157,FACE,item,word
Item_158,FALL_2,item,word
Item_159,FARM,item,word
Item_160,FAST,item,word
Item_161,FATHER,item,word
Item_162,FAVORITE,item,word
Item_163,FEED,item,word
Item_164,FIND,item,word
Item_165,FINE_1,item,word
Item_166,FINGER,item,word
Item_167,FINISH,item,word
Item_168,FIREMAN,item,word
Item_169,FIRST,item,word
Item_170,FISH,item,word
Item_171,FIX,item,word
Item_172,FLAG,item,word
Item_173,FLOWER,item,word
Item_174,FOOTBALL,item,word
Item_175,FOR,item,word
Item_176,FOREST,item,word
Item_177,FORK,item,word
Item_178,FOX,item,word
Item_179,FRENCHFRIES,item,word
Item_180,FRIEND,item,word
Item_181,FROG,item,word
Item_182,FRONT,item,word
Item_183,FULL,item,word
Item_184,FUNNY,item,word
Item_185,GAME,item,word
Item_186,GARAGE,item,word
Item_187,GET,item,word
Item_188,GIFT,item,word
Item_189,GIRAFFE,item,word
Item_190,GIRL,item,word
Item_191,GIVE,item,word
Item_192,GLASS,item,word
Item_193,GLASSES,item,word
Item_194,GLOVES,item,word
Item_195,GO,item,word
Item_196,GOLF,item,word
Item_197,GONE,item,word
Item_198,GOOD,item,word
Item_199,GRANDFATHER,item,word
Item_200,GRANDMOTHER,item,word
Item_201,GRAPES,item,word
Item_202,GRASS,item,word
Item_203,GREEN,item,word
Item_204,GUM,item,word
Item_205,HAIR,item,word
Item_206,HAMBURGER,item,word
Item_207,HAMMER,item,word
Item_208,HANDS,item,word
Item_209,HAPPY,item,word
Item_210,HARD,item,word
Item_211,HAT,item,word
Item_212,HATE,item,word
Item_213,HAVE,item,word
Item_214,HE,item,word
Item_215,HEAD,item,word
Item_216,HEAR,item,word
Item_217,HEARING,item,word
Item_218,HEAVY,item,word
Item_219,HELICOPTER,item,word
Item_220,HELLO,item,word
Item_221,HELP,item,word
Item_222,HERE,item,word
Item_223,HIDE,item,word
Item_224,HIGH,item,word
Item_225,HIS,item,word
Item_226,HIT,item,word
Item_227,HOLD,item,word
Item_228,HOME,item,word
Item_229,HORSE,item,word
Item_230,HOSE,item,word
Item_231,HOT,item,word
Item_232,HOTDOG,item,word
Item_233,HOUSE,item,word
Item_234,HOW,item,word
Item_235,HUG,item,word
Item_236,HUNGRY,item,word
