definition,category,item,type,choices,complexity_category,itemID,new_lemma,gloss,uni_lemma
stranden,places,stranden,word,produces,NA,item_371,NA,beach,beach
ute,places,ute,word,produces,NA,item_372,NA,outside,outside
utflykt,places,utflykt,word,produces,NA,item_373,NA,picnic,picnic
zoo,places,zoo,word,produces,NA,item_374,NA,zoo,zoo
baby,people,baby,word,produces,NA,item_375,baby,baby,baby
barn,people,barn,word,produces,NA,item_376,child,child,child
barnets eget namn,people,barnets_eget_namn,word,produces,NA,item_377,child's own name,child´s own name,child's own name
barnvakt,people,barnvakt,word,produces,NA,item_378,babysitter,babysitter,babysitter
barnvaktens namn,people,barnvaktens_namn,word,produces,NA,item_379,babysitter's name,babysitter´s name,babysitter's name
brandman,people,brandman,word,produces,NA,item_380,NA,fireman,firefighter
brevbärare,people,brevbarare,word,produces,NA,item_381,NA,mailman,mailman
bror,people,bror,word,produces,NA,item_382,brother,brother,brother
clown,people,clown,word,produces,NA,item_383,NA,clown,clown
cowboy,people,cowboy,word,produces,NA,item_384,NA,cowboy,cowboy
doktor,people,doktor,word,produces,NA,item_385,NA,doctor,doctor
farbror,people,farbror,word,produces,NA,item_386,uncle,uncle,uncle
farfar,people,farfar,word,produces,NA,item_387,grandpa,grandpa,grandpa
farmor,people,farmor,word,produces,NA,item_388,grandma,grandma,grandma
faster,people,faster,word,produces,NA,item_389,aunt,aunt,aunt
flicka,people,flicka,word,produces,NA,item_390,girl,girl,girl
folk,people,folk,word,produces,NA,item_391,NA,people,people
fröken,people,froken,word,produces,NA,item_392,NA,miss,NA
gubbe,people,gubbe,word,produces,NA,item_393,NA,old man,NA
gumma,people,gumma,word,produces,NA,item_394,NA,old woman,NA
husdjurets namn,people,husdjurets_namn,word,produces,NA,item_395,NA,pet´s name,NA
kompis,people,kompis,word,produces,NA,item_396,NA,friend,friend
lärare,people,larare,word,produces,NA,item_397,teacher,teacher,teacher
mamma,people,mamma,word,produces,NA,item_398,mommy,mother,mommy
man,people,man,word,produces,NA,item_399,man,man,man
morbror,people,morbror,word,produces,NA,item_400,uncle,uncle,uncle
