Concept	Feature	BR_Label
apron	worn_by_women	function
apron	worn_for_covering_clothes	function
apron	worn_for_protection	function
apron	worn_in_kitchens	encyclopaedic
armour	is_heavy	tactile
armour	is_medieval	encyclopaedic
armour	is_shiny	visual-form_and_surface
armour	is_silver	visual-colour
armour	is_strong	encyclopaedic
armour	made_of_metal	visual-form_and_surface
armour	used_for_covering_body	function
armour	used_long_ago	encyclopaedic
armour	worn_by_knights	function
armour	worn_for_fighting	function
armour	worn_for_protection	function
ashtray	found_in_houses	encyclopaedic
ashtray	has_holders	visual-form_and_surface
ashtray	is_dirty	visual-form_and_surface
ashtray	is_round	visual-form_and_surface
ashtray	is_smelly	smell
ashtray	made_of_glass	visual-form_and_surface
ashtray	made_of_plastic	visual-form_and_surface
ashtray	used_by_smokers	function
ashtray	used_for_ashes	function
ashtray	used_for_butts	function
ashtray	used_for_cigarettes	function
asparagus	a_vegetable	taxonomic
asparagus	eaten_by_cooking	function
asparagus	eaten_in_soups	function
asparagus	grows_in_gardens	encyclopaedic
asparagus	is_edible	function
asparagus	is_green	visual-colour
asparagus	is_healthy	encyclopaedic
asparagus	is_long	visual-form_and_surface
asparagus	tastes_bad	taste
avocado	a_fruit	taxonomic
avocado	a_vegetable	taxonomic
avocado	has_a_large_pit	visual-form_and_surface
avocado	has_seeds	visual-form_and_surface
avocado	is_edible	function
avocado	is_green	visual-colour
avocado	is_high_in_fat	encyclopaedic
avocado	is_soft	tactile
avocado	tastes_good	taste
avocado	used_for_making_guacamole	function
axe	a_tool	taxonomic
axe	a_weapon	taxonomic
axe	has_a_blade	visual-form_and_surface
axe	has_a_handle	visual-form_and_surface
axe	has_a_head	visual-form_and_surface
axe	has_a_metal_blade	visual-form_and_surface
axe	has_a_wooden_handle	visual-form_and_surface
axe	is_dangerous	encyclopaedic
axe	is_heavy	tactile
axe	is_sharp	tactile
axe	used_by_lumberjacks	function
axe	used_for_chopping	function
axe	used_for_chopping_wood	function
axe	used_for_cutting	function
axe	used_for_killing	function
axe	used_in_movies/Jason	function
bag	different_colours	visual-colour
bag	different_sizes	visual-form_and_surface
bag	found_in_grocery_stores	encyclopaedic
bag	has_handles	visual-form_and_surface
bag	is_breakable	encyclopaedic
bag	is_useful	encyclopaedic
bag	made_of_material	visual-form_and_surface
bag	made_of_paper	visual-form_and_surface
bag	made_of_plastic	visual-form_and_surface
bag	used_for_carrying_groceries	function
bag	used_for_carrying_things	function
bag	used_for_holding_things	function
bagpipe	a_musical_instrument	taxonomic
bagpipe	associated_with_Scotland	encyclopaedic
bagpipe	has_a_bag	visual-form_and_surface
bagpipe	has_pipes	visual-form_and_surface
bagpipe	is_loud	sound
bagpipe	is_plaid	visual-colour
bagpipe	requires_air	encyclopaedic
bagpipe	used_for_music	function
bagpipe	used_in_marching_bands	function
ball	different_colours	visual-colour
ball	is_fun	encyclopaedic
ball	is_hard	tactile
ball	is_round	visual-form_and_surface
ball	used_by_bouncing	function
ball	used_by_throwing	function
ball	used_for_games	function
ball	used_for_playing	function
ball	used_for_sports	function
balloon	associated_with_hot_air_balloons	encyclopaedic
balloon	different_colours	visual-colour
balloon	inbeh_-_bursts	sound
balloon	inbeh_-_expands	visual-motion
balloon	inbeh_-_floats	visual-motion
balloon	inbeh_-_produces_a_loud_noise_when_popped	sound
balloon	is_colourful	visual-colour
balloon	is_large	visual-form_and_surface
balloon	is_light_weight	tactile
balloon	is_round	visual-form_and_surface
balloon	made_of_plastic	visual-form_and_surface
balloon	made_of_rubber	visual-form_and_surface
balloon	requires_air	encyclopaedic
balloon	requires_helium	encyclopaedic
balloon	requires_hot_air	encyclopaedic
balloon	used_at_parties	encyclopaedic
balloon	used_by_children	function
balloon	used_by_clowns	function
banana	a_fruit	taxonomic
banana	eaten_by_monkeys	function
banana	eaten_by_peeling	function
banana	grows_in_tropical_climates	encyclopaedic
banana	grows_on_trees	encyclopaedic
banana	has_a_skin	visual-form_and_surface
banana	has_peel	visual-form_and_surface
banana	is_edible	function
banana	is_green	visual-colour
banana	is_healthy	encyclopaedic
banana	is_long	visual-form_and_surface
banana	is_round	visual-form_and_surface
banana	is_soft	tactile
banana	is_yellow	visual-colour
banana	tastes_good	taste
banjo	a_musical_instrument	taxonomic
banjo	has_a_neck	visual-form_and_surface
banjo	has_strings	visual-form_and_surface
banjo	inbeh_-_produces_music	sound
banjo	inbeh_-_produces_sound	sound
banjo	is_round	visual-form_and_surface
banjo	like_a_guitar	encyclopaedic
banjo	made_of_wood	visual-form_and_surface
banjo	used_by_musicians	function
banjo	used_by_playing	function
banjo	used_for_music	function
banjo	used_in_bands	function
banner	a_sign	taxonomic
banner	has_a_message	visual-form_and_surface
banner	has_words_on_it	visual-form_and_surface
banner	is_colourful	visual-colour
banner	is_large	visual-form_and_surface
banner	is_long	visual-form_and_surface
banner	is_rectangular	visual-form_and_surface
banner	made_of_paper	visual-form_and_surface
banner	made_of_plastic	visual-form_and_surface
banner	used_by_hanging	function
banner	used_for_advertising	function
banner	used_for_celebrating	function
banner	used_for_events	encyclopaedic
barn	a_building	taxonomic
barn	found_in_the_country	encyclopaedic
barn	found_on_farms	encyclopaedic
barn	has_a_hay_loft	visual-form_and_surface
barn	has_doors	visual-form_and_surface
barn	has_stalls	visual-form_and_surface
barn	is_dirty	visual-form_and_surface
barn	is_large	visual-form_and_surface
barn	is_red	visual-colour
barn	is_smelly	smell
barn	made_of_wood	visual-form_and_surface
barn	used_for_animals	function
barn	used_for_cows	function
barn	used_for_storage	function
barn	used_for_storing_farm_equipment	function
barn	used_for_storing_hay	function
barn	used_for_storing_tractors	function
barrel	a_container	taxonomic
barrel	has_a_lid	visual-form_and_surface
barrel	has_metal_bands	visual-form_and_surface
barrel	is_brown	visual-colour
barrel	is_large	visual-form_and_surface
barrel	is_round	visual-form_and_surface
barrel	made_of_wood	visual-form_and_surface
barrel	used_for_storage	function
barrel	used_for_storing_beer	function
barrel	used_for_storing_water	function
barrel	used_for_storing_wine	function
basement	found_below_ground	encyclopaedic
basement	found_on_the_bottom_floor	encyclopaedic
basement	has_a_foundation	visual-form_and_surface
basement	has_a_furnace	visual-form_and_surface
basement	has_stairways	visual-form_and_surface
basement	has_walls	visual-form_and_surface
basement	has_windows	visual-form_and_surface
basement	is_cold	tactile
basement	is_damp	tactile
basement	is_dark	visual-form_and_surface
basement	is_musty	smell
basement	is_scary	encyclopaedic
basement	is_the_lowest_floor	encyclopaedic
basement	made_of_cement	visual-form_and_surface
basement	part_of_a_house	encyclopaedic
basement	used_for_storage	function
basket	has_a_handle	visual-form_and_surface
basket	is_weaved	encyclopaedic
basket	made_of_wicker	visual-form_and_surface
basket	made_of_wood	visual-form_and_surface
basket	used_at_Easter	encyclopaedic
basket	used_by_carrying	function
basket	used_for_fruit	function
basket	used_for_holding_things	function
basket	used_for_picnics	function
bat_(animal)	a_mammal	taxonomic
bat_(animal)	an_animal	taxonomic
bat_(animal)	associated_with_vampires	encyclopaedic
bat_(animal)	beh_-_flies	visual-motion
bat_(animal)	beh_-_is_nocturnal	encyclopaedic
bat_(animal)	beh_-_screeches	sound
bat_(animal)	beh_-_sleeps_upside_down	encyclopaedic
bat_(animal)	beh_-_uses_radar_to_navigate	encyclopaedic
bat_(animal)	has_fangs	visual-form_and_surface
bat_(animal)	has_fur	visual-form_and_surface
bat_(animal)	has_wings	visual-form_and_surface
bat_(animal)	is_black	visual-colour
bat_(animal)	is_blind	encyclopaedic
bat_(animal)	is_scary	encyclopaedic
bat_(animal)	is_small	visual-form_and_surface
bat_(animal)	lives_in_caves	encyclopaedic
bat_(baseball)	is_heavy	tactile
bat_(baseball)	is_long	visual-form_and_surface
bat_(baseball)	made_of_metal	visual-form_and_surface
bat_(baseball)	made_of_wood	visual-form_and_surface
bat_(baseball)	used_by_swinging	function
bat_(baseball)	used_for_hitting	function
bat_(baseball)	used_for_hitting_balls	function
bat_(baseball)	used_for_sports	function
bathtub	found_in_bathrooms	encyclopaedic
bathtub	has_a_drain	visual-form_and_surface
bathtub	has_a_drain_plug	encyclopaedic
bathtub	has_taps	encyclopaedic
bathtub	is_hard	tactile
bathtub	is_large	visual-form_and_surface
bathtub	is_white	visual-colour
bathtub	made_of_ceramic	visual-form_and_surface
bathtub	requires_water	encyclopaedic
bathtub	used_by_filling	function
bathtub	used_by_people	function
bathtub	used_for_bathing	function
bathtub	used_for_bubble_baths	function
bathtub	used_for_holding_water	function
bathtub	used_for_showers	function
bathtub	used_for_washing	function
baton	is_long	visual-form_and_surface
baton	is_round	visual-form_and_surface
baton	like_a_stick	encyclopaedic
baton	made_of_metal	visual-form_and_surface
baton	made_of_wood	visual-form_and_surface
baton	used_by_cheerleaders	function
baton	used_by_throwing_in_air	function
baton	used_by_twirling	function
baton	used_in_marching_bands	function
baton	used_in_relay_races	function
bayonet	a_long_knife	taxonomic
bayonet	found_at_the_end_of_a_gun	encyclopaedic
bayonet	is_dangerous	encyclopaedic
bayonet	is_long	visual-form_and_surface
bayonet	is_sharp	tactile
bayonet	used_for_killing	function
bayonet	used_in_wars	encyclopaedic
bazooka	a_gun	taxonomic
bazooka	a_weapon	taxonomic
bazooka	inbeh_-_fires	sound
bazooka	is_dangerous	encyclopaedic
bazooka	is_destructive	encyclopaedic
bazooka	is_large	visual-form_and_surface
bazooka	is_loud	sound
bazooka	made_of_metal	visual-form_and_surface
bazooka	used_by_the_army	function
bazooka	used_for_killing	function
bazooka	used_for_war	function
beans	a_vegetable	taxonomic
beans	causes_gas	encyclopaedic
beans	eaten_by_baking	function
beans	eaten_by_cooking	function
beans	eg_-_kidney	taxonomic
beans	eg_-_lima	taxonomic
beans	grows_in_gardens	encyclopaedic
beans	has_pods	visual-form_and_surface
beans	has_protein	encyclopaedic
beans	is_brown	visual-colour
beans	is_edible	function
beans	is_green	visual-colour
beans	is_nutritious	encyclopaedic
beans	is_small	visual-form_and_surface
beans	is_yellow	visual-colour
bear	a_mammal	taxonomic
bear	an_animal	taxonomic
bear	beh_-_eats_fish	visual-motion
bear	beh_-_hibernates	encyclopaedic
bear	beh_-_produces_offspring	encyclopaedic
bear	has_4_legs	visual-form_and_surface
bear	has_claws	visual-form_and_surface
bear	has_feet	visual-form_and_surface
bear	has_fur	visual-form_and_surface
bear	has_paws	visual-form_and_surface
bear	has_teeth	visual-form_and_surface
bear	hunted_by_people	function
bear	is_black	visual-colour
bear	is_brown	visual-colour
bear	is_dangerous	encyclopaedic
bear	is_large	visual-form_and_surface
bear	is_white	visual-colour
bear	lives_in_forests	encyclopaedic
bear	lives_in_wilderness	encyclopaedic
beaver	a_mammal	taxonomic
beaver	an_animal	taxonomic
beaver	beh_-_builds_dams	encyclopaedic
beaver	beh_-_chews_on_wood	visual-motion
beaver	beh_-_cuts_down_trees	encyclopaedic
beaver	beh_-_swims	visual-motion
beaver	found_on_the_nickel	encyclopaedic
beaver	has_a_tail	visual-form_and_surface
beaver	has_sharp_teeth	visual-form_and_surface
beaver	hunted_by_people	function
beaver	is_brown	visual-colour
beaver	is_furry	tactile
beaver	lives_in_dams	encyclopaedic
beaver	lives_in_water	encyclopaedic
beaver	symbol_of_Canada	encyclopaedic
bed	different_sizes	visual-form_and_surface
bed	found_in_bedrooms	encyclopaedic
bed	furniture	taxonomic
bed	has_a_box_spring	visual-form_and_surface
bed	has_a_comforter	encyclopaedic
bed	has_a_headboard	visual-form_and_surface
bed	has_a_mattress	visual-form_and_surface
bed	has_blankets	encyclopaedic
bed	has_pillows	encyclopaedic
bed	has_sheets	encyclopaedic
bed	has_springs	visual-form_and_surface
bed	is_comfortable	tactile
bed	is_soft	tactile
bed	is_warm	tactile
bed	used_at_night	encyclopaedic
bed	used_for_sex	function
bed	used_for_sleeping	function
bedroom	a_room	taxonomic
bedroom	found_in_houses	encyclopaedic
bedroom	has_a_bed	visual-form_and_surface
bedroom	has_a_closet	visual-form_and_surface
bedroom	has_a_dresser	visual-form_and_surface
bedroom	has_a_window	visual-form_and_surface
bedroom	has_walls	visual-form_and_surface
bedroom	is_small	visual-form_and_surface
bedroom	used_for_personal_space	function
bedroom	used_for_sleeping_in	function
beehive	found_in_trees	encyclopaedic
beehive	has_honey	visual-form_and_surface
beehive	inbeh_-_produces_honey	encyclopaedic
beehive	is_dangerous	encyclopaedic
beehive	is_yellow	visual-colour
beehive	made_by_bees	encyclopaedic
beehive	used_as_a_home_by_bees	function
beehive	used_as_a_home_by_queen_bees	function
beetle	a_bug	taxonomic
beetle	an_insect	taxonomic
beetle	beh_-_crawls	visual-motion
beetle	beh_-_flies	visual-motion
beetle	has_a_shell	visual-form_and_surface
beetle	has_eyes	visual-form_and_surface
beetle	has_legs	visual-form_and_surface
beetle	has_wings	visual-form_and_surface
beetle	is_black	visual-colour
beetle	is_hard	tactile
beetle	is_large	visual-form_and_surface
beetle	is_small	visual-form_and_surface
beetle	is_ugly	encyclopaedic
beets	a_root	taxonomic
beets	a_vegetable	taxonomic
beets	beh_-_stains	encyclopaedic
beets	eaten_as_pickles	function
beets	eaten_in_borscht	function
beets	eaten_in_salads	function
beets	grows_in_gardens	encyclopaedic
beets	grows_in_the_ground	encyclopaedic
beets	grows_underground	encyclopaedic
beets	has_leaves	visual-form_and_surface
beets	is_edible	function
beets	is_juicy	tactile
beets	is_purple	visual-colour
beets	is_red	visual-colour
beets	is_round	visual-form_and_surface
belt	a_fashion_accessory	taxonomic
belt	clothing	taxonomic
belt	has_buckles	visual-form_and_surface
belt	has_holes	visual-form_and_surface
belt	is_decorative	encyclopaedic
belt	is_long	visual-form_and_surface
belt	is_thin	visual-form_and_surface
belt	made_of_leather	visual-form_and_surface
belt	made_of_material	visual-form_and_surface
belt	used_for_punishment	function
belt	worn_around_waist	function
belt	worn_for_holding_up_pants	function
belt	worn_through_pant_loops	function
bench	different_colours	visual-colour
bench	found_at_bus_stops	encyclopaedic
bench	found_in_parks	encyclopaedic
bench	has_4_legs	visual-form_and_surface
bench	has_a_back	visual-form_and_surface
bench	is_hard	tactile
bench	is_long	visual-form_and_surface
bench	made_of_metal	visual-form_and_surface
bench	made_of_wood	visual-form_and_surface
bench	used_by_sitting_on	function
bench	used_for_resting	function
bike	different_speeds	encyclopaedic
bike	eg_-_mountain	taxonomic
bike	eg_-_ten_speed	taxonomic
bike	has_2_wheels	visual-form_and_surface
bike	has_a_bell	encyclopaedic
bike	has_a_chain	visual-form_and_surface
bike	has_a_frame	visual-form_and_surface
bike	has_a_seat	visual-form_and_surface
bike	has_brakes	visual-form_and_surface
bike	has_gears	visual-form_and_surface
bike	has_handle_bars	visual-form_and_surface
bike	has_pedals	visual-form_and_surface
bike	has_training_wheels	visual-form_and_surface
bike	has_wheels	visual-form_and_surface
bike	is_fast	visual-motion
bike	made_of_metal	visual-form_and_surface
bike	used_by_riding	function
bike	used_for_exercising	function
bike	used_for_racing	function
bike	used_for_transportation	function
bin_(waste)	is_emptied	function
bin_(waste)	is_hollow	visual-form_and_surface
bin_(waste)	is_large	visual-form_and_surface
bin_(waste)	is_round	visual-form_and_surface
bin_(waste)	is_small	visual-form_and_surface
bin_(waste)	is_smelly	smell
bin_(waste)	made_of_metal	visual-form_and_surface
bin_(waste)	made_of_plastic	visual-form_and_surface
bin_(waste)	used_for_holding_garbage	function
birch	a_tree	taxonomic
birch	beh_-_bark_peals_off	encyclopaedic
birch	beh_-_loses_leaves_in_the_fall	encyclopaedic
birch	grows_in_forests	encyclopaedic
birch	has_bark	visual-form_and_surface
birch	has_branches	visual-form_and_surface
birch	has_leaves	visual-form_and_surface
birch	is_tall	visual-form_and_surface
birch	is_white	visual-colour
birch	used_for_making_paper	function
biscuit	a_food	taxonomic
biscuit	a_treat	encyclopaedic
biscuit	eaten_by_baking	function
biscuit	eaten_with_tea	encyclopaedic
biscuit	is_crunchy	tactile
biscuit	is_edible	function
biscuit	is_round	visual-form_and_surface
biscuit	is_small	visual-form_and_surface
biscuit	like_a_cookie	encyclopaedic
biscuit	made_with_flour	encyclopaedic
biscuit	tastes_good	taste
bison	a_mammal	taxonomic
bison	an_animal	taxonomic
bison	beh_-_travels_in_herds	visual-motion
bison	eaten_by_natives	function
bison	hunted_by_people	function
bison	is_brown	visual-colour
bison	is_endangered	encyclopaedic
bison	is_furry	tactile
bison	is_large	visual-form_and_surface
bison	like_a_buffalo	encyclopaedic
blackbird	a_bird	taxonomic
blackbird	an_animal	taxonomic
blackbird	beh_-_builds_nests	encyclopaedic
blackbird	beh_-_chirps	sound
blackbird	beh_-_eats_worms	visual-motion
blackbird	beh_-_flies	visual-motion
blackbird	beh_-_lays_eggs	encyclopaedic
blackbird	beh_-_sings	sound
blackbird	has_a_beak	visual-form_and_surface
blackbird	has_feathers	visual-form_and_surface
blackbird	has_wings	visual-form_and_surface
blackbird	is_black	visual-colour
blender	an_appliance	taxonomic
blender	found_in_kitchens	encyclopaedic
blender	has_a_container	visual-form_and_surface
blender	has_blades	visual-form_and_surface
blender	has_cutting_blades	visual-form_and_surface
blender	is_electrical	visual-form_and_surface
blender	is_electronic	visual-form_and_surface
blender	is_loud	sound
blender	made_of_glass	visual-form_and_surface
blender	made_of_plastic	visual-form_and_surface
blender	used_for_chopping_food	function
blender	used_for_making_drinks	function
blender	used_for_making_milkshakes	function
blender	used_for_mixing	function
blender	used_for_mixing_liquids	function
blouse	a_shirt	taxonomic
blouse	clothing	taxonomic
blouse	different_colours	visual-colour
blouse	has_a_collar	visual-form_and_surface
blouse	has_buttons	visual-form_and_surface
blouse	has_sleeves	visual-form_and_surface
blouse	is_feminine	encyclopaedic
blouse	is_pretty	encyclopaedic
blouse	is_soft	tactile
blouse	made_of_cotton	visual-form_and_surface
blouse	made_of_material	visual-form_and_surface
blouse	made_of_silk	visual-form_and_surface
blouse	worn_by_women	function
blouse	worn_on_torso	function
blouse	worn_with_skirts	encyclopaedic
blueberry	a_berry	taxonomic
blueberry	a_fruit	taxonomic
blueberry	beh_-_stains	encyclopaedic
blueberry	eaten_in_jams	function
blueberry	eaten_in_pies	function
blueberry	eaten_raw	function
blueberry	grows_on_bushes	encyclopaedic
blueberry	is_blue	visual-colour
blueberry	is_edible	function
blueberry	is_juicy	tactile
blueberry	is_round	visual-form_and_surface
blueberry	is_small	visual-form_and_surface
blueberry	tastes_good	taste
blueberry	tastes_sweet	taste
bluejay	a_bird	taxonomic
bluejay	an_animal	taxonomic
bluejay	beh_-_builds_nests	encyclopaedic
bluejay	beh_-_flies	visual-motion
bluejay	beh_-_lays_eggs	encyclopaedic
bluejay	beh_-_sings	sound
bluejay	has_a_beak	visual-form_and_surface
bluejay	has_feathers	visual-form_and_surface
bluejay	has_wings	visual-form_and_surface
bluejay	is_blue	visual-colour
bluejay	is_pretty	encyclopaedic
bluejay	is_small	visual-form_and_surface
board_(black)	found_in_classrooms	encyclopaedic
board_(black)	found_in_schools	encyclopaedic
board_(black)	is_black	visual-colour
board_(black)	is_dusty	visual-form_and_surface
board_(black)	is_green	visual-colour
board_(black)	is_large	visual-form_and_surface
board_(black)	requires_cleaning	function
board_(black)	used_by_teachers	function
board_(black)	used_for_learning	function
board_(black)	used_for_writing_on	function
board_(black)	used_with_chalk	encyclopaedic
board_(wood)	comes_from_trees	encyclopaedic
board_(wood)	is_brown	visual-colour
board_(wood)	is_flat	visual-form_and_surface
board_(wood)	is_hard	tactile
board_(wood)	is_long	visual-form_and_surface
board_(wood)	made_from_wood	encyclopaedic
board_(wood)	made_of_wood	visual-form_and_surface
board_(wood)	used_by_pirates	function
board_(wood)	used_for_building_houses	function
board_(wood)	used_for_building_things	function
board_(wood)	used_for_construction	function
board_(wood)	used_for_diving_boards	function
board_(wood)	used_on_ships	encyclopaedic
boat	found_on_water	encyclopaedic
boat	has_a_motor	visual-form_and_surface
boat	has_sails	visual-form_and_surface
boat	inbeh_-_floats	visual-motion
boat	is_small	visual-form_and_surface
boat	made_of_wood	visual-form_and_surface
boat	used_by_people	function
boat	used_for_fishing	function
boat	used_for_transportation	function
boat	used_on_oceans	encyclopaedic
bolts	a_hardware	taxonomic
bolts	different_sizes	visual-form_and_surface
bolts	has_threads	visual-form_and_surface
bolts	is_small	visual-form_and_surface
bolts	made_of_metal	visual-form_and_surface
bolts	made_of_steel	visual-form_and_surface
bolts	used_for_construction	function
bolts	used_for_holding	function
bolts	used_for_holding_things_together	function
bolts	used_for_locking/unlocking_doors	function
bolts	used_for_securing	function
bolts	used_with_nuts	encyclopaedic
bolts	used_with_screws	encyclopaedic
bomb	a_weapon	taxonomic
bomb	dropped_from_airplanes	encyclopaedic
bomb	has_a_timer	visual-form_and_surface
bomb	inbeh_-_explodes	sound
bomb	is_dangerous	encyclopaedic
bomb	is_destructive	encyclopaedic
bomb	is_frightening	encyclopaedic
bomb	is_lethal	encyclopaedic
bomb	is_loud	sound
bomb	is_nuclear	taxonomic
bomb	used_at_Hiroshima	encyclopaedic
bomb	used_by_dropping	function
bomb	used_for_killing	function
bomb	used_for_terrorism	function
bomb	used_for_war	function
book	found_in_libraries	encyclopaedic
book	found_in_schools	encyclopaedic
book	found_on_shelves	encyclopaedic
book	has_a_hard_cover	visual-form_and_surface
book	has_a_soft_cover	visual-form_and_surface
book	has_authors	encyclopaedic
book	has_information	visual-form_and_surface
book	has_page_numbers	visual-form_and_surface
book	has_pages	visual-form_and_surface
book	has_pictures	visual-form_and_surface
book	has_words_in_it	visual-form_and_surface
book	inbeh_-_tells_stories	encyclopaedic
book	made_of_paper	visual-form_and_surface
book	used_by_reading	function
book	used_for_acquiring/storing_knowledge	function
book	used_for_learning	function
bookcase	found_in_houses	encyclopaedic
bookcase	found_in_libraries	encyclopaedic
bookcase	found_on_walls	encyclopaedic
bookcase	furniture	taxonomic
bookcase	has_shelves	visual-form_and_surface
bookcase	is_large	visual-form_and_surface
bookcase	is_tall	visual-form_and_surface
bookcase	made_of_metal	visual-form_and_surface
bookcase	made_of_wood	visual-form_and_surface
bookcase	used_for_holding_books	function
bookcase	used_for_organizing	function
bookcase	used_for_storage	function
boots	clothing	taxonomic
boots	comes_in_pairs	encyclopaedic
boots	eg_-_cowboy	taxonomic
boots	has_heels	visual-form_and_surface
boots	has_laces	visual-form_and_surface
boots	has_soles	visual-form_and_surface
boots	is_black	visual-colour
boots	is_brown	visual-colour
boots	is_long	visual-form_and_surface
boots	is_short	visual-form_and_surface
boots	made_of_leather	visual-form_and_surface
boots	made_of_rubber	visual-form_and_surface
boots	worn_for_covering	function
boots	worn_for_keeping_feet_dry	function
boots	worn_for_keeping_feet_warm	function
boots	worn_for_protecting_feet	function
boots	worn_for_protection	function
boots	worn_for_the_rain	function
boots	worn_for_warmth	function
boots	worn_in_winter	encyclopaedic
boots	worn_on_feet	function
bottle	a_container	taxonomic
bottle	has_a_cork	visual-form_and_surface
bottle	has_a_lid	visual-form_and_surface
bottle	has_a_neck	visual-form_and_surface
bottle	is_breakable	encyclopaedic
bottle	is_green	visual-colour
bottle	is_recyclable	encyclopaedic
bottle	is_transparent	visual-colour
bottle	made_of_glass	visual-form_and_surface
bottle	made_of_plastic	visual-form_and_surface
bottle	used_for_drinking	function
bottle	used_for_holding_beer	function
bottle	used_for_holding_liquids	function
bottle	used_for_holding_things	function
bottle	used_for_holding_wine	function
bouquet	comes_in_arrangements	visual-form_and_surface
bouquet	found_in_vases	encyclopaedic
bouquet	is_colourful	visual-colour
bouquet	is_pretty	encyclopaedic
bouquet	made_of_flowers	visual-form_and_surface
bouquet	smells_nice	smell
bouquet	used_as_a_gift	function
