definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
а-а-а,sounds,NA,word,understands; produces,NA,item_29,NA,wee woo
ёж,animals,NA,word,understands; produces,NA,item_72,hedgehog,hedgehog
жираф,animals,NA,word,understands; produces,NA,item_73,giraffe,giraffe
жук,animals,NA,word,understands; produces,NA,item_74,bug,bug
заяц,animals,NA,word,understands; produces,NA,item_75,hare,bunny
змея,animals,NA,word,understands; produces,NA,item_76,snake,snake
кенгуру,animals,NA,word,understands; produces,NA,item_77,kangaroo,kangaroo
коза,animals,NA,word,understands; produces,NA,item_78,goat,goat
корова,animals,NA,word,understands; produces,NA,item_79,cow,cow
кошка,animals,NA,word,understands; produces,NA,item_80,cat,cat
курочка,animals,NA,word,understands; produces,NA,item_81,chicken (animal),chicken (animal)
лев,animals,NA,word,understands; produces,NA,item_82,lion,lion
лиса,animals,NA,word,understands; produces,NA,item_83,fox,fox
лошадь/конь,animals,NA,word,understands; produces,NA,item_84,horse/stallion,horse
лягушка,animals,NA,word,understands; produces,NA,item_85,frog,frog
медведь,animals,NA,word,understands; produces,NA,item_86,bear,bear
муха,animals,NA,word,understands; produces,NA,item_87,fly,fly (animal)
мышка,animals,NA,word,understands; produces,NA,item_88,mouse,mouse
обезьяна,animals,NA,word,understands; produces,NA,item_89,monkey,monkey
петух,animals,NA,word,understands; produces,NA,item_90,rooster,rooster
поросенок/свинка,animals,NA,word,understands; produces,NA,item_91,piglet/pig,pig
птичка,animals,NA,word,understands; produces,NA,item_92,bird,bird
рыбка,animals,NA,word,understands; produces,NA,item_93,fish,fish (animal)
слон,animals,NA,word,understands; produces,NA,item_94,elephant,elephant
собака,animals,NA,word,understands; produces,NA,item_95,dog,dog
сова,animals,NA,word,understands; produces,NA,item_96,owl,owl
тигр,animals,NA,word,understands; produces,NA,item_97,tiger,tiger
утка,animals,NA,word,understands; produces,NA,item_98,duck,duck
черепаха,animals,NA,word,understands; produces,NA,item_99,tortoise,turtle
автобус,vehicles,NA,word,understands; produces,NA,item_100,bus,bus
велосипед,vehicles,NA,word,understands; produces,NA,item_101,bicycle,bicycle
грузовик,vehicles,NA,word,understands; produces,NA,item_102,truck,truck
коляска,vehicles,NA,word,understands; produces,NA,item_103,stroller,stroller
коляска,vehicles,NA,word,understands; produces,NA,item_103,pram,stroller
машина,vehicles,NA,word,understands; produces,NA,item_104,car,car
паровоз,vehicles,NA,word,understands; produces,NA,item_105,steam engine,locomotive
поезд,vehicles,NA,word,understands; produces,NA,item_106,train,train
самолет,vehicles,NA,word,understands; produces,NA,item_107,aeroplane/plane,airplane
трактор,vehicles,NA,word,understands; produces,NA,item_108,tractor,tractor
ведро,toys,NA,word,understands; produces,NA,item_109,bucket,bucket
игрушка,toys,NA,word,understands; produces,NA,item_110,toy,toy (object)
карандаш/ручка,toys,NA,word,understands; produces,NA,item_111,pencil/pen,pen/pencil
книга,toys,NA,word,understands; produces,NA,item_112,book,book
кубики,toys,NA,word,understands; produces,NA,item_113,block,blocks
кукла,toys,NA,word,understands; produces,NA,item_114,doll,doll
лопатка/совок,toys,NA,word,understands; produces,NA,item_115,shovel/spade,shovel
мяч,toys,NA,word,understands; produces,NA,item_116,ball,ball
апельсин,food_drink,NA,word,understands; produces,NA,item_117,orange,orange (food)
банан,food_drink,NA,word,understands; produces,NA,item_118,banana,banana
булка,food_drink,NA,word,understands; produces,NA,item_119,loaf (baguette),bun
груша,food_drink,NA,word,understands; produces,NA,item_120,pear,pear
вода,food_drink,NA,word,understands; produces,NA,item_121,water,water (beverage)
йогурт,food_drink,NA,word,understands; produces,NA,item_122,yogurt,yogurt
капуста,food_drink,NA,word,understands; produces,NA,item_123,cabbage,cabbage
картошка,food_drink,NA,word,understands; produces,NA,item_124,potato,potato
каша,food_drink,NA,word,understands; produces,NA,item_125,porridge,cereal
кефир,food_drink,NA,word,understands; produces,NA,item_126,yogurt drink,yogurt drink
компот,food_drink,NA,word,understands; produces,NA,item_127,compote,compote
конфета,food_drink,NA,word,understands; produces,NA,item_128,sweet,candy
макароны,food_drink,NA,word,understands; produces,NA,item_129,spaghetti/noodle (pasta),pasta
масло,food_drink,NA,word,understands; produces,NA,item_130,butter,butter
молоко,food_drink,NA,word,understands; produces,NA,item_131,milk,milk
морковка,food_drink,NA,word,understands; produces,NA,item_132,carrot,carrot
мясо,food_drink,NA,word,understands; produces,NA,item_133,meat,meat
огурец,food_drink,NA,word,understands; produces,NA,item_134,cucumber,cucumber
печенье,food_drink,NA,word,understands; produces,NA,item_135,cookie,cookie
помидор,food_drink,NA,word,understands; produces,NA,item_136,tomato,tomato
рыба,food_drink,NA,word,understands; produces,NA,item_137,fish,fish (food)
сок,food_drink,NA,word,understands; produces,NA,item_138,juice,juice
сосиска,food_drink,NA,word,understands; produces,NA,item_139,sausage,hot dog
суп,food_drink,NA,word,understands; produces,NA,item_140,soup,soup
сыр,food_drink,NA,word,understands; produces,NA,item_141,cheese,cheese
творог,food_drink,NA,word,understands; produces,NA,item_142,cottage cheese,cottage cheese
хлеб,food_drink,NA,word,understands; produces,NA,item_143,bread,bread
чай,food_drink,NA,word,understands; produces,NA,item_144,tea,tea
яблоко,food_drink,NA,word,understands; produces,NA,item_145,apple,apple
ягода,food_drink,NA,word,understands; produces,NA,item_146,berry,berry
яйцо,food_drink,NA,word,understands; produces,NA,item_147,egg,egg
босоножки,clothing,NA,word,understands; produces,NA,item_148,open-toe sandals,sandal
ботинки,clothing,NA,word,understands; produces,NA,item_149,boots,boots
варежки/рукавицы,clothing,NA,word,understands; produces,NA,item_150,mittens,mitten
колготки,clothing,NA,word,understands; produces,NA,item_151,tights,tights
комбинезон,clothing,NA,word,understands; produces,NA,item_152,bib/snowsuit,snowsuit
кофта,clothing,NA,word,understands; produces,NA,item_153,jacket,sweater
куртка,clothing,NA,word,understands; produces,NA,item_154,coat,coat
нагрудник,clothing,NA,word,understands; produces,NA,item_155,bib,bib
носки,clothing,NA,word,understands; produces,NA,item_156,socks,sock
памперс,clothing,NA,word,understands; produces,NA,item_157,diaper,diaper
платье,clothing,NA,word,understands; produces,NA,item_158,dress,dress (object)
пуговица,clothing,NA,word,understands; produces,NA,item_159,button,button
рубашка,clothing,NA,word,understands; produces,NA,item_160,shirt,shirt
сапоги,clothing,NA,word,understands; produces,NA,item_161,boots,boots
тапки,clothing,NA,word,understands; produces,NA,item_162,slippers,slipper
трусы,clothing,NA,word,understands; produces,NA,item_163,underpants,underpants
туфли,clothing,NA,word,understands; produces,NA,item_164,shoes,shoe
шапка,clothing,NA,word,understands; produces,NA,item_165,hat,hat
шарф,clothing,NA,word,understands; produces,NA,item_166,scarf,scarf
штаны,clothing,NA,word,understands; produces,NA,item_167,pants,pants
волосы,body_parts,NA,word,understands; produces,NA,item_168,hair,hair
глазки,body_parts,NA,word,understands; produces,NA,item_169,eyes,eye
голова,body_parts,NA,word,understands; produces,NA,item_170,head,head
живот,body_parts,NA,word,understands; produces,NA,item_171,tummy,tummy
зубы,body_parts,NA,word,understands; produces,NA,item_172,teeth,tooth
лицо,body_parts,NA,word,understands; produces,NA,item_173,face,face
нога,body_parts,NA,word,understands; produces,NA,item_174,leg/foot,leg
нос,body_parts,NA,word,understands; produces,NA,item_175,nose,nose
палец,body_parts,NA,word,understands; produces,NA,item_176,finger/toe,finger
пупок,body_parts,NA,word,understands; produces,NA,item_177,belly button,belly button
рот,body_parts,NA,word,understands; produces,NA,item_178,mouth,mouth
рука,body_parts,NA,word,understands; produces,NA,item_179,arm/hand,arm
ушки,body_parts,NA,word,understands; produces,NA,item_180,ears,ear
шея,body_parts,NA,word,understands; produces,NA,item_181,neck,neck
щека,body_parts,NA,word,understands; produces,NA,item_182,cheek,cheek
язык,body_parts,NA,word,understands; produces,NA,item_183,tongue,tongue
ванна,furniture_rooms,NA,word,understands; produces,NA,item_184,bathtub,bathtub
дверь,furniture_rooms,NA,word,understands; produces,NA,item_185,door,door
диван,furniture_rooms,NA,word,understands; produces,NA,item_186,sofa,couch
душ,furniture_rooms,NA,word,understands; produces,NA,item_187,shower,shower
зеркало,furniture_rooms,NA,word,understands; produces,NA,item_188,mirror,mirror
ковер,furniture_rooms,NA,word,understands; produces,NA,item_189,carpet,carpet
комната,furniture_rooms,NA,word,understands; produces,NA,item_190,room,room
коридор,furniture_rooms,NA,word,understands; produces,NA,item_191,corridor,corridor
кран,furniture_rooms,NA,word,understands; produces,NA,item_192,fauset/tap,faucet
кресло,furniture_rooms,NA,word,understands; produces,NA,item_193,arm-chair,armchair
кровать,furniture_rooms,NA,word,understands; produces,NA,item_194,bed,bed
кухня,furniture_rooms,NA,word,understands; produces,NA,item_195,kitchen,kitchen
лестница,furniture_rooms,NA,word,understands; produces,NA,item_196,stairs,ladder
лифт,furniture_rooms,NA,word,understands; produces,NA,item_197,elevator,elevator
окно,furniture_rooms,NA,word,understands; produces,NA,item_198,window,window
пол,furniture_rooms,NA,word,understands; produces,NA,item_199,floor,floor
стол,furniture_rooms,NA,word,understands; produces,NA,item_200,table,table
стул,furniture_rooms,NA,word,understands; produces,NA,item_201,chair,chair
ступеньки,furniture_rooms,NA,word,understands; produces,NA,item_202,stairs,stairs
туалет,furniture_rooms,NA,word,understands; produces,NA,item_203,bathroom,bathroom
банка,household,NA,word,understands; produces,NA,item_204,jar,jar
бумага,household,NA,word,understands; produces,NA,item_205,paper,paper
бутылочка,household,NA,word,understands; produces,NA,item_206,bottle,bottle
веник,household,NA,word,understands; produces,NA,item_207,broom,broom
вилка,household,NA,word,understands; produces,NA,item_208,fork,fork
гвоздь,household,NA,word,understands; produces,NA,item_209,nail,nail (object)
горшок,household,NA,word,understands; produces,NA,item_210,potty,potty
деньги,household,NA,word,understands; produces,NA,item_211,money,money
картинка,household,NA,word,understands; produces,NA,item_212,picture,picture
кастрюля,household,NA,word,understands; produces,NA,item_213,saucepan,pot
ключи,household,NA,word,understands; produces,NA,item_214,keys,key
коробка,household,NA,word,understands; produces,NA,item_215,box,box
кружка,household,NA,word,understands; produces,NA,item_216,mug,cup
лампа,household,NA,word,understands; produces,NA,item_217,lamp,lamp
лекарство/таблетка,household,NA,word,understands; produces,NA,item_218,medicine,medicine
ложка,household,NA,word,understands; produces,NA,item_219,spoon,spoon
магнитофон,household,NA,word,understands; produces,NA,item_220,tape recorder,voice recorder
молоток,household,NA,word,understands; produces,NA,item_221,hammer,hammer
монетка,household,NA,word,understands; produces,NA,item_222,coin,penny
мусор,household,NA,word,understands; produces,NA,item_223,garbage/trash,trash
мыло,household,NA,word,understands; produces,NA,item_224,soap,soap
нож,household,NA,word,understands; produces,NA,item_225,knife,knife
ножницы,household,NA,word,understands; produces,NA,item_226,scissors,scissors
одеяло,household,NA,word,understands; produces,NA,item_227,blanket/quilt,blanket
платок (носовой),household,NA,word,understands; produces,NA,item_228,tissue,tissue
подушка,household,NA,word,understands; produces,NA,item_229,pillow,pillow
полотенце,household,NA,word,understands; produces,NA,item_230,towel,towel
радио,household,NA,word,understands; produces,NA,item_231,radio,radio
расческа,household,NA,word,understands; produces,NA,item_232,comb,comb (object)
свет,household,NA,word,understands; produces,NA,item_233,light,light (object)
совок (для мусора),household,NA,word,understands; produces,NA,item_234,dustpan,dustpan
соска,household,NA,word,understands; produces,NA,item_235,pacifier/dummy,pacifier
таз,household,NA,word,understands; produces,NA,item_236,bowl,sink
тарелка,household,NA,word,understands; produces,NA,item_237,plate,plate
телевизор,household,NA,word,understands; produces,NA,item_238,TV,TV
телефон,household,NA,word,understands; produces,NA,item_239,telephone,telephone
тряпка,household,NA,word,understands; produces,NA,item_240,cloth,rag
фотоаппарат,household,NA,word,understands; produces,NA,item_241,camera,camera
холодильник,household,NA,word,understands; produces,NA,item_242,refrigerator,refrigerator
чайник,household,NA,word,understands; produces,NA,item_243,teapot/kettle,teapot
часы,household,NA,word,understands; produces,NA,item_244,watch/clock,watch (object)
чашка,household,NA,word,understands; produces,NA,item_245,cup,cup
ветер,outside,NA,word,understands; produces,NA,item_246,wind,wind
грязь,outside,NA,word,understands; produces,NA,item_247,mud/dirt,mud
двор,outside,NA,word,understands; produces,NA,item_248,yard,yard
дерево,outside,NA,word,understands; produces,NA,item_249,tree,tree
дождь,outside,NA,word,understands; produces,NA,item_250,rain,rain
дом,outside,NA,word,understands; produces,NA,item_251,house,house
елка,outside,NA,word,understands; produces,NA,item_252,fir,fir
звезда,outside,NA,word,understands; produces,NA,item_253,star,star
зоопарк,outside,NA,word,understands; produces,NA,item_254,zoo,zoo
камень,outside,NA,word,understands; produces,NA,item_255,stone,rock (object)
качели,outside,NA,word,understands; produces,NA,item_256,swing,swing (object)
лужа,outside,NA,word,understands; produces,NA,item_257,pool,puddle
луна,outside,NA,word,understands; produces,NA,item_258,moon,moon
магазин,outside,NA,word,understands; produces,NA,item_259,shop,store
мороз,outside,NA,word,understands; produces,NA,item_260,frost,frost
небо,outside,NA,word,understands; produces,NA,item_261,sky,sky
горка,outside,NA,word,understands; produces,NA,item_262,slide,slide (object)
палка,outside,NA,word,understands; produces,NA,item_263,stick,stick
парк,outside,NA,word,understands; produces,NA,item_264,park,park
песок,outside,NA,word,understands; produces,NA,item_265,sand,sand
работа,outside,NA,word,understands; produces,NA,item_266,job,work (place)
снег,outside,NA,word,understands; produces,NA,item_267,snow,snow
солнце,outside,NA,word,understands; produces,NA,item_268,sun,sun
трава,outside,NA,word,understands; produces,NA,item_269,grass,grass
улица,outside,NA,word,understands; produces,NA,item_270,street,street
цветы,outside,NA,word,understands; produces,NA,item_271,flowers,flower
церковь,outside,NA,word,understands; produces,NA,item_272,church,church
мама,people,NA,word,understands; produces,NA,item_273,mommy,mommy
папа,people,NA,word,understands; produces,NA,item_274,daddy,daddy
бабушка,people,NA,word,understands; produces,NA,item_275,grandma,grandma
дедушка,people,NA,word,understands; produces,NA,item_276,grandpa,grandpa
брат/имя брата,people,NA,word,understands; produces,NA,item_277,brother,brother
сестра/имя сестры,people,NA,word,understands; produces,NA,item_278,sister,sister
няня,people,NA,word,understands; produces,NA,item_279,nurse/babysitter,babysitter
девочка,people,NA,word,understands; produces,NA,item_280,girl,girl
мальчик,people,NA,word,understands; produces,NA,item_281,boy,boy
малыш,people,NA,word,understands; produces,NA,item_282,baby,baby
дети,people,NA,word,understands; produces,NA,item_283,children,child
дядя,people,NA,word,understands; produces,NA,item_284,uncle,uncle
тетя,people,NA,word,understands; produces,NA,item_285,aunt,aunt
доктор/врач,people,NA,word,understands; produces,NA,item_286,doctor,doctor
имя ребенка,people,NA,word,understands; produces,NA,item_287,child´s own name,child's own name
имя папы,people,NA,word,understands; produces,NA,item_288,father´s name,father's name
имя мамы,people,NA,word,understands; produces,NA,item_289,mother´s name,mother's name
имена знакомых детей,people,NA,word,understands; produces,NA,item_290,names of friends,friends' names
клички домашних животных,people,NA,word,understands; produces,NA,item_291,pet's name,pet's name
люди,people,NA,word,understands; produces,NA,item_292,people,people
человек,people,NA,word,understands; produces,NA,item_293,man,person
ай-я-яй,games_routines,NA,word,understands; produces,NA,item_294,uh oh,uh oh
брысь/кыш,games_routines,NA,word,understands; produces,NA,item_295,don't,don't
пока,games_routines,NA,word,understands; produces,NA,item_296,bye,bye
привет,games_routines,NA,word,understands; produces,NA,item_297,hi/hallo,hi
на (возьми),games_routines,NA,word,understands; produces,NA,item_298,here (take),here you go
надо/нужно,games_routines,NA,word,understands; produces,NA,item_299,need,need
не буду,games_routines,NA,word,understands; produces,NA,item_300,don´t,no
не хочу,games_routines,NA,word,understands; produces,NA,item_301,don´t,no
да,games_routines,NA,word,understands; produces,NA,item_302,yes,yes
нет (routine),games_routines,NA,word,understands; produces,NA,item_303,no,no
нельзя,games_routines,NA,word,understands; produces,NA,item_304,no/don´t,don't
можно,games_routines,NA,word,understands; produces,NA,item_305,can/let me,can (auxiliary)
спасибо,games_routines,NA,word,understands; produces,NA,item_306,thank you,thank you
ку-ку,games_routines,NA,word,understands; produces,NA,item_307,peekaboo,peekaboo
тю-тю,games_routines,NA,word,understands; produces,NA,item_308,hide and seek,hide and seek
вот так!,games_routines,NA,word,understands; produces,NA,item_309,like this,like this
кто там?,games_routines,NA,word,understands; produces,NA,item_310,who´s there?,who's there
бегать/бежать,action_words,NA,word,understands; produces,NA,item_311,run,run
бояться,action_words,NA,word,understands; produces,NA,item_312,afraid of,be scared
брать/взять,action_words,NA,word,understands; produces,NA,item_313,take,take
бросать,action_words,NA,word,understands; produces,NA,item_314,throw,throw
включить,action_words,NA,word,understands; produces,NA,item_315,turn on,turn on
вставать,action_words,NA,word,understands; produces,NA,item_316,get up,wake
вытирать,action_words,NA,word,understands; produces,NA,item_317,wipe,wipe
гулять,action_words,NA,word,understands; produces,NA,item_318,go for a walk,walk
дать,action_words,NA,word,understands; produces,NA,item_319,give,give
делать,action_words,NA,word,understands; produces,NA,item_320,make,make
дуть,action_words,NA,word,understands; produces,NA,item_321,blow,blow
есть,action_words,NA,word,understands; produces,NA,item_322,eat,eat
ездить/ехать,action_words,NA,word,understands; produces,NA,item_323,drive,drive
закрыть,action_words,NA,word,understands; produces,NA,item_324,close,close
залезть,action_words,NA,word,understands; produces,NA,item_325,climb,climb
играть,action_words,NA,word,understands; produces,NA,item_326,play,play
идти,action_words,NA,word,understands; produces,NA,item_327,go,go
искать,action_words,NA,word,understands; produces,NA,item_328,look for,look for
какать,action_words,NA,word,understands; produces,NA,item_329,dump,go potty
катать/кататься,action_words,NA,word,understands; produces,NA,item_330,ride,ride
качать/качаться,action_words,NA,word,understands; produces,NA,item_331,swing,swing (action)
класть,action_words,NA,word,understands; produces,NA,item_332,put,put
копать,action_words,NA,word,understands; produces,NA,item_333,dig/shovel,dig
кормить,action_words,NA,word,understands; produces,NA,item_334,feed,feed
купать/купаться,action_words,NA,word,understands; produces,NA,item_335,bath/give a bath,bathe
кусать/кусаться,action_words,NA,word,understands; produces,NA,item_336,bite,bite
кушать,action_words,NA,word,understands; produces,NA,item_337,eat,eat
лежать,action_words,NA,word,understands; produces,NA,item_338,lie,lie down
любить,action_words,NA,word,understands; produces,NA,item_339,love,love
мыть/мыться,action_words,NA,word,understands; produces,NA,item_340,wash,wash
принести,action_words,NA,word,understands; produces,NA,item_341,bring,bring
обнять,action_words,NA,word,understands; produces,NA,item_342,hug,hug
одеть,action_words,NA,word,understands; produces,NA,item_343,dress (action),dress (action)
открыть,action_words,NA,word,understands; produces,NA,item_344,open,open (action)
пúсать,action_words,NA,word,understands; produces,NA,item_345,tinkle/wee,go potty
падать,action_words,NA,word,understands; produces,NA,item_346,fall,fall
петь,action_words,NA,word,understands; produces,NA,item_347,sing,sing
пить,action_words,NA,word,understands; produces,NA,item_348,drink,drink (action)
плакать,action_words,NA,word,understands; produces,NA,item_349,cry,cry
подметать,action_words,NA,word,understands; produces,NA,item_350,sweep,sweep
показать,action_words,NA,word,understands; produces,NA,item_351,show,show
положить,action_words,NA,word,understands; produces,NA,item_352,put,put
прыгать,action_words,NA,word,understands; produces,NA,item_353,jump,jump
прятать/прятаться,action_words,NA,word,understands; produces,NA,item_354,hide,hide
сидеть,action_words,NA,word,understands; produces,NA,item_355,sit,sit
слушать/слышать,action_words,NA,word,understands; produces,NA,item_356,hear,hear
смотреть,action_words,NA,word,understands; produces,NA,item_357,look,look
снимать,action_words,NA,word,understands; produces,NA,item_358,take off,remove
собирать,action_words,NA,word,understands; produces,NA,item_359,pick,collect
спать,action_words,NA,word,understands; produces,NA,item_360,sleep,sleep
стоять,action_words,NA,word,understands; produces,NA,item_361,stand,stand
танцевать,action_words,NA,word,understands; produces,NA,item_362,dance,dance
хлопать,action_words,NA,word,understands; produces,NA,item_363,clap,clap
хотеть,action_words,NA,word,understands; produces,NA,item_364,want,want
ходить,action_words,NA,word,understands; produces,NA,item_365,go/walk,walk
целовать,action_words,NA,word,understands; produces,NA,item_366,kiss,kiss
читать,action_words,NA,word,understands; produces,NA,item_367,read,read
большой,descriptive_words (adjectives),NA,word,understands; produces,NA,item_368,big,big
вкусный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_369,tasty,tasty
голодный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_370,hungry,hungry
голый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_371,bare/naked,naked
горячий,descriptive_words (adjectives),NA,word,understands; produces,NA,item_372,hot,hot
громкий,descriptive_words (adjectives),NA,word,understands; produces,NA,item_373,loud,loud
грязный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_374,yucky,dirty
игрушечный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_375,toy,toy (description)
красивый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_376,pretty,pretty
маленький,descriptive_words (adjectives),NA,word,understands; produces,NA,item_377,little,little (description)
мокрый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_378,wet,wet (description)
плохой,descriptive_words (adjectives),NA,word,understands; produces,NA,item_379,bad,bad
сладкий,descriptive_words (adjectives),NA,word,understands; produces,NA,item_380,sweet,sweet
страшный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_381,scary,scary
теплый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_382,warm,warm
тяжелый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_383,heavy,heavy
холодный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_384,cold,cold
хороший,descriptive_words (adjectives),NA,word,understands; produces,NA,item_385,good/nice,good
чистый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_386,clean,clean (description)
белый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_387,white,white
желтый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_388,yellow,yellow
зеленый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_389,green,green
красный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_390,red,red
оранжевый,descriptive_words (adjectives),NA,word,understands; produces,NA,item_391,orange,orange (description)
синий,descriptive_words (adjectives),NA,word,understands; produces,NA,item_392,blue,blue
черный,descriptive_words (adjectives),NA,word,understands; produces,NA,item_393,black,black
больно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_394,paintfully/boo-boo,painful
быстро,descriptive_words (adverbs),NA,word,understands; produces,NA,item_395,quick (quickly),quick
вкусно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_396,tastefully,yummy
горячо,descriptive_words (adverbs),NA,word,understands; produces,NA,item_397,hot,hot
громко,descriptive_words (adverbs),NA,word,understands; produces,NA,item_398,loud (loudly),loud
грязно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_399,dirty,dirty
красиво,descriptive_words (adverbs),NA,word,understands; produces,NA,item_400,beautifully,beautiful
мокро,descriptive_words (adverbs),NA,word,understands; produces,NA,item_401,wet,wet
осторожно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_402,carefully/be carefull,careful
плохо,descriptive_words (adverbs),NA,word,understands; produces,NA,item_403,badly/poorly,bad
сладко,descriptive_words (adverbs),NA,word,understands; produces,NA,item_404,sweet,sweet
темно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_405,dark,dark
тепло,descriptive_words (adverbs),NA,word,understands; produces,NA,item_406,warm,warm
тихо/тише,descriptive_words (adverbs),NA,word,understands; produces,NA,item_407,quietly/shh,quiet
тяжело,descriptive_words (adverbs),NA,word,understands; produces,NA,item_408,heavily,heavy
холодно,descriptive_words (adverbs),NA,word,understands; produces,NA,item_409,cold,cold
хорошо,descriptive_words (adverbs),NA,word,understands; produces,NA,item_410,good,good
чисто,descriptive_words (adverbs),NA,word,understands; produces,NA,item_411,cleanly,clean (description)
днем,time_words,NA,word,understands; produces,NA,item_412,in the afternoon,day
ночью,time_words,NA,word,understands; produces,NA,item_413,by night,night
утром,time_words,NA,word,understands; produces,NA,item_414,in the morning,morning
завтра,time_words,NA,word,understands; produces,NA,item_415,tomorrow,tomorrow
вчера,time_words,NA,word,understands; produces,NA,item_416,yesterday,yesterday
поздно/позже,time_words,NA,word,understands; produces,NA,item_417,late/later,late
рано,time_words,NA,word,understands; produces,NA,item_418,early,early
потом,time_words,NA,word,understands; produces,NA,item_419,aften/later/then,later
сейчас,time_words,NA,word,understands; produces,NA,item_420,now,now
мне/меня,pronouns,NA,word,understands; produces,NA,item_421,me,1SG
мой/моя,pronouns,NA,word,understands; produces,NA,item_422,my/mine,1SG.POSS
мы,pronouns,NA,word,understands; produces,NA,item_423,we,1PL
наш,pronouns,NA,word,understands; produces,NA,item_424,our,1PL.POSS
