uni_list,itemID,item,type,category,choices,definition,
bye,item_186,,word,games_routines,understands; produces,빠이빠이,
bzzz,item_12,,word,sounds,understands; produces,윙,
cabbage,,,,,,,
cacao,,,,,,,
cake,,,,,,,
calf,item_35,,word,animals,understands; produces,소/송아지,
camera,,,,,,,
can,,,,,,,
can (auxiliary),,,,,,,
candle,,,,,,,
candy,item_106,,word,food_drink,understands; produces,사탕,
cap,item_66,,word,clothing,understands; produces,모자,
car,item_20,,word,vehicles,understands; produces,차/자동차,
careful,,,,,,,
carefully,,,,,,,
carpet,,,,,,,
carrots,,,,,,,
carry,item_224,,word,action_words,understands; produces,(가방)들어,
cat,item_24,,word,animals,understands; produces,고양이,
catch,,,,,,,
caw,,,,,,,
cereal,,,,,,,
chair,item_138,,word,furniture_rooms,understands; produces,의자,
cheek,,,,,,,
cheerios,,,,,,,
cheese,item_115,,word,food_drink,understands; produces,치즈,
chick,,,,,,,
chicken (animal),item_28,,word,animals,understands; produces,닭,
chicken (food),,,,,,,
child,,,,,,,
child's own name,item_173,,word,people,understands; produces,아동 이름,
children,,,,,,,
chili,,,,,,,
chin,,,,,,,
chocolate,item_114,,word,food_drink,understands; produces,초콜렛,
choo choo,item_14,,word,sounds,understands; produces,칙칙폭폭,
church,,,,,,,
cigarette,,,,,,,
clap,item_228,,word,action_words,understands; produces,박수쳐,
clean (action),,,,,,,
clean (description),,,,,,,
cleanly,,,,,,,
clementine,,,,,,,
click,,,,,,,
climb,item_242,,word,action_words,understands; produces,올라가,
clock,item_124,,word,household,understands; produces,시계,
clop clop,,,,,,,
close,item_223,,word,action_words,understands; produces,닫아,
closed (description),,,,,,,
closet,,,,,,,
cloth,,,,,,,
cloud,,,,,,,
clouds,,,,,,,
clown,,,,,,,
cluck,item_1,,word,sounds,understands; produces,꼬끼오,
coat,,,,,,,
cockadoodledoo,item_1,,word,sounds,understands; produces,꼬끼오,
coffee,,,,,,,
cold,item_272,,word,descriptive_words,understands; produces,추워,
coldly,,,,,,,
collect,,,,,,,
comb (action),item_231,,word,action_words,understands; produces,빗어,
comb (object),item_121,,word,household,understands; produces,빗,
come,item_241,,word,action_words,understands; produces,와,
come on,,,,,,,
compote,,,,,,,
computer,,,,,,,
cookie,item_87,,word,food_drink,understands; produces,과자/까까,
corridor,,,,,,,
cottage cheese,,,,,,,
couch,,,,,,,
cough,,,,,,,
count,,,,,,,
country,,,,,,,
cousin,,,,,,,
cover,,,,,,,
cow,item_35,,word,animals,understands; produces,소/송아지,
cracker,item_87,,word,food_drink,understands; produces,과자/까까,
cradle,,,,,,,
crayon,,,,,,,
crib,,,,,,,
croak,,,,,,,
crocodile,item_36,,word,animals,understands; produces,악어,
crow,,,,,,,
cry,item_243,,word,action_words,understands; produces,울어,
cucumber,,,,,,,
cup,item_133,,word,household,understands; produces,컵,
cupboard,,,,,,,
curtain,,,,,,,
cut it out,,,,,,,
cute,,,,,,,
daddy,item_166,,word,people,understands; produces,아빠,
dance,item_302,,gestures_games,,no; yes,춤추기,
dark,item_256,,word,descriptive_words,understands; produces,깜깜해,
darkly,,,,,,,
day,,,,,,,
deer,,,,,,,
descend,,,,,,,
diaper,item_64,,word,clothing,understands; produces,기저귀,
die,,,,,,,
different,,,,,,,
dig,,,,,,,
dinner,,,,,,,
dirtily,,,,,,,
dirty,item_195,,word,games_routines,understands; produces,지지,
dish,,,,,,,
do,item_252,,word,action_words,understands; produces,해,
doctor,,,,,,,
dog,item_22,,word,animals,understands; produces,개/멍멍이,
doll,item_79,,word,toys,understands; produces,인형,
don't,item_196,,word,games_routines,understands; produces,하지마,
don't,item_238,,word,action_words,understands; produces,안해,
donkey,,,,,,,
door,item_135,,word,furniture_rooms,understands; produces,문,
down,,,,,,,
down (stairs),,,,,,,
draw,item_212,,word,action_words,understands; produces,그려,
drawer,,,,,,,
dress,item_70,,word,clothing,understands; produces,옷/꼬까,
dress (action),item_247,,word,action_words,understands; produces,입어,
dress (object),,,,,,,
drink (action),,,,,,,
drink (beverage),,,,,,,
drip drop,,,,,,,
drive,item_327,,gestures_adult,,no; yes,차 운전대를 보고 몰려고 한다,
drop,,,,,,,
drum,,,,,,,
dry (action),,,,,,,
dry (description),,,,,,,
duck,item_37,,word,animals,understands; produces,오리,
dump,,,,,,,
dust,,,,,,,
dustpan,,,,,,,
ear,item_44,,word,body_parts,understands; produces,귀,
early,,,,,,,
earth,,,,,,,
easy,,,,,,,
eat,item_227,,word,action_words,understands; produces,먹어,
eat breakfast,,,,,,,
eat dinner,,,,,,,
egg,item_84,,word,food_drink,understands; produces,계란/달걀,
elephant,item_39,,word,animals,understands; produces,코끼리,
elevator,,,,,,,
elk,,,,,,,
empty,,,,,,,
enough,,,,,,,
enter,,,,,,,
evening,,,,,,,
everyone,,,,,,,
eye,item_45,,word,body_parts,understands; produces,눈,
face,item_55,,word,body_parts,understands; produces,얼굴,
fall,,,,,,,
family,,,,,,,
far,,,,,,,
fast,item_209,,word,quantifiers,understands; produces,빨리,
fat,,,,,,,
father's name,,,,,,,
faucet,,,,,,,
fawn,,,,,,,
feed,item_334,,gestures_parent,,no; yes,우유병으로 먹인다,
feet,item_51,,word,body_parts,understands; produces,발,
field,,,,,,,
fight,,,,,,,
find,,,,,,,
fine,item_270,,word,descriptive_words,understands; produces,좋아,
finger,,,,,,,
finish,,,,,,,
finished,,,,,,,
fir,,,,,,,
fire,item_156,,word,outside,understands; produces,불,
fireplace,,,,,,,
firetruck,item_18,,word,vehicles,understands; produces,불자동차/소방차,
fish (animal),item_31,,word,animals,understands; produces,물고기,
fish (food),,,,,,,
flee,,,,,,,
flip,,,,,,,
floor,,,,,,,
flower,item_149,,word,outside,understands; produces,꽃,
flowerpot,,,,,,,
fly,,,,,,,
fly (action),,,,,,,
food,item_97,,word,food_drink,understands; produces,맘마,
foot,item_51,,word,body_parts,understands; produces,발,
for,,,,,,,
forehead,,,,,,,
fork,,,,,,,
fox,,,,,,,
friend,item_174,,word,people,understands; produces,친구,
friends' names,,,,,,,
frog,item_23,,word,animals,understands; produces,개구리,
front,,,,,,,
frost,,,,,,,
fruit,,,,,,,
full,,,,,,,
funny,,,,,,,
garage,,,,,,,
garden,,,,,,,
gentle,,,,,,,
get,,,,,,,
get off,,,,,,,
get up,item_245,,word,action_words,understands; produces,일어나,
get wet,,,,,,,
giraffe,item_26,,word,animals,understands; produces,기린,
girl,,,,,,,
give,,,,,,,
glass,,,,,,,
glasses,item_125,,word,household,understands; produces,안경,
gloves,item_71,,word,clothing,understands; produces,장갑,
go,item_210,,word,action_words,understands; produces,가,
go eat,,,,,,,
go for a walk,,,,,,,
go out,item_215,,word,action_words,understands; produces,나가,
go potty,,,,,,,
go to bed,item_248,,word,action_words,understands; produces,(잠)자,
go-ahead,,,,,,,
goal,,,,,,,
goat,,,,,,,
gobble gobble,,,,,,,
godfather,,,,,,,
godmother,,,,,,,
good,item_270,,word,descriptive_words,understands; produces,좋아,
good boy/girl,,,,,,,
good morning,,,,,,,
good night,,,,,,,
goose,,,,,,,
grandma,item_175,,word,people,understands; produces,할머니,
grandpa,item_176,,word,people,understands; produces,할아버지,
grapes,item_117,,word,food_drink,understands; produces,포도,
grass,,,,,,,
great grandma,,,,,,,
great grandpa,,,,,,,
green,,,,,,,
greet,,,,,,,
grocery,,,,,,,
ground,item_154,,word,outside,understands; produces,땅,
grrr,,,,,,,
hair,,,,,,,
hairdresser,,,,,,,
ham,,,,,,,
hammer,,,,,,,
hand,item_54,,word,body_parts,understands; produces,손,
hands up,,,,,,,
happy,,,,,,,
hard,,,,,,,
hat,item_66,,word,clothing,understands; produces,모자,
have,,,,,,,
have hands,,,,,,,
he,,,,,,,
head,item_49,,word,body_parts,understands; produces,머리,
hear,,,,,,,
heavily,,,,,,,
heavy,,,,,,,
hedgehog,,,,,,,
hee haw,,,,,,,
hello,item_191,,word,games_routines,understands; produces,안녕,
help,,,,,,,
hen,,,,,,,
her,,,,,,,
here,item_201,,word,pronouns,understands; produces,여기,
here (take),,,,,,,
hi,item_191,,word,games_routines,understands; produces,안녕,
hide,,,,,,,
hide and seek,,,,,,,
high,,,,,,,
high chair,,,,,,,
him,,,,,,,
himself/herself,,,,,,,
hippopotamus,item_41,,word,animals,understands; produces,하마,
his,,,,,,,
hit,item_225,,word,action_words,understands; produces,때려,
hold,,,,,,,
home,item_146,,word,places,understands; produces,집,
honey,item_93,,word,food_drink,understands; produces,꿀,
honk honk,item_8,,word,sounds,understands; produces,빵빵,
hop,,,,,,,
horse,item_30,,word,animals,understands; produces,말,
hot,item_258,,word,descriptive_words,understands; produces,뜨거워,
hot dog,,,,,,,
hotly,,,,,,,
house,item_146,,word,places,understands; produces,집,
how,,,,,,,
how much,,,,,,,
hug,item_237,,word,action_words,understands; produces,안아,
hungry,,,,,,,
hurry,,,,,,,
hurt,,,,,,,
i,,,,,,,
ice cream,item_109,,word,food_drink,understands; produces,아이스크림,
in,item_148,,word,places,understands; produces,안,
in front,,,,,,,
inside,item_148,,word,places,understands; produces,안,
it,,,,,,,
jacket,,,,,,,
jam,,,,,,,
jar,,,,,,,
jeans,item_67,,word,clothing,understands; produces,바지,
jeep,,,,,,,
juice,item_113,,word,food_drink,understands; produces,주스,
jump,,,,,,,
kangaroo,,,,,,,
keys,item_127,,word,household,understands; produces,열쇠,
kick,item_250,,word,action_words,understands; produces,(공)차,
kid (goat),,,,,,,
kindergarten,,,,,,,
kiss,item_187,,word,games_routines,understands; produces,뽀뽀,
kiss,,,,,,,
kitchen,,,,,,,
kitty,,,,,,,
knee,,,,,,,
knife,item_132,,word,household,understands; produces,칼,
knock knock,item_5,,word,sounds,understands; produces,똑똑,
ladder,,,,,,,
lady,,,,,,,
ladybug,,,,,,,
lah lah,,,,,,,
lamb,,,,,,,
lamp,,,,,,,
late,,,,,,,
later,,,,,,,
laugh,item_244,,word,action_words,understands; produces,웃어,
lawn,,,,,,,
leaf,,,,,,,
leave,,,,,,,
leg,item_46,,word,body_parts,understands; produces,다리,
lemon,,,,,,,
lick,,,,,,,
lie,item_221,,word,action_words,understands; produces,누워,
lift,,,,,,,
light,,,,,,,
light (action),,,,,,,
like this,,,,,,,
lion,item_33,,word,animals,understands; produces,사자,
little (amount),,,,,,,
little (description),,,,,,,
living room,,,,,,,
lock,,,,,,,
locomotive,,,,,,,
lollipop,,,,,,,
look,item_230,,word,action_words,understands; produces,봐,
look at me,,,,,,,
look for,,,,,,,
loud,,,,,,,
loudly,,,,,,,
love,item_233,,word,action_words,understands; produces,사랑해,
lower,,,,,,,
lullaby,,,,,,,
lunch,,,,,,,
lunchtime,,,,,,,
make,,,,,,,
man,item_167,,word,people,understands; produces,아저씨,
many,item_259,,word,descriptive_words,understands; produces,많아,
many,item_208,,word,quantifiers,understands; produces,많이,
market,,,,,,,
me,,,,,,,
meat,item_86,,word,food_drink,understands; produces,고기,
meatball,,,,,,,
medicine,item_126,,word,household,understands; produces,약,
meow,item_9,,word,sounds,understands; produces,야옹,
milk,item_112,,word,food_drink,understands; produces,우유,
mine,,,,,,,
mirror,,,,,,,
mittens,item_71,,word,clothing,understands; produces,장갑,
moment,,,,,,,
mommy,item_170,,word,people,understands; produces,엄마,
money,item_119,,word,household,understands; produces,돈,
monkey,,,,,,,
moo,item_13,,word,sounds,understands; produces,음매,
moon,item_152,,word,outside,understands; produces,달,
more,item_206,,word,quantifiers,understands; produces,더,
morning,,,,,,,
mosquito,,,,,,,
mother's name,,,,,,,
motorcycle,,,,,,,
mouse,item_38,,word,animals,understands; produces,쥐,
moustache,,,,,,,
mouth,item_58,,word,body_parts,understands; produces,입,
much,,,,,,,
mud,,,,,,,
music,,,,,,,
my,,,,,,,
nail,,,,,,,
nails,,,,,,,
naked,,,,,,,
nap,,,,,,,
naughty,,,,,,,
neck,item_50,,word,body_parts,understands; produces,목,
necklace,,,,,,,
need,,,,,,,
neigh,,,,,,,
neighbor,,,,,,,
new,,,,,,,
nice,item_270,,word,descriptive_words,understands; produces,좋아,
night,,,,,,,
nightgown,,,,,,,
no,item_190,,word,games_routines,understands; produces,아니,
no,item_192,,word,games_routines,understands; produces,안돼,
no more,,,,,,,
no one,,,,,,,
none,,,,,,,
noodles,,,,,,,
nose,item_60,,word,body_parts,understands; produces,코,
not,,,,,,,
not/none,,,,,,,
nothing,item_267,,word,descriptive_words,understands; produces,없어/없다,
now,,,,,,,
of,,,,,,,
off,,,,,,,
oh,,,,,,,
oink,item_4,,word,sounds,understands; produces,꿀꿀,
ok,,,,,,,
old,,,,,,,
olive,,,,,,,
on,,,,,,,
one two three,,,,,,,
opa,,,,,,,
open,item_240,,word,action_words,understands; produces,열어,
open (description),,,,,,,
opened,,,,,,,
orange (description),,,,,,,
orange (food),,,,,,,
other,,,,,,,
ouch,,,,,,,
our,,,,,,,
out,,,,,,,
outing,,,,,,,
outside,item_144,,word,places,understands; produces,밖/바깥,
oven,,,,,,,
overalls,,,,,,,
owie,,,,,,,
owl,,,,,,,
pacifier,,,,,,,
painfully,,,,,,,
paint,,,,,,,
pajamas,,,,,,,
pancake,,,,,,,
pants,item_67,,word,clothing,understands; produces,바지,
pap,,,,,,,
paper,item_77,,word,toys,understands; produces,종이,
park,,,,,,,
parrot,,,,,,,
party,,,,,,,
pass,,,,,,,
pasta,,,,,,,
pastry,,,,,,,
pattycake,,,,,,,
peach,,,,,,,
peacock,,,,,,,
peanut,,,,,,,
pear,item_103,,word,food_drink,understands; produces,배,
peas,,,,,,,
pee,item_189,,word,games_routines,understands; produces,쉬,
peekaboo,item_179,,word,games_routines,understands; produces,까꿍,
peep peep,,,,,,,
pen,,,,,,,
penguin,,,,,,,
penis,item_43,,word,body_parts,understands; produces,고추,
penny,,,,,,,
people,,,,,,,
pepper,,,,,,,
person,,,,,,,
pet's name,,,,,,,
phone,item_129,,word,household,understands; produces,전화,
photos,item_76,,word,toys,understands; produces,사진,
picture,,,,,,,
pig,item_29,,word,animals,understands; produces,돼지,
pillow,item_137,,word,furniture_rooms,understands; produces,베개,
pipe,,,,,,,
pita,,,,,,,
pizza,,,,,,,
plant,,,,,,,
plate,,,,,,,
play,item_220,,word,action_words,understands; produces,놀아,
play pen,,,,,,,
playground,item_143,,word,places,understands; produces,놀이터,
please,item_277,,word,function_words,understands; produces,-줘(빼줘),please
policeman,,,,,,,
pony,,,,,,,
pool,,,,,,,
poop,,,,,,,
porch,,,,,,,
porridge,,,,,,,
pot,,,,,,,
potato,,,,,,,
potty,,,,,,,
present,,,,,,,
press,,,,,,,
pretend,,,,,,,
pretty,item_268,,word,descriptive_words,understands; produces,예뻐,
pretzel,,,,,,,
pudding,,,,,,,
puddle,,,,,,,
pull,,,,,,,
puppy,item_22,,word,animals,understands; produces,개/멍멍이,
purse,,,,,,,
push,,,,,,,
put,,,,,,,
put in,item_218,,word,action_words,understands; produces,넣어,
put on,item_311,,gestures_objects,,no; yes,양말 또는 신발을 신는다,
put out,,,,,,,
quack quack,item_3,,word,sounds,understands; produces,꽥꽥,
quesadilla,,,,,,,
quick,,,,,,,
quickly,item_209,,word,quantifiers,understands; produces,빨리,
quietly,,,,,,,
radio,,,,,,,
rag,,,,,,,
rain,item_157,,word,outside,understands; produces,비,
raisin,,,,,,,
rattle,,,,,,,
read,item_246,,word,action_words,understands; produces,읽어,
red,,,,,,,
refrigerator,item_134,,word,furniture_rooms,understands; produces,냉장고,
remote control,,,,,,,
rice,item_108,,word,food_drink,understands; produces,쌀,
ride,item_251,,word,action_words,understands; produces,(차)타,
ring ring,,,,,,,
road,,,,,,,
rock,item_153,,word,outside,understands; produces,돌,
rock (action),,,,,,,
rocking chair,,,,,,,
roof,,,,,,,
room,item_136,,word,furniture_rooms,understands; produces,방,
rooster,,,,,,,
rope,,,,,,,
row row your boat,,,,,,,
run,,,,,,,
sabbath,,,,,,,
sad,,,,,,,
salty,,,,,,,
same,item_254,,word,descriptive_words,understands; produces,같아/똑같아,
sand,,,,,,,
sandals,,,,,,,
sandwich,,,,,,,
sauce,,,,,,,
save,,,,,,,
say,,,,,,,
scared,item_262,,word,descriptive_words,understands; produces,무서워,
scarf,,,,,,,
scary,item_262,,word,descriptive_words,understands; produces,무서워,
schnitzel,,,,,,,
school,item_147,,word,places,understands; produces,학교,
scissors,item_118,,word,household,understands; produces,가위,
sea,,,,,,,
see,item_230,,word,action_words,understands; produces,봐,
seek,,,,,,,
self,,,,,,,
semolina,,,,,,,
shake,,,,,,,
shame,,,,,,,
she,,,,,,,
sheep,,,,,,,
shh,,,,,,,
ship,,,,,,,
shirt,,,,,,,
shoe,item_68,,word,clothing,understands; produces,신/신발,
shorts,,,,,,,
should,,,,,,,
shout,,,,,,,
shovel,,,,,,,
show,,,,,,,
shower,,,,,,,
shut up,,,,,,,
shutter,,,,,,,
sibling,,,,,,,
sick,item_266,,word,descriptive_words,understands; produces,아파,
sing,item_219,,word,action_words,understands; produces,노래해,
sing,,,,,,,
sink,,,,,,,
sir,,,,,,,
sister,,,,,,,
sit,item_239,,word,action_words,understands; produces,앉아,
skirt,,,,,,,
sky,item_159,,word,outside,understands; produces,하늘,
sleep,item_248,,word,action_words,understands; produces,(잠)자,
sleepy,,,,,,,
slide (object),,,,,,,
slipper,,,,,,,
slow,,,,,,,
smart,,,,,,,
smell,,,,,,,
smile,item_244,,word,action_words,understands; produces,웃어,
snake,,,,,,,
snow,item_151,,word,outside,understands; produces,눈,
snowsuit,,,,,,,
soap,item_120,,word,household,understands; produces,비누,
sock,item_69,,word,clothing,understands; produces,양말,
soda,,,,,,,
soft,,,,,,,
some,,,,,,,
some more,,,,,,,
someone,,,,,,,
somersault,,,,,,,
soup,item_88,,word,food_drink,understands; produces,국,
spade,,,,,,,
spaghetti,,,,,,,
sparrow,,,,,,,
spider,,,,,,,
spill,,,,,,,
spinach,,,,,,,
spit,,,,,,,
splash,,,,,,,
spoon,item_123,,word,household,understands; produces,숟가락,
squeak,,,,,,,
squirrel,,,,,,,
sss,,,,,,,
stairs,,,,,,,
stand,,,,,,,
star,item_155,,word,outside,understands; produces,별,
stick,,,,,,,
stomp stomp,,,,,,,
stone,item_153,,word,outside,understands; produces,돌,
stop,,,,,,,
store,,,,,,,
stove,,,,,,,
street,,,,,,,
strike,,,,,,,
stroller,,,,,,,
sugar,,,,,,,
sun,item_160,,word,outside,understands; produces,해,
surprise,,,,,,,
swallow,,,,,,,
sweater,,,,,,,
sweep,,,,,,,
sweet,,,,,,,
sweetly,,,,,,,
swim,,,,,,,
swimsuit,,,,,,,
swing (action),,,,,,,
swing (object),,,,,,,
table,,,,,,,
tablecloth,,,,,,,
tahini,,,,,,,
take,,,,,,,
take away,,,,,,,
take in (arms),,,,,,,
take off,item_229,,word,action_words,understands; produces,벗어,
take out,item_232,,word,action_words,understands; produces,빼,
talk,item_343,,gestures_parent,,no; yes,인형에게 말한다,
tank top,,,,,,,
tastily,,,,,,,
tasty,item_260,,word,descriptive_words,understands; produces,맛있어,
tea,,,,,,,
teacher,item_164,,word,people,understands; produces,선생님,
teapot,,,,,,,
tear,,,,,,,
teddybear,,,,,,,
telephone,item_129,,word,household,understands; produces,전화,
tell,,,,,,,
ten fingers,,,,,,,
thank you,item_255,,word,descriptive_words,understands; produces,고마워,
that,item_203,,word,pronouns,understands; produces,저거,
the,,,,,,,
them,,,,,,,
there,item_197,,word,pronouns,understands; produces,거기,
these,,,,,,,
they,,,,,,,
thin,,,,,,,
thirsty,,,,,,,
this,item_202,,word,pronouns,understands; produces,이거/요거,
those,,,,,,,
throw,,,,,,,
thumb,,,,,,,
thump,,,,,,,
tick tock,,,,,,,
tickle,item_253,,word,descriptive_words,understands; produces,간지러워,
tiger,item_42,,word,animals,understands; produces,호랑이,
tights,,,,,,,
time,,,,,,,
tired,,,,,,,
tissue,,,,,,,
to,,,,,,,
to slap,,,,,,,
to you,,,,,,,
toast,,,,,,,
today,,,,,,,
toe,,,,,,,
tomato,,,,,,,
tomorrow,,,,,,,
tongue,,,,,,,
tonight,,,,,,,
tooth,item_57,,word,body_parts,understands; produces,이/이빨,
toothbrush,item_131,,word,household,understands; produces,칫솔,
top,,,,,,,
tortilla,,,,,,,
touch,,,,,,,
towel,item_122,,word,household,understands; produces,수건,
tower,,,,,,,
toy (description),,,,,,,
toy (object),,,,,,,
tracksuit,,,,,,,
tractor,,,,,,,
train,item_15,,word,vehicles,understands; produces,기차,
tram,,,,,,,
trash,,,,,,,
travel,,,,,,,
tree,item_150,,word,outside,understands; produces,나무,
truck,,,,,,,
tummy,item_52,,word,body_parts,understands; produces,배,
turkey,,,,,,,
turn,,,,,,,
turn around,,,,,,,
turn off,item_214,,word,action_words,understands; produces,(불)꺼,
turn on,,,,,,,
turtle,,,,,,,
tv,,,,,,,
tweet tweet,,,,,,,
ugly,,,,,,,
uh oh,,,,,,,
umbrella,item_128,,word,household,understands; produces,우산,
uncle,item_163,,word,people,understands; produces,삼촌,
under,,,,,,,
underpants,item_72,,word,clothing,understands; produces,팬티,
understand,,,,,,,
underwear,,,,,,,
up,,,,,,,
up (stairs),,,,,,,
us,,,,,,,
vacuum,,,,,,,
vagina,item_43,,word,body_parts,understands; produces,고추,
vest,,,,,,,
village,,,,,,,
voice recorder,,,,,,,
vroom,,,,,,,
wafer,,,,,,,
wait,,,,,,,
wake,,,,,,,
walk,,,,,,,
wall,,,,,,,
wanna,,,,,,,
wardrobe,,,,,,,
warm,,,,,,,
warmly,,,,,,,
wash,item_236,,word,action_words,understands; produces,씻어,
washing machine,,,,,,,
watch (action),,,,,,,
watch (object),item_124,,word,household,understands; produces,시계,
watch out,,,,,,,
water (beverage),item_99,,word,food_drink,understands; produces,물,
water (not beverage),,,,,,,
watermelon,item_107,,word,food_drink,understands; produces,수박,
wave,,,,,,,
we,,,,,,,
wear,item_247,,word,action_words,understands; produces,입어,
weee,,,,,,,
well,,,,,,,
wet,,,,,,,
wetly,,,,,,,
what,item_200,,word,pronouns,understands; produces,뭐/무엇,
when (question),,,,,,,
where,,,,,,,
where (question),,,,,,,
which (question),,,,,,,
white,,,,,,,
who,item_199,,word,pronouns,understands; produces,누구,
who's there,,,,,,,
whose,,,,,,,
why,,,,,,,
wind,,,,,,,
window,,,,,,,
wipe,item_222,,word,action_words,understands; produces,닦아,
with,item_274,,word,function_words,understands; produces,-랑(엄마랑),
wolf,,,,,,,
woman,item_168,,word,people,understands; produces,아줌마,
woof woof,item_6,,word,sounds,understands; produces,멍멍,
work (action),,,,,,,
work (place),,,,,,,
worm,,,,,,,
write,,,,,,,
yard,,,,,,,
yellow,,,,,,,
yes,item_183,,word,games_routines,understands; produces,네/응,
yesterday,,,,,,,
yogurt,item_111,,word,food_drink,understands; produces,요구르트,
yogurt drink,,,,,,,
you,,,,,,,
your,,,,,,,
yucky,,,,,,,
yum yum,item_10,,word,sounds,understands; produces,얌얌,
zipper,,,,,,,
zoo,,,,,,,
NA,,,,,,,
