itemID,item,type,category,choices,definition,gloss,complexity_category
item_330,,word,people,understands; produces,귀신,ghost,
item_331,,word,people,understands; produces,남자,man,
item_332,,word,people,understands; produces,도둑,thief,
item_333,,word,people,understands; produces,동생,younger sibling,
item_334,,word,people,understands; produces,딸,daughter,
item_335,,word,people,understands; produces,사람,human,
item_336,,word,people,understands; produces,삼촌,uncle (maternal),
item_337,,word,people,understands; produces,선생님,teacher,
item_338,,word,people,understands; produces,소방수,fireman,
item_339,,word,people,understands; produces,아기/아가,baby,
item_340,,word,people,understands; produces,아들,son,
item_341,,word,people,understands; produces,아빠,daddy,
item_342,,word,people,understands; produces,아저씨,man,
item_343,,word,people,understands; produces,아줌마,woman,
item_344,,word,people,understands; produces,어른,adult,
item_345,,word,people,understands; produces,언니,older sister (from younger sister),
item_346,,word,people,understands; produces,엄마,mommy,
item_347,,word,people,understands; produces,여자,woman,
item_348,,word,people,understands; produces,오빠,older brother (from younger sister),
item_349,,word,people,understands; produces,왕자,prince,
item_350,,word,people,understands; produces,우체부,mailman,
item_351,,word,people,understands; produces,의사,doctor,
item_352,,word,people,understands; produces,이모,aunt (maternal),
item_353,,word,people,understands; produces,자기 이름,child's own name,
item_354,,word,people,understands; produces,친구,friend,
item_355,,word,people,understands; produces,할머니,grandma,
item_356,,word,people,understands; produces,할아버지,grandpa,
item_357,,word,people,understands; produces,형,older brother (from younger brother),
item_358,,word,question_words,understands; produces,누구,who,
item_359,,word,question_words,understands; produces,몇,how many,
item_360,,word,question_words,understands; produces,무슨,what kind,
item_361,,word,question_words,understands; produces,무엇/뭐,what,
item_362,,word,question_words,understands; produces,어느,which,
item_363,,word,question_words,understands; produces,어디,where,
item_364,,word,question_words,understands; produces,어디서,where from,
item_365,,word,question_words,understands; produces,어떤,which,
item_366,,word,question_words,understands; produces,어떻게,how,
item_367,,word,question_words,understands; produces,언제,when,
item_368,,word,question_words,understands; produces,왜,why,
item_369,,word,action_words,understands; produces,가,go,
item_370,,word,action_words,understands; produces,가리켜,point,
item_371,,word,action_words,understands; produces,가져,have/get/take,
item_372,,word,action_words,understands; produces,간지럽혀,tickle,
item_373,,word,action_words,understands; produces,건너,cross,
item_374,,word,action_words,understands; produces,걸어,walk,
item_375,,word,action_words,understands; produces,고쳐,fix,
item_376,,word,action_words,understands; produces,공부해,study,
item_377,,word,action_words,understands; produces,그려,draw,
item_378,,word,action_words,understands; produces,기다려,wait,
item_379,,word,action_words,understands; produces,깎아,peel,
item_380,,word,action_words,understands; produces,(컵을)깨,break,
item_381,,word,action_words,understands; produces,(불)꺼,turn off,
item_382,,word,action_words,understands; produces,꺼내,take out,
item_383,,word,action_words,understands; produces,꽂아,put in/stick,
item_384,,word,action_words,understands; produces,끊어져,get cut,
item_385,,word,action_words,understands; produces,끌어,pull,
item_386,,word,action_words,understands; produces,끝내,finish,
item_387,,word,action_words,understands; produces,끼워,put in,
item_388,,word,action_words,understands; produces,나가,go out,
item_389,,word,action_words,understands; produces,나눠가져,share,
item_390,,word,action_words,understands; produces,나와,come out,
item_391,,word,action_words,understands; produces,(물건을)날라,carry,
item_392,,word,action_words,understands; produces,날라가,fly,
item_393,,word,action_words,understands; produces,(차에서)내려,get out of car,
item_394,,word,action_words,understands; produces,내려가,go down,
item_395,,word,action_words,understands; produces,넘어져,fall,
item_396,,word,action_words,understands; produces,(통에)넣어,put in (the case),
item_397,,word,action_words,understands; produces,노래 불러,sing,
item_398,,word,action_words,understands; produces,놀아,play,
item_399,,word,action_words,understands; produces,(물건을)놓아,put down,
item_400,,word,action_words,understands; produces,누워,lie,
item_401,,word,action_words,understands; produces,(무엇을)눌러,push,
item_402,,word,action_words,understands; produces,(무엇에)눌려,be pushed,
item_403,,word,action_words,understands; produces,다녀,go around,
item_404,,word,action_words,understands; produces,다쳐,get hurt,
item_405,,word,action_words,understands; produces,닦아,wipe,
item_406,,word,action_words,understands; produces,닫아,close,
item_407,,word,action_words,understands; produces,달려,run,
item_408,,word,action_words,understands; produces,당겨,pull,
item_409,,word,action_words,understands; produces,던져,throw,
item_410,,word,action_words,understands; produces,덮어,cover,
item_411,,word,action_words,understands; produces,도와,help,
item_412,,word,action_words,understands; produces,돌려,spin,
item_413,,word,action_words,understands; produces,돌아,turn,
item_414,,word,action_words,understands; produces,두드려,knock,
item_415,,word,action_words,understands; produces,(여기에)둬,put in here,
item_416,,word,action_words,understands; produces,(물건을)들어,lift,
item_417,,word,action_words,understands; produces,(소리를)들어,listen,
item_418,,word,action_words,understands; produces,들어가,go in,
item_419,,word,action_words,understands; produces,떄려,hit,
item_420,,word,action_words,understands; produces,(물에)떠,float,
item_421,,word,action_words,understands; produces,떨어뜨려,drop,
item_422,,word,action_words,understands; produces,떨어져,drip,
item_423,,word,action_words,understands; produces,떼(어),get off,
item_424,,word,action_words,understands; produces,뛰어,run,
item_425,,word,action_words,understands; produces,마셔,drink,
item_426,,word,action_words,understands; produces,만들어,make,
item_427,,word,action_words,understands; produces,(빨래/싸움)말려,dry,
item_428,,word,action_words,understands; produces,말해,speak/talk,
item_429,,word,action_words,understands; produces,맛봐,taste,
item_430,,word,action_words,understands; produces,(주사를)맞아,have an injection,
item_431,,word,action_words,understands; produces,(음식을)먹어,eat,
item_432,,word,action_words,understands; produces,(음식을)먹여,feed,
item_433,,word,action_words,understands; produces,멈춰,stop,
item_434,,word,action_words,understands; produces,몰라,I don't know,
item_435,,word,action_words,understands; produces,물어,ask,
item_436,,word,action_words,understands; produces,미워해,hate,
item_437,,word,action_words,understands; produces,밀어,push,
item_438,,word,action_words,understands; produces,(약)발라,put on (medicine),
item_439,,word,action_words,understands; produces,박수쳐,clap,
item_440,,word,action_words,understands; produces,버려,throw away,
item_441,,word,action_words,understands; produces,벗어,take off,
item_442,,word,action_words,understands; produces,보여,see,
item_443,,word,action_words,understands; produces,봐,look,
item_444,,word,action_words,understands; produces,부딪쳐,bump,
item_445,,word,action_words,understands; produces,부숴,smash,
item_446,,word,action_words,understands; produces,(물을)부어,pour,
item_447,,word,action_words,understands; produces,불러,call,
item_448,,word,action_words,understands; produces,(풍선을)불어,blow,
item_449,,word,action_words,understands; produces,붙여,paste,
item_450,,word,action_words,understands; produces,비켜,step aside,
item_451,,word,action_words,understands; produces,빗어,brush,
item_452,,word,action_words,understands; produces,빠져,fall,
item_453,,word,action_words,understands; produces,빨아,wash,
item_454,,word,action_words,understands; produces,빼,take out,
item_455,,word,action_words,understands; produces,뺴앗아,take away,
item_456,,word,action_words,understands; produces,뽀뽀해,kiss,
item_457,,word,action_words,understands; produces,뽑아,pull out (tight fit),
item_458,,word,action_words,understands; produces,(물건을)사,buy,
item_459,,word,action_words,understands; produces,사랑해,love,
item_460,,word,action_words,understands; produces,살아,live,
item_461,,word,action_words,understands; produces,생각해,think,
item_462,,word,action_words,understands; produces,(그 자리에)서,stay,
item_463,,word,action_words,understands; produces,서둘러,hurry,
item_464,,word,action_words,understands; produces,손대,touch,
item_465,,word,action_words,understands; produces,수영해,swim,
item_466,,word,action_words,understands; produces,숨어,hide,
item_467,,word,action_words,understands; produces,시작해,start,
item_468,,word,action_words,understands; produces,신어,put on shoes,
item_469,,word,action_words,understands; produces,(물건을)실어,load,
item_470,,word,action_words,understands; produces,싸워,fight,
item_471,,word,action_words,understands; produces,(글)써,write,
item_472,,word,action_words,understands; produces,(모자)써,wear a hat,
item_473,,word,action_words,understands; produces,쏟아,spill,
item_474,,word,action_words,understands; produces,(총을)쏴,shoot,
item_475,,word,action_words,understands; produces,쓰러져,fall down,
item_476,,word,action_words,understands; produces,씻어,wash,
item_477,,word,action_words,understands; produces,안아,hug,
item_478,,word,action_words,understands; produces,안해,I won't do it,
item_479,,word,action_words,understands; produces,앉아,sit,
item_480,,word,action_words,understands; produces,알아,know,
item_481,,word,action_words,understands; produces,열어,open,
item_482,,word,action_words,understands; produces,올라가,go up,
item_483,,word,action_words,understands; produces,올려,raise,
item_484,,word,action_words,understands; produces,와,come,
item_485,,word,action_words,understands; produces,요리해,cook,
item_486,,word,action_words,understands; produces,운전해,drive,
item_487,,word,action_words,understands; produces,울어,cry,
item_488,,word,action_words,understands; produces,웃어,smile,
item_489,,word,action_words,understands; produces,원해,want,
item_490,,word,action_words,understands; produces,(승부에)이겨,win,
item_491,,word,action_words,understands; produces,이야기해,talk,
item_492,,word,action_words,understands; produces,일어나/일어서,wake up,
item_493,,word,action_words,understands; produces,일해,work,
item_494,,word,action_words,understands; produces,읽어,read,
item_495,,word,action_words,understands; produces,입어,wear,
item_496,,word,action_words,understands; produces,(잠)자,sleep,
item_497,,word,action_words,understands; produces,잘라,cut out,
item_498,,word,action_words,understands; produces,잡아,catch,
item_499,,word,action_words,understands; produces,좋아해,like,
item_500,,word,action_words,understands; produces,죽어,die,
item_501,,word,action_words,understands; produces,줘,give me,
item_502,,word,action_words,understands; produces,쫓아,chase,
