itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_81,Fleisch,meat,food_drink,Fleisch,word,produces,,meat
item_82,Suppe,soup,food_drink,Suppe,word,produces,,soup
item_83,Nudeln,noodles,food_drink,Nudeln,word,produces,,pasta
item_84,Orange/Apfelsine,orange,food_drink,Orange/Apfelsine,word,produces,,orange (food)
item_85,Brötchen,breadroll,food_drink,Brotchen,word,produces,,bun
item_86,Pfannkuchen,pancake,food_drink,Pfannkuchen,word,produces,,pancake
item_87,Fisch,fish,food_drink,Fisch,word,produces,,
item_88,Spaghetti,spaghetti,food_drink,Spaghetti,word,produces,,spaghetti
item_89,Essen,meal,food_drink,Essen,word,produces,,food
item_90,Banane,banana,food_drink,Banane,word,produces,,banana
item_91,Kartoffeln,potatoes,food_drink,Kartoffeln,word,produces,,
item_92,Kuchen,cake,food_drink,Kuchen,word,produces,,cake
item_93,Bonbon,candy,food_drink,Bonbon,word,produces,,
item_94,Tee,tea,food_drink,Tee,word,produces,,tea
item_95,Butterbrot,sandwich,food_drink,Butterbrot,word,produces,,sandwich
item_96,Soße,sauce,food_drink,Sosse,word,produces,,sauce
item_97,Schokolade,chocolate,food_drink,Schokolade,word,produces,,chocolate
item_98,Kaffee,coffee,food_drink,Kaffee,word,produces,,coffee
item_99,Erdbeere,strawberry,food_drink,Erdbeere,word,produces,,
item_100,Toast,toast,food_drink,Toast,word,produces,,toast
item_101,Wasser,water,food_drink,Wasser,word,produces,,water (beverage)
item_102,Joghurt,yoghurt,food_drink,Joghurt,word,produces,,yogurt
item_103,Marmelade,jam,food_drink,Marmelade,word,produces,,jam
item_104,Pizza,pizza,food_drink,Pizza,word,produces,,pizza
item_105,Weintrauben,grapes,food_drink,Weintrauben,word,produces,,grapes
item_106,Brot,bread,food_drink,Brot,word,produces,,bread
item_107,Eis,ice,food_drink,Eis,word,produces,,ice cream
item_108,Möhre,carrot,food_drink,Mohre,word,produces,,
item_109,Salz,salt,food_drink,Salz,word,produces,,
item_110,Käse,cheese,food_drink,Kase,word,produces,,cheese
item_111,Zucker,sugar,food_drink,Zucker,word,produces,,sugar
item_112,Melone,melon,food_drink,Melone,word,produces,,
item_113,Milch,milk,food_drink,Milch,word,produces,,milk
item_114,Keks,cookie,food_drink,Keks,word,produces,,cookie
item_115,Nüsse,nuts,food_drink,Nusse,word,produces,,
item_116,Honig,honey,food_drink,Honig,word,produces,,honey
item_117,Zwieback,rusk,food_drink,Zwieback,word,produces,,
item_118,Eier,eggs,food_drink,Eier,word,produces,,
item_119,Bier,beer,food_drink,Bier,word,produces,,
item_120,Gummibärchen,fruit gum,food_drink,Gummibarchen,word,produces,,
item_121,Spinat,spinach,food_drink,Spinat,word,produces,,spinach
item_122,Birne,pear,food_drink,Birne,word,produces,,pear
item_123,Kakao,caocao,food_drink,Kakao,word,produces,,cacao
item_124,Tomate,tomato,food_drink,Tomate,word,produces,,tomato
item_125,Fischstäbchen,fish fingers,food_drink,Fischstabchen,word,produces,,
item_126,Nachtisch,desert,food_drink,Nachtisch,word,produces,,
item_127,Wurst,sausage,food_drink,Wurst,word,produces,,
item_128,Jacke,jacket,clothing,Jacke,word,produces,,jacket
item_129,Stiefel,boot,clothing,Stiefel,word,produces,,boots
item_130,Pullover,sweater,clothing,Pullover,word,produces,,sweater
item_131,Strumpfhose,tights,clothing,Strumpfhose,word,produces,,tights
item_132,Unterhose,underpants,clothing,Unterhose,word,produces,,pants
item_133,Handschuhe,gloves,clothing,Handschuhe,word,produces,,gloves
item_134,Mütze,cap,clothing,Mutze,word,produces,,hat
item_135,Hausschuhe,slipper,clothing,Hausschuhe,word,produces,,
item_136,Lätzchen,bib,clothing,Latzchen,word,produces,,bib
item_137,Socken,sock,clothing,Socken,word,produces,,sock
