itemID,definition,item,category,type,choices,gloss,uni_lemma
item_50,奶酪,nai3lao4,food_drink,word,produces,cheese,cheese
item_51,南瓜,nan2gua1,food_drink,word,produces,pumpkin,pumpkin
item_52,牛奶,niu2nai3,food_drink,word,produces,milk,milk
item_53,牛肉,niu2rou4,food_drink,word,produces,beef,beef
item_54,排骨,pai2gu3,food_drink,word,produces,short rib,ribs (food)
item_55,泡菜,pao4cai4,food_drink,word,produces,pickle,pickle
item_56,苹果,ping2guo3,food_drink,word,produces,apple,apple
item_57,葡萄,pu2tao5,food_drink,word,produces,grapes,grapes
item_58,葡萄干,pu2tao5gan1,food_drink,word,produces,raisin,raisin
item_59,汽水,qi4shui3,food_drink,word,produces,soda,soda
item_60,巧克力,qiao3ke4li4,food_drink,word,produces,chocolate,chocolate
item_61,肉,rou4,food_drink,word,produces,meat,meat
item_61,肉,rou4,food_drink,word,produces,grass,grass
item_62,三明治,san1ming2zhi4,food_drink,word,produces,sandwich,sandwich
item_63,薯条,shu3tiao2,food_drink,word,produces,french fries,french fries
item_64,水,shui3,food_drink,word,produces,water (beverage),water (beverage)
item_64,水,shui3,food_drink,word,produces,water (not beverage),water (not beverage)
item_65,水果,shui3guo3,food_drink,word,produces,fruit,fruit
item_66,酸奶,suan1nai3,food_drink,word,produces,yogurt,yogurt
item_67,汤,tang1,food_drink,word,produces,soup,soup
item_68,糖,tang2,food_drink,word,produces,sugar,sugar
item_69,桃,tao2,food_drink,word,produces,peach,peach
item_70,土豆,tu3dou4,food_drink,word,produces,potato,potato
item_71,豌豆,wan1dou4,food_drink,word,produces,peas,peas
item_72,西瓜,xi1gua1,food_drink,word,produces,watermelon,watermelon
item_73,西红柿,xi1hong2shi4,food_drink,word,produces,tomato,tomato
item_74,稀饭,xi1fan4,food_drink,word,produces,porridge,porridge
item_75,香蕉,xiang1jiao1,food_drink,word,produces,banana,banana
item_76,杏,xing4,food_drink,word,produces,apricot,apricot
item_77,烟,yan1,food_drink,word,produces,smoke,smoke
item_78,盐,yan2,food_drink,word,produces,salty,salt
item_79,饮料,yin3liao4,food_drink,word,produces,drink (beverage),drink (beverage)
item_80,油条,you2tiao2,food_drink,word,produces,dough fritters,donut
item_81,玉米,yu4mi3,food_drink,word,produces,corn,corn
item_82,猪肉,zhu1rou4,food_drink,word,produces,pork,pork
item_83,阿姨,a1yi2,people,word,produces,aunt,aunt
item_84,爸爸,ba4ba5,people,word,produces,daddy,daddy
item_85,宝宝,bao3bao5,people,word,produces,baby,baby
item_86,保姆,bao3mu3,people,word,produces,babysitter,babysitter
item_87,伯伯,bo2bo5,people,word,produces,father's brother,uncle
item_88,厨师,chu2shi1,people,word,produces,cook,cook
item_89,弟弟,di4di5,people,word,produces,brother,brother
item_90,哥哥,ge1ge5,people,word,produces,brother,brother
item_91,姑姑,gu1gu5,people,word,produces,aunt,aunt
item_92,护士,hu4shi5,people,word,produces,nurse,nurse
item_93,姐姐,jie3jie5,people,word,produces,sister,sister
item_94,警察,jing3cha2,people,word,produces,policeman,police
item_95,舅舅,jiu4jiu5,people,word,produces,uncle,uncle
item_96,老师,lao3shi1,people,word,produces,teacher,teacher
item_97,姥姥,lao3lao5,people,word,produces,grandma,grandma
item_98,姥爷,lao3ye5,people,word,produces,grandpa,grandpa
item_99,妈妈,ma1ma5,people,word,produces,mommy,mommy
item_100,妹妹,mei4mei5,people,word,produces,sister,sister
item_101,奶奶,nai3nai5,people,word,produces,grandma,grandma
item_102,男孩,nan2hai2,people,word,produces,boy,boy
item_103,女孩,nv3hai2,people,word,produces,girl,girl
item_104,叔叔,shu1shu5,people,word,produces,uncle,uncle
item_105,消防队员,xiao1fang2dui4yuan2,people,word,produces,fireman,firefighter
item_106,小孩儿,xiao3hair2,people,word,produces,child,child
item_107,小朋友,xiao3peng2you3,people,word,produces,children,child
item_108,爷爷,ye2ye5,people,word,produces,grandpa,grandpa
item_109,医生,yi1sheng1,people,word,produces,doctor,doctor
item_110,姨,yi2,people,word,produces,aunt,aunt
item_111,邮递员,you2di4yuan2,people,word,produces,mailman,mailman
item_112,老奶奶,lao3nai3nai5,people,word,produces,grandma,grandma
item_113,名字,ming2zi5,people,word,produces,name,name
item_114,司机,si1ji1,people,word,produces,driver,driver
item_115,都,dou1,quantifiers,word,produces,all,all
item_116,一个,yi2ge5,quantifiers,word,produces,one,a
item_117,两个,liang3ge5,quantifiers,word,produces,two,two
item_118,多点儿,duo1 dianr3,quantifiers,word,produces,more; much,more
item_119,没,mei2,quantifiers,word,produces,no; have not,no
item_120,别的,bie2de5,quantifiers,word,produces,other,other
item_121,一样,yi2yang4,quantifiers,word,produces,same,same
item_122,一点,yi4dianr3,quantifiers,word,produces,a little,little (amount)
item_123,也,ye3,quantifiers,word,produces,too,also
item_124,斑马,ban1ma3,animals,word,produces,zebra,zebra
item_125,长颈鹿,chang2jing3lu4,animals,word,produces,giraffe,giraffe
item_126,虫子,chong2zi5,animals,word,produces,bug,bug
item_127,大象,da4xiang4,animals,word,produces,elephant,elephant
item_128,动物,dong4wu4,animals,word,produces,animal,animal
item_129,鹅,e2,animals,word,produces,goose,goose
item_130,鳄鱼,e4yu2,animals,word,produces,alligator,alligator
item_131,公鸡,gong1ji1,animals,word,produces,rooster,rooster
item_132,狗,gou3,animals,word,produces,dog,dog
item_133,猴子,hou2zi5,animals,word,produces,monkey,monkey
item_134,蝴蝶,hu2die2,animals,word,produces,butterfly,butterfly
item_135,鸡,ji1,animals,word,produces,chicken,chicken (animal)
item_136,鲸鱼,jing1yu2,animals,word,produces,whale,whale
item_137,狼,lang2,animals,word,produces,wolf,wolf
item_138,老虎,lao3hu3,animals,word,produces,tiger,tiger
item_139,老鼠,lao3shu3,animals,word,produces,mouse,mouse
item_140,老鹰,lao3ying1,animals,word,produces,eagle,eagle
item_141,鹿,lu4,animals,word,produces,deer,deer
item_142,驴,lv2,animals,word,produces,donkey,donkey
item_143,马,ma3,animals,word,produces,horse,horse
item_144,蚂蚁,ma3yi3,animals,word,produces,ant,ant
item_145,猫,mao1,animals,word,produces,cat,cat
item_146,猫头鹰,mao1tou2ying1,animals,word,produces,owl,owl
item_147,梅花鹿,mei2hua1lu4,animals,word,produces,spotted deer,deer
item_148,蜜蜂,mi4feng1,animals,word,produces,bee,bee
item_149,母鸡,mu3ji1,animals,word,produces,hen,hen
item_150,鸟,niao3,animals,word,produces,bird,bird
item_151,牛,niu2,animals,word,produces,cow,cow
item_152,企鹅,qi3e2,animals,word,produces,penguin,penguin
item_153,青蛙,qing1wa1,animals,word,produces,frog,frog
item_154,山羊,shan1yang2,animals,word,produces,goat,goat
item_155,蛇,she2,animals,word,produces,snake,snake
item_156,狮子,shi1zi5,animals,word,produces,lion,lion
item_157,松鼠,song1shu3,animals,word,produces,squirrel,squirrel
item_158,兔子,tu4zi5,animals,word,produces,rabbit; bunny,bunny
item_159,乌龟,wu1gui1,animals,word,produces,turtle,turtle
item_160,小鸡,xiao3ji1,animals,word,produces,chick,chick
item_161,小羊,xiao3yang2,animals,word,produces,lamb,lamb
item_162,熊,xiong2,animals,word,produces,bear,bear
item_163,熊猫,xiong2mao1,animals,word,produces,panda,panda
item_164,鸭子,ya1zi5,animals,word,produces,duck,duck
item_165,羊,yang2,animals,word,produces,sheep,sheep
item_166,鱼,yu2,animals,word,produces,fish (food),fish (food)
item_166,鱼,yu2,animals,word,produces,fish (animal),fish (animal)
item_167,猪,zhu1,animals,word,produces,pig,pig
item_168,苍蝇,cang1ying5,animals,word,produces,fly,fly (animal)
item_169,翅膀,chi4bang3,animals,word,produces,wing,wing
item_170,大灰狼,da4 hui1lang2,animals,word,produces,big gray wolf,wolf
item_171,鸽子,ge1zi5,animals,word,produces,pigeon,pigeon
item_172,狐狸,hu2li5,animals,word,produces,fox,fox
item_173,蜻蜓,qing1ting2,animals,word,produces,dragonfly,dragonfly
item_174,蚊子,wen2zi5,animals,word,produces,mosquito,mosquito
item_175,比赛,bi3sai4,games_routines,word,produces,match,NA
item_176,不,bu4,games_routines,word,produces,no,no
item_177,不要,bu2yao4,games_routines,word,produces,don't,don't
item_178,吃饭,chi1fan4,games_routines,word,produces,eat,eat
item_179,搭积木,da1ji1mu1,games_routines,word,produces,building block,blocks
item_180,打电话,da3 dian4hua4,games_routines,word,produces,call on phone,call
item_181,打球,da3qiu2,games_routines,word,produces,play ball,NA
item_182,等一会儿,deng3 yi2huier4,games_routines,word,produces,wait a minute,wait
item_183,放屁,fang4pi4,games_routines,word,produces,fart,fart
item_184,后,hou4,games_routines,word,produces,eat,eat
item_185,拉屎,la1shi3,games_routines,word,produces,shit,poop
item_186,理发,li3fa4,games_routines,word,produces,cut hair,NA
item_187,买东西,mai3 dong1xi5,games_routines,word,produces,shopping,shopping
item_188,你好,ni3hao3,games_routines,word,produces,hello,hello
item_189,前,qian2,games_routines,word,produces,front,front
item_190,请,qing3,games_routines,word,produces,please,please
item_191,上面,shang4mian5,games_routines,word,produces,above,above
item_192,是的,shi4de5,games_routines,word,produces,yes,yes
item_193,晚安,wan3an1,games_routines,word,produces,night night,good night
item_194,晚饭,wan3fan4,games_routines,word,produces,dinner,dinner
item_195,喂（打电话）,wei4 (da3 dian4hua4),games_routines,word,produces,hello,hello
item_196,午饭,wu3fan4,games_routines,word,produces,lunch,lunch
item_197,洗澡,xi3zao3,games_routines,word,produces,bath,bath
item_198,下面,xia4mian5,games_routines,word,produces,under,under
item_199,想要,xiang3yao4,games_routines,word,produces,wanna; want to,wanna
item_200,谢谢,xie4xie5,games_routines,word,produces,thank you,thank you
item_201,再见,zai4jian4,games_routines,word,produces,bye,bye
item_202,早饭,zao3fan4,games_routines,word,produces,breakfast,breakfast
item_203,转圈,zhuan4quan1,games_routines,word,produces,rotate,spin
item_204,捉迷藏,zhuo1mi2cang2,games_routines,word,produces,hide-and-seek,hide and seek
item_205,脸,lian3,body_parts,word,produces,face,face
item_206,眉毛,mei2mao5,body_parts,word,produces,eyebrows,eyebrow
item_207,眼睛,yan3jing5,body_parts,word,produces,eye,eye
item_208,眼泪,yan3lei4,body_parts,word,produces,tear,tear
item_209,鼻子,bi2zi5,body_parts,word,produces,nose,nose
item_210,鼻孔,bi2kong3,body_parts,word,produces,nostril,nostril
item_211,鼻涕,bi2ti4,body_parts,word,produces,snot,snot
item_212,嘴,zui3,body_parts,word,produces,mouth,mouth
item_213,嘴唇,zui3chun2,body_parts,word,produces,lips,lip
item_214,牙,ya2,body_parts,word,produces,tooth,tooth
item_215,舌头,she2tou5,body_parts,word,produces,tongue,tongue
item_216,下巴,xiaq4ba5,body_parts,word,produces,chin,chin
item_217,耳朵,er3duo5,body_parts,word,produces,ear,ear
item_218,脖子,bo2zi5,body_parts,word,produces,neck,neck
item_219,肚脐眼儿,du4qi2yanr3,body_parts,word,produces,belly button,belly button
item_220,肚子,du4zi,body_parts,word,produces,tummy,tummy
item_221,胳膊,ge1bo5,body_parts,word,produces,arm,arm
item_222,肩膀,jian1bang3,body_parts,word,produces,shoulder,shoulder
item_223,脚,jiao3,body_parts,word,produces,foot,foot
item_224,脚踝,jiao3huai2,body_parts,word,produces,ankle,ankle
item_225,脚趾,jiao3zhi3,body_parts,word,produces,toe,toe
item_226,屁股,pi4gu5,body_parts,word,produces,butt,butt
item_227,手,shou3,body_parts,word,produces,hand,hand
item_228,手指头,shou3zhi3tou5,body_parts,word,produces,finger,finger
item_229,指甲,zhi3jia5,body_parts,word,produces,nail,nail (body part)
item_230,头,tou2,body_parts,word,produces,head,head
item_230,头,tou2,body_parts,word,produces,NA,NA
item_231,头发,tou2fa5,body_parts,word,produces,hair,hair
item_232,膝盖,xi1gai4,body_parts,word,produces,knee,knee
item_233,辫子,bian4zi5,body_parts,word,produces,braid,braid (object)
item_234,手心,shou3xin1,body_parts,word,produces,palm,palm
item_235,手背,shou3bei4,body_parts,word,produces,back of hand,NA
item_236,右手,you4shou3,body_parts,word,produces,right hand,hand
item_237,左手,zuo3shou3,body_parts,word,produces,left hand,hand
item_238,腿,tui3,body_parts,word,produces,leg,leg
item_239,右腿,you4tui3,body_parts,word,produces,right leg,leg
item_240,左腿,zuo3tui3,body_parts,word,produces,left leg,leg
item_241,大腿,da4tui3,body_parts,word,produces,thigh,leg
item_242,小腿,xiao3tui3,body_parts,word,produces,calf,leg
item_243,心,xin1,body_parts,word,produces,heart,heart
item_244,新,xin1,descriptive_words,word,produces,new,new
item_245,舒服,shu1fu5,descriptive_words,word,produces,comfortable,comfortable
item_246,干,gan1,descriptive_words,word,produces,dry,dry (description)
item_247,漂亮,piao4liang5,descriptive_words,word,produces,pretty,pretty
item_248,小,xiao3,descriptive_words,word,produces,little (description),little (description)
item_249,不对,bu2dui4,descriptive_words,word,produces,wrong,wrong
item_250,好,hao3,descriptive_words,word,produces,good,good
item_251,快,kuai4,descriptive_words,word,produces,fast,fast
item_252,饿,e4,descriptive_words,word,produces,hungry,hungry
item_253,高兴,gao1xing4,descriptive_words,word,produces,happy,happy
item_254,长,chang2,descriptive_words,word,produces,long,long
item_255,冷,leng3,descriptive_words,word,produces,cold,cold
item_256,渴,ke3,descriptive_words,word,produces,thirsty,thirsty
item_257,不怕,bu2pa4,descriptive_words,word,produces,not afraid,NA
item_258,黄色,huang2se4,descriptive_words,word,produces,yellow,yellow
item_259,脏,zang1,descriptive_words,word,produces,dirty,dirty
item_260,红色,hong2se4,descriptive_words,word,produces,red,red
item_261,(吃)没了,(chi1)mei2le5,descriptive_words,word,produces,all gone,all gone
item_262,高,gao1,descriptive_words,word,produces,high,high
item_263,桔黄色,ju2huang2se4,descriptive_words,word,produces,orange,orange (description)
item_264,害怕,hai4pa4,descriptive_words,word,produces,scared,scared
item_265,好听,hao3ting1,descriptive_words,word,produces,ear-pleasing,NA
item_266,困,kun4,descriptive_words,word,produces,sleepy,sleepy
item_267,好多,hao3duo1,descriptive_words,word,produces,a good deal; a lot,a lot
item_268,不好,bu4hao3,descriptive_words,word,produces,bad,bad
item_269,满,man3,descriptive_words,word,produces,full,full
item_270,凉,liang2,descriptive_words,word,produces,cool,cool (description)
item_271,湿,shi1,descriptive_words,word,produces,wet,wet (description)
item_272,蓝色,lan2se4,descriptive_words,word,produces,blue,blue
item_273,病,bing4,descriptive_words,word,produces,sick,sick
item_274,白色,bai2se4,descriptive_words,word,produces,white,white
item_275,小心,xiao3xin1,descriptive_words,word,produces,careful,careful
item_276,棕色,zong1se4,descriptive_words,word,produces,brown,brown
item_277,软,ruan3,descriptive_words,word,produces,soft,soft
item_278,淘气,tao2qi4,descriptive_words,word,produces,naughty,naughty
item_279,热,re4,descriptive_words,word,produces,hot,hot
item_280,可爱,ke3ai4,descriptive_words,word,produces,cute,cute
item_281,坏(人),huai4 (ren2),descriptive_words,word,produces,bad,bad
item_282,坏了,huai4le5,descriptive_words,word,produces,broken,broken
item_283,痛,tong4,descriptive_words,word,produces,ache; pain,painful
item_284,好看,hao3kan4,descriptive_words,word,produces,good-looking,pretty
item_285,穷,qiong2,descriptive_words,word,produces,poor,poor
item_286,睡着,shui4zhao2,descriptive_words,word,produces,asleep,asleep
item_287,好吃,hao3chi1,descriptive_words,word,produces,tasty,yummy
item_288,安静,an1jing4,descriptive_words,word,produces,quiet,quiet
item_289,绿色,lv4se4,descriptive_words,word,produces,green,green
item_290,难看,nan2kan4,descriptive_words,word,produces,ugly,ugly
item_291,重,zhong4,descriptive_words,word,produces,heavy,heavy
item_292,少,shao3,descriptive_words,word,produces,little,little (amount)
item_293,吵,chao3,descriptive_words,word,produces,noisy,noisy
item_294,多,duo1,descriptive_words,word,produces,many,many
item_295,硬,ying4,descriptive_words,word,produces,hard,hard
item_296,老,lao3,descriptive_words,word,produces,old,old
item_297,不许,bu4xu3,descriptive_words,word,produces,cannot,cannot
item_298,粘,nian2,descriptive_words,word,produces,sticky,sticky
item_299,轻,qing1,descriptive_words,word,produces,light,light (description)
item_300,慢,man4,descriptive_words,word,produces,slow,slow
item_301,不行,bu4xing2,descriptive_words,word,produces,cannot,cannot
item_302,饱,bao3,descriptive_words,word,produces,full,full
item_303,臭,chou4,descriptive_words,word,produces,smelly,smelly
item_304,累,lei4,descriptive_words,word,produces,tired,tired
item_305,大,da4,descriptive_words,word,produces,big,big
item_306,甜,tian2,descriptive_words,word,produces,sweet,sweet
item_307,最后,zui4hou4,descriptive_words,word,produces,last,last
item_308,聪明,cong1ming2,descriptive_words,word,produces,clever; smart,smart
item_309,第一,di4yi1,descriptive_words,word,produces,first,first
item_310,伤心,shang1xin1,descriptive_words,word,produces,sad,sad
item_311,干净,gan1jing4,descriptive_words,word,produces,clean (description),clean (description)
item_312,空的,kong1de5,descriptive_words,word,produces,empty,empty
item_313,辣,la4,descriptive_words,word,produces,spicy,spicy
item_314,不是,bu2shi4,descriptive_words,word,produces,no,no
item_315,乖,guai1,descriptive_words,word,produces,well-behaved,well-behaved
item_316,烫,tang4,descriptive_words,word,produces,hot,hot
item_317,黑色,hei1se4,descriptive_words,word,produces,black,black
item_318,(天)黑,(tian1)hei1,descriptive_words,word,produces,dark,dark
item_319,是,shi4,helping_verbs,word,produces,yes,yes
item_320,能,neng2,helping_verbs,word,produces,can (auxiliary),can (auxiliary)
item_321,得（你得去）,dei3(ni3 dei3 qu4),helping_verbs,word,produces,must,must
item_322,必须,bi4xu1,helping_verbs,word,produces,must; need to,need
item_323,会,hui4,helping_verbs,word,produces,can,can (auxiliary)
item_323,会,hui4,helping_verbs,word,produces,can (auxiliary),can (auxiliary)
item_324,试试,shi4shi5,helping_verbs,word,produces,try to,try
item_325,操场,cao1chang3,places,word,produces,playground,playground
item_326,超市,chao1shi4,places,word,produces,store,store
item_327,车棚,che1peng2,places,word,produces,shed,garage
item_328,城里,cheng2li5,places,word,produces,downtown,downtown
item_329,电影院,dian4ying3yuan4,places,word,produces,cinema,movie
item_330,动物园,dong4wu4yuan2,places,word,produces,zoo,zoo
item_331,工厂,gong1chang3,places,word,produces,factory,factory
item_332,公司,gong1si1,places,word,produces,company,NA
item_333,公园,gong1yuan2,places,word,produces,park,park
item_334,海边,hai3bian5,places,word,produces,beach,beach
item_335,加油站,jia1you2zhan4,places,word,produces,gas station,gas station
item_336,家,jia1,places,word,produces,home,home
item_337,森林,sen1lin2,places,word,produces,woods,forest
item_338,停车场,ting2che1chang3,places,word,produces,park,NA
item_339,图书馆,tu2shu1guan3,places,word,produces,library,library
item_340,幼儿园,you4er2yuan2,places,word,produces,kindergarten,kindergarten
item_341,医院,yi1yuan4,places,word,produces,hospital,hospital
item_342,饭馆,fan4guan3,places,word,produces,restaurant,restaurant
item_343,游乐园,you2le4yuan2,places,word,produces,amusement park,amusement park
item_344,船,chuan2,vehicles,word,produces,boat,boat
item_345,飞机,fei1ji1,vehicles,word,produces,airplane,airplane
item_346,公共汽车,gong1gong4qi4che1,vehicles,word,produces,bus,bus
item_347,火车,huo3che1,vehicles,word,produces,train,train
item_348,吉普车,ji2pu3che1,vehicles,word,produces,jeep,jeep
item_349,警车,jing3che1,vehicles,word,produces,police wagon,police car
item_350,救护车,jiu4hu4che1,vehicles,word,produces,ambulance,ambulance
item_351,救火车,jiu4huo3che1,vehicles,word,produces,fire truck,firetruck
item_352,卡车,ka3che1,vehicles,word,produces,truck,truck
item_353,摩托车,mo2tuo1che1,vehicles,word,produces,motorcycle,motorcycle
item_354,三轮车,san1lun2che1,vehicles,word,produces,tricycle,tricycle
item_355,小汽车,xiao3qi4che1,vehicles,word,produces,car,car
item_356,自行车,zi4xing2che1,vehicles,word,produces,bicycle,bicycle
item_357,出租车,chu1zu1che1,vehicles,word,produces,taxi,taxi
item_358,和,he2,connecting_words,word,produces,with,with
item_359,因为,yin1wei4,connecting_words,word,produces,because,because
item_360,但是,dan4shi4,connecting_words,word,produces,but,but
item_361,如果,ru2guo3,connecting_words,word,produces,if,if
item_362,所以,suo3yi3,connecting_words,word,produces,so,so
item_363,然后,ran2hou4,connecting_words,word,produces,then,then
item_364,杯子,bei1zi5,household,word,produces,cup,cup
item_365,被子,bei4zi5,household,word,produces,NA,blanket
item_366,叉子,cha1zi5,household,word,produces,fork,fork
item_367,刀,dao1,household,word,produces,knife,knife
item_368,灯,deng1,household,word,produces,lamp,lamp
item_369,钉子,ding1zi5,household,word,produces,nail,nail (object)
item_370,肥皂,fei2zao4,household,word,produces,soap,soap
item_371,罐头,guan4tou5,household,word,produces,can,can (object)
item_372,光,guang1,household,word,produces,light,light (object)
item_373,光盘,guang1pan2,household,word,produces,disk,CD
item_374,锅,guo1,household,word,produces,pot,pot
item_375,盒子,he2zi5,household,word,produces,box,box
item_376,花瓶,hua1ping2,household,word,produces,vase,vase
item_377,画,hua4,household,word,produces,picture,picture
item_378,剪刀,jian3dao1,household,word,produces,scissors,scissors
item_379,镜子,jing4zi5,household,word,produces,mirror,mirror
item_380,筷子,kuai4zi5,household,word,produces,chopstick,chopstick
item_381,垃圾,la1ji1,household,word,produces,trash,trash
item_382,蜡烛,la4zhu2,household,word,produces,candle,candle
item_383,毛巾,mao2jin1,household,word,produces,towel,towel
item_384,毛巾被,mao2jin1bei4,household,word,produces,blanket,blanket
item_385,抹布,ma1bu4,household,word,produces,dishcloth,rag
item_386,闹钟,nao4zhong1,household,word,produces,alarm clock,clock
item_387,盘子,pan2zi5,household,word,produces,plate,plate
item_388,瓶子,ping2zi5,household,word,produces,bottle,bottle
item_389,钱,qian2,household,word,produces,money,money
item_390,钱包,qian2bao1,household,word,produces,purse,purse
item_391,日历,ri4li4,household,word,produces,calendar,calendar
item_392,伞,san3,household,word,produces,umbrella,umbrella
item_393,勺子,shao2zi5,household,word,produces,spoon,spoon
item_394,手表,shou3biao3,household,word,produces,watch (object),watch (object)
item_395,书包,shu1bao1,household,word,produces,bag,bag
item_396,梳子,shu1zi5,household,word,produces,comb,comb (object)
item_397,刷子,shua1zi5,household,word,produces,brush,brush (object)
item_398,水壶,shui3hu2,household,word,produces,jug,jug
item_399,锁,suo3,household,word,produces,lock,lock (object)
item_400,毯子,tan3zi5,household,word,produces,blanket,blanket
item_401,条帚,tiao2zhou5,household,word,produces,broom,broom
item_402,桶,tong3,household,word,produces,bucket,bucket
item_403,拖把,tuo1ba3,household,word,produces,mop,mop (object)
item_404,碗,wan3,household,word,produces,bowl,bowl
item_405,香皂,xiang1zao4,household,word,produces,soap,soap
item_406,牙膏,ya2gao1,household,word,produces,toothpaste,toothpaste
item_407,牙刷,ya2shua1,household,word,produces,toothbrush,toothbrush
item_408,眼镜,yan3jing4,household,word,produces,glasses,glasses
item_409,遥控器,yao2kong4qi4,household,word,produces,remote control,remote control
item_410,药,yao4,household,word,produces,medicine,medicine
item_410,药,yao4,household,word,produces,NA,NA
item_411,钥匙,yao4shi5,household,word,produces,keys,key
item_412,照相机,zhao4xiang4ji1,household,word,produces,camera,camera
item_413,针,zhen1,household,word,produces,needle,needle
item_414,枕头,zhen3tou5,household,word,produces,pillow,pillow
item_415,纸,zhi3,household,word,produces,paper,paper
item_416,玻璃,bo1li2,household,word,produces,glass,glass
item_417,痱子粉,fei4zi5fen3,household,word,produces,bath powder,NA
item_418,花盆,hua1pen2,household,word,produces,flowerpot,flower pot
item_419,门铃,men2ling2,household,word,produces,doorbell,bell
item_420,奶瓶,nai3ping2,household,word,produces,feeding-bottle,bottle
item_421,床单,chuang2dan1,household,word,produces,bed sheet,sheet
item_422,报纸,bao4zhi3,household,word,produces,newspaper,newspaper
item_423,电池,dian4chi2,household,word,produces,battery,battery
item_424,电线,dian4xian4,household,word,produces,wire,wire
item_425,插座,cha1zuo4,household,word,produces,socket,outlet
item_426,插头,cha1tou2,household,word,produces,plug,plug
item_427,草,grass,outside,word,produces,grass,grass
item_428,草地,cao3di4,outside,word,produces,lawn,yard
item_429,铲子,chan3zi5,outside,word,produces,shovel,shovel
item_430,车轮,che1lun2,outside,word,produces,wheel,wheel
item_431,电梯,dian4ti1,outside,word,produces,elevator,elevator
item_432,房子,fang2zi5,outside,word,produces,house,house
item_433,风,feng1,outside,word,produces,wind,wind
item_434,棍,gun4,outside,word,produces,stick,stick
item_435,花,hua1,outside,word,produces,flower,flower
item_436,花园,hua1yuan2,outside,word,produces,garden,garden
item_437,街道,jie1dao4,outside,word,produces,street,street
item_438,楼道,lou2dao4,outside,word,produces,corridor,corridor
item_439,楼房,lou2fang2,outside,word,produces,building,building
item_440,楼梯,lou2ti1,outside,word,produces,stairs,stairs
