"itemID","item","type","category","choices","definition","gloss","complexity_category","uni_lemma"
"item_79","T6_GLUE","word","toys","produces","κόλλα","glue",,
"item_80","T7_DOLL","word","toys","produces","κούκλα","doll",,
"item_81","T8_CUBE","word","toys","produces","κύβος","cube",,
"item_82","T9_BALL_CG_CG","word","toys","produces","μάππα","ball CG",,
"item_83","T10_MARKER","word","toys","produces","μαρκαδόρος","marker",,
"item_84","T11_BALL","word","toys","produces","μπάλα","ball",,
"item_85","T12_BALLOO","word","toys","produces","μπαλόνι","balloon",,
"item_86","T13_TEDDY__CG","word","toys","produces","μπούλουκκος","teddy bear CG",,
"item_87","T14_PENCIL","word","toys","produces","μολύβι","pencil",,
"item_88","T15_PUZZLE","word","toys","produces","παζλ","puzzle",,
"item_89","T16_TOY_GA","word","toys","produces","παιχνίδι","toy/game",,
"item_90","T17_STORY_","word","toys","produces","παραμύθι","story/fairytale",,
"item_91","T18_PEN_CG_CG","word","toys","produces","πέννα","pen CG",,
"item_92","T19_PLAY_D","word","toys","produces","πλαστελίνη","play doh",,
"item_93","T20_PLAY_D_CG","word","toys","produces","πλαστισίνη","play doh CG",,
"item_94","T21_TOY_SO","word","toys","produces","στρατιωτάκι","toy soldier",,
"item_95","T22_PEN","word","toys","produces","στυλό","pen",,
"item_96","T23_BLOCK","word","toys","produces","τούβλο","block",,
"item_97","T14_BALLOO_CG","word","toys","produces","φούσκα","balloon CG",,
"item_98","FD1_SALT","word","food_drink","produces","αλάτι","salt",,
"item_99","FD2_EGG","word","food_drink","produces","αυγό","egg",,
"item_100","FD3_AUBERG_CG","word","food_drink","produces","βαζάνι","aubergine CG",,
"item_101","FD4_BUTTER","word","food_drink","produces","βούτυρος","butter",,
"item_102","FD5_MILK","word","food_drink","produces","γάλα","milk",,
"item_103","FD6_YOGURT","word","food_drink","produces","γιαούρτι","yogurt",,
"item_104","FD7_SWEET","word","food_drink","produces","γλυκό/γλύκισμα","sweet",,
"item_105","FD8_LOLLIP","word","food_drink","produces","γλειφιτζούρι","lollipop",,
"item_106","FD9_CEREAL","word","food_drink","produces","δημητριακά*","cereal",,
"item_107","FD10_HAM","word","food_drink","produces","ζαμπόν","ham",,
"item_108","FD11_SUGAR","word","food_drink","produces","ζάχαρη","sugar",,
"item_109","FD12_CONFE","word","food_drink","produces","ζαχαρωτά","confectionery",,
"item_110","FD13_JELLO","word","food_drink","produces","ζελέ","jello",,
"item_111","FD14_JELLY","word","food_drink","produces","ζελεδάκια","jelly beans",,
"item_112","FD15_CORN","word","food_drink","produces","καλαμπόκι","corn",,
"item_113","FD16_TOAST_CG","word","food_drink","produces","καπίρα","toasted bread CG",,
"item_114","FD17_CANDY","word","food_drink","produces","καραμέλα","candy",,
"item_115","FD18_CARRO","word","food_drink","produces","καρότο","carrot",,
"item_116","FD19_WATER","word","food_drink","produces","καρπούζι","watermelon",,
"item_117","FD20_COFFE","word","food_drink","produces","καφές","coffee",,
"item_118","DF21_CAKE","word","food_drink","produces","κέϊκ","cake",,
"item_119","FD22_KETCH","word","food_drink","produces","κέτσαπ","ketchup",,
"item_120","FD23_CHICK","word","food_drink","produces","κοτόπουλο","chicken",,
"item_121","FD24_STUFF_CG","word","food_drink","produces","κουπέπι","""stuffed grape leaves"" CG",,
"item_122","FD25_CANDY_CG","word","food_drink","produces","κουφέττα","candy CG",,
"item_123","FD26_MEAT__CG","word","food_drink","produces","κρέας","meat CG",,
"item_124","FD27_CREAM","word","food_drink","produces","κρέμα","cream",,
"item_125","FD28_NUTS__CG","word","food_drink","produces","κούννες","nuts CG",,
"item_126","FD29_GREEK","word","food_drink","produces","λουκουμάδες","""greek donuts""",,
"item_127","FD30_MAYON","word","food_drink","produces","μαγιονέζα","mayonaise",,
"item_128","FD31_PASTA","word","food_drink","produces","μακαρόνια","pasta",,
"item_129","FD32_JAM","word","food_drink","produces","μαρμελάδα","jam",,
"item_130","FD33_AUBER","word","food_drink","produces","μελιτζάνα","aubergine",,
"item_131","FD34_APPLE","word","food_drink","produces","μήλο","apple",,
"item_132","FD35_LOLLI_CG","word","food_drink","produces","μηλούιν","lollipop CG",,
"item_133","FD36_BANAN","word","food_drink","produces","μπανάνα","banana",,
"item_134","FD37_PEAS","word","food_drink","produces","μπιζέλι","peas",,
"item_135","FD38_BISCU","word","food_drink","produces","μπισκότο","biscuit",,
"item_136","FD39_BURGE","word","food_drink","produces","μπιφτέκι","burger",,
"item_137","FD40_NUGGE","word","food_drink","produces","νάγκετς","nuggets",,
"item_138","FD41_WATER","word","food_drink","produces","νερό","water",,
"item_139","FD42_NUTS","word","food_drink","produces","ξηροί καρποί","nuts",,
"item_140","FD43_ICE_C","word","food_drink","produces","παγάκι","ice cube",,
"item_141","FD44_ICE_C","word","food_drink","produces","παγωτό","ice cream",,
"item_142","FD45_CRISP","word","food_drink","produces","πατατάκια","crisps",,
"item_143","FD46_POTAT","word","food_drink","produces","πατάτα","potato",,
"item_144","FD47_MELON","word","food_drink","produces","πεπόνι","melon",,
"item_145","FD48_GUM_C_CG","word","food_drink","produces","πίσσα","gum CG",,
"item_146","FD49_PIZZA","word","food_drink","produces","πίτσα","pizza",,
"item_147","FD50_POP_C","word","food_drink","produces","ποπ κορν","pop corn",,
"item_148","FD51_ORANG","word","food_drink","produces","πορτοκάλι","orange",,
"item_149","FD52_RICE","word","food_drink","produces","ρύζι","rice",,
"item_150","FD53_SANDW","word","food_drink","produces","σάντουιτς","sandwich",,
"item_151","FD54_CYPRI","word","food_drink","produces","σιάμισι","""cypriot sweet""",,
"item_152","FD55_CYPRI","word","food_drink","produces","σιεφταλιά","""cypriot crépinette""",,
"item_153","FD56_SYRUP","word","food_drink","produces","σιρόπι","syrup",,
"item_154","FD57_CORN__CG","word","food_drink","produces","σιταροπούλα","corn CG",,
"item_155","FD58_CORN__CG","word","food_drink","produces","σίταρος","corn CG",,
"item_156","FD59_CHOCO","word","food_drink","produces","σοκολάτα","chocolate",,
"item_157","FD60_GREEK","word","food_drink","produces","σούβλα","""greek skewer""",,
"item_158","FD61_GREEK","word","food_drink","produces","σουβλάκι","""greek skewer""",,
"item_159","FD62_SOUP","word","food_drink","produces","σούπα","soup",,
"item_160","FD63_RAISI","word","food_drink","produces","σταφύδα","raisin",,
"item_161","FD64_GRAPE","word","food_drink","produces","σταφύλι","grape",,
"item_162","FD65_JELLO_CG","word","food_drink","produces","τζέλλι","jello CG",,
"item_163","FD66_TOAST","word","food_drink","produces","τοστ","toast",,
"item_164","FD67_TEA","word","food_drink","produces","τσάι","tea",,
"item_165","FD68_CRISP_CG","word","food_drink","produces","τσιπς","crisps CG",,
"item_166","FD69_GUM","word","food_drink","produces","τσίχλα","gum",,
"item_167","FD70_CHEES","word","food_drink","produces","τυρί","cheese",,
"item_168","FD71_FOOD","word","food_drink","produces","φαγητό/φαΐ","food",,
"item_169","FD72_LENTI","word","food_drink","produces","φακές","lentils",,
"item_170","FD73_GREEN","word","food_drink","produces","φασολάκι","green beans",,
"item_171","FD74_BEANS","word","food_drink","produces","φασόλια","beans",,
"item_172","FD75_FISH_","word","food_drink","produces","φίσφιγκερς","fish fingers",,
"item_173","FD76_STRAW","word","food_drink","produces","φράουλα","strawberry",,
"item_174","FD77_JELLY_CG","word","food_drink","produces","φρουτάκια","jelly beans CG",,
"item_175","FD78_TOAST","word","food_drink","produces","φρυγανιά","toasted bread",,
"item_176","FD79_HAM_C_CG","word","food_drink","produces","χαμ","ham CG",,
"item_177","FD80_HAMBU","word","food_drink","produces","χάμπουργκερ","hamburger",,
"item_178","FD81_JUICE","word","food_drink","produces","χυμός","juice",,
"item_179","FD82_CONE_","word","food_drink","produces","χωνάκι","cone (ice cream)",,
