itemID,item,type,category,choices,definition,complexity_category,...8,gloss,uni_lemma,...11
item_34,carneiro,word,animals,produces,Carneiro,NA,Carneiro,Ram/ male sheep,sheep,NA
item_35,cavalo,word,animals,produces,Cavalo,NA,Cavalo,Horse,horse,NA
item_36,cobra,word,animals,produces,Cobra,NA,Cobra,Snake,snake,NA
item_37,coelho,word,animals,produces,Coelho,NA,Coelho,Rabbit,bunny,NA
item_38,crocodilo,word,animals,produces,Crocodilo,NA,Crocodilo,Crocodile,crocodile,NA
item_39,dinossauro,word,animals,produces,Dinossauro,NA,Dinossauro,Dinosaur,dinosaur,NA
item_40,elefante,word,animals,produces,Elefante,NA,Elefante,Elephant,elephant,NA
item_41,foca,word,animals,produces,Foca,NA,Foca,Seal,seal (animal),NA
item_42,formiga,word,animals,produces,Formiga,NA,Formiga,Ant,ant,NA
item_43,gaivota,word,animals,produces,Gaivota,NA,Gaivota,Seagull,seagull,NA
item_44,galinha,word,animals,produces,Galinha / Pintainho,NA,Galinha,Hen/chicken,chicken (animal),NA
item_45,gato,word,animals,produces,Gato,NA,Gato,Cat,cat,NA
item_46,girafa,word,animals,produces,Girafa,NA,Girafa,Girafe,giraffe,NA
item_47,golfinho,word,animals,produces,Golfinho,NA,Golfinho,Dolphin,dolphin,NA
item_48,hipopotamo,word,animals,produces,Hipopótamo,NA,Hipopótamo,Hippopotamus,hippopotamus,NA
item_49,joaninha,word,animals,produces,Joaninha,NA,Joaninha,Ladybug,ladybug,NA
item_50,leao,word,animals,produces,Leão,NA,Leão,Lion,lion,NA
item_51,lobo,word,animals,produces,Lobo,NA,Lobo,Wolf,wolf,NA
item_52,macaco,word,animals,produces,Macaco,NA,Macaco,Monkey,monkey,NA
item_53,melga,word,animals,produces,Melga,NA,Melga,Gnat,mosquito,NA
item_54,mosca,word,animals,produces,Mosca,NA,Mosca,Fly,fly (animal),NA
item_55,mosquito,word,animals,produces,Mosquito,NA,Mosquito,Mosquito,mosquito,NA
item_56,ovelha,word,animals,produces,Ovelha,NA,Ovelha,Ewe/ female sheep,sheep,NA
item_57,panda,word,animals,produces,Panda,NA,Panda,Panda,panda,NA
item_58,passaro,word,animals,produces,Pássaro,NA,Pássaro,Bird,bird,NA
item_59,pato,word,animals,produces,Pato,NA,Pato,Duck,duck,NA
item_60,peixe,word,animals,produces,Peixe,NA,Peixe,Fish,fish (animal),NA
item_61,pinguim,word,animals,produces,Pinguim,NA,Pinguim,Penguin,penguin,NA
item_62,porco,word,animals,produces,Porco,NA,Porco,Pig,pig,NA
item_63,rato,word,animals,produces,Rato,NA,Rato,Mouse,mouse,NA
item_64,sapo,word,animals,produces,Sapo,NA,Sapo,Frog,frog,NA
item_65,tartaruga,word,animals,produces,Tartaruga,NA,Tartaruga,Turtle,turtle,NA
item_66,tigre,word,animals,produces,Tigre,NA,Tigre,Tiger,tiger,NA
item_67,urso,word,animals,produces,Urso,NA,Urso,Bear,bear,NA
item_68,vaca,word,animals,produces,Vaca,NA,Vaca,Cow,cow,NA
item_69,zebra,word,animals,produces,Zebra,NA,Zebra,Zebra,zebra,NA
item_70,ambulancia,word,vehicles,produces,Ambulância,NA,Ambulância,Ambulance,ambulance,NA
item_71,autocarro,word,vehicles,produces,Autocarro,NA,Autocarro,Bus,bus,NA
item_72,aviao,word,vehicles,produces,Avião,NA,Avião,Airplane,airplane,NA
item_73,barco,word,vehicles,produces,Barco,NA,Barço,Boat,boat,NA
item_74,bicicleta,word,vehicles,produces,Bicicleta,NA,Bicicleta,Bicycle,bicycle,NA
item_75,camiao,word,vehicles,produces,Camião,NA,Camião,Truck,truck,NA
item_76,carro,word,vehicles,produces,Carro,NA,Carro,Car,car,NA
item_77,comboio,word,vehicles,produces,Comboio,NA,Comboio,Train,train,NA
item_78,helicoptero,word,vehicles,produces,Helicóptero,NA,Helicóptero,Helicopter,helicopter,NA
item_79,moto,word,vehicles,produces,Moto/a,NA,Moto,motorbike/motorcycle,motorcycle,NA
item_80,taxi,word,vehicles,produces,Táxi,NA,Táxi,Taxi,taxi,NA
item_81,trator,word,vehicles,produces,Trator,NA,Trator,Tractor,tractor,NA
item_82,triciclo,word,vehicles,produces,Triciclo,NA,Triciclo,Tricycle,tricycle,NA
item_83,balao,word,toys,produces,Balão,NA,Balão,Balloon,balloon,NA
item_84,bola,word,toys,produces,Bola,NA,Bola,Ball,ball,NA
item_85,boneca,word,toys,produces,Boneca,NA,Boneca,Doll,doll,NA
item_86,caneta,word,toys,produces,Caneta,NA,Caneta,Pen,pen,NA
item_87,computador,word,toys,produces,Computador,NA,Computador,Computer,computer,NA
item_88,cozinha,word,toys,produces,Cozinha (de brincar),NA,Cozinha,Kitchen,kitchen,NA
item_89,guizo,word,toys,produces,Guizo,NA,Guizo,Bell (jingle),bell,NA
item_90,jogos,word,toys,produces,Jogos,NA,Jogos,Games,game,NA
item_91,lapis,word,toys,produces,Lápis,NA,Lápis,Pencil,pen/pencil,NA
item_92,legos,word,toys,produces,Legos,NA,Legos,Legos,blocks,NA
item_93,livro,word,toys,produces,Livro,NA,Livro,Book,book,NA
item_94,peluche,word,toys,produces,Peluche / Urso de Peluche,NA,Peluche,Teddy bear,bear,NA
item_95,piao,word,toys,produces,Pião,NA,Pião,Spinning top,NA,NA
item_96,puzzle,word,toys,produces,Puzzle,NA,Puzzle,Puzzle,puzzle,NA
item_97,roda,word,toys,produces,Roda,NA,Roda,Wheel,wheel,NA
item_98,agua,word,food_drink,produces,Água,NA,Água,Water,water (beverage),NA
item_99,alface,word,food_drink,produces,Alface,NA,Alface,Lettuce,lettuce,NA
item_100,ameixas,word,food_drink,produces,Ameixas,NA,Ameixas,Plum,plum,NA
item_101,ananas,word,food_drink,produces,Ananás,NA,Ananás,Pineapple,pineapple,NA
item_102,arroz,word,food_drink,produces,Arroz,NA,Arroz,Rice,rice,NA
item_103,banana,word,food_drink,produces,Banana,NA,Banana,Banana,banana,NA
item_104,batatas,word,food_drink,produces,Batatas,NA,Batatas,Potatoes,potato,NA
item_105,batats_fritas,word,food_drink,produces,Batatas Fritas,NA,Batats_fritas,French fries,french fries,NA
item_106,bife,word,food_drink,produces,Bife,NA,Bife,Steak,steak,NA
item_107,bolachas,word,food_drink,produces,Bolachas,NA,Bolachas,Cookies,cookie,NA
item_108,bolo,word,food_drink,produces,Bolo,NA,Bolo,Cake,cake,NA
item_109,cafe,word,food_drink,produces,Café,NA,Café,Coffee,coffee,NA
item_110,canja,word,food_drink,produces,Canja,NA,Canja,Chicken soup,soup,NA
item_111,carne,word,food_drink,produces,Carne,NA,Carne,Meat,meat,NA
item_112,cenoura,word,food_drink,produces,Cenoura,NA,Cenoura,Carrot,carrot,NA
item_113,cereais,word,food_drink,produces,Cereais,NA,Cereais,Cereals,cereal,NA
item_114,cerveja,word,food_drink,produces,Cerveja,NA,Cerveja,Beer,beer,NA
item_115,cha,word,food_drink,produces,Chá,NA,Chá,Tea,tea,NA
item_116,chocolate,word,food_drink,produces,Chocolate,NA,Chocolate,Chocolate,chocolate,NA
item_117,chupa_chupa,word,food_drink,produces,Chupa-chupa,NA,Chupa_chupa,Lollipop,lollipop,NA
item_118,coca_cola,word,food_drink,produces,Coca-cola,NA,Coca_cola,Coca-cola,soda,NA
item_119,comida,word,food_drink,produces,Comida,NA,Comida,Food,food,NA
item_120,compota,word,food_drink,produces,Compota,NA,Compota,Jam,jam,NA
item_121,couve,word,food_drink,produces,Couve,NA,Couve,Cabbage,cabbage,NA
item_122,creme,word,food_drink,produces,Creme,NA,Creme,Cream,cream,NA
item_123,diospiros,word,food_drink,produces,Dióspiros,NA,Dióspiros,Persimmon,persimmon,NA
item_124,ervilhas,word,food_drink,produces,Ervilhas,NA,Ervilhas,Pea(s),peas,NA
item_125,feijao,word,food_drink,produces,Feijão,NA,Feijão,Bean,beans,NA
item_126,fiambre,word,food_drink,produces,Fiambre,NA,Fiambre,Ham,ham,NA
item_127,frango,word,food_drink,produces,Frango,NA,Frango,Chicken,chicken (food),NA
item_128,fruta,word,food_drink,produces,Fruta,NA,Fruta,Fruit,fruit,NA
item_129,gelado,word,food_drink,produces,Gelado,NA,Gelado,Icecream,ice cream,NA
item_130,gelatina,word,food_drink,produces,Gelatina,NA,Gelatina,Gelatin dessert/ Jelly,NA,NA
item_131,iogurte,word,food_drink,produces,Iogurte,NA,Iogurte,Yogurt,yogurt,NA
item_132,kiwi,word,food_drink,produces,Kiwi,NA,Kiwi,Kiwi,kiwi,NA
item_133,laranja,word,food_drink,produces,Laranja,NA,Laranja,Orange,orange (food),NA
item_134,leite,word,food_drink,produces,Leite,NA,Leite,Milk,milk,NA
item_135,limao,word,food_drink,produces,Limão,NA,Limão,Lemon,lemon,NA
item_136,maca,word,food_drink,produces,Maçã,NA,Maça,Apple,apple,NA
item_137,manga,word,food_drink,produces,Manga,NA,Manga,Mango,mango,NA
item_138,manteiga,word,food_drink,produces,Manteiga,NA,Manteiga,Butter,butter,NA
item_139,marmelada,word,food_drink,produces,Marmelada,NA,Marmelada,Marmalade,jam,NA
item_140,massa,word,food_drink,produces,Massa,NA,Massa,Pasta,pasta,NA
item_141,melancia,word,food_drink,produces,Melancia,NA,Melancia,Watermelon,watermelon,NA
item_142,melao,word,food_drink,produces,Melão,NA,Melão,Melon,melon,NA
item_143,milho,word,food_drink,produces,Milho,NA,Milho,Corn,corn,NA
item_144,morango,word,food_drink,produces,Morango,NA,Morango,Strawberry,strawberry,NA
item_145,nozes,word,food_drink,produces,Nozes,NA,Nozes,Walnuts,nut,NA
item_146,ovo,word,food_drink,produces,Ovo,NA,Ovo,Egg,egg,NA
item_147,pao,word,food_drink,produces,Pão,NA,Pão,Bread,bread,NA
item_148,papa,word,food_drink,produces,Papa,NA,Papa,Mush,baby food,NA
item_149,pera,word,food_drink,produces,Pêra,NA,Pêra,Pear,pear,NA
item_150,pessego,word,food_drink,produces,Pêssego,NA,Pêssego,Peach,peach,NA
item_151,pizza,word,food_drink,produces,Piza,NA,Pizza,Pizza,pizza,NA
item_152,queijo,word,food_drink,produces,Queijo,NA,Queijo,Cheese,cheese,NA
item_153,rissol,word,food_drink,produces,Rissol,NA,Rissol,Little meat/fish pies,dumpling,NA
item_154,salsicha,word,food_drink,produces,Salsicha,NA,Salsicha,Sausage,sausage,NA
item_155,sopa,word,food_drink,produces,Sopa,NA,Sopa,Soup,soup,NA
item_156,sumo,word,food_drink,produces,Sumo,NA,Sumo,Juice,juice,NA
item_157,tangerina,word,food_drink,produces,Tangerina,NA,Tangerina,Tangerine,orange (food),NA
item_158,tomate,word,food_drink,produces,Tomate,NA,Tomate,Tomato,tomato,NA
item_159,uvas,word,food_drink,produces,Uvas,NA,Uvas,Grapes,grapes,NA
item_160,vinho,word,food_drink,produces,Vinho,NA,Vinho,Wine,wine,NA
item_161,anel,word,clothing,produces,Anel,NA,Anel,Ring,ring (object),NA
item_162,babete,word,clothing,produces,Babete,NA,Babete,Bib,bib,NA
item_163,bata,word,clothing,produces,Bata,NA,Bata,Smock,smock,NA
item_164,bibe,word,clothing,produces,Bibe,NA,Bibe,?????????????????????????????????????????,NA,NA
item_165,bone,word,clothing,produces,Boné,NA,Boné,Cap,hat,NA
item_166,botao,word,clothing,produces,Botão,NA,Botão,Button,button,NA
item_167,botas,word,clothing,produces,Botas,NA,Botas,Boots,boots,NA
item_168,cachecol,word,clothing,produces,Cachecol,NA,Cachecol,Scarf,scarf,NA
item_169,calcas,word,clothing,produces,Calças,NA,Calças,Pants/Trousers,pants,NA
item_170,calcoes,word,clothing,produces,Calções,NA,Calções,Shorts,shorts,NA
item_171,camisa,word,clothing,produces,Camisa,NA,Camisa,Shirt,shirt,NA
item_172,camisola,word,clothing,produces,Camisola,NA,Camisola,Sweater/ Jumper,sweater,NA
item_173,casaco,word,clothing,produces,Casaco,NA,Casaco,Coat,coat,NA
item_174,chapeu,word,clothing,produces,Chapéu,NA,Chapéu,Hat,hat,NA
item_175,chinelos,word,clothing,produces,Chinelos,NA,Chinelos,Slippers/ Flip-flops,slipper,NA
item_176,cinto,word,clothing,produces,Cinto,NA,Cinto,Belt,belt,NA
item_177,colar,word,clothing,produces,Colar / Fio,NA,Colar,Necklace,necklace,NA
item_178,cuecas,word,clothing,produces,Cuecas,NA,Cuecas,Briefs/ underpants,underpants,NA
item_179,fato_banho,word,clothing,produces,Fato de banho,NA,Fato_banho,Swimsuit,swimsuit,NA
item_180,fato_treino,word,clothing,produces,Fato de Treino,NA,Fato_treino,Tracksuit,tracksuit,NA
item_181,fita,word,clothing,produces,Fita,NA,Fita,Ribbon,ribbon,NA
item_182,fralda,word,clothing,produces,Fralda,NA,Fralda,Diaper,diaper,NA
item_183,gancho,word,clothing,produces,Gancho,NA,Gancho,Hairpin,hair clip,NA
item_184,gorro,word,clothing,produces,Gorro,NA,Gorro,Beanie,hat,NA
item_185,guarda_chuva,word,clothing,produces,Guarda-Chuva / Chapéu de chuva,NA,Guarda_chuva,Umbrella,umbrella,NA
item_186,kispo,word,clothing,produces,Kispo / Blusão,NA,Kispo,Jacket,jacket,NA
item_187,luvas,word,clothing,produces,Luvas,NA,Luvas,Gloves,glove,NA
item_188,meias,word,clothing,produces,Meias,NA,Meias,Socks,sock,NA
item_189,mochila,word,clothing,produces,Mochila,NA,Mochila,Backpack,bag,NA
item_190,pantufas,word,clothing,produces,Pantufas,NA,Pantufas,Slipper,slipper,NA
item_191,pasta,word,clothing,produces,Pasta,NA,Pasta,Case,bag,NA
item_192,pijama,word,clothing,produces,Pijama,NA,Pijama,Pajamas,pajamas,NA
item_193,relogio,word,clothing,produces,Relógio,NA,Relógio,Watch,watch (object),NA
item_194,roupa,word,clothing,produces,Roupa,NA,Roupa,Clothes,clothes,NA
item_195,saia,word,clothing,produces,Saia,NA,Saia,Skirt,skirt,NA
item_196,sandalias,word,clothing,produces,Sandálias,NA,Sandálias,Sandals,sandal,NA
item_197,sapatilhas,word,clothing,produces,Sapatilhas / Ténis,NA,Sapatilhas,Sneakers/ trainers,shoe,NA
item_198,sapato,word,clothing,produces,Sapato,NA,Sapato,Shoe(s),shoe,NA
item_199,totos,word,clothing,produces,Totós (elásticos de cabelo),NA,Totós,Hair ties/ elastics,hair tie,NA
item_200,vestido,word,clothing,produces,Vestido,NA,Vestido,Dress,dress (object),NA
item_201,barriga,word,body_parts,produces,Barriga,NA,Barriga,Belly,tummy,NA
item_202,boca,word,body_parts,produces,Boca,NA,Boca,Mouth,mouth,NA
item_203,bochechas,word,body_parts,produces,Bochechas,NA,Bochechas,Cheeks,cheek,NA
item_204,bracos,word,body_parts,produces,Braços,NA,Braços,Arms,arm,NA
item_205,cabeca,word,body_parts,produces,Cabeça,NA,Cabeça,Head,head,NA
item_206,cabelo,word,body_parts,produces,Cabelo,NA,Cabelo,Hair,hair,NA
item_207,cara,word,body_parts,produces,Cara,NA,Cara,Face,face,NA
item_208,costas,word,body_parts,produces,Costas,NA,Costas,Back,back (body part),NA
item_209,cotovelo,word,body_parts,produces,Cotovelo,NA,Cotovelo,Elbow,elbow,NA
item_210,dedo,word,body_parts,produces,Dedo,NA,Dedo,Finger,finger,NA
item_211,dentes,word,body_parts,produces,Dente(s),NA,Dentes,Teeth,tooth,NA
item_212,joelho,word,body_parts,produces,Joelho,NA,Joelho,Knee,knee,NA
item_213,lingua,word,body_parts,produces,Língua,NA,Língua,Tongue,tongue,NA
item_214,maminhas,word,body_parts,produces,Maminhas,NA,Maminhas,Boob,breast,NA
item_215,maos,word,body_parts,produces,Mão(s),NA,Mãos,Hands,hand,NA
item_216,nariz,word,body_parts,produces,Nariz,NA,Nariz,Nose,nose,NA
item_217,olhos,word,body_parts,produces,Olhos,NA,Olhos,Eyes,eye,NA
item_218,ombros,word,body_parts,produces,Ombros,NA,Ombros,Shoulder,shoulder,NA
item_219,orelha,word,body_parts,produces,Orelha,NA,Orelha,Ear (lobe),ear,NA
item_220,ouvidos,word,body_parts,produces,Ouvido(s),NA,Ouvidos,Ear,ear,NA
item_221,pes,word,body_parts,produces,Pé(s),NA,Pés,Feet,foot,NA
item_222,peito,word,body_parts,produces,Peito,NA,Peito,Breast,breast,NA
item_223,pernas,word,body_parts,produces,Perna(s),NA,Pernas,Legs,leg,NA
item_224,pescoco,word,body_parts,produces,Pescoço,NA,Pescoço,Neck,neck,NA
item_225,pestanas,word,body_parts,produces,Pestanas,NA,Pestanas,Eyelash,eyelash,NA
item_226,pipi,word,body_parts,produces,Pipi,NA,Pipi,The same as vagina (baby word for vagina),vagina,NA
item_227,pilinha,word,body_parts,produces,Pilinha/Pila/Pilau,NA,Pilinha,The same as penis (baby word for penis),penis,NA
item_228,queixo,word,body_parts,produces,Queixo,NA,Queixo,Chin,chin,NA
item_229,rabo,word,body_parts,produces,Rabo / Tutu,NA,Rabo,Tail/ Butt,butt,NA
item_230,sobrancelhas,word,body_parts,produces,Sobracelhas,NA,Sobrancelhas,Eyebrow,eyebrow,NA
item_231,testa,word,body_parts,produces,Testa,NA,Testa,Forehead,forehead,NA
item_232,tornozelo,word,body_parts,produces,Tornozelo,NA,Tornozelo,Ankle,ankle,NA
item_233,umbigo,word,body_parts,produces,Umbigo,NA,Umbigo,Belly button,belly button,NA
item_234,unhas,word,body_parts,produces,Unhas,NA,Unhas,Nails,nail (body part),NA
item_235,almofada,word,household,produces,Almofada,NA,Almofada,Pillow,pillow,NA
item_236,aspirador,word,household,produces,Aspirador,NA,Aspirador,Vacuum cleaner,vacuum,NA
item_237,banho,word,household,produces,Banho,NA,Banho,Bath,bath,NA
item_238,biberao,word,household,produces,Biberão,NA,Biberão,Baby bottle,bottle,NA
item_239,caixa,word,household,produces,Caixa,NA,Caixa,Box,box,NA
item_240,candeeiro,word,household,produces,Candeeiro,NA,Candeeiro,Lamp,lamp,NA
item_241,champo,word,household,produces,Champô,NA,Champô,Shampoo,shampoo,NA
item_242,chaves,word,household,produces,Chaves,NA,Chaves,Keys,key,NA
item_243,chupeta,word,household,produces,Chupeta / Chucha,NA,Chupeta,Pacifier,pacifier,NA
item_244,cobertor,word,household,produces,Cobertor,NA,Cobertor,Blanket,blanket,NA
item_245,colher,word,household,produces,Colher,NA,Colher,Spoon,spoon,NA
item_246,comando,word,household,produces,Comando,NA,Comando,Remote control,remote control,NA
item_247,computador_ob,word,household,produces,Computador,NA,Computador_ob,Computer,computer,NA
item_248,copo,word,household,produces,Copo,NA,Copo,Glass,glass,NA
item_249,dinheiro,word,household,produces,Dinheiro,NA,Dinheiro,Money,money,NA
item_250,duche,word,household,produces,Duche,NA,Duche,Shower,shower,NA
item_251,escova,word,household,produces,Escova,NA,Escova,Brush,brush (object),NA
item_252,escova_dentes,word,household,produces,Escova de dentes,NA,Escova_dentes,Toothbrush,toothbrush,NA
item_253,faca,word,household,produces,Faca,NA,Faca,Knife,knife,NA
item_254,fotografia,word,household,produces,Fotografia,NA,Fotografia,Photograph,photo,NA
item_255,garfo,word,household,produces,Garfo,NA,Garfo,Fork,fork,NA
item_256,garrafa,word,household,produces,Garrafa,NA,Garrafa,Bottle,bottle,NA
item_257,guardanapos,word,household,produces,Guardanapos,NA,Guardanapos,Napkin,napkin,NA
item_258,lata,word,household,produces,Lata,NA,Lata,Can,bottle,NA
item_259,lencois,word,household,produces,Lençóis,NA,Lençóis,(Bed) sheet,sheet,NA
item_260,lixo,word,household,produces,Lixo,NA,Lixo,Garbage,trash,NA
item_261,luz,word,household,produces,Luz,NA,Luz,Light,light (object),NA
item_262,manta,word,household,produces,Manta,NA,Manta,Wrap,blanket,NA
item_263,mola,word,household,produces,Mola (roupa),NA,Mola,Clothespin/ clothespeg,NA,NA
item_264,moeda,word,household,produces,Moeda / Tostão,NA,Moeda,Coin,coin,NA
item_265,oculos,word,household,produces,Óculos,NA,Óculos,Eyeglasses,glasses,NA
item_266,panela,word,household,produces,Panela,NA,Panela,(Cooking) pot,pot,NA
item_267,pano,word,household,produces,Pano,NA,Pano,Rag,rag,NA
item_268,papel,word,household,produces,Papel,NA,Papel,Paper,paper,NA
item_269,papel_higienico,word,household,produces,Papel higiénico,NA,Papel_higiénico,Toilet paper,tissue,NA
item_270,pente,word,household,produces,Pente,NA,Pente,Comb,comb (object),NA
item_271,perfume,word,household,produces,Perfume / Colónia,NA,Perfume,Perfume,perfume,NA
item_272,pote,word,household,produces,Pote / penico / bacio,NA,Pote,Potty,potty,NA
item_273,prato,word,household,produces,Prato,NA,Prato,Dish,dish,NA
item_274,sabao,word,household,produces,Sabão / sabonete,NA,Sabão,Soap,soap,NA
item_275,saco,word,household,produces,Saco,NA,Saco,Bag,bag,NA
item_276,secador,word,household,produces,Secador (cabelo),NA,Secador,Hairdryer,hair dryer,NA
item_277,tapete,word,household,produces,Tapete,NA,Tapete,Rug,carpet,NA
item_278,telefone,word,household,produces,Telefone,NA,Telefone,Telephone,telephone,NA
item_279,telemovel,word,household,produces,Telemóvel,NA,Telemóvel,Mobile phone,telephone,NA
item_280,tesoura,word,household,produces,Tesoura(s),NA,Tesoura,Scissors,scissors,NA
item_281,toalha,word,household,produces,Toalha,NA,Toalha,Towel,towel,NA
item_282,torneira,word,household,produces,Torneira,NA,Torneira,Tap,faucet,NA
item_283,velas,word,household,produces,Velas,NA,Velas,Candles,candle,NA
item_284,armario,word,furniture_rooms,produces,Armário,NA,Armário,Wardrobe,closet,NA
item_285,banco,word,furniture_rooms,produces,Banco,NA,Banco,Bench,bench,NA
item_286,cadeira,word,furniture_rooms,produces,Cadeira,NA,Cadeira,Chair,chair,NA
item_287,cama,word,furniture_rooms,produces,Cama,NA,Cama,Bed,bed,NA
item_288,campainha,word,furniture_rooms,produces,Campainha,NA,Campainha,Doorbell,bell,NA
item_289,casa_banho,word,furniture_rooms,produces,Casa / quarto de banho,NA,Casa_banho,Bathroom,bathroom,NA
item_290,chamine,word,furniture_rooms,produces,Chaminé,NA,Chaminé,Chimney,chimney,NA
item_291,chao,word,furniture_rooms,produces,Chão / soalho,NA,Chão,Floor,floor,NA
item_292,cozinha_mo,word,furniture_rooms,produces,Cozinha,NA,Cozinha_Mo,Kitchen,kitchen,NA
item_293,escadas,word,furniture_rooms,produces,Escadas,NA,Escadas,Stairs,stairs,NA
item_294,espelho,word,furniture_rooms,produces,Espelho,NA,Espelho,Mirror,mirror,NA
item_295,estante,word,furniture_rooms,produces,Estante,NA,Estante,bookshelf,shelf,NA
item_296,frigorifico,word,furniture_rooms,produces,Frigorífico,NA,Frigorífico,Fridge,refrigerator,NA
item_297,garagem,word,furniture_rooms,produces,Garagem,NA,Garagem,Garage,garage,NA
item_298,janela,word,furniture_rooms,produces,Janela,NA,Janela,Window,window,NA
item_299,jardim,word,furniture_rooms,produces,Jardim,NA,Jardim,Garden,garden,NA
item_300,lareira,word,furniture_rooms,produces,Lareira,NA,Lareira,Fireplace,fireplace,NA
item_301,mesa,word,furniture_rooms,produces,Mesa,NA,Mesa,Table,table,NA
item_302,parede,word,furniture_rooms,produces,Parade,NA,Parede,Wall,wall,NA
item_303,porta,word,furniture_rooms,produces,Porta,NA,Porta,Door,door,NA
item_304,portao,word,furniture_rooms,produces,Portão,NA,Portão,Gate,gate,NA
item_305,quarto,word,furniture_rooms,produces,Quarto,NA,Quarto,Bedroom,bedroom,NA
item_306,sala,word,furniture_rooms,produces,Sala,NA,Sala,Living or dining room,living room,NA
item_307,sanita,word,furniture_rooms,produces,Sanita / retrete,NA,Sanita,Toilet bowl,potty,NA
item_308,sofa,word,furniture_rooms,produces,Sofá,NA,Sofá,Sofa,couch,NA
item_309,televisao,word,furniture_rooms,produces,Televisão,NA,Televisão,Television,TV,NA
item_310,areia,word,outside,produces,Areia,NA,Areia,Sand,sand,NA
item_311,arvore,word,outside,produces,Árvore(s),NA,Árvore,Tree,tree,NA
item_312,baloico,word,outside,produces,Baloiço,NA,Baloiço,Swing,swing (object),NA
item_313,ceu,word,outside,produces,Céu,NA,Céu,Sky,sky,NA
item_314,chuva,word,outside,produces,Chuva,NA,Chuva,Rain,rain,NA
item_315,erva,word,outside,produces,Erva,NA,Erva,Herb,plant,NA
item_316,escorrega,word,outside,produces,Escorrega,NA,Escorrega,Slide,slide (object),NA
item_317,estrela,word,outside,produces,Estrela,NA,Estrela,Star,star,NA
item_318,flores,word,outside,produces,Flor(es),NA,Flores,Flowers,flower,NA
