field,column,group,type
item_168,Cachecol,item,word
item_169,Calças,item,word
item_170,Calções,item,word
item_171,Camisa,item,word
item_172,Camisola,item,word
item_173,Casaco,item,word
item_174,Chapéu,item,word
item_175,Chinelos,item,word
item_176,Cinto,item,word
item_177,Colar,item,word
item_178,Cuecas,item,word
item_179,Fato_banho,item,word
item_180,Fato_treino,item,word
item_181,Fita,item,word
item_182,Fralda,item,word
item_183,Gancho,item,word
item_184,Gorro,item,word
item_185,Guarda_chuva,item,word
item_186,Kispo,item,word
item_187,Luvas,item,word
item_188,Meias,item,word
item_189,Mochila,item,word
item_190,Pantufas,item,word
item_191,Pasta,item,word
item_192,Pijama,item,word
item_193,Relógio,item,word
item_194,Roupa,item,word
item_195,Saia,item,word
item_196,Sandálias,item,word
item_197,Sapatilhas,item,word
item_198,Sapato,item,word
item_199,Totós,item,word
item_200,Vestido,item,word
item_201,Barriga,item,word
item_202,Boca,item,word
item_203,Bochechas,item,word
item_204,Braços,item,word
item_205,Cabeça,item,word
item_206,Cabelo,item,word
item_207,Cara,item,word
item_208,Costas,item,word
item_209,Cotovelo,item,word
item_210,Dedo,item,word
item_211,Dentes,item,word
item_212,Joelho,item,word
item_213,Língua,item,word
item_214,Maminhas,item,word
item_215,Mãos,item,word
item_216,Nariz,item,word
item_217,Olhos,item,word
item_218,Ombros,item,word
item_219,Orelha,item,word
item_220,Ouvidos,item,word
item_221,Pés,item,word
item_222,Peito,item,word
item_223,Pernas,item,word
item_224,Pescoço,item,word
item_225,Pestanas,item,word
item_226,Pipi,item,word
item_227,Pilinha,item,word
item_228,Queixo,item,word
item_229,Rabo,item,word
item_230,Sobrancelhas,item,word
item_231,Testa,item,word
item_232,Tornozelo,item,word
item_233,Umbigo,item,word
item_234,Unhas,item,word
item_235,Almofada,item,word
item_236,Aspirador,item,word
item_237,Banho,item,word
item_238,Biberão,item,word
item_239,Caixa,item,word
item_240,Candeeiro,item,word
item_241,Champô,item,word
item_242,Chaves,item,word
item_243,Chupeta,item,word
item_244,Cobertor,item,word
item_245,Colher,item,word
item_246,Comando,item,word
item_247,Computador_ob,item,word
item_248,Copo,item,word
item_249,Dinheiro,item,word
item_250,Duche,item,word
item_251,Escova,item,word
item_252,Escova_dentes,item,word
item_253,Faca,item,word
item_254,Fotografia,item,word
item_255,Garfo,item,word
item_256,Garrafa,item,word
item_257,Guardanapos,item,word
item_258,Lata,item,word
item_259,Lençóis,item,word
item_260,Lixo,item,word
item_261,Luz,item,word
item_262,Manta,item,word
item_263,Mola,item,word
item_264,Moeda,item,word
item_265,Óculos,item,word
item_266,Panela,item,word
item_267,Pano,item,word
item_268,Papel,item,word
item_269,Papel_higiénico,item,word
item_270,Pente,item,word
item_271,Perfume,item,word
item_272,Pote,item,word
item_273,Prato,item,word
item_274,Sabão,item,word
item_275,Saco,item,word
item_276,Secador,item,word
item_277,Tapete,item,word
item_278,Telefone,item,word
item_279,Telemóvel,item,word
item_280,Tesoura,item,word
item_281,Toalha,item,word
item_282,Torneira,item,word
item_283,Velas,item,word
item_284,Armário,item,word
item_285,Banco,item,word
item_286,Cadeira,item,word
item_287,Cama,item,word
item_288,Campainha,item,word
item_289,Casa_banho,item,word
item_290,Chaminé,item,word
item_291,Chão,item,word
item_292,Cozinha_Mo,item,word
item_293,Escadas,item,word
item_294,Espelho,item,word
item_295,Estante,item,word
item_296,Frigorífico,item,word
item_297,Garagem,item,word
