"id","corpora","itemid","native","translation","ingroup"
"107","3","i_08_14","nattøj","pajamas","48"
"108","3","i_08_15","sut","pacifier","48"
"109","3","i_08_16","hagesmæk","bib","48"
"110","3","i_08_17","halskæde","necklace","48"
"111","3","i_08_18","sweater","sweater","48"
"112","3","i_08_19","hue","hat","48"
"113","3","i_08_20","shorts","shorts","48"
"114","3","i_08_21","trøje","sweater","48"
"115","3","i_09_1","ansigt","face","49"
"116","3","i_09_2","kind","cheek","49"
"117","3","i_09_3","tissemand","willy","49"
"118","3","i_09_4","arm","arm","49"
"119","3","i_09_5","knæ","knee","49"
"120","3","i_09_6","tunge","tongue","49"
"121","3","i_09_7","ben","leg","49"
"122","3","i_09_8","mund","mouth","49"
"123","3","i_09_9","tænder","tooth","49"
"124","3","i_09_10","finger","finger","49"
"125","3","i_09_11","navle","belly button","49"
"126","3","i_09_12","tå","toe","49"
"127","3","i_09_13","hoved","head","49"
"128","3","i_09_14","næse","nose","49"
"129","3","i_09_15","øje","eye","49"
"130","3","i_09_16","hånd","hand","49"
"131","3","i_09_17","sår","wound","49"
"132","3","i_09_18","øre","ear","49"
"133","3","i_09_19","hår","hair","49"
"134","3","i_09_20","tissekone","vagina","49"
"135","3","i_10_1","affald","trash","50"
"136","3","i_10_2","kop","cup","50"
"137","3","i_10_3","saks","scissors","50"
"138","3","i_10_4","billede","picture","50"
"139","3","i_10_5","kost","broom","50"
"140","3","i_10_6","ske","spoon","50"
"141","3","i_10_7","briller","glasses","50"
"142","3","i_10_8","krus","mug","50"
"143","3","i_10_9","skrald","garbage","50"
"144","3","i_10_10","børste","brush","50"
"145","3","i_10_11","lampe","lamp","50"
"146","3","i_10_12","skål","bowl","50"
"147","3","i_10_13","dyne","duvet","50"
"148","3","i_10_14","lys","light","50"
"149","3","i_10_15","småpenge","penny","50"
"150","3","i_10_16","flaske","bottle","50"
"151","3","i_10_17","medicin","medicine","50"
"152","3","i_10_18","støvsuger","vacuum","50"
"153","3","i_10_19","gaffel","fork","50"
"154","3","i_10_20","nøgler","keys","50"
"155","3","i_10_21","sæbe","soap","50"
"156","3","i_10_22","glas","glass","50"
"157","3","i_10_23","papir","paper","50"
"158","3","i_10_24","tallerken","plate","50"
"159","3","i_10_25","hammer","hammer","50"
"160","3","i_10_26","penge","money","50"
"161","3","i_10_27","tandbørste","toothbrush","50"
"162","3","i_10_28","håndklæde","towel","50"
"163","3","i_10_29","plante","plant","50"
"164","3","i_10_30","telefon","telephone","50"
"165","3","i_10_31","kam","comb","50"
"166","3","i_10_32","pude","pillow","50"
"167","3","i_10_33","tæppe","blanket","50"
"168","3","i_10_34","kasse","box","50"
"169","3","i_10_35","pung","purse","50"
"170","3","i_10_36","ur","watch","50"
"171","3","i_10_37","klokke","clock","50"
"172","3","i_10_38","radio","radio","50"
"173","3","i_11_1","badekar","bathtub","51"
"174","3","i_11_2","kravlegård","play pen","51"
"175","3","i_11_3","soveværelse","bedroom","51"
"176","3","i_11_4","badeværelse","bathroom","51"
"177","3","i_11_5","køkken","kitchen","51"
"178","3","i_11_6","stol","chair","51"
"179","3","i_11_7","bord","table","51"
"180","3","i_11_8","køleskab","refrigerator","51"
"181","3","i_11_9","stue","living room","51"
"182","3","i_11_10","dør","door","51"
"183","3","i_11_11","ovn","oven","51"
"184","3","i_11_12","trapper","stairs","51"
"185","3","i_11_13","garage","garage","51"
"186","3","i_11_14","potte","potty","51"
"187","3","i_11_15","tv/fjernsyn","tv","51"
"188","3","i_11_16","gyngestol","rocking chair","51"
"189","3","i_11_17","seng","bed","51"
"190","3","i_11_18","vask","sink","51"
"191","3","i_11_19","høj stol","high chair","51"
"192","3","i_11_20","skuffe","drawer","51"
"193","3","i_11_21","vindue","window","51"
"194","3","i_11_22","komfur","stove","51"
"195","3","i_11_23","sofa","couch","51"
"196","3","i_11_24","vugge","crib","51"
"197","3","i_12_1","blomst","flower","52"
"198","3","i_12_2","regn","rain","52"
"199","3","i_12_3","sten","rock","52"
"200","3","i_12_4","gynge","swing","52"
"201","3","i_12_5","skovl","shovel","52"
"202","3","i_12_6","stjerne","star","52"
"203","3","i_12_7","himmel","sky","52"
"204","3","i_12_8","slæde","-","52"
"205","3","i_12_9","træ","tree","52"
"206","3","i_12_10","kælk","-","52"
"207","3","i_12_11","sne","snow","52"
"208","3","i_12_12","vand","water","52"
"209","3","i_12_13","måne","moon","52"
"210","3","i_12_14","sol","sun","52"
"211","3","i_13_1","arbejde","work","53"
"212","3","i_13_2","hjem","home","53"
"213","3","i_13_3","stranden","beach","53"
"214","3","i_13_4","butik","store","53"
"215","3","i_13_5","hus","house","53"
"216","3","i_13_6","svømmehal","pool","53"
"217","3","i_13_7","fest","party","53"
"218","3","i_13_8","kirke","church","53"
"219","3","i_13_9","udenfor","outside","53"
"220","3","i_13_10","forretning","-","53"
"221","3","i_13_11","park","park","53"
"222","3","i_13_12","zoologisk have","zoo","53"
"223","3","i_13_13","have","garden","53"
"224","3","i_13_14","skole","school","53"
"225","3","i_14_1","baby","baby","54"
"226","3","i_14_2","far","daddy","54"
"227","3","i_14_3","morfar","grandpa","54"
"228","3","i_14_4","babysitters navn","baybysitters name","54"
"229","3","i_14_5","farbror","-","54"
"230","3","i_14_6","mormor","grandma","54"
"231","3","i_14_7","barn","child","54"
"232","3","i_14_8","farfar","-","54"
"233","3","i_14_9","moster","-","54"
"234","3","i_14_10","barnets eget navn","childs own name","54"
"235","3","i_14_11","farmor","-","54"
"236","3","i_14_12","oldefar","-","54"
"237","3","i_14_13","bedstefar","-","54"
"238","3","i_14_14","faster","-","54"
"239","3","i_14_15","olde(mor)","-","54"
"240","3","i_14_16","bedste(mor)","-","54"
"241","3","i_14_17","lærer","teacher","54"
"242","3","i_14_18","onkel","uncle","54"
"243","3","i_14_19","bror","brother","54"
"244","3","i_14_20","mand","man","54"
"245","3","i_14_21","person","person","54"
"246","3","i_14_22","dagplejemors navn","-","54"
"247","3","i_14_23","menneske","people","54"
"248","3","i_14_24","pige","girl","54"
"249","3","i_14_25","dame","lady","54"
"250","3","i_14_26","mor","mommy","54"
"251","3","i_14_27","søster","sister","54"
"252","3","i_14_28","dreng","boy","54"
"253","3","i_14_29","morbror","-","54"
"254","3","i_14_30","tante","aunt","54"
"255","3","i_15_1","aftensmad","dinner","55"
"256","3","i_15_2","hej hej (farvel)","bye or bye bye","55"
"257","3","i_15_3","shh","shh/shush/hush","55"
"258","3","i_15_4","bade","bath","55"
"259","3","i_15_5","ja","yes","55"
"260","3","i_15_6","sove til middag","night night","55"
"261","3","i_15_7","borte tit/titte bøh","peekaboo","55"
"262","3","i_15_8","klappe kage","patty cake","55"
"263","3","i_15_9","tak","thank you","55"
"264","3","i_15_10","frokost","lunch","55"
"265","3","i_15_11","morgenmad","breakfast","55"
"266","3","i_15_12","vent","wait","55"
"267","3","i_15_13","hej","hi","55"
"268","3","i_15_14","nej","no","55"
"269","3","i_15_15","vil","wanna/want to","55"
"270","3","i_16_1","bide","bite","56"
"271","3","i_16_2","køre","drive","56"
"272","3","i_16_3","slå","hit","56"
"273","3","i_16_4","danse","dance","56"
"274","3","i_16_5","lukke","close","56"
"275","3","i_16_6","smide","throw","56"
"276","3","i_16_7","drikke","drink","56"
"277","3","i_16_8","læse","read","56"
"278","3","i_16_9","sove","sleep","56"
"279","3","i_16_10","elske","love","56"
"280","3","i_16_11","løbe","run","56"
"281","3","i_16_12","sparke","kick","56"
"282","3","i_16_13","falde","fall","56"
"283","3","i_16_14","made","feed","56"
"284","3","i_16_15","spise","eat","56"
"285","3","i_16_16","få","get","56"
"286","3","i_16_17","plaske","splash","56"
"287","3","i_16_18","standse","stop","56"
"288","3","i_16_19","give","give","56"
"289","3","i_16_20","puste","blow","56"
"290","3","i_16_21","svømme","swim","56"
"291","3","i_16_22","græde","cry","56"
"292","3","i_16_23","putte","-","56"
"293","3","i_16_24","synge","sing","56"
"294","3","i_16_25","gynge","swing","56"
"295","3","i_16_26","ride","ride","56"
"296","3","i_16_27","sætte","put","56"
"297","3","i_16_28","gå","walk","56"
"298","3","i_16_29","rydde op","clean","56"
"299","3","i_16_30","tage","take","56"
"300","3","i_16_31","hjælpe","help","56"
"301","3","i_16_32","røre","touch","56"
"302","3","i_16_33","tegne","draw","56"
"303","3","i_16_34","holde øje med","watch","56"
"304","3","i_16_35","se","see","56"
"305","3","i_16_36","trække","pull","56"
"306","3","i_16_37","hoppe","jump","56"
"307","3","i_16_38","sige","say","56"
"308","3","i_16_39","tørre af","wipe","56"
"309","3","i_16_40","kigge","look","56"
"310","3","i_16_41","skrive","write","56"
"311","3","i_16_42","vaske","wash","56"
"312","3","i_16_43","kilde","tickle","56"
"313","3","i_16_44","skubbe","push","56"
"314","3","i_16_45","vise","show","56"
"315","3","i_16_46","kramme","hug","56"
"316","3","i_16_47","skynde sig","hurry","56"
"317","3","i_16_48","ødelægge","break","56"
"318","3","i_16_49","kysse","kiss","56"
"319","3","i_16_50","slutte","finish","56"
"320","3","i_16_51","åbne","open","56"
"321","3","i_16_52","lege","play","56"
"322","3","i_17_1","bange","scared","57"
"323","3","i_17_2","i stykker","broken","57"
"324","3","i_17_3","sulten","hungry","57"
"325","3","i_17_4","beskidt","dirty","57"
"326","3","i_17_5","kold","cold","57"
"327","3","i_17_6","syg","sick","57"
"328","3","i_17_7","blød","soft","57"
"329","3","i_17_8","køn","pretty","57"
"330","3","i_17_9","sød","cute","57"
"331","3","i_17_10","blå","blue","57"
"332","3","i_17_11","lille","little","57"
"333","3","i_17_12","søvnig","sleepy","57"
"334","3","i_17_13","fin","fine","57"
"335","3","i_17_14","mørk","dark","57"
"336","3","i_17_15","tom","empty","57"
"337","3","i_17_16","forsigtig","careful","57"
"338","3","i_17_17","(gør) ondt","hurt","57"
"339","3","i_17_18","træt","tired","57"
"340","3","i_17_19","fræk","bad","57"
"341","3","i_17_20","pæn","nice","57"
"342","3","i_17_21","tør","dry","57"
"343","3","i_17_22","gammel","old","57"
"344","3","i_17_23","rar","gentle","57"
"345","3","i_17_24","tørstig","thirsty","57"
"346","3","i_17_25","glad","happy","57"
"347","3","i_17_26","ren","clean","57"
"348","3","i_17_27","ulækker","yucky","57"
"349","3","i_17_28","god","good","57"
"350","3","i_17_29","rød","red","57"
"351","3","i_17_30","varm","hot","57"
"352","3","i_17_31","hurtig","fast","57"
"353","3","i_17_32","slem","naughty","57"
"354","3","i_17_33","væk","all gone","57"
"355","3","i_17_34","hård","hard","57"
"356","3","i_17_35","stor","big","57"
"357","3","i_17_36","våd","wet","57"
"358","3","i_18_1","dag","day","58"
"359","3","i_18_2","i morgen","tomorrow","58"
"360","3","i_18_3","nu","now","58"
"361","3","i_18_4","i aften","tonight","58"
"362","3","i_18_5","morgen","morning","58"
"363","3","i_18_6","senere","later","58"
"364","3","i_18_7","i dag","today","58"
"365","3","i_18_8","nat","night","58"
"366","3","i_19_1","den","it","59"
"367","3","i_19_2","din/dit/dine","your","59"
"368","3","i_19_3","jeg","I","59"
"369","3","i_19_4","denne/den her","this","59"
"370","3","i_19_5","du","you","59"
"371","3","i_19_6","mig","me","59"
"372","3","i_19_7","det","that","59"
"373","3","i_19_8","hans","his","59"
"374","3","i_19_9","min/mit/mine","mine","59"
"375","3","i_19_10","dette/det her","-","59"
"376","3","i_19_11","hendes","her","59"
"377","3","i_20_1","hvad","what","60"
"378","3","i_20_2","hvor","where","60"
"379","3","i_20_3","hvorfor","why","60"
"380","3","i_20_4","hvem","who","60"
"381","3","i_20_5","hvordan","how","60"
"382","3","i_20_6","hvornår","when","60"
"383","3","i_21_1","af","off","61"
"384","3","i_21_2","inden i","inside","61"
"385","3","i_21_3","ud","out","61"
"386","3","i_21_4","bagved","back","61"
"387","3","i_21_5","ned","down","61"
"388","3","i_21_6","ude","-","61"
"389","3","i_21_7","der","there","61"
"390","3","i_21_8","nede","-","61"
"391","3","i_21_9","under","under","61"
"392","3","i_21_10","i","in","61"
"393","3","i_21_11","op","up","61"
"394","3","i_21_12","væk","away","61"
"395","3","i_21_13","ind","-","61"
"396","3","i_21_14","oppe","-","61"
"397","3","i_21_15","inde","-","61"
"398","3","i_21_16","på","on","61"
"399","3","i_22_1","alle","all","62"
"400","3","i_22_2","ingen","none","62"
"401","3","i_22_3","noget","some","62"
"402","3","i_22_4","(en) anden","another","62"
"403","3","i_22_5","intet","-","62"
"404","3","i_22_6","samme","same","62"
"405","3","i_22_7","(et) andet","-","62"
"406","3","i_22_8","mere","more","62"
"407","3","i_22_9","ikke","not","62"
"408","3","i_22_10","nogen/nogle","-","62"
"409","3","i_10_39","æske","case","50"
"410","3","i_16_53","smile","smile","56"
"411","4","i_01_1","av","ouch","63"
"412","4","i_01_2","mjav","meow","63"
"413","4","i_01_3","rap","quack quack","63"
"414","4","i_01_4","fut","choo choo","63"
"415","4","i_01_5","muh","moo","63"
"416","4","i_01_6","vov","woof woof","63"
"417","4","i_01_7","grrrr","grr","63"
"418","4","i_01_8","mæh","baa baa","63"
"419","4","i_01_9","åh åhh (ups)","uh oh","63"
"420","4","i_01_10","kykliky","cockadoodledoo","63"
"421","4","i_01_11","mm mm (lækkert)","yum yum","63"
"422","4","i_01_12","årnnn (bil-lyd)","vroom","63"
"423","4","i_02_1","abe","monkey","64"
"424","4","i_02_2","gås","goose","64"
"425","4","i_02_3","løve","lion","64"
"426","4","i_02_4","and","duck","64"
"427","4","i_02_5","hane","rooster","64"
"428","4","i_02_6","mus","mouse","64"
"429","4","i_02_7","bamse","teddybear","64"
"430","4","i_02_8","hest","horse","64"
"431","4","i_02_9","myg","-","64"
"432","4","i_02_10","bi","bee","64"
"433","4","i_02_11","hjort","deer","64"
"434","4","i_02_12","myre","ant","64"
"435","4","i_02_13","bjørn","bear","64"
"436","4","i_02_14","hvalp","puppy","64"
"437","4","i_02_15","pingvin","penguin","64"
"438","4","i_02_16","dyr","animal","64"
"439","4","i_02_17","hund","dog","64"
"440","4","i_02_18","pony","pony","64"
"441","4","i_02_19","egern","squirrel","64"
"442","4","i_02_20","høne","hen","64"
"443","4","i_02_21","skildpadde","turtle","64"
"444","4","i_02_22","elefant","elephant","64"
"445","4","i_02_23","kalkun","turkey","64"
"446","4","i_02_24","sommerfugl","butterfly","64"
"447","4","i_02_25","fisk","fish","64"
"448","4","i_02_26","kanin","bunny","64"
"449","4","i_02_27","tiger","tiger","64"
"450","4","i_02_28","flue","bug","64"
"451","4","i_02_29","kat","cat","64"
"452","4","i_02_30","ugle","owl","64"
"453","4","i_02_31","frø","frog","64"
"454","4","i_02_32","killing","kitty","64"
"455","4","i_02_33","ulv","wolf","64"
"456","4","i_02_34","fugl","bird","64"
"457","4","i_02_35","ko","cow","64"
"458","4","i_02_36","zebra","zebra","64"
"459","4","i_02_37","får","sheep","64"
"460","4","i_02_38","krokodille","alligator","64"
"461","4","i_02_39","æsel","donkey","64"
"462","4","i_02_40","giraf","giraffe","64"
"463","4","i_02_41","kylling","chicken","64"
"464","4","i_02_42","gris","pig","64"
"465","4","i_02_43","lam","lamb","64"
"466","4","i_03_1","barnevogn","stroller","65"
"467","4","i_03_2","flyvemaskine","airplane","65"
"468","4","i_03_3","motorcykel","motorcycle","65"
"469","4","i_03_4","bil","car","65"
"470","4","i_03_5","helikopter","helicopter","65"
"471","4","i_03_6","skib","boat","65"
"472","4","i_03_7","brandbil","firetruck","65"
"473","4","i_03_8","klapvogn","-","65"
"474","4","i_03_9","tog","train","65"
"475","4","i_03_10","bus","bus","65"
"476","4","i_03_11","kælk","sled","65"
"477","4","i_03_12","traktor","tractor","65"
"478","4","i_03_13","cykel","bicycle","65"
"479","4","i_03_14","lastbil","truck","65"
"480","4","i_04_1","ballon","balloon","66"
"481","4","i_04_2","farveblyant","crayon","66"
"482","4","i_04_3","legetøj","toy","66"
"483","4","i_04_4","blyant","pencil","66"
"484","4","i_04_5","gave","present","66"
"485","4","i_04_6","lego","-","66"
"486","4","i_04_7","bog","book","66"
"487","4","i_04_8","historie","story","66"
"488","4","i_04_9","puslespil","puzzle","66"
"489","4","i_04_10","bold","ball","66"
"490","4","i_04_11","klods","block","66"
"491","4","i_04_12","spil","game","66"
"492","4","i_04_13","dukke","doll","66"
"493","4","i_04_14","kridt","chalk","66"
"494","4","i_04_15","sæbebobler","bubbles","66"
"495","4","i_04_16","duplo","-","66"
"496","4","i_04_17","kuglepen","pen","66"
"497","4","i_04_18","modellérvoks","play dough","66"
"498","4","i_05_1","agurk","pickle","67"
"499","4","i_05_2","kiks","cracker","67"
"500","4","i_05_3","sandwich","sandwich","67"
"501","4","i_05_4","appelsin","orange","67"
"502","4","i_05_5","kinderæg","-","67"
"503","4","i_05_6","slik","candy","67"
"504","4","i_05_7","banan","banana","67"
"505","4","i_05_8","kylling","chicken","67"
"506","4","i_05_9","slikkepind","lollipop","67"
"507","4","i_05_10","boller","-","67"
"508","4","i_05_11","kød","meat","67"
"509","4","i_05_12","smør","butter","67"
"510","4","i_05_13","burger","hamburger","67"
"511","4","i_05_14","leverpostej","-","67"
"512","4","i_05_15","småkager","cookie","67"
"513","4","i_05_16","brød","bread","67"
"514","4","i_05_17","mad","food","67"
"515","4","i_05_18","sodavand","soda/pop","67"
"516","4","i_05_19","bønner","beans","67"
"517","4","i_05_20","melon","melon","67"
"518","4","i_05_21","sovs","sauce","67"
"519","4","i_05_22","chips","potato chip","67"
"520","4","i_05_23","mælk","milk","67"
"521","4","i_05_24","spaghetti","spaghetti","67"
"522","4","i_05_25","chokolade","chocolate","67"
"523","4","i_05_26","mælkesnitte","-","67"
"524","4","i_05_27","spegepølse","-","67"
"525","4","i_05_28","cola","coke","67"
"526","4","i_05_29","nødder","nuts","67"
"527","4","i_05_30","syltetøj","jelly","67"
"528","4","i_05_31","cornflakes","-","67"
"529","4","i_05_32","ost","cheese","67"
"530","4","i_05_33","suppe","soup","67"
"531","4","i_05_34","dessert","-","67"
"532","4","i_05_35","ostehaps","-","67"
"533","4","i_05_36","te","-","67"
"534","4","i_05_37","fisk","fish","67"
"535","4","i_05_38","pandekager","pancake","67"
"536","4","i_05_39","tun","tuna","67"
"537","4","i_05_40","frikadeller","-","67"
"538","4","i_05_41","pasta","noodles","67"
"539","4","i_05_42","tyggegummi","gum","67"
"540","4","i_05_43","gulerødder","carrots","67"
"541","4","i_05_44","peanutbutter","peanut butter","67"
"542","4","i_05_45","vand","water","67"
"543","4","i_05_46","grød","-","67"
"544","4","i_05_47","pizza","pizza","67"
"545","4","i_05_48","vindruer","grapes","67"
"546","4","i_05_49","havregryn","corn","67"
"547","4","i_05_50","pomfritter","french fries","67"
"548","4","i_05_51","vingummi","-","67"
"549","4","i_05_52","is","ice cream","67"
"550","4","i_05_53","popcorn","popcorn","67"
"551","4","i_05_54","vitaminer","vitamins","67"
"552","4","i_05_55","jordbær","strawberry","67"
"553","4","i_05_56","pølser","-","67"
"554","4","i_05_57","yoghurt","yogurt","67"
"555","4","i_05_58","juice","juice","67"
"556","4","i_05_59","rosiner","raisin","67"
"557","4","i_05_60","æble","apple","67"
"558","4","i_05_61","kaffe","coffee","67"
"559","4","i_05_62","rugbrød","-","67"
"560","4","i_05_63","æg","egg","67"
"561","4","i_05_64","kage(r)","cake","67"
"562","4","i_05_65","saft(evand)","-","67"
"563","4","i_05_66","ærter","peas","67"
"564","4","i_05_67","kartofler","potato","67"
"565","4","i_05_68","salt","salt","67"
"566","4","i_06_1","ble","diaper","68"
"567","4","i_06_2","hue","hat","68"
"568","4","i_06_3","strømpebukser","tights","68"
"569","4","i_06_4","bluse","-","68"
"570","4","i_06_5","jakke","jacket","68"
"571","4","i_06_6","strømper","sock","68"
"572","4","i_06_7","bukser","pants","68"
"573","4","i_06_8","kjole","dress","68"
"574","4","i_06_9","støvler","boots","68"
"575","4","i_06_10","bælte","belt","68"
"576","4","i_06_11","knap","button","68"
"577","4","i_06_12","sut","-","68"
"578","4","i_06_13","flyverdragt","snowsuit","68"
"579","4","i_06_14","kondisko","sneaker","68"
"580","4","i_06_15","sweater","sweater","68"
"581","4","i_06_16","frakke","coat","68"
"582","4","i_06_17","lynlås","zipper","68"
"583","4","i_06_18","t-shirt","-","68"
"584","4","i_06_19","hagesmæk","bib","68"
"585","4","i_06_20","nattøj","pajamas","68"
"586","4","i_06_21","trusser","underpants","68"
"587","4","i_06_22","halskæde","necklace","68"
"588","4","i_06_23","shorts","shorts","68"
"589","4","i_06_24","trøje","-","68"
"590","4","i_06_25","halstørklæde","scarf","68"
"591","4","i_06_26","sko","shoe","68"
"592","4","i_06_27","underbukser","underpants","68"
"593","4","i_06_28","hjemmesko/sutsko","slipper","68"
"594","4","i_06_29","sokker","-","68"
"595","4","i_06_30","vanter","mittens","68"
"596","4","i_07_1","ankel","ankle","69"
"597","4","i_07_2","hår","hair","69"
"598","4","i_07_3","sår","-","69"
"599","4","i_07_4","ansigt","face","69"
"600","4","i_07_5","kind","cheek","69"
"601","4","i_07_6","tænder","tooth","69"
"602","4","i_07_7","arm","arm","69"
"603","4","i_07_8","knæ","knee","69"
"604","4","i_07_9","tissekone","vagina","69"
"605","4","i_07_10","ben","leg","69"
"606","4","i_07_11","læber","lips","69"
"607","4","i_07_12","tissemand","penis","69"
"608","4","i_07_13","bryster","-","69"
"609","4","i_07_14","mave","tummy","69"
"610","4","i_07_15","tunge","tongue","69"
"611","4","i_07_16","finger","finger","69"
"612","4","i_07_17","mund","mouth","69"
"613","4","i_07_18","tå","toe","69"
"614","4","i_07_19","fødder","feet","69"
"615","4","i_07_20","navle","belly button","69"
"616","4","i_07_21","øje","eye","69"
"617","4","i_07_22","hage","chin","69"
"618","4","i_07_23","numse","buttocks/bottom","69"
"619","4","i_07_24","øre","ear","69"
"620","4","i_07_25","hoved","head","69"
"621","4","i_07_26","næse","nose","69"
"622","4","i_07_27","hånd","hand","69"
"623","4","i_07_28","skulder","shoulder","69"
"624","4","i_08_1","affald","trash","70"
"625","4","i_08_2","klokke","clock","70"
"626","4","i_08_3","saks","scissors","70"
"627","4","i_08_4","bakke","tray","70"
"628","4","i_08_5","kop","cup","70"
"629","4","i_08_6","serviet","napkin","70"
"630","4","i_08_7","billede","picture","70"
"631","4","i_08_8","kost","broom","70"
"632","4","i_08_9","ske","spoon","70"
"633","4","i_08_10","briller","glassess","70"
"634","4","i_08_11","kniv","knife","70"
"635","4","i_08_12","skrald","garbage","70"
"636","4","i_08_13","børste","brush","70"
"637","4","i_08_14","krukke","-","70"
"638","4","i_08_15","skål","bowl","70"
"639","4","i_08_16","bånd","tape","70"
"640","4","i_08_17","krus","cup","70"
"641","4","i_08_18","småpenge","penny","70"
"642","4","i_08_19","dyne","-","70"
"643","4","i_08_20","køkkenrulle","tissue/kleenex","70"
"644","4","i_08_21","spand","bucket","70"
"645","4","i_08_22","dåse","can","70"
"646","4","i_08_23","lampe","lamp","70"
"647","4","i_08_24","støvsuger","vacuum","70"
"648","4","i_08_25","flaske","bottle","70"
"649","4","i_08_26","lys","light","70"
"650","4","i_08_27","sæbe","soap","70"
"651","4","i_08_28","gaffel","fork","70"
"652","4","i_08_29","medicin","medicine","70"
"653","4","i_08_30","tallerken","plate","70"
