itemID,item,type,category,choices,definition,gloss
item_1,becareful,phrases,,understands; produces,be careful,be careful
item_126,childkid,word,people,understands; produces,child's own name,child's own name
item_127,clown,word,people,understands; produces,clown,clown
item_128,cowboy,word,people,understands; produces,cowboy,cowboy
item_129,daddy,word,people,understands; produces,daddy,daddy
item_130,doctor,word,people,understands; produces,doctor,doctor
item_131,fireman,word,people,understands; produces,fireman,fireman
item_132,friend,word,people,understands; produces,friend,friend
item_133,girl,word,people,understands; produces,girl,girl
item_134,grandma,word,people,understands; produces,grandma,grandma
item_135,grandpa,word,people,understands; produces,grandpa,grandpa
item_136,indian,word,people,understands; produces,indian,indian
item_137,postman,word,people,understands; produces,postman,postman
item_138,man,word,people,understands; produces,man,man
item_139,mummy,word,people,understands; produces,mummy,mummy
item_140,nurse,word,people,understands; produces,nurse,nurse
item_141,people,word,people,understands; produces,people,people
item_142,person,word,people,understands; produces,person,person
item_143,petname,word,people,understands; produces,pet's name,pet's name
item_144,police,word,people,understands; produces,police,police
item_145,fatherchristmas,word,people,understands; produces,Father Christmas,Father Christmas
item_146,sister,word,people,understands; produces,sister,sister
item_147,teacher,word,people,understands; produces,teacher,teacher
item_148,uncle,word,people,understands; produces,uncle,uncle
item_149,woman,word,people,understands; produces,woman,woman
item_150,apple,word,food_drink,understands; produces,apple,apple
item_151,banana,word,food_drink,understands; produces,banana,banana
item_152,bakedbeans,word,food_drink,understands; produces,baked beans,baked beans
item_153,bread,word,food_drink,understands; produces,bread,bread
item_154,butter,word,food_drink,understands; produces,butter,butter
item_155,cake,word,food_drink,understands; produces,cake,cake
item_156,sweets,word,food_drink,understands; produces,sweets,sweets
item_157,cereal,word,food_drink,understands; produces,cereal,cereal
item_158,cheese,word,food_drink,understands; produces,cheese,cheese
item_159,chicken,word,food_drink,understands; produces,chicken,chicken
item_160,chocolate,word,food_drink,understands; produces,chocolate,chocolate
item_161,coffee,word,food_drink,understands; produces,coffee,coffee
item_162,coke,word,food_drink,understands; produces,coke,coke
item_163,biscuit,word,food_drink,understands; produces,biscuit,biscuit
item_164,corn,word,food_drink,understands; produces,corn,corn
item_165,cracker,word,food_drink,understands; produces,cracker,cracker
item_166,doughnut,word,food_drink,understands; produces,doughnut,doughnut
item_167,drink,word,food_drink,understands; produces,drink,drink
item_168,fishtoeat,word,food_drink,understands; produces,fish to eat,fish to eat
item_169,food,word,food_drink,understands; produces,food,food
item_170,chips,word,food_drink,understands; produces,chips,chips
item_171,grapes,word,food_drink,understands; produces,grapes,grapes
item_172,carrots,word,food_drink,understands; produces,carrots,carrots
item_173,gum,word,food_drink,understands; produces,gum,gum
item_174,hamburger,word,food_drink,understands; produces,hamburger,hamburger
item_175,ice,word,food_drink,understands; produces,ice,ice
item_176,icecream,word,food_drink,understands; produces,icecream,icecream
item_177,jelly,word,food_drink,understands; produces,jelly,jelly
item_178,juice,word,food_drink,understands; produces,juice,juice
item_179,lollipop,word,food_drink,understands; produces,lollipop,lollipop
item_180,meat,word,food_drink,understands; produces,meat,meat
item_181,milk,word,food_drink,understands; produces,milk,milk
item_182,nuts,word,food_drink,understands; produces,nuts,nuts
item_183,orange,word,food_drink,understands; produces,orange,orange
item_184,peanutbutter,word,food_drink,understands; produces,peanut butter,peanut butter
item_185,pizza,word,food_drink,understands; produces,pizza,pizza
item_186,icelolly,word,food_drink,understands; produces,ice lolly,ice lolly
item_187,potato,word,food_drink,understands; produces,potato,potato
item_188,crisps,word,food_drink,understands; produces,crisps,crisps
