column,field,group,type
ppl_person,item_405,item,word
ppl_man,item_406,item,word
ppl_boy,item_407,item,word
ppl_child's own name,item_408,item,word
ppl_pet's name,item_409,item,word
ppl_sister,item_410,item,word
ppl_girl,item_411,item,word
ppl_grandma,item_412,item,word
ppl_uncle,item_413,item,word
ppl_aunt,item_414,item,word
ppl_grandpa,item_415,item,word
ppl_lady,item_416,item,word
ppl_brother,item_417,item,word
ppl_doctor,item_418,item,word
ppl_kindergarten teacher,item_419,item,word
ppl_name of the child's kindergarten teacher,item_420,item,word
ppl_mailman,item_421,item,word
ppl_police,item_422,item,word
ppl_teacher,item_423,item,word
ppl_fireman,item_424,item,word
gr_peekaboo,item_425,item,word
gr_give me five!,item_426,item,word
gr_handkiss (as a greeting toward adults),item_427,item,word
gr_lunch,item_428,item,word
gr_this little piggy,item_429,item,word
gr_tag (game),item_430,item,word
gr_bath,item_431,item,word
gr_hallo (answering the telephone),item_432,item,word
gr_hello,item_433,item,word
gr_yes,item_434,item,word
gr_night night,item_435,item,word
gr_good night,item_436,item,word
gr_good appetite,item_437,item,word
gr_good morning (during the day),item_438,item,word
gr_good morning (during the morning),item_439,item,word
gr_please,item_440,item,word
gr_ready (done),item_441,item,word
gr_thank you,item_442,item,word
gr_no,item_443,item,word
gr_go potty,item_444,item,word
gr_shh/shush/hush,item_445,item,word
gr_breakfast,item_446,item,word
gr_hi,item_447,item,word
gr_you're welcome,item_448,item,word
gr_nap,item_449,item,word
gr_call (on phone),item_450,item,word
gr_mid-morning snack,item_451,item,word
gr_dinner,item_452,item,word
gr_shopping,item_453,item,word
gr_bye,item_454,item,word
ac_stop (doing sg),item_455,item,word
ac_give,item_456,item,word
ac_want,item_457,item,word
ac_stand,item_458,item,word
ac_sleep,item_459,item,word
ac_hurt (active),item_460,item,word
ac_finish,item_461,item,word
ac_talk,item_462,item,word
ac_close...70,item_463,item,word
ac_ride bicycle,item_464,item,word
ac_drip,item_465,item,word
ac_drop (liquid),item_466,item,word
ac_tickle,item_467,item,word
ac_make/do,item_468,item,word
ac_close...76,item_469,item,word
ac_slide,item_470,item,word
ac_sit (IDS word),item_471,item,word
ac_throw,item_472,item,word
ac_work,item_473,item,word
ac_hide,item_474,item,word
ac_fall,item_475,item,word
ac_forget,item_476,item,word
ac_share,item_477,item,word
ac_tear,item_478,item,word
ac_break...86,item_479,item,word
ac_take,item_480,item,word
ac_allow,item_481,item,word
ac_drop,item_482,item,word
ac_sing,item_483,item,word
ac_build,item_484,item,word
ac_eat,item_485,item,word
ac_feed,item_486,item,word
ac_hurt (as a feeling),item_487,item,word
ac_feel cold,item_488,item,word
ac_feel scared,item_489,item,word
ac_wake,item_490,item,word
ac_get up,item_491,item,word
ac_pay attention / listen,item_492,item,word
ac_cook,item_493,item,word
ac_splash,item_494,item,word
ac_blow,item_495,item,word
ac_run...103,item_496,item,word
ac_take bath,item_497,item,word
ac_think,item_498,item,word
ac_let,item_499,item,word
ac_hear,item_500,item,word
ac_listen,item_501,item,word
ac_bite,item_502,item,word
ac_call,item_503,item,word
ac_swing,item_504,item,word
ac_bring,item_505,item,word
ac_touch,item_506,item,word
ac_pull,item_507,item,word
ac_write,item_508,item,word
ac_water (= give drink),item_509,item,word
ac_walk...117,item_510,item,word
ac_drink,item_511,item,word
ac_play,item_512,item,word
ac_come,item_513,item,word
ac_poop,item_514,item,word
ac_get,item_515,item,word
ac_switch,item_516,item,word
ac_ask (to do sg),item_517,item,word
ac_chase...125,item_518,item,word
ac_open,item_519,item,word
ac_knock,item_520,item,word
ac_taste,item_521,item,word
ac_play ball,item_522,item,word
ac_see,item_523,item,word
ac_'will' (future tense of verb 'be'),item_524,item,word
ac_step,item_525,item,word
ac_ride,item_526,item,word
ac_bump,item_527,item,word
ac_stay,item_528,item,word
ac_climb,item_529,item,word
ac_stop (moving),item_530,item,word
ac_make/do (perfective),item_531,item,word
ac_catch,item_532,item,word
ac_grow,item_533,item,word
ac_hug,item_534,item,word
ac_hit...142,item_535,item,word
ac_go,item_536,item,word
ac_wash,item_537,item,word
ac_wash (dishes),item_538,item,word
ac_tell a story,item_539,item,word
ac_say,item_540,item,word
ac_smile,item_541,item,word
ac_show,item_542,item,word
ac_laugh,item_543,item,word
ac_look/watch,item_544,item,word
ac_lick,item_545,item,word
ac_read,item_546,item,word
ac_pour,item_547,item,word
ac_not exist (negative of verb 'be'),item_548,item,word
ac_pee,item_549,item,word
ac_kiss,item_550,item,word
ac_draw,item_551,item,word
ac_put...159,item_552,item,word
ac_shake,item_553,item,word
ac_kick,item_554,item,word
ac_help,item_555,item,word
ac_walk...163,item_556,item,word
ac_hurry,item_557,item,word
ac_succeed,item_558,item,word
ac_cry,item_559,item,word
ac_sweep,item_560,item,word
ac_rip,item_561,item,word
ac_run...169,item_562,item,word
ac_dry,item_563,item,word
ac_cover,item_564,item,word
ac_clean...172,item_565,item,word
ac_love,item_566,item,word
ac_find,item_567,item,word
ac_dance,item_568,item,word
ac_clap,item_569,item,word
ac_hold,item_570,item,word
ac_put...178,item_571,item,word
ac_like,item_572,item,word
ac_clean...180,item_573,item,word
ac_push,item_574,item,word
ac_break...182,item_575,item,word
ac_wipe,item_576,item,word
ac_jump,item_577,item,word
ac_sit,item_578,item,word
ac_chase...186,item_579,item,word
ac_swim,item_580,item,word
ac_hit...188,item_581,item,word
ac_cut,item_582,item,word
ac_answer,item_583,item,word
ac_choose,item_584,item,word
ac_be (present tense),item_585,item,word
ac_wait,item_586,item,word
ac_buy,item_587,item,word
ac_buy/take,item_588,item,word
ac_drive,item_589,item,word
ac_carry,item_590,item,word
ac_roar,item_591,item,word
vm_through,item_592,item,word
vm_in,item_593,item,word
vm_into,item_594,item,word
vm_away,item_595,item,word
vm_up,item_596,item,word
vm_home,item_597,item,word
vm_here,item_598,item,word
vm_out,item_599,item,word
vm_down,item_600,item,word
vm_to,item_601,item,word
vm_(perfective),item_602,item,word
vm_there,item_603,item,word
vm_together,item_604,item,word
vm_onto,item_605,item,word
vm_apart,item_606,item,word
vm_back,item_607,item,word
dw_sleepy,item_608,item,word
dw_cute,item_609,item,word
dw_brown,item_610,item,word
dw_sick,item_611,item,word
dw_happy,item_612,item,word
dw_smelly,item_613,item,word
dw_stupid...11,item_614,item,word
dw_quiet,item_615,item,word
dw_mad,item_616,item,word
dw_awake,item_617,item,word
dw_alone,item_618,item,word
dw_together,item_619,item,word
dw_hungry,item_620,item,word
dw_first,item_621,item,word
dw_strong,item_622,item,word
dw_painful,item_623,item,word
dw_tired,item_624,item,word
dw_white,item_625,item,word
dw_black,item_626,item,word
dw_hot,item_627,item,word
dw_weak,item_628,item,word
dw_fast,item_629,item,word
dw_loud,item_630,item,word
dw_cold,item_631,item,word
dw_long,item_632,item,word
dw_naughty,item_633,item,word
dw_stupid...31,item_634,item,word
dw_scared,item_635,item,word
dw_good,item_636,item,word
dw_better,item_637,item,word
dw_nice/gentle,item_638,item,word
dw_blue,item_639,item,word
dw_hard,item_640,item,word
dw_little,item_641,item,word
dw_fat,item_642,item,word
dw_slow,item_643,item,word
dw_purple,item_644,item,word
dw_high,item_645,item,word
dw_smudgy,item_646,item,word
dw_warm,item_647,item,word
dw_angry,item_648,item,word
dw_big,item_649,item,word
dw_orange,item_650,item,word
dw_heavy,item_651,item,word
dw_clever,item_652,item,word
dw_old,item_653,item,word
dw_tiny,item_654,item,word
dw_red,item_655,item,word
dw_dirty,item_656,item,word
dw_soft,item_657,item,word
dw_sticky,item_658,item,word
dw_neat,item_659,item,word
dw_bad,item_660,item,word
dw_yellow,item_661,item,word
dw_muddy,item_662,item,word
dw_dark,item_663,item,word
dw_dry,item_664,item,word
dw_poor,item_665,item,word
dw_windy,item_666,item,word
dw_pretty,item_667,item,word
dw_thirsty,item_668,item,word
dw_sad,item_669,item,word
dw_full,item_670,item,word
dw_clean,item_671,item,word
dw_broken,item_672,item,word
dw_new,item_673,item,word
dw_yucky,item_674,item,word
dw_smart (skillful),item_675,item,word
dw_empty,item_676,item,word
dw_last,item_677,item,word
dw_wet,item_678,item,word
dw_noisy,item_679,item,word
dw_green,item_680,item,word
nmb_one,item_681,item,word
nmb_three,item_682,item,word
nmb_two...80,item_683,item,word
nmb_four,item_684,item,word
nmb_two...82,item_685,item,word
nmb_five,item_686,item,word
ti_mid-morning,item_687,item,word
ti_afternoon,item_688,item,word
ti_night,item_689,item,word
ti_just,item_690,item,word
ti_before,item_691,item,word
ti_evening,item_692,item,word
ti_soon,item_693,item,word
ti_tomorrow,item_694,item,word
ti_time,item_695,item,word
ti_later...93,item_696,item,word
ti_today,item_697,item,word
ti_later...95,item_698,item,word
ti_in a minute,item_699,item,word
ti_now,item_700,item,word
ti_day,item_701,item,word
ti_morning,item_702,item,word
ti_right away,item_703,item,word
ti_yesterday,item_704,item,word
ti_after,item_705,item,word
prn_that,item_706,item,word
prn_those,item_707,item,word
prn_I,item_708,item,word
prn_me,item_709,item,word
prn_mine,item_710,item,word
prn_this,item_711,item,word
prn_these,item_712,item,word
prn_we,item_713,item,word
prn_our,item_714,item,word
prn_us,item_715,item,word
prn_at her/him,item_716,item,word
prn_to her/him,item_717,item,word
prn_his/hers,item_718,item,word
prn_he/she,item_719,item,word
prn_they,item_720,item,word
prn_them,item_721,item,word
prn_him/her,item_722,item,word
prn_on him/her,item_723,item,word
prn_you,item_724,item,word
prn_you (accusative),item_725,item,word
prn_your,item_726,item,word
prn_you (plural),item_727,item,word
prn_you (plural & accusative),item_728,item,word
prn_with her/him,item_729,item,word
qw_how/that,item_730,item,word
qw_how,item_731,item,word
qw_where,item_732,item,word
qw_from where,item_733,item,word
qw_where to,item_734,item,word
qw_who,item_735,item,word
qw_whose,item_736,item,word
qw_who (plural),item_737,item,word
qw_to whom,item_738,item,word
qw_about who,item_739,item,word
qw_who (accusative),item_740,item,word
qw_with whom,item_741,item,word
qw_which,item_742,item,word
qw_which way,item_743,item,word
qw_what,item_744,item,word
qw_why,item_745,item,word
qw_what (plural),item_746,item,word
qw_when,item_747,item,word
qw_about what,item_748,item,word
qw_what (accusative),item_749,item,word
qw_with what,item_750,item,word
qw_right?,item_751,item,word
loc_under (as goal),item_752,item,word
loc_under (as place),item_753,item,word
loc_inside/in,item_754,item,word
loc_upstairs,item_755,item,word
loc_above (as goal),item_756,item,word
loc_above (as place),item_757,item,word
loc_here,item_758,item,word
loc_outside,item_759,item,word
loc_around,item_760,item,word
loc_downstairs,item_761,item,word
loc_next to (as goal),item_762,item,word
loc_next to (as place),item_763,item,word
loc_because of,item_764,item,word
loc_behind (as place),item_765,item,word
loc_behind (as goal),item_766,item,word
loc_there,item_767,item,word
qu_the (definite article 1),item_768,item,word
qu_the (definite article 2),item_769,item,word
qu_whole,item_770,item,word
qu_same,item_771,item,word
qu_one,item_772,item,word
qu_few,item_773,item,word
qu_less,item_774,item,word
qu_other,item_775,item,word
qu_another,item_776,item,word
qu_all/every,item_777,item,word
qu_none,item_778,item,word
qu_a lot / much /many,item_779,item,word
qu_more,item_780,item,word
qu_too,item_781,item,word
qu_something,item_782,item,word
qu_some kind of,item_783,item,word
hv_will,item_784,item,word
hv_must/have to,item_785,item,word
hv_might,item_786,item,word
hv_would...184,item_787,item,word
hv_try,item_788,item,word
hv_can,item_789,item,word
hv_used to,item_790,item,word
hv_must not,item_791,item,word
hv_able to,item_792,item,word
hv_would...190,item_793,item,word
cw_then,item_794,item,word
cw_but...192,item_795,item,word
cw_and,item_796,item,word
cw_if,item_797,item,word
cw_but...195,item_798,item,word
cw_that,item_799,item,word
cw_rather,item_800,item,word
cw_because,item_801,item,word
cw_even though,item_802,item,word
...200,item_803,item,word
