itemID,item,category,choices,uni_lemma,definition,type,gloss,complexity_category
item_1,1_baa_baa,sounds,understands; produces,baa baa,baa baa,word,,
item_164,164_moon,outside,understands; produces,moon,moon,word,,
item_165,165_sky,outside,understands; produces,sky,sky,word,,
item_166,166_slide,outside,understands; produces,slide (object),slide,word,,
item_167,167_snow,outside,understands; produces,snow,snow,word,,
item_168,168_spade,outside,understands; produces,spade,spade,word,,
item_169,169_star,outside,understands; produces,star,star,word,,
item_170,170_stone,outside,understands; produces,stone,stone,word,,
item_171,171_sun,outside,understands; produces,sun,sun,word,,
item_172,172_outside,outside,understands; produces,outside,outside,word,,
item_173,173_park,outside,understands; produces,park,park,word,,
item_174,174_party,outside,understands; produces,party,party,word,,
item_175,175_pool,outside,understands; produces,pool,pool,word,,
item_176,176_rain,outside,understands; produces,rain,rain,word,,
item_177,177_school,outside,understands; produces,school,school,word,,
item_178,178_shop,outside,understands; produces,,shop,word,,
item_179,179_swing,outside,understands; produces,swing (object),swing,word,,
item_180,180_tree,outside,understands; produces,tree,tree,word,,
item_181,181_wall,outside,understands; produces,wall,wall,word,,
item_182,182_water,outside,understands; produces,water (not beverage),water,word,,
item_183,183_work,outside,understands; produces,work (place),work,word,,
item_184,184_zoo,outside,understands; produces,zoo,zoo,word,,
item_185,185_bin,household,understands; produces,basket,bin,word,,
item_186,186_blanket,household,understands; produces,blanket,blanket,word,,
item_187,187_bottle,household,understands; produces,bottle,bottle,word,,
item_188,188_bowl,household,understands; produces,bowl,bowl,word,,
item_189,189_box,household,understands; produces,box,box,word,,
item_190,190_broom,household,understands; produces,broom,broom,word,,
item_191,191_brush,household,understands; produces,brush (object),brush,word,,
item_192,192_clock,household,understands; produces,clock,clock,word,,
item_193,193_comb,household,understands; produces,comb (object),comb,word,,
item_194,194_cup,household,understands; produces,cup,cup,word,,
item_195,195_dish,household,understands; produces,dish,dish,word,,
item_196,196_dummy,household,understands; produces,pacifier,dummy,word,,
item_197,197_fork,household,understands; produces,fork,fork,word,,
item_198,198_glass,household,understands; produces,glass,glass,word,,
item_199,199_hammer,household,understands; produces,hammer,hammer,word,,
item_200,200_hoover_vacuum,household,understands; produces,vacuum,hoover / vacuum,word,,
item_201,201_jug,household,understands; produces,,jug,word,,
item_202,202_key,household,understands; produces,keys,key,word,,
item_203,203_lamp,household,understands; produces,lamp,lamp,word,,
item_204,204_light,household,understands; produces,light (object),light,word,,
item_205,205_medicine,household,understands; produces,medicine,medicine,word,,
item_206,206_money,household,understands; produces,money,money,word,,
item_207,207_mug,household,understands; produces,cup,mug,word,,
item_208,208_paper,household,understands; produces,paper,paper,word,,
item_209,209_penny,household,understands; produces,penny,penny,word,,
item_210,210_picture,household,understands; produces,picture,picture,word,,
item_211,211_pillow,household,understands; produces,pillow,pillow,word,,
item_212,212_plant,household,understands; produces,plant,plant,word,,
item_213,213_plate,household,understands; produces,plate,plate,word,,
item_214,214_purse,household,understands; produces,purse,purse,word,,
item_215,215_radio,household,understands; produces,radio,radio,word,,
item_216,216_rubbish,household,understands; produces,trash,rubbish,word,,
item_217,217_scissors,household,understands; produces,scissors,scissors,word,,
item_218,218_soap,household,understands; produces,soap,soap,word,,
item_219,219_spoon,household,understands; produces,spoon,spoon,word,,
item_220,220_telephone,household,understands; produces,telephone,telephone,word,,
item_221,221_toothbrush,household,understands; produces,toothbrush,toothbrush,word,,
item_222,222_towel,household,understands; produces,towel,towel,word,,
item_223,223_watch,household,understands; produces,watch (object),watch,word,,
item_224,224_aunt,people,understands; produces,aunt,aunt,word,,
item_225,225_baby,people,understands; produces,baby,baby,word,,
item_226,226_boy,people,understands; produces,boy,boy,word,,
item_227,227_brother,people,understands; produces,brother,brother,word,,
item_228,228_child,people,understands; produces,child,child,word,,
item_229,229_daddy,people,understands; produces,daddy,daddy,word,,
item_230,230_doctor,people,understands; produces,doctor,doctor,word,,
item_231,231_friend,people,understands; produces,friend,friend,word,,
item_232,232_person,people,understands; produces,person,person,word,,
item_233,233_policeman,people,understands; produces,policeman,policeman,word,,
item_234,234_sister,people,understands; produces,sister,sister,word,,
item_235,235_girl,people,understands; produces,girl,girl,word,,
item_236,236_grandma,people,understands; produces,grandma,grandma,word,,
item_237,237_grandpa,people,understands; produces,grandpa,grandpa,word,,
item_238,238_lady,people,understands; produces,lady,lady,word,,
item_239,239_man,people,understands; produces,man,man,word,,
item_240,240_mummy,people,understands; produces,mommy,mummy,word,,
item_241,241_nanny,people,understands; produces,babysitter,nanny,word,,
item_242,242_people,people,understands; produces,people,people,word,,
item_243,243_teacher,people,understands; produces,teacher,teacher,word,,
item_244,244_uncle,people,understands; produces,uncle,uncle,word,,
item_245,245_bath,games_routines,understands; produces,bath,bath,word,,
item_246,246_breakfast,games_routines,understands; produces,breakfast,breakfast,word,,
item_247,247_bye_bye,games_routines,understands; produces,,bye bye,word,,
item_248,248_dinner,games_routines,understands; produces,dinner,dinner,word,,
item_249,249_don't,games_routines,understands; produces,don't,don't,word,,
item_250,250_hello,games_routines,understands; produces,hello,hello,word,,
item_251,251_hi,games_routines,understands; produces,hi,hi,word,,
item_252,252_lunch,games_routines,understands; produces,lunch,lunch,word,,
item_253,253_nap,games_routines,understands; produces,nap,nap,word,,
item_254,254_night_night,games_routines,understands; produces,good night,night night,word,,
item_255,255_no,games_routines,understands; produces,no,no,word,,
item_256,256_pat-a-cake,games_routines,understands; produces,pattycake,pat-a-cake,word,,
item_257,257_peekaboo,games_routines,understands; produces,peekaboo,peekaboo,word,,
item_258,258_please,games_routines,understands; produces,please,please,word,,
item_259,259_shh_hush_shush,games_routines,understands; produces,shh,shh / hush / shush,word,,
item_260,260_tea,games_routines,understands; produces,tea,tea,word,,
item_261,261_thank_you,games_routines,understands; produces,thank you,thank you,word,,
item_262,262_wait,games_routines,understands; produces,wait,wait,word,,
item_263,263_want_to,games_routines,understands; produces,wanna,want to,word,,
item_264,264_yes,games_routines,understands; produces,yes,yes,word,,
item_265,265_bite,action_words,understands; produces,bite,bite,word,,
item_266,266_blow,action_words,understands; produces,blow,blow,word,,
item_267,267_break,action_words,understands; produces,break,break,word,,
item_268,268_bring,action_words,understands; produces,bring,bring,word,,
item_269,269_bump,action_words,understands; produces,bump,bump,word,,
item_270,270_call,action_words,understands; produces,,call,word,,
item_271,271_carry,action_words,understands; produces,carry,carry,word,,
item_272,272_catch,action_words,understands; produces,catch,catch,word,,
item_273,273_clean,action_words,understands; produces,clean (action),clean,word,,
item_274,274_cry,action_words,understands; produces,cry,cry,word,,
item_275,275_cuddle,action_words,understands; produces,,cuddle,word,,
item_276,276_cut,action_words,understands; produces,,cut,word,,
item_277,277_dance,action_words,understands; produces,dance,dance,word,,
item_278,278_draw,action_words,understands; produces,draw,draw,word,,
item_279,279_drink,action_words,understands; produces,drink (action),drink,word,,
item_280,280_drive,action_words,understands; produces,drive,drive,word,,
item_281,281_drop,action_words,understands; produces,drop,drop,word,,
item_282,282_eat,action_words,understands; produces,eat,eat,word,,
item_283,283_fall,action_words,understands; produces,fall,fall,word,,
item_284,284_feed,action_words,understands; produces,feed,feed,word,,
item_285,285_find,action_words,understands; produces,find,find,word,,
item_286,286_finish,action_words,understands; produces,finish,finish,word,,
item_287,287_get,action_words,understands; produces,get,get,word,,
item_288,288_give,action_words,understands; produces,give,give,word,,
item_289,289_go,action_words,understands; produces,go,go,word,,
item_290,290_have,action_words,understands; produces,have,have,word,,
item_291,291_hear,action_words,understands; produces,hear,hear,word,,
item_292,292_help,action_words,understands; produces,help,help,word,,
item_293,293_hit,action_words,understands; produces,hit,hit,word,,
item_294,294_hug,action_words,understands; produces,hug,hug,word,,
item_295,295_hurry,action_words,understands; produces,hurry,hurry,word,,
item_296,296_jump,action_words,understands; produces,jump,jump,word,,
item_297,297_kick,action_words,understands; produces,kick,kick,word,,
item_298,298_kiss,action_words,understands; produces,kiss,kiss,word,,
item_299,299_know,action_words,understands; produces,,know,word,,
item_300,300_like,action_words,understands; produces,,like,word,,
item_301,301_look,action_words,understands; produces,look,look,word,,
item_302,302_love,action_words,understands; produces,love,love,word,,
item_303,303_make,action_words,understands; produces,make,make,word,,
item_304,304_open,action_words,understands; produces,open (action),open,word,,
item_305,305_play,action_words,understands; produces,play,play,word,,
item_306,306_pull,action_words,understands; produces,pull,pull,word,,
item_307,307_push,action_words,understands; produces,push,push,word,,
item_308,308_put,action_words,understands; produces,put,put,word,,
item_309,309_read,action_words,understands; produces,read,read,word,,
item_310,310_ride,action_words,understands; produces,ride,ride,word,,
item_311,311_run,action_words,understands; produces,run,run,word,,
item_312,312_say,action_words,understands; produces,say,say,word,,
item_313,313_scratch,action_words,understands; produces,,scratch,word,,
item_314,314_see,action_words,understands; produces,see,see,word,,
item_315,315_show,action_words,understands; produces,show,show,word,,
item_316,316_shut_close,action_words,understands; produces,close,shut / close,word,,
item_317,317_sing,action_words,understands; produces,sing,sing,word,,
item_318,318_sleep,action_words,understands; produces,sleep,sleep,word,,
item_319,319_smile,action_words,understands; produces,smile,smile,word,,
item_320,320_splash,action_words,understands; produces,splash,splash,word,,
item_321,321_stop,action_words,understands; produces,stop,stop,word,,
item_322,322_swim,action_words,understands; produces,swim,swim,word,,
item_323,323_swing,action_words,understands; produces,swing (action),swing,word,,
item_324,324_take,action_words,understands; produces,take,take,word,,
item_325,325_tell,action_words,understands; produces,tell,tell,word,,
item_326,326_throw,action_words,understands; produces,throw,throw,word,,
item_327,327_tickle,action_words,understands; produces,tickle,tickle,word,,
item_328,328_walk,action_words,understands; produces,walk,walk,word,,
item_329,329_wash,action_words,understands; produces,wash,wash,word,,
item_330,330_watch,action_words,understands; produces,watch (action),watch,word,,
item_331,331_wipe,action_words,understands; produces,wipe,wipe,word,,
item_332,332_write,action_words,understands; produces,write,write,word,,
item_333,333_all_gone,descriptive_words,understands; produces,all gone,all gone,word,,
item_334,334_asleep,descriptive_words,understands; produces,asleep,asleep,word,,
item_335,335_bad,descriptive_words,understands; produces,bad,bad,word,,
item_336,336_big,descriptive_words,understands; produces,big,big,word,,
item_337,337_blue,descriptive_words,understands; produces,blue,blue,word,,
item_338,338_broken,descriptive_words,understands; produces,broken,broken,word,,
item_339,339_careful,descriptive_words,understands; produces,careful,careful,word,,
item_340,340_clean,descriptive_words,understands; produces,clean (description),clean,word,,
item_341,341_cold,descriptive_words,understands; produces,cold,cold,word,,
item_342,342_dark,descriptive_words,understands; produces,dark,dark,word,,
item_343,343_dirty,descriptive_words,understands; produces,dirty,dirty,word,,
item_344,344_dry,descriptive_words,understands; produces,dry (description),dry,word,,
item_345,345_empty,descriptive_words,understands; produces,empty,empty,word,,
item_346,346_fast,descriptive_words,understands; produces,fast,fast,word,,
item_347,347_fine,descriptive_words,understands; produces,fine,fine,word,,
item_348,348_gentle,descriptive_words,understands; produces,gentle,gentle,word,,
item_349,349_good,descriptive_words,understands; produces,good,good,word,,
item_350,350_green,descriptive_words,understands; produces,green,green,word,,
item_351,351_happy,descriptive_words,understands; produces,happy,happy,word,,
item_352,352_hard,descriptive_words,understands; produces,hard,hard,word,,
item_353,353_hot,descriptive_words,understands; produces,hot,hot,word,,
item_354,354_hungry,descriptive_words,understands; produces,hungry,hungry,word,,
item_355,355_hurt,descriptive_words,understands; produces,hurt (description),hurt,word,,
item_356,356_little,descriptive_words,understands; produces,little (description),little,word,,
item_357,357_nasty,descriptive_words,understands; produces,,nasty,word,,
item_358,358_naughty,descriptive_words,understands; produces,naughty,naughty,word,,
item_359,359_nice,descriptive_words,understands; produces,nice,nice,word,,
item_360,360_old,descriptive_words,understands; produces,old,old,word,,
item_361,361_pretty,descriptive_words,understands; produces,pretty,pretty,word,,
item_362,362_red,descriptive_words,understands; produces,red,red,word,,
item_363,363_sad,descriptive_words,understands; produces,sad,sad,word,,
item_364,364_scared,descriptive_words,understands; produces,scared,scared,word,,
item_365,365_sick,descriptive_words,understands; produces,sick,sick,word,,
item_366,366_sleepy,descriptive_words,understands; produces,sleepy,sleepy,word,,
item_367,367_soft,descriptive_words,understands; produces,soft,soft,word,,
item_368,368_thirsty,descriptive_words,understands; produces,thirsty,thirsty,word,,
item_369,369_tired,descriptive_words,understands; produces,tired,tired,word,,
item_370,370_wet,descriptive_words,understands; produces,wet (description),wet,word,,
item_371,371_yellow,descriptive_words,understands; produces,yellow,yellow,word,,
item_372,372_how,question_words,understands; produces,how,how,word,,
item_373,373_what,question_words,understands; produces,what,what,word,,
item_374,374_when,question_words,understands; produces,when (question),when,word,,
item_375,375_where,question_words,understands; produces,where (question),where,word,,
item_376,376_who,question_words,understands; produces,who,who,word,,
item_377,377_why,question_words,understands; produces,why,why,word,,
item_378,378_day,time_words,understands; produces,day,day,word,,
item_379,379_later,time_words,understands; produces,later,later,word,,
item_380,380_morning,time_words,understands; produces,morning,morning,word,,
item_381,381_night,time_words,understands; produces,night,night,word,,
item_382,382_now,time_words,understands; produces,now,now,word,,
item_383,383_today,time_words,understands; produces,today,today,word,,
item_384,384_tomorrow,time_words,understands; produces,tomorrow,tomorrow,word,,
item_385,385_tonight,time_words,understands; produces,tonight,tonight,word,,
item_386,386_her,pronouns,understands; produces,her,her,word,,
item_387,387_his,pronouns,understands; produces,his,his,word,,
item_388,388_I,pronouns,understands; produces,i,I,word,,
item_389,389_it,pronouns,understands; produces,it,it,word,,
item_390,390_me,pronouns,understands; produces,me,me,word,,
item_391,391_mine,pronouns,understands; produces,mine,mine,word,,
item_392,392_my,pronouns,understands; produces,my,my,word,,
item_393,393_that,pronouns,understands; produces,that,that,word,,
item_394,394_this,pronouns,understands; produces,this,this,word,,
item_395,395_you,pronouns,understands; produces,you,you,word,,
item_396,396_your,pronouns,understands; produces,your,your,word,,
item_397,397_away,prepositions,understands; produces,away,away,word,,
item_398,398_back,prepositions,understands; produces,back,back,word,,
item_399,399_down,prepositions,understands; produces,down,down,word,,
item_400,400_in,prepositions,understands; produces,in,in,word,,
item_401,401_inside,prepositions,understands; produces,inside,inside,word,,
item_402,402_off,prepositions,understands; produces,off,off,word,,
item_403,403_on,prepositions,understands; produces,on,on,word,,
item_404,404_out,prepositions,understands; produces,out,out,word,,
item_405,405_there,prepositions,understands; produces,there,there,word,,
item_406,406_under,prepositions,understands; produces,under,under,word,,
item_407,407_up,prepositions,understands; produces,up,up,word,,
item_408,408_all,prepositions,understands; produces,all,all,word,,
item_409,409_again,prepositions,understands; produces,again,again,word,,
item_410,410_another,prepositions,understands; produces,another,another,word,,
item_411,411_more,prepositions,understands; produces,more,more,word,,
item_412,412_none,prepositions,understands; produces,none,none,word,,
item_413,413_not,prepositions,understands; produces,not,not,word,,
item_414,414_other,prepositions,understands; produces,other,other,word,,
item_415,415_same,prepositions,understands; produces,same,same,word,,
item_416,416_some,prepositions,understands; produces,some,some,word,,
item_417,417_chase,action_words,understands; produces,,chase,word,,
item_418,418_smell,action_words,understands; produces,smell,smell,word,,
