itemID,item,category,choices,definition,type,complexity_category,gloss,uni_lemma
item_1,1_baa_baa,sounds,understands; produces,baa baa,word,NA,baa baa,baa baa
item_39,39_pig,animals,understands; produces,pig,word,NA,pig,pig
item_40,40_pony,animals,understands; produces,pony,word,NA,pony,pony
item_41,41_puppy,animals,understands; produces,puppy,word,NA,puppy,puppy
item_42,42_sheep,animals,understands; produces,sheep,word,NA,sheep,sheep
item_43,43_spider,animals,understands; produces,spider,word,NA,spider,spider
item_44,44_squirrel,animals,understands; produces,squirrel,word,NA,squirrel,squirrel
item_45,45_tiger,animals,understands; produces,tiger,word,NA,tiger,tiger
item_46,46_turkey,animals,understands; produces,turkey,word,NA,turkey,turkey
item_47,47_turtle,animals,understands; produces,turtle,word,NA,turtle,turtle
item_48,48_aeroplane_plane,vehicles,understands; produces,aeroplane / plane,word,NA,aeroplane / plane,airplane
item_49,49_bicycle_bike,vehicles,understands; produces,bicycle / bike,word,NA,bicycle / bike,bicycle
item_50,50_boat,vehicles,understands; produces,boat,word,NA,boat,boat
item_51,51_lorry_truck,vehicles,understands; produces,lorry / truck,word,NA,lorry / truck,truck
item_52,52_motor-bike,vehicles,understands; produces,motor-bike,word,NA,motor-bike,motorcycle
item_53,53_bus,vehicles,understands; produces,bus,word,NA,bus,bus
item_54,54_car,vehicles,understands; produces,car,word,NA,car,car
item_55,55_fire_engine,vehicles,understands; produces,fire engine,word,NA,fire engine,firetruck
item_56,56_pushchair_buggy,vehicles,understands; produces,pushchair / buggy,word,NA,pushchair / buggy,stroller
item_57,57_train,vehicles,understands; produces,train,word,NA,train,train
item_58,58_ball,toys,understands; produces,ball,word,NA,ball,ball
item_59,59_balloon,toys,understands; produces,balloon,word,NA,balloon,balloon
item_60,60_block_brick,toys,understands; produces,block / brick,word,NA,block / brick,blocks
item_61,61_book,toys,understands; produces,book,word,NA,book,book
item_62,62_bubble,toys,understands; produces,bubble,word,NA,bubble,bubbles
item_63,63_doll,toys,understands; produces,doll,word,NA,doll,doll
item_64,64_pen,toys,understands; produces,pen,word,NA,pen,pen
item_65,65_teddy_bear,toys,understands; produces,teddy bear,word,NA,teddy bear,teddybear
item_66,66_toy,toys,understands; produces,toy,word,NA,toy,toy (object)
item_67,67_apple,food_drink,understands; produces,apple,word,NA,apple,apple
item_68,68_banana,food_drink,understands; produces,banana,word,NA,banana,banana
item_69,69_biscuit,food_drink,understands; produces,biscuit,word,NA,biscuit,biscuit
item_70,70_bread,food_drink,understands; produces,bread,word,NA,bread,bread
item_71,71_butter,food_drink,understands; produces,butter,word,NA,butter,butter
item_72,72_cake,food_drink,understands; produces,cake,word,NA,cake,cake
item_73,73_carrot,food_drink,understands; produces,carrot,word,NA,carrot,carrot
item_74,74_cereal,food_drink,understands; produces,cereal,word,NA,cereal,cereal
item_75,75_cheese,food_drink,understands; produces,cheese,word,NA,cheese,cheese
item_76,76_chicken,food_drink,understands; produces,chicken,word,NA,chicken,chicken (food)
item_77,77_chips,food_drink,understands; produces,chips,word,NA,chips,french fries
item_78,78_coffee,food_drink,understands; produces,coffee,word,NA,coffee,coffee
item_79,79_drink,food_drink,understands; produces,drink,word,NA,drink,drink (beverage)
item_80,80_egg,food_drink,understands; produces,egg,word,NA,egg,egg
item_81,81_fish,food_drink,understands; produces,fish,word,NA,fish,fish (food)
item_82,82_food,food_drink,understands; produces,food,word,NA,food,food
item_83,83_ice_cream,food_drink,understands; produces,ice cream,word,NA,ice cream,ice cream
item_84,84_jam,food_drink,understands; produces,jam,word,NA,jam,jam
item_85,85_juice,food_drink,understands; produces,juice,word,NA,juice,juice
item_86,86_meat,food_drink,understands; produces,meat,word,NA,meat,meat
item_87,87_milk,food_drink,understands; produces,milk,word,NA,milk,milk
item_88,88_orange,food_drink,understands; produces,orange,word,NA,orange,orange (food)
item_89,89_pasta_spaghetti,food_drink,understands; produces,pasta / spaghetti,word,NA,pasta / spaghetti,pasta
item_90,90_peas,food_drink,understands; produces,peas,word,NA,peas,peas
item_91,91_pizza,food_drink,understands; produces,pizza,word,NA,pizza,pizza
item_92,92_sweets,food_drink,understands; produces,sweets,word,NA,sweets,sweets
item_93,93_tea,food_drink,understands; produces,tea,word,NA,tea,tea
item_94,94_toast,food_drink,understands; produces,toast,word,NA,toast,toast
item_95,95_water,food_drink,understands; produces,water,word,NA,water,water (beverage)
item_96,96_arm,body_parts,understands; produces,arm,word,NA,arm,arm
item_97,97_belly_button_tummy_button,body_parts,understands; produces,belly button / tummy button,word,NA,belly button / tummy button,belly button
item_98,98_cheek,body_parts,understands; produces,cheek,word,NA,cheek,cheek
item_99,99_ear,body_parts,understands; produces,ear,word,NA,ear,ear
item_100,100_eye,body_parts,understands; produces,eye,word,NA,eye,eye
item_101,101_face,body_parts,understands; produces,face,word,NA,face,face
item_102,102_finger,body_parts,understands; produces,finger,word,NA,finger,finger
item_103,103_foot,body_parts,understands; produces,foot,word,NA,foot,foot
item_104,104_tongue,body_parts,understands; produces,tongue,word,NA,tongue,tongue
item_105,105_tooth,body_parts,understands; produces,tooth,word,NA,tooth,tooth
item_106,106_hair,body_parts,understands; produces,hair,word,NA,hair,hair
item_107,107_hand,body_parts,understands; produces,hand,word,NA,hand,hand
item_108,108_head,body_parts,understands; produces,head,word,NA,head,head
item_109,109_knee,body_parts,understands; produces,knee,word,NA,knee,knee
item_110,110_leg,body_parts,understands; produces,leg,word,NA,leg,leg
item_111,111_nail,body_parts,understands; produces,nail,word,NA,nail,nail (body part)
item_112,112_nose,body_parts,understands; produces,nose,word,NA,nose,nose
item_113,113_toe,body_parts,understands; produces,toe,word,NA,toe,toe
item_114,114_tummy,body_parts,understands; produces,tummy,word,NA,tummy,tummy
item_115,115_mouth,body_parts,understands; produces,mouth,word,NA,mouth,mouth
item_116,116_bib,clothing,understands; produces,bib,word,NA,bib,bib
item_117,117_boots,clothing,understands; produces,boot(s),word,NA,boot(s),boots
item_118,118_button,clothing,understands; produces,button,word,NA,button,button
item_119,119_coat,clothing,understands; produces,coat,word,NA,coat,coat
item_120,120_dress,clothing,understands; produces,dress,word,NA,dress,dress (object)
item_121,121_glasses_specs,clothing,understands; produces,glasses / specs,word,NA,glasses / specs,glasses
item_122,122_hat,clothing,understands; produces,hat,word,NA,hat,hat
item_123,123_jacket,clothing,understands; produces,jacket,word,NA,jacket,jacket
item_124,124_jeans,clothing,understands; produces,jeans,word,NA,jeans,jeans
item_125,125_jumper_sweater,clothing,understands; produces,jumper / sweater,word,NA,jumper / sweater,sweater
item_126,126_nappy,clothing,understands; produces,nappy,word,NA,nappy,diaper
item_127,127_necklace,clothing,understands; produces,necklace,word,NA,necklace,necklace
item_128,128_pyjamas,clothing,understands; produces,pyjamas,word,NA,pyjamas,pajamas
item_129,129_shirt,clothing,understands; produces,shirt,word,NA,shirt,shirt
item_130,130_shoe,clothing,understands; produces,shoe,word,NA,shoe,shoe
item_131,131_shorts,clothing,understands; produces,shorts,word,NA,shorts,shorts
item_132,132_sock,clothing,understands; produces,sock,word,NA,sock,sock
item_133,133_trousers,clothing,understands; produces,trousers,word,NA,trousers,pants
item_134,134_zip,clothing,understands; produces,zip,word,NA,zip,zipper
item_135,135_bath_bathtub,clothing,understands; produces,bath / bathtub,word,NA,bath / bathtub,bathtub
item_136,136_bathroom,furniture_rooms,understands; produces,bathroom,word,NA,bathroom,bathroom
item_137,137_bed,furniture_rooms,understands; produces,bed,word,NA,bed,bed
item_138,138_bedroom,furniture_rooms,understands; produces,bedroom,word,NA,bedroom,bedroom
item_139,139_chair,furniture_rooms,understands; produces,chair,word,NA,chair,chair
item_140,140_cooker_stove_oven,furniture_rooms,understands; produces,cooker / stove / oven,word,NA,cooker / stove / oven,stove
item_141,141_cot,furniture_rooms,understands; produces,cot,word,NA,cot,crib
item_142,142_door,furniture_rooms,understands; produces,door,word,NA,door,door
item_143,143_drawer,furniture_rooms,understands; produces,drawer,word,NA,drawer,drawer
item_144,144_garage,furniture_rooms,understands; produces,garage,word,NA,garage,garage
item_145,145_high_chair,furniture_rooms,understands; produces,high chair,word,NA,high chair,high chair
item_146,146_kitchen,furniture_rooms,understands; produces,kitchen,word,NA,kitchen,kitchen
item_147,147_living_room,furniture_rooms,understands; produces,living room,word,NA,living room,living room
item_148,148_play_pen,furniture_rooms,understands; produces,play pen,word,NA,play pen,play pen
item_149,149_potty,furniture_rooms,understands; produces,potty,word,NA,potty,potty
item_150,150_refrigerator_fridge,furniture_rooms,understands; produces,refrigerator / fridge,word,NA,refrigerator / fridge,refrigerator
item_151,151_rocking_chair,furniture_rooms,understands; produces,rocking chair,word,NA,rocking chair,rocking chair
item_152,152_settee_sofa,furniture_rooms,understands; produces,settee / sofa,word,NA,settee / sofa,couch
item_153,153_sink,furniture_rooms,understands; produces,sink,word,NA,sink,sink
item_154,154_stairs,furniture_rooms,understands; produces,stairs,word,NA,stairs,stairs
item_155,155_table,furniture_rooms,understands; produces,table,word,NA,table,table
item_156,156_TV_television,furniture_rooms,understands; produces,TV / television,word,NA,TV / television,TV
item_157,157_window,furniture_rooms,understands; produces,window,word,NA,window,window
item_158,158_beach,outside,understands; produces,beach,word,NA,beach,beach
item_159,159_bucket,outside,understands; produces,bucket,word,NA,bucket,bucket
item_160,160_church,outside,understands; produces,church,word,NA,church,church
item_161,161_flower,outside,understands; produces,flower,word,NA,flower,flower
item_162,162_garden,outside,understands; produces,garden,word,NA,garden,garden
item_163,163_house,outside,understands; produces,house,word,NA,house,house
item_164,164_moon,outside,understands; produces,moon,word,NA,moon,moon
item_165,165_sky,outside,understands; produces,sky,word,NA,sky,sky
item_166,166_slide,outside,understands; produces,slide,word,NA,slide,slide (object)
item_167,167_snow,outside,understands; produces,snow,word,NA,snow,snow
item_168,168_spade,outside,understands; produces,spade,word,NA,spade,spade
item_169,169_star,outside,understands; produces,star,word,NA,star,star
item_170,170_stone,outside,understands; produces,stone,word,NA,stone,stone
item_171,171_sun,outside,understands; produces,sun,word,NA,sun,sun
item_172,172_outside,outside,understands; produces,outside,word,NA,outside,outside
item_173,173_park,outside,understands; produces,park,word,NA,park,park
item_174,174_party,outside,understands; produces,party,word,NA,party,party
item_175,175_pool,outside,understands; produces,pool,word,NA,pool,pool
item_176,176_rain,outside,understands; produces,rain,word,NA,rain,rain
item_177,177_school,outside,understands; produces,school,word,NA,school,school
item_178,178_shop,outside,understands; produces,shop,word,NA,shop,store
item_179,179_swing,outside,understands; produces,swing,word,NA,swing,swing (object)
item_180,180_tree,outside,understands; produces,tree,word,NA,tree,tree
item_181,181_wall,outside,understands; produces,wall,word,NA,wall,wall
item_182,182_water,outside,understands; produces,water,word,NA,water,water (not beverage)
item_183,183_work,outside,understands; produces,work,word,NA,work,work (place)
item_184,184_zoo,outside,understands; produces,zoo,word,NA,zoo,zoo
item_185,185_bin,household,understands; produces,bin,word,NA,bin,basket
item_186,186_blanket,household,understands; produces,blanket,word,NA,blanket,blanket
item_187,187_bottle,household,understands; produces,bottle,word,NA,bottle,bottle
item_188,188_bowl,household,understands; produces,bowl,word,NA,bowl,bowl
item_189,189_box,household,understands; produces,box,word,NA,box,box
item_190,190_broom,household,understands; produces,broom,word,NA,broom,broom
item_191,191_brush,household,understands; produces,brush,word,NA,brush,brush (object)
item_192,192_clock,household,understands; produces,clock,word,NA,clock,clock
item_193,193_comb,household,understands; produces,comb,word,NA,comb,comb (object)
item_194,194_cup,household,understands; produces,cup,word,NA,cup,cup
item_195,195_dish,household,understands; produces,dish,word,NA,dish,dish
item_196,196_dummy,household,understands; produces,dummy,word,NA,dummy,pacifier
item_197,197_fork,household,understands; produces,fork,word,NA,fork,fork
item_198,198_glass,household,understands; produces,glass,word,NA,glass,glass
item_199,199_hammer,household,understands; produces,hammer,word,NA,hammer,hammer
item_200,200_hoover_vacuum,household,understands; produces,hoover / vacuum,word,NA,hoover / vacuum,vacuum
item_201,201_jug,household,understands; produces,jug,word,NA,jug,NA
item_202,202_key,household,understands; produces,key,word,NA,key,key
item_203,203_lamp,household,understands; produces,lamp,word,NA,lamp,lamp
item_204,204_light,household,understands; produces,light,word,NA,light,light (object)
item_205,205_medicine,household,understands; produces,medicine,word,NA,medicine,medicine
item_206,206_money,household,understands; produces,money,word,NA,money,money
item_207,207_mug,household,understands; produces,mug,word,NA,mug,cup
item_208,208_paper,household,understands; produces,paper,word,NA,paper,paper
item_209,209_penny,household,understands; produces,penny,word,NA,penny,penny
item_210,210_picture,household,understands; produces,picture,word,NA,picture,picture
item_211,211_pillow,household,understands; produces,pillow,word,NA,pillow,pillow
item_212,212_plant,household,understands; produces,plant,word,NA,plant,plant
item_213,213_plate,household,understands; produces,plate,word,NA,plate,plate
item_214,214_purse,household,understands; produces,purse,word,NA,purse,purse
item_215,215_radio,household,understands; produces,radio,word,NA,radio,radio
item_216,216_rubbish,household,understands; produces,rubbish,word,NA,rubbish,trash
item_217,217_scissors,household,understands; produces,scissors,word,NA,scissors,scissors
item_218,218_soap,household,understands; produces,soap,word,NA,soap,soap
item_219,219_spoon,household,understands; produces,spoon,word,NA,spoon,spoon
item_220,220_telephone,household,understands; produces,telephone,word,NA,telephone,telephone
item_221,221_toothbrush,household,understands; produces,toothbrush,word,NA,toothbrush,toothbrush
item_222,222_towel,household,understands; produces,towel,word,NA,towel,towel
item_223,223_watch,household,understands; produces,watch,word,NA,watch,watch (object)
item_224,224_aunt,people,understands; produces,aunt,word,NA,aunt,aunt
item_225,225_baby,people,understands; produces,baby,word,NA,baby,baby
item_226,226_boy,people,understands; produces,boy,word,NA,boy,boy
item_227,227_brother,people,understands; produces,brother,word,NA,brother,brother
item_228,228_child,people,understands; produces,child,word,NA,child,child
item_229,229_daddy,people,understands; produces,daddy,word,NA,daddy,daddy
item_230,230_doctor,people,understands; produces,doctor,word,NA,doctor,doctor
item_231,231_friend,people,understands; produces,friend,word,NA,friend,friend
item_232,232_person,people,understands; produces,person,word,NA,person,person
item_233,233_policeman,people,understands; produces,policeman,word,NA,policeman,police
item_234,234_sister,people,understands; produces,sister,word,NA,sister,sister
item_235,235_girl,people,understands; produces,girl,word,NA,girl,girl
item_236,236_grandma,people,understands; produces,grandma,word,NA,grandma,grandma
item_237,237_grandpa,people,understands; produces,grandpa,word,NA,grandpa,grandpa
item_238,238_lady,people,understands; produces,lady,word,NA,lady,lady
item_239,239_man,people,understands; produces,man,word,NA,man,man
item_240,240_mummy,people,understands; produces,mummy,word,NA,mummy,mommy
item_241,241_nanny,people,understands; produces,nanny,word,NA,nanny,babysitter
item_242,242_people,people,understands; produces,people,word,NA,people,people
item_243,243_teacher,people,understands; produces,teacher,word,NA,teacher,teacher
item_244,244_uncle,people,understands; produces,uncle,word,NA,uncle,uncle
item_245,245_bath,games_routines,understands; produces,bath,word,NA,bath,bath
item_246,246_breakfast,games_routines,understands; produces,breakfast,word,NA,breakfast,breakfast
item_247,247_bye_bye,games_routines,understands; produces,bye bye,word,NA,bye bye,bye
item_248,248_dinner,games_routines,understands; produces,dinner,word,NA,dinner,dinner
item_249,249_don't,games_routines,understands; produces,don't,word,NA,don't,don't
item_250,250_hello,games_routines,understands; produces,hello,word,NA,hello,hello
item_251,251_hi,games_routines,understands; produces,hi,word,NA,hi,hi
item_252,252_lunch,games_routines,understands; produces,lunch,word,NA,lunch,lunch
item_253,253_nap,games_routines,understands; produces,nap,word,NA,nap,nap
item_254,254_night_night,games_routines,understands; produces,night night,word,NA,night night,good night
item_255,255_no,games_routines,understands; produces,no,word,NA,no,no
item_256,256_pat-a-cake,games_routines,understands; produces,pat-a-cake,word,NA,pat-a-cake,pattycake
item_257,257_peekaboo,games_routines,understands; produces,peekaboo,word,NA,peekaboo,peekaboo
item_258,258_please,games_routines,understands; produces,please,word,NA,please,please
item_259,259_shh_hush_shush,games_routines,understands; produces,shh / hush / shush,word,NA,shh / hush / shush,shh
item_260,260_tea,games_routines,understands; produces,tea,word,NA,tea,tea
item_261,261_thank_you,games_routines,understands; produces,thank you,word,NA,thank you,thank you
item_262,262_wait,games_routines,understands; produces,wait,word,NA,wait,wait
item_263,263_want_to,games_routines,understands; produces,want to,word,NA,want to,wanna
item_264,264_yes,games_routines,understands; produces,yes,word,NA,yes,yes
item_265,265_bite,action_words,understands; produces,bite,word,NA,bite,bite
item_266,266_blow,action_words,understands; produces,blow,word,NA,blow,blow
item_267,267_break,action_words,understands; produces,break,word,NA,break,break
item_268,268_bring,action_words,understands; produces,bring,word,NA,bring,bring
item_269,269_bump,action_words,understands; produces,bump,word,NA,bump,bump
item_270,270_call,action_words,understands; produces,call,word,NA,call,call
item_271,271_carry,action_words,understands; produces,carry,word,NA,carry,carry
item_272,272_catch,action_words,understands; produces,catch,word,NA,catch,catch
item_273,273_clean,action_words,understands; produces,clean,word,NA,clean,clean (action)
item_274,274_cry,action_words,understands; produces,cry,word,NA,cry,cry
item_275,275_cuddle,action_words,understands; produces,cuddle,word,NA,cuddle,cuddle
item_276,276_cut,action_words,understands; produces,cut,word,NA,cut,cut
item_277,277_dance,action_words,understands; produces,dance,word,NA,dance,dance
item_278,278_draw,action_words,understands; produces,draw,word,NA,draw,draw
item_279,279_drink,action_words,understands; produces,drink,word,NA,drink,drink (action)
item_280,280_drive,action_words,understands; produces,drive,word,NA,drive,drive
item_281,281_drop,action_words,understands; produces,drop,word,NA,drop,drop
item_282,282_eat,action_words,understands; produces,eat,word,NA,eat,eat
item_283,283_fall,action_words,understands; produces,fall,word,NA,fall,fall
item_284,284_feed,action_words,understands; produces,feed,word,NA,feed,feed
item_285,285_find,action_words,understands; produces,find,word,NA,find,find
item_286,286_finish,action_words,understands; produces,finish,word,NA,finish,finish
item_287,287_get,action_words,understands; produces,get,word,NA,get,get
item_288,288_give,action_words,understands; produces,give,word,NA,give,give
item_289,289_go,action_words,understands; produces,go,word,NA,go,go
item_290,290_have,action_words,understands; produces,have,word,NA,have,have
item_291,291_hear,action_words,understands; produces,hear,word,NA,hear,hear
item_292,292_help,action_words,understands; produces,help,word,NA,help,help
item_293,293_hit,action_words,understands; produces,hit,word,NA,hit,hit
item_294,294_hug,action_words,understands; produces,hug,word,NA,hug,hug
item_295,295_hurry,action_words,understands; produces,hurry,word,NA,hurry,hurry
item_296,296_jump,action_words,understands; produces,jump,word,NA,jump,jump
item_297,297_kick,action_words,understands; produces,kick,word,NA,kick,kick
item_298,298_kiss,action_words,understands; produces,kiss,word,NA,kiss,kiss
item_299,299_know,action_words,understands; produces,know,word,NA,know,know
item_300,300_like,action_words,understands; produces,like,word,NA,like,like
item_301,301_look,action_words,understands; produces,look,word,NA,look,look
item_302,302_love,action_words,understands; produces,love,word,NA,love,love
item_303,303_make,action_words,understands; produces,make,word,NA,make,make
item_304,304_open,action_words,understands; produces,open,word,NA,open,open (action)
item_305,305_play,action_words,understands; produces,play,word,NA,play,play
item_306,306_pull,action_words,understands; produces,pull,word,NA,pull,pull
item_307,307_push,action_words,understands; produces,push,word,NA,push,push
item_308,308_put,action_words,understands; produces,put,word,NA,put,put
item_309,309_read,action_words,understands; produces,read,word,NA,read,read
item_310,310_ride,action_words,understands; produces,ride,word,NA,ride,ride
item_311,311_run,action_words,understands; produces,run,word,NA,run,run
item_312,312_say,action_words,understands; produces,say,word,NA,say,say
item_313,313_scratch,action_words,understands; produces,scratch,word,NA,scratch,scratch
item_314,314_see,action_words,understands; produces,see,word,NA,see,see
item_315,315_show,action_words,understands; produces,show,word,NA,show,show
item_316,316_shut_close,action_words,understands; produces,shut / close,word,NA,shut / close,close
item_317,317_sing,action_words,understands; produces,sing,word,NA,sing,sing
item_318,318_sleep,action_words,understands; produces,sleep,word,NA,sleep,sleep
item_319,319_smile,action_words,understands; produces,smile,word,NA,smile,smile
item_320,320_splash,action_words,understands; produces,splash,word,NA,splash,splash
item_321,321_stop,action_words,understands; produces,stop,word,NA,stop,stop
item_322,322_swim,action_words,understands; produces,swim,word,NA,swim,swim
item_323,323_swing,action_words,understands; produces,swing,word,NA,swing,swing (action)
item_324,324_take,action_words,understands; produces,take,word,NA,take,take
item_325,325_tell,action_words,understands; produces,tell,word,NA,tell,tell
item_326,326_throw,action_words,understands; produces,throw,word,NA,throw,throw
item_327,327_tickle,action_words,understands; produces,tickle,word,NA,tickle,tickle
item_328,328_walk,action_words,understands; produces,walk,word,NA,walk,walk
item_329,329_wash,action_words,understands; produces,wash,word,NA,wash,wash
item_330,330_watch,action_words,understands; produces,watch,word,NA,watch,watch (action)
item_331,331_wipe,action_words,understands; produces,wipe,word,NA,wipe,wipe
item_332,332_write,action_words,understands; produces,write,word,NA,write,write
item_333,333_all_gone,descriptive_words,understands; produces,all gone,word,NA,all gone,all gone
item_334,334_asleep,descriptive_words,understands; produces,asleep,word,NA,asleep,asleep
item_335,335_bad,descriptive_words,understands; produces,bad,word,NA,bad,bad
item_336,336_big,descriptive_words,understands; produces,big,word,NA,big,big
item_337,337_blue,descriptive_words,understands; produces,blue,word,NA,blue,blue
item_338,338_broken,descriptive_words,understands; produces,broken,word,NA,broken,broken
item_339,339_careful,descriptive_words,understands; produces,careful,word,NA,careful,careful
item_340,340_clean,descriptive_words,understands; produces,clean,word,NA,clean,clean (description)
item_341,341_cold,descriptive_words,understands; produces,cold,word,NA,cold,cold
item_342,342_dark,descriptive_words,understands; produces,dark,word,NA,dark,dark
item_343,343_dirty,descriptive_words,understands; produces,dirty,word,NA,dirty,dirty
item_344,344_dry,descriptive_words,understands; produces,dry,word,NA,dry,dry (description)
item_345,345_empty,descriptive_words,understands; produces,empty,word,NA,empty,empty
item_346,346_fast,descriptive_words,understands; produces,fast,word,NA,fast,fast
item_347,347_fine,descriptive_words,understands; produces,fine,word,NA,fine,fine
item_348,348_gentle,descriptive_words,understands; produces,gentle,word,NA,gentle,gentle
item_349,349_good,descriptive_words,understands; produces,good,word,NA,good,good
item_350,350_green,descriptive_words,understands; produces,green,word,NA,green,green
item_351,351_happy,descriptive_words,understands; produces,happy,word,NA,happy,happy
item_352,352_hard,descriptive_words,understands; produces,hard,word,NA,hard,hard
item_353,353_hot,descriptive_words,understands; produces,hot,word,NA,hot,hot
item_354,354_hungry,descriptive_words,understands; produces,hungry,word,NA,hungry,hungry
item_355,355_hurt,descriptive_words,understands; produces,hurt,word,NA,hurt,hurt (description)
item_356,356_little,descriptive_words,understands; produces,little,word,NA,little,little (description)
item_357,357_nasty,descriptive_words,understands; produces,nasty,word,NA,nasty,nasty
item_358,358_naughty,descriptive_words,understands; produces,naughty,word,NA,naughty,naughty
item_359,359_nice,descriptive_words,understands; produces,nice,word,NA,nice,nice
item_360,360_old,descriptive_words,understands; produces,old,word,NA,old,old
item_361,361_pretty,descriptive_words,understands; produces,pretty,word,NA,pretty,pretty
item_362,362_red,descriptive_words,understands; produces,red,word,NA,red,red
item_363,363_sad,descriptive_words,understands; produces,sad,word,NA,sad,sad
item_364,364_scared,descriptive_words,understands; produces,scared,word,NA,scared,scared
item_365,365_sick,descriptive_words,understands; produces,sick,word,NA,sick,sick
item_366,366_sleepy,descriptive_words,understands; produces,sleepy,word,NA,sleepy,sleepy
item_367,367_soft,descriptive_words,understands; produces,soft,word,NA,soft,soft
item_368,368_thirsty,descriptive_words,understands; produces,thirsty,word,NA,thirsty,thirsty
item_369,369_tired,descriptive_words,understands; produces,tired,word,NA,tired,tired
item_370,370_wet,descriptive_words,understands; produces,wet,word,NA,wet,wet (description)
item_371,371_yellow,descriptive_words,understands; produces,yellow,word,NA,yellow,yellow
item_372,372_how,question_words,understands; produces,how,word,NA,how,how
item_373,373_what,question_words,understands; produces,what,word,NA,what,what
item_374,374_when,question_words,understands; produces,when,word,NA,when,when (question)
item_375,375_where,question_words,understands; produces,where,word,NA,where,where (question)
item_376,376_who,question_words,understands; produces,who,word,NA,who,who
item_377,377_why,question_words,understands; produces,why,word,NA,why,why
item_378,378_day,time_words,understands; produces,day,word,NA,day,day
item_379,379_later,time_words,understands; produces,later,word,NA,later,later
item_380,380_morning,time_words,understands; produces,morning,word,NA,morning,morning
item_381,381_night,time_words,understands; produces,night,word,NA,night,night
item_382,382_now,time_words,understands; produces,now,word,NA,now,now
item_383,383_today,time_words,understands; produces,today,word,NA,today,today
item_384,384_tomorrow,time_words,understands; produces,tomorrow,word,NA,tomorrow,tomorrow
item_385,385_tonight,time_words,understands; produces,tonight,word,NA,tonight,tonight
item_386,386_her,pronouns,understands; produces,her,word,NA,her,her
item_387,387_his,pronouns,understands; produces,his,word,NA,his,his
item_388,388_I,pronouns,understands; produces,I,word,NA,I,I
item_389,389_it,pronouns,understands; produces,it,word,NA,it,it
item_390,390_me,pronouns,understands; produces,me,word,NA,me,me
item_391,391_mine,pronouns,understands; produces,mine,word,NA,mine,mine
item_392,392_my,pronouns,understands; produces,my,word,NA,my,my
item_393,393_that,pronouns,understands; produces,that,word,NA,that,that
item_394,394_this,pronouns,understands; produces,this,word,NA,this,this
item_395,395_you,pronouns,understands; produces,you,word,NA,you,you
item_396,396_your,pronouns,understands; produces,your,word,NA,your,your
