"itemID","item","type","category","choices","definition","uni_lemma","gloss","complexity_category"
"item_70","agua","word","food_drink","produces","agua",,"water",
"item_71","arroz","word","food_drink","produces","arroz",,"rice",
"item_72","atole","word","food_drink","produces","atole",,"porridge",
"item_73","atun","word","food_drink","produces","atún",,"tuna fish",
"item_74","azucar","word","food_drink","produces","azúcar",,"sugar",
"item_75","cafe","word","food_drink","produces","café",,"coffee",
"item_76","calabaza","word","food_drink","produces","calabaza",,"pumpkin",
"item_77","carne","word","food_drink","produces","carne",,"meat",
"item_78","cereal","word","food_drink","produces","cereal",,"cereal",
"item_79","chicharo","word","food_drink","produces","chícharo",,"pea",
"item_80","chicle","word","food_drink","produces","chicle",,"chewing gum",
"item_81","chile","word","food_drink","produces","chile",,"chili",
"item_82","chocolat","word","food_drink","produces","chocolate",,"chocolate",
"item_83","comida","word","food_drink","produces","comida",,"food",
"item_84","dulce","word","food_drink","produces","dulce",,"sweet candy",
"item_85","durazno","word","food_drink","produces","durazno",,"peach",
"item_86","ejotes","word","food_drink","produces","ejotes",,"green beans",
"item_87","elote","word","food_drink","produces","elote",,"corncob",
"item_88","espgueti","word","food_drink","produces","espagueti",,"spaghetti",
"item_89","fresa","word","food_drink","produces","fresa",,"strawberry",
"item_90","frijoles","word","food_drink","produces","frijoles",,"beans",
"item_91","galleta","word","food_drink","produces","galleta",,"cookie",
"item_92","gellatin","word","food_drink","produces","gelatina",,"jelly",
"item_93","hamburgs","word","food_drink","produces","hamburguesa",,"hamburger",
"item_94","helado","word","food_drink","produces","helado/nieve",,"ice cream",
"item_95","hielo","word","food_drink","produces","hielo",,"ice",
"item_96","hotcakes","word","food_drink","produces","hot cakes",,"hotcakes",
"item_97","huevo","word","food_drink","produces","huevo",,"egg",
"item_98","jamon","word","food_drink","produces","jamón",,"ham",
"item_99","jugo","word","food_drink","produces","jugo",,"juice",
"item_100","leche","word","food_drink","produces","leche",,"milk",
"item_101","licuado","word","food_drink","produces","licuado",,"smoothie",
"item_102","limonad","word","food_drink","produces","limonada",,"lemonade",
"item_103","mani","word","food_drink","produces","cacahuete/maní",,"peanut",
"item_104","mantqila","word","food_drink","produces","mantequilla",,"butter",
"item_105","manzana","word","food_drink","produces","manzana",,"apple",
"item_106","melon","word","food_drink","produces","melón",,"melon",
"item_107","mermelad","word","food_drink","produces","mermelada",,"marmalade",
"item_108","naranja","word","food_drink","produces","naranja",,"orange (fruit)",
"item_109","paleta","word","food_drink","produces","paleta",,"lollipop",
"item_110","palomtas","word","food_drink","produces","palomitas",,"popcorn",
"item_111","pan","word","food_drink","produces","pan",,"bread",
"item_112","pandulc","word","food_drink","produces","pan dulce",,"sweet bread",
"item_113","papas","word","food_drink","produces","papas",,"potatoes",
"item_114","papitas","word","food_drink","produces","papitas",,"chips",
"item_115","pasas","word","food_drink","produces","pasas",,"raisins",
"item_116","pastel","word","food_drink","produces","pastel",,"cake",
"item_117","pentbttr","word","food_drink","produces","peanut butter",,"peanut butter",
"item_118","pescado2","word","food_drink","produces","pescado (food_drink)",,"fish (food)",
"item_119","platano","word","food_drink","produces","plátano/banana",,"banana",
"item_120","pollo","word","food_drink","produces","pollo",,"chicken",
"item_121","quesdila","word","food_drink","produces","quesadilla",,"quesadilla",
"item_122","queso","word","food_drink","produces","queso",,"cheese",
"item_123","sal","word","food_drink","produces","sal",,"salt",
"item_124","salchch","word","food_drink","produces","salchicha",,"hot dog",
"item_125","salsa","word","food_drink","produces","salsa",,"salsa",
"item_126","sandia","word","food_drink","produces","sandía",,"watermelon",
"item_127","soda","word","food_drink","produces","soda/refresco",,"soda water",
"item_128","sopa","word","food_drink","produces","sopa",,"soup",
"item_129","taco","word","food_drink","produces","taco",,"taco",
"item_130","te1","word","food_drink","produces","té (food)",,"tea",
"item_131","torta","word","food_drink","produces","torta/lonche",,"lunch sub",
"item_132","tortila","word","food_drink","produces","tortilla",,"tortilla",
"item_133","uvas","word","food_drink","produces","uvas",,"grapes",
"item_134","vainilla","word","food_drink","produces","vainilla",,"vanilla",
"item_135","vitamina","word","food_drink","produces","vitaminas",,"vitamin",
"item_136","yoghurt","word","food_drink","produces","yoghurt",,"yogurt",
"item_137","zanahori","word","food_drink","produces","zanahoria",,"carrot",
"item_138","boton","word","clothing","produces","botón",,"button",
"item_139","bufanda","word","clothing","produces","bufanda",,"scarf",
"item_140","calcetin","word","clothing","produces","calcetín","sock","sock",
"item_141","calzon","word","clothing","produces","calzón",,"underwear",
"item_142","camisa","word","clothing","produces","camisa",,"shirt",
"item_143","chancla","word","clothing","produces","chancla",,"slipper",
"item_144","cierre","word","clothing","produces","cierre",,"zipper",
"item_145","collar","word","clothing","produces","collar",,"necklace",
"item_146","falda","word","clothing","produces","falda",,"skirt",
"item_147","gorra","word","clothing","produces","gorra",,"cap",
"item_148","guantes","word","clothing","produces","guantes",,"gloves",
"item_149","lentes","word","clothing","produces","lentes",,"eyeglasses",
"item_150","medias","word","clothing","produces","medias",,"tights",
"item_151","panal","word","clothing","produces","pañal",,"diaper",
"item_152","pantalon","word","clothing","produces","pantalón",,"pants",
"item_153","pijama","word","clothing","produces","pijama",,"pajamas",
"item_154","playera","word","clothing","produces","playera",,"t-shirt",
"item_155","ropas","word","clothing","produces","ropa",,"clothes",
"item_156","shorts","word","clothing","produces","shorts",,"shorts",
"item_157","sombrero","word","clothing","produces","sombrero",,"hat",
"item_158","sueter","word","clothing","produces","suéter",,"sweater",
"item_159","vestido","word","clothing","produces","vestido",,"dress",
"item_160","zapato","word","clothing","produces","zapato",,"shoe",
"item_161","barba","word","body_parts","produces","barba",,"beard",
"item_162","bigote","word","body_parts","produces","bigote",,"moustache",
"item_163","boca","word","body_parts","produces","boca",,"mouth",
"item_164","brazo","word","body_parts","produces","brazo","arm","arm",
"item_165","cabeza","word","body_parts","produces","cabeza",,"head",
"item_166","cachete","word","body_parts","produces","cachete",,"cachete",
"item_167","cara","word","body_parts","produces","cara",,"face",
"item_168","chichi","word","body_parts","produces","chichi/pecho",,"breast",
"item_169","dedo","word","body_parts","produces","dedo","finger","finger",
"item_170","dientes","word","body_parts","produces","dientes",,"teeth",
"item_171","gargnta","word","body_parts","produces","garganta/anginas",,"throat",
"item_172","hombro","word","body_parts","produces","hombro",,"shoulder",
"item_173","labios","word","body_parts","produces","labios",,"lips",
"item_174","lengua","word","body_parts","produces","lengua",,"tongue",
"item_175","mano","word","body_parts","produces","mano","hand","hand",
"item_176","nalgas","word","body_parts","produces","nalgas",,"buttocks",
"item_177","nariz","word","body_parts","produces","nariz",,"nose",
"item_178","ojos","word","body_parts","produces","ojos",,"eyes",
"item_179","ombligo","word","body_parts","produces","ombligo",,"belly button",
"item_180","oreja","word","body_parts","produces","oreja","ear","ear",
"item_181","panza","word","body_parts","produces","panza",,"belly",
"item_182","pelo","word","body_parts","produces","pelo",,"hair",
"item_183","pene","word","body_parts","produces","pene",,"penis",
"item_184","piernas","word","body_parts","produces","piernas",,"legs",
"item_185","pies","word","body_parts","produces","pies",,"feet",
"item_186","rodilla","word","body_parts","produces","rodilla",,"knee",
"item_187","vagina","word","body_parts","produces","vagina",,"vagina",
"item_188","bat","word","toys","produces","bat",,"bat",
"item_189","burbujas","word","toys","produces","burbujas",,"bubbles",
"item_190","colores","word","toys","produces","colores",,"colors",
"item_191","crayolas","word","toys","produces","crayolas",,"crayons",
"item_192","globo","word","toys","produces","globo/bomba",,"air balloon",
"item_193","hoja","word","toys","produces","hoja/papel",,"paper",
"item_194","juguete","word","toys","produces","juguete",,"toy",
"item_195","lapiz","word","toys","produces","lápiz",,"pencil",
"item_196","libro","word","toys","produces","libro",,"book",
"item_197","muneca","word","toys","produces","muñeca",,"baby doll",
"item_198","osito","word","toys","produces","osito",,"teddy bear",
"item_199","patines","word","toys","produces","patines",,"roller skates",
"item_200","pelota","word","toys","produces","pelota",,"ball",
"item_201","pintura","word","toys","produces","pinturas",,"painting",
"item_202","plastlin","word","toys","produces","plastilina",,"clay",
"item_203","pluma","word","toys","produces","pluma/plumones",,"pen",
"item_204","tambor","word","toys","produces","tambor",,"drum",
"item_205","tricicl2","word","toys","produces","triciclo (toys)",,"tricycle (toy)",
"item_206","botas","word","clothing","produces","botas",,"boots",
"item_207","bolsa1","word","clothing","produces","bolsa (clothing)","purse","purse",
"item_208","babera","word","clothing","produces","babero",,"bib",
"item_209","aretes","word","clothing","produces","aretes",,"earrings",
"item_210","abrigo","word","clothing","produces","abrigo",,"coat",
"item_211","almohada","word","household","produces","almohada",,"pillow",
"item_212","aspirdor","word","household","produces","aspiradora",,"vacuum cleaner",
"item_213","basura","word","household","produces","basura",,"garbage can",
"item_214","bolsa2","word","household","produces","bolsa (household)",,"bag",
"item_215","botlmaml","word","household","produces","botella/mamila",,"bottle",
"item_216","caja","word","household","produces","caja",,"box",
"item_217","camara","word","household","produces","cámara",,"camera",
"item_218","canasta","word","household","produces","canasta",,"basket",
"item_219","cassette","word","household","produces","cassette",,"cassette",
"item_220","cepidnte","word","household","produces","cepillo de dientes",,"toothbrush",
"item_221","cepillo","word","household","produces","cepillo",,"brush ",
"item_222","cerills","word","household","produces","cerillos",,"matches",
"item_223","chupete","word","household","produces","chupón/chupete",,"pacifier",
"item_224","cigarrs","word","household","produces","cigarros",,"cigarettes",
"item_225","clavo","word","household","produces","clavo",,"nail",
"item_226","cobija","word","household","produces","cobija",,"blanket",
"item_227","cuadro","word","household","produces","cuadro",,"picture",
"item_228","cubeta","word","household","produces","cubeta",,"tray",
"item_229","cuchara","word","household","produces","cuchara",,"spoon",
"item_230","cuchillo","word","household","produces","cuchillo",,"knife",
"item_231","dinero","word","household","produces","dinero",,"money",
"item_232","escoba","word","household","produces","escoba",,"broom",
"item_233","espejo","word","household","produces","espejo",,"mirror",
"item_234","fotos","word","household","produces","fotos",,"photos",
"item_235","jabon","word","household","produces","jabón",,"soap",
"item_236","lampara","word","household","produces","lámpara",,"lamp",
"item_237","llave","word","household","produces","llave","keys","key",
"item_238","luz","word","household","produces","luz",,"light",
"item_239","martillo","word","household","produces","martillo",,"hammer",
"item_240","medicina","word","household","produces","medicina",,"medicine",
"item_241","olla","word","household","produces","olla",,"cooking pot",
"item_242","panuelo","word","household","produces","pañuelo",,"handkerchief",
"item_243","papel","word","household","produces","papel",,"paper",
"item_244","pastdnte","word","household","produces","pasta de dientes",,"toothpaste",
"item_245","peine","word","household","produces","peine",,"hair comb",
"item_246","peridco","word","household","produces","periódico",,"newspaper",
"item_247","plancha","word","household","produces","plancha",,"iron",
"item_248","plato","word","household","produces","plato",,"dish",
"item_249","radio","word","household","produces","radio",,"radio",
"item_250","reloj","word","household","produces","reloj",,"watch",
"item_251","servleta","word","household","produces","servilleta",,"napkin",
"item_252","tapete","word","household","produces","tapete",,"rug",
"item_253","taza","word","household","produces","taza",,"cup",
"item_254","telefono","word","household","produces","teléfono",,"phone",
"item_255","tenedor","word","household","produces","tenedor",,"fork",
"item_256","tijeras","word","household","produces","tijeras",,"pair of scissors",
"item_257","toalla","word","household","produces","toalla",,"towel",
"item_258","trapo","word","household","produces","trapo",,"cloth",
"item_259","vasos","word","household","produces","vasos","glass","glasses",
"item_260","vela","word","household","produces","vela",,"candle",
"item_261","albrpisc","word","outside","produces","alberca/piscina",,"pool",
"item_262","arbol","word","outside","produces","árbol",,"tree",
"item_263","bandera","word","outside","produces","bandera",,"flag",
"item_264","cielo","word","outside","produces","cielo",,"sky",
"item_265","coldera","word","outside","produces","coladera",,"drain",
"item_266","columpio","word","outside","produces","columpio",,"swing ",
"item_267","estrella","word","outside","produces","estrella",,"star",
"item_268","flor","word","outside","produces","flor",,"flower",
"item_269","fuego","word","outside","produces","fuego",,"fire",
"item_270","hojas","word","outside","produces","hojas",,"leaves",
"item_271","lena","word","outside","produces","leña",,"firewood",
"item_272","lluvia","word","outside","produces","lluvia",,"rain",
"item_273","luna","word","outside","produces","luna",,"moon",
"item_274","maceta","word","outside","produces","maceta",,"flower pot",
"item_275","manguera","word","outside","produces","manguera",,"hose",
"item_276","muncniev","word","outside","produces","muñeco de nieve",,"snowman",
"item_277","nieve","word","outside","produces","nieve",,"snow",
"item_278","nube","word","outside","produces","nube",,"cloud",
"item_279","pala","word","outside","produces","pala",,"shovel",
"item_280","palo","word","outside","produces","palo",,"stick",
"item_281","pasto","word","outside","produces","pasto",,"grass",
"item_282","piedra","word","outside","produces","piedra",,"stone",
"item_283","planta","word","outside","produces","planta",,"plant",
"item_284","reja","word","outside","produces","reja",,"grill",
"item_285","resbadla","word","outside","produces","resbaladilla",,"slide",
"item_286","sol","word","outside","produces","sol",,"sun",
"item_287","tanque","word","outside","produces","tanque",,"tank",
"item_288","techo","word","outside","produces","techo",,"ceiling",
"item_289","tierra","word","outside","produces","tierra",,"earth",
"item_290","timbre","word","outside","produces","timbre",,"doorbell",
"item_291","vientair","word","outside","produces","viento/aire",,"wind",
"item_292","bacinica","word","furniture_rooms","produces","bacinica",,"potty",
"item_293","banco1","word","furniture_rooms","produces","banco (outside)",,"bench",
"item_294","bano","word","furniture_rooms","produces","baño",,"bath",
"item_295","cajon","word","furniture_rooms","produces","cajón",,"drawer",
"item_296","cama","word","furniture_rooms","produces","cama",,"bed",
"item_297","champu","word","furniture_rooms","produces","champú",,"shampoo",
"item_298","cochera","word","furniture_rooms","produces","cochera/garage","garage","garage",
"item_299","cocina","word","furniture_rooms","produces","cocina",,"kitchen room",
"item_300","comptdra","word","furniture_rooms","produces","computadora",,"computer",
"item_301","cuarto","word","furniture_rooms","produces","cuarto",,"room",
"item_302","cuna","word","furniture_rooms","produces","cuna",,"crib",
"item_303","escalera","word","furniture_rooms","produces","escaleras","stairs","stairs",
"item_304","estufa","word","furniture_rooms","produces","estufa",,"stove",
"item_305","horno","word","furniture_rooms","produces","horno",,"oven",
"item_306","lavabo","word","furniture_rooms","produces","lavabo",,"sink",
"item_307","lavadora","word","furniture_rooms","produces","lavadora",,"washing machine",
"item_308","librero","word","furniture_rooms","produces","librero",,"bookcase",
"item_309","mesa","word","furniture_rooms","produces","mesa",,"table top",
"item_310","mueble","word","furniture_rooms","produces","mueble",,"piece of furniture",
"item_311","patio1","word","furniture_rooms","produces","patio (outside)",,"patio ",
"item_312","puerta","word","furniture_rooms","produces","puerta",,"gate",
"item_313","recamara","word","furniture_rooms","produces","recámara",,"bedroom",
"item_314","refrgrdr","word","furniture_rooms","produces","refrigerador",,"refrigerator ",
"item_315","regadera","word","furniture_rooms","produces","regadera/ducha",,"watering can",
"item_316","ropero","word","furniture_rooms","produces","ropero/closet",,"closet",
"item_317","sala","word","furniture_rooms","produces","sala",,"living room",
"item_318","secadora","word","furniture_rooms","produces","secadora",,"tumble dryer",
"item_319","silla","word","furniture_rooms","produces","silla",,"chair",
"item_320","sillon","word","furniture_rooms","produces","sillón",,"lounge chair",
"item_321","sofa","word","furniture_rooms","produces","sofá",,"sofa",
"item_322","televisn","word","furniture_rooms","produces","televisión",,"television",
"item_323","tina","word","furniture_rooms","produces","tina",,"tub",
"item_324","ventana","word","furniture_rooms","produces","ventana",,"window",
"item_325","banco2","word","places","produces","banco (places)",,"bank ",
"item_326","bosque","word","places","produces","bosque",,"forest",
"item_327","calle","word","places","produces","calle",,"street",
"item_328","campo","word","places","produces","campo",,"field",
"item_329","casa","word","places","produces","casa",,"home",
"item_330","cerro","word","places","produces","cerro",,"hill",
"item_331","cine","word","places","produces","cine",,"movie theater",
"item_332","circo","word","places","produces","circo",,"circus",
"item_333","escuela","word","places","produces","escuela",,"school",
"item_334","fabrica","word","places","produces","fábrica",,"factory",
"item_335","fiesta","word","places","produces","fiesta",,"party",
"item_336","hospitl","word","places","produces","hospital/clínica",,"hospital",
"item_337","iglstmpl","word","places","produces","iglesia/templo",,"church",
"item_338","jardin","word","places","produces","jardín",,"garden",
"item_339","oficina","word","places","produces","oficina",,"office ",
"item_340","parque","word","places","produces","parque",,"park",
"item_341","patio2","word","places","produces","patio (places)",,"playground ",
"item_342","playa","word","places","produces","playa",,"beach",
"item_343","rancho","word","places","produces","rancho",,"ranch",
"item_344","rio","word","places","produces","río",,"river",
"item_345","tienmerc","word","places","produces","tienda/mercado",,"market",
"item_346","zoologic","word","places","produces","zoológico",,"zoo",
"item_347","abuela","word","people","produces","abuela",,"grandmother",
"item_348","abuelo","word","people","produces","abuelo",,"grandfather",
"item_349","amiga","word","people","produces","amiga",,"female friend",
"item_350","amigo","word","people","produces","amigo",,"male friend",
"item_351","bebe","word","people","produces","bebé",,"baby ",
"item_352","cura","word","people","produces","cura",,"cure",
"item_353","doctor","word","people","produces","doctor",,"doctor",
"item_354","enfermer","word","people","produces","enfermera",,"nurse",
"item_355","familia","word","people","produces","familia",,"family",
"item_356","hermana","word","people","produces","hermana",,"sister",
"item_357","hermano","word","people","produces","hermano",,"brother",
"item_358","madrina","word","people","produces","madrina",,"godmother",
"item_359","maestra","word","people","produces","maestra",,"teacher",
"item_360","mama","word","people","produces","mamá","mommy","mommy",
"item_361","nana","word","people","produces","nana",,"babysitter",
"item_362","nina","word","people","produces","niña",,"girl ",
"item_363","nino","word","people","produces","niño",,"boy",
"item_364","nombrnin","word","people","produces","(nombre del niño/a)",,"child's own name",
"item_365","padrino","word","people","produces","padrino",,"godfather",
"item_366","papa","word","people","produces","papá","daddy","daddy",
"item_367","payaso","word","people","produces","payaso",,"clown",
"item_368","persona","word","people","produces","persona",,"person",
"item_369","policia","word","people","produces","policía",,"police",
"item_370","prima","word","people","produces","prima",,"female cousin",
"item_371","primo","word","people","produces","primo",,"male cousin",
"item_372","senor","word","people","produces","señor",,"man",
"item_373","senora","word","people","produces","señora",,"woman",
"item_374","tia","word","people","produces","tía",,"aunt",
"item_375","tio","word","people","produces","tío",,"uncle",
"item_376","acerrin","word","games_routines","produces","acerrín",,"sawdust (game)",
"item_377","adiosbye","word","games_routines","produces","adíos/byebye",,"bye bye",
"item_378","ahitevoy","word","games_routines","produces","ahí te voy",,"I'm going there",
"item_379","alagapat","word","games_routines","produces","al agua patos...",,"ducks to water",
"item_380","aver","word","games_routines","produces","a ver...",,"let's see",
"item_381","besitos","word","games_routines","produces","besitos",,"little kisses",
"item_382","bravo","word","games_routines","produces","bravo",,"brave",
"item_383","buendias","word","games_routines","produces","buenos días","good morning","good day",
"item_384","buennoch","word","games_routines","produces","buenas noches",,"good night",
"item_385","cosqlits","word","games_routines","produces","cosquillitas",,"tickles",
"item_386","gracias","word","games_routines","produces","gracias",,"thank you",
"item_387","hola","word","games_routines","produces","hola",,"hi",
"item_388","manosarb","word","games_routines","produces","manos arriba","hands up","hands up ",
"item_389","ojitos","word","games_routines","produces","ojitos",,"eyes",
"item_390","okay","word","games_routines","produces","okay",,"okay",
"item_391","ponetata","word","games_routines","produces","pon pon tata",,"Pon pon tata (song)",
"item_392","porfavor","word","games_routines","produces","por favor",,"please",
"item_393","salud","word","games_routines","produces","salud","bless you","bless you",
"item_394","shhh","word","games_routines","produces","shhh","shh","shhh",
"item_395","siesta","word","games_routines","produces","siesta",,"nap",
"item_396","tengmant","word","games_routines","produces","tengo manita",,"I have a little hand (song) ",
"item_397","tevypagr","word","games_routines","produces","te voy a pegar...",,"I'm going to hit you",
"item_398","tortlita","word","games_routines","produces","tortillitas",,"Tortillitas for Mommy (song)",
"item_399","unodstrs","word","games_routines","produces","uno dos tres...","one two three","one two three",
"item_400","vamonos","word","games_routines","produces","vámonos",,"let's go",
"item_401","ir","word","action_words","produces","ir(se)",,"go to",
"item_402","jalar","word","action_words","produces","jalar",,"pull",
"item_403","jugar","word","action_words","produces","jugar",,"to play",
"item_404","juntar","word","action_words","produces","juntar",,"put together",
"item_405","lastimar","word","action_words","produces","lastimar(se)",,"to hurt",
"item_406","lavar","word","action_words","produces","lavar(se)",,"wash",
"item_407","leer","word","action_words","produces","leer",,"read",
"item_408","levntar","word","action_words","produces","levantar(se)",,"lift",
"item_409","llevar","word","action_words","produces","llevar(se)",,"carry",
"item_410","llorar","word","action_words","produces","llorar",,"mourn",
"item_411","llover","word","action_words","produces","llover",,"to rain",
"item_412","meterse","word","action_words","produces","meter(se)",,"get into",
"item_413","mirar","word","action_words","produces","mirar",,"to see",
"item_414","morder","word","action_words","produces","morder",,"to bite",
"item_415","nadar","word","action_words","produces","nadar",,"to swim",
"item_416","oir","word","action_words","produces","oír",,"hear",
"item_417","parar","word","action_words","produces","parar(se)",,"to stop",
"item_418","patear","word","action_words","produces","patear",,"to kick",
"item_419","patinar","word","action_words","produces","patinar",,"to skate",
"item_420","pegar","word","action_words","produces","pegar(se)",,"to hit",
"item_421","peinarse","word","action_words","produces","peinar(se)",,"to comb",
"item_422","pensar","word","action_words","produces","pensar",,"to think",
"item_423","perder","word","action_words","produces","perder",,"to waste",
"item_424","pintar","word","action_words","produces","pintar",,"to paint",
"item_425","platicar","word","action_words","produces","platicar",,"talk",
"item_426","poder","word","action_words","produces","poder",,"be able to",
"item_427","poner","word","action_words","produces","poner(se)",,"put on",
"item_428","prender","word","action_words","produces","prender",,"switch on",
"item_429","quedar","word","action_words","produces","quedar(se)",,"stay",
"item_430","quemar","word","action_words","produces","quemar(se)",,"burn down",
"item_431","querer","word","action_words","produces","querer",,"want to",
"item_432","quitarse","word","action_words","produces","quitar(se)",,"take off",
"item_433","regalar","word","action_words","produces","regalar",,"give away",
"item_434","romper","word","action_words","produces","romper",,"to break",
"item_435","saber","word","action_words","produces","saber",,"to know",
"item_436","sacar","word","action_words","produces","sacar",,"put off",
"item_437","salir","word","action_words","produces","salir(se)",,"going out",
"item_438","saltar","word","action_words","produces","saltar",,"to jump",
"item_439","saludar","word","action_words","produces","saludar",,"to greet",
"item_440","sentar","word","action_words","produces","sentar(se)",,"sit",
"item_441","soplar","word","action_words","produces","soplar",,"to blow",
"item_442","subir","word","action_words","produces","subir(se)","climb","to go up",
"item_443","tapar","word","action_words","produces","tapar",,"to cover",
"item_444","tener","word","action_words","produces","tener",,"to have",
"item_445","terminar","word","action_words","produces","terminar",,"to finish",
"item_446","tirar","word","action_words","produces","tirar",,"to throw",
"item_447","tocar","word","action_words","produces","tocar",,"to touch",
"item_448","tomar","word","action_words","produces","tomar(se)",,"to take",
"item_449","traer","word","action_words","produces","traer(se)",,"to bring",
"item_450","venir","word","action_words","produces","venir(se)",,"to come",
"item_451","ver","word","action_words","produces","ver(se)","see","to see",
"item_452","acabarse","word","action_words","produces","acabar","finish","to finish",
"item_453","acompnar","word","action_words","produces","acompañar",,"to join",
"item_454","acostar","word","action_words","produces","acostar(se)",,"lay down",
"item_455","agarrar","word","action_words","produces","agarrar",,"to grab",
"item_456","almorzar","word","action_words","produces","almorzar",,"to launch",
"item_457","amararse","word","action_words","produces","amarrar(se)",,"to tie up",
"item_458","andar","word","action_words","produces","andar",,"walk",
"item_459","apagar","word","action_words","produces","apagar",,"to turn off",
"item_460","apurar","word","action_words","produces","apurar(se)",,"hurry",
"item_461","arreglar","word","action_words","produces","arreglar(se)",,"to fix",
"item_462","asustar","word","action_words","produces","asustar(se)",,"to frighten",
"item_463","aventar","word","action_words","produces","aventar",,"to blow",
"item_464","ayudar","word","action_words","produces","ayudar",,"to help",
"item_465","bailar","word","action_words","produces","bailar",,"to dance",
"item_466","bajarse","word","action_words","produces","bajar(se)",,"to come down ",
"item_467","barrer","word","action_words","produces","barrer",,"to sweep ",
"item_468","besar","word","action_words","produces","besar",,"to kiss",
"item_469","brincar","word","action_words","produces","brincar",,"to hop",
"item_470","buscar","word","action_words","produces","buscar",,"search for",
"item_471","caber","word","action_words","produces","caber",,"to fit",
"item_472","caer","word","action_words","produces","caer(se)",,"to fall",
"item_473","callarse","word","action_words","produces","callar(se)",,"shut up",
"item_474","caminar","word","action_words","produces","caminar",,"walk",
