itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_1,aupa,word,sounds,understands; produces,aúpa,NA,wow,wow
item_253,encendid,word,descriptive_words,understands; produces,encendido,NA,switched on,on (description)
item_254,enfadado,word,descriptive_words,understands; produces,enfadado,NA,angry,angry
item_255,enfermo,word,descriptive_words,understands; produces,enfermo/malito,NA,sick,sick
item_256,feo,word,descriptive_words,understands; produces,feo,NA,ugly,ugly
item_257,frio,word,descriptive_words,understands; produces,frío,NA,cold,cold
item_258,grande,word,descriptive_words,understands; produces,grande,NA,great,big
item_259,guapo,word,descriptive_words,understands; produces,guapo,NA,handsome,cute
item_260,hambre,word,descriptive_words,understands; produces,hambre,NA,hunger,hungry
item_261,limpio,word,descriptive_words,understands; produces,limpio,NA,clean,clean (description)
item_262,lleno,word,descriptive_words,understands; produces,lleno,NA,full,full
item_263,malo_,word,descriptive_words,understands; produces,malo,NA,bad,bad
item_264,pequeno,word,descriptive_words,understands; produces,pequeño,NA,little,little (description)
item_265,roto,word,descriptive_words,understands; produces,roto,NA,broken,broken
item_266,sed,word,descriptive_words,understands; produces,sed,NA,thirst,thirsty
item_267,sueno,word,descriptive_words,understands; produces,sueño,NA,dream,dream
item_268,sucio,word,descriptive_words,understands; produces,sucio,NA,dirty,dirty
item_269,susto,word,descriptive_words,understands; produces,susto,NA,scare,scared
item_270,vacio,word,descriptive_words,understands; produces,vacío,NA,empty,empty
item_271,ahora,word,time_words,understands; produces,ahora,NA,now,now
item_272,despues,word,time_words,understands; produces,después,NA,after,after
item_273,dia,word,time_words,understands; produces,día,NA,day,day
item_274,manana,word,time_words,understands; produces,mañana,NA,tomorrow,tomorrow
item_275,noche,word,time_words,understands; produces,noche,NA,night,night
item_276,tarde,word,time_words,understands; produces,tarde (por la),NA,afternoon,afternoon
item_277,ya,word,time_words,understands; produces,ya,NA,already,already
item_278,ese,word,pronouns,understands; produces,ese/esa/o,NA,that,that
item_279,mio,word,pronouns,understands; produces,mío/a,NA,mine,1SG.POSS
item_280,otra,word,pronouns,understands; produces,otra/o,NA,other,other
item_281,parami,word,pronouns,understands; produces,(para) mí,NA,for me,1SG
item_282,yo,word,pronouns,understands; produces,yo,NA,I,1SG
item_283,tu_tuyo,word,pronouns,understands; produces,tu/tuyo,NA,you,2SG
item_284,este,word,pronouns,understands; produces,este/a/o,NA,this,this
item_285,como,word,question_words,understands; produces,cómo,NA,how,how
item_286,cual,word,question_words,understands; produces,cuál,NA,which,which (question)
item_287,donde,word,question_words,understands; produces,dónde,NA,where,where (question)
item_288,porque,word,question_words,understands; produces,por qué,NA,why,why
item_289,que,word,question_words,understands; produces,qué,NA,what,what
item_290,quien,word,question_words,understands; produces,quién,NA,who,who
item_291,abajo,word,locations,understands; produces,abajo (debajo),NA,down,down
item_292,alli,word,locations,understands; produces,allí,NA,there,there
item_293,aqui,word,locations,understands; produces,aquí,NA,here,here
item_294,arriba,word,locations,understands; produces,arriba,NA,up,up
item_295,delante,word,locations,understands; produces,delante,NA,in front,front
item_296,dentro,word,locations,understands; produces,dento/adentro,NA,inside,inside
item_297,detras,word,locations,understands; produces,detrás,NA,behind,back (location)
item_298,fuera,word,locations,understands; produces,fuera/afuera,NA,out,out
item_299,para,word,locations,understands; produces,para,NA,for,for
item_300,mas,word,quantifiers,understands; produces,más,NA,more,more
item_301,poco,word,quantifiers,understands; produces,poco,NA,little,little
item_302,todo,word,quantifiers,understands; produces,todo/a/os/as,NA,all,all
item_303,uno,word,quantifiers,understands; produces,uno/a,NA,a,a
