English.label,col.name,McRae.word
diaper,col_diaper,0
dress,col_dress,1
gloves,col_gloves,0
hat,col_hat,0
jacket,col_jacket,1
jeans,col_jeans,1
mittens,col_mittens,0
necklace,col_necklace,1
pajamas,col_pajamas,1
pants,col_pants,1
scarf,col_scarf,1
shirt,col_shirt,1
shoe,col_shoe,1
shorts,col_shorts,0
slipper,col_slipper,1
sneaker,col_sneaker,0
snowsuit,col_snowsuit,0
sock,col_sweater,1
sweater,col_sock,1
tights,col_tights,0
underpants,col_undrpnts,0
zipper,col_zipper,0
ankle,col_ankle,0
arm,col_arm,0
belly button,col_bllybttn,0
bottom,col_buttocks,0
cheek,col_cheek,0
chin,col_chin,0
ear,col_eye,0
eye,col_ear,0
face,col_face,0
feet,col_finger,0
finger,col_foot,0
hair,col_hair,0
hand,col_hand,0
head,col_head,0
knee,col_knee,0
leg,col_leg,0
lips,col_lips,0
mouth,col_mouth,0
nose,col_nose,0
owie/boo boo,col_owie,0
penis,col_penis,0
shoulder,col_shoulder,0
tooth,col_toe,0
toe,col_tongue,0
tongue,col_tooth,0
tummy,col_tummy,0
vagina,col_vagina,0
basket,col_basket,1
blanket,col_blanket,0
bottle,col_bottle,1
box,col_bowl,1
bowl,col_box,1
broom,col_broom,1
brush,col_brush,1
bucket,col_bucket,1
camera,col_camera,0
can,col_can1,0
clock,col_clock,1
comb,col_comb,1
cup,col_cup,1
dish,col_dish,1
fork,col_fork,1
garbage,col_garbage,0
glass,col_glass,0
glasses,col_glasses,0
hammer,col_hammer,1
jar,col_keys,1
keys,col_jar,1
knife,col_knife,1
lamp,col_lamp,1
light,col_light,0
medicine,col_medicine,0
money,col_money,0
mop,col_mop,0
nail,col_nail,0
napkin,col_napkin,1
paper,col_paper,0
penny,col_penny,0
picture,col_picture,0
pillow,col_pillow,1
plant,col_plant,0
plate,col_plate,1
purse,col_purse,0
radio,col_radio,1
scissors,col_scissors,1
soap,col_soap,0
spoon,col_spoon,1
tape,col_tape,0
telephone,col_telephon,1
tissue,col_tissue,0
toothbrush,col_tothbrsh,0
towel,col_towel,0
trash ,col_trash,0
tray,col_tray,1
vacuum,col_vacuum,0
walker,col_walker,0
watch,col_watch1,0
basement,col_basement,1
bathroom,col_bathroom,0
bathtub,col_bathtub,1
bed,col_bed,1
bedroom,col_bedroom,1
bench,col_bench,1
chair,col_chair,1
closet,col_closet,1
couch,col_couch,1
crib,col_crib,0
door,col_door,1
drawer,col_drawer,0
dryer,col_dryer,0
garage,col_garage,0
high chair,col_highchar,0
kitchen,col_kitchen,0
living room,col_livingrm,0
oven,col_oven,1
play pen,col_playpen,0
porch,col_porch,0
potty,col_potty,0
refrigerator,col_rckngchr,0
rockingchair,col_refrgrtr,0
room,col_room,0
shower,col_shower,0
sink,col_sink,1
sofa,col_sofa,1
stairs,col_stove,0
stove,col_stairs,1
table,col_table,1
TV,col_tv,0
washingmach.,col_window,0
window,col_wshngmch,0
backyard,col_backyard,0
cloud,col_cloud,0
flag,col_flag,0
flower,col_flower,0
garden,col_garden,0
grass,col_grass,0
hose,col_hose,1
ladder,col_ladder,0
lawn mower,col_lawnmowr,0
moon,col_moon,0
pool,col_pool,0
rain,col_rain,0
rock,col_rock,1
roof,col_roof,0
sandbox,col_sandbox,0
shovel,col_shovel,1
sidewalk,col_sidewalk,0
sky,col_sky,0
slide,col_slide1,0
snow,col_snow,0
snowman,col_snowman,0
sprinkler,col_sprinklr,0
star,col_star,0
stick,col_stick,1
stone,col_stone,1
street,col_street,0
sun,col_sun,0
swing,col_swing1,0
tree,col_tree,0
water,col_water2,0
wind,col_wind,0
beach,col_beach,0
camping,col_camping,0
church,col_church,1
circus,col_circus,0
country,col_country,0
downtown,col_downtown,0
farm,col_farm,0
gas station,col_gasstatn,0
home,col_home,0
house,col_house,1
movie,col_movie,0
outside,col_outside,0
park,col_park,0
party,col_party,0
picnic,col_picnic,0
playground,col_playgrnd,0
school,col_school,0
store,col_store,0
woods,col_woods,0
work,col_work1,0
yard,col_yard,0
zoo,col_zoo,0
aunt,col_aunt,0
baby,col_baby,0
babysitter,col_babysttr,0
babysit.nam,col_namesttr,0
boy,col_boy,0
brother,col_brother,0
child,col_child,0
clown,col_clown,0
cowboy,col_cowboy,0
daddy,col_daddy,0
doctor,col_doctor,0
fireman,col_fireman,0
friend,col_friend,0
girl,col_girl,0
grandma,col_grandma,0
grandpa,col_grandpa,0
lady ,col_lady,0
mailman,col_mailman,0
man,col_man,0
mommy,col_mommy,0
nurse,col_nurse,0
child's name,col_nameself,0
people,col_people,0
person,col_person,0
pet's name,col_namepet,0
police,col_police,0
sister,col_sister,0
teacher,col_teacher,0
uncle,col_uncle,0
bath,col_bath,0
breakfast,col_breakfst,0
bye,col_bye,0
call(phone),col_callnphn,0
dinner,col_dinner,0
give me 5!,col_givemefv,0
gonna get u,col_gonnagty,0
go potty,col_gopotty,0
hi,col_hello,0
hello,col_hi,0
lunch,col_lunch,0
nap,col_nap,0
night night,col_nghtnght,0
no,col_no,0
patty cake,col_patycak,0
peekaboo,col_peekaboo,0
please,col_please,0
shh/shush,col_shh,0
shopping,col_shopping,0
snack,col_snack,0
so big!,col_sobig,0
thank you,col_thankyou,0
this lil piggy,col_thslttlp,0
turn around,col_turnarnd,0
yes,col_yes,0
bite,col_bite,0
blow,col_blow,0
break,col_break,0
bring,col_bring,0
build,col_build,0
bump,col_bump,0
buy,col_buy,0
carry,col_carry,0
catch,col_catch,0
chase,col_chase,0
clap,col_clap,0
clean,col_clean1,0
climb,col_climb,0
close,col_close,0
cook,col_cook,0
cover,col_cover,0
cry,col_cry,0
cut,col_cut,0
dance,col_dance,0
draw,col_draw,0
drink,col_drink2,0
drive,col_drive,0
drop,col_drop,0
dry,col_dry1,0
dump,col_dump,0
eat,col_eat,0
fall,col_fall,0
feed,col_feed,0
find,col_find,0
finish,col_finish,0
fit,col_fit,0
fix,col_fix,0
get,col_get,0
give,col_give,0
go,col_go,0
hate,col_hate,0
have,col_have,0
hear,col_hear,0
help,col_help,0
hide,col_hide,0
hit,col_hit,0
hold,col_hold,0
hug,col_hug,0
hurry,col_hurry,0
jump,col_jump,0
kick,col_kick,0
kiss,col_kiss,0
knock,col_knock,0
lick,col_lick,0
like,col_like,0
listen,col_listen,0
look,col_look,0
love,col_love,0
make,col_make,0
open,col_open,0
paint,col_paint,0
pick,col_pick,0
play,col_play,0
pour,col_pour,0
pretend,col_pretend,0
pull,col_pull,0
push,col_push,0
put,col_put,0
read,col_read,0
ride,col_ride,0
rip,col_rip,0
run,col_run,0
say,col_say,0
see,col_see,0
shake,col_shake,0
share,col_share,0
show,col_show,0
sing,col_sing,0
sit,col_sit,0
skate,col_skate,0
sleep,col_sleep,0
slide,col_slide2,0
smile,col_smile,0
spill,col_spill,0
splash,col_splash,0
stand,col_stand,0
stay,col_stay,0
stop,col_stop,0
sweep,col_sweep,0
swim,col_swim,0
swing,col_swing2,0
take,col_take,0
talk,col_talk,0
taste,col_taste,0
tear,col_tear,0
think,col_think,0
throw,col_throw,0
tickle,col_tickle,0
touch,col_touch,0
wait,col_wait,0
wake,col_wake,0
walk,col_walk,0
wash,col_wash,0
watch,col_watch2,0
wipe,col_wipe,0
wish,col_wish,0
work,col_work2,0
write,col_write,0
all gone,col_allgone,0
asleep,col_asleep,0
awake,col_awake,0
bad,col_bad,0
better,col_better,0
big,col_big,0
black,col_black,0
blue,col_blue,0
broken,col_broken,0
brown,col_brown,0
careful,col_careful,0
clean,col_clean2,0
cold,col_cold,0
cute,col_cute,0
dark,col_dark,0
dirty,col_dirty,0
dry,col_dry2,0
empty,col_empty,0
fast,col_fast,0
fine,col_fine,0
first,col_first,0
full,col_full,0
gentle,col_gentle,0
good,col_good,0
green,col_green,0
happy,col_happy,0
hard,col_hard,0
heavy,col_heavy,0
high,col_high,0
hot,col_hot,0
hungry,col_hungry,0
hurt,col_hurt,0
last,col_last,0
little,col_little,0
long,col_long,0
loud,col_loud,0
mad,col_mad,0
naughty,col_naughty,0
new,col_new,0
nice,col_nice,0
noisy,col_noisy,0
old,col_old,0
orange,col_orange2,0
poor,col_poor,0
pretty,col_pretty,0
quiet ,col_quiet,0
red,col_red,0
sad,col_sad,0
scared,col_scared,0
sick,col_sick,0
sleepy,col_sleepy,0
slow,col_slow,0
soft,col_soft,0
sticky,col_sticky,0
stuck,col_stuck,0
thirsty,col_thirsty,0
tiny,col_tiny,0
tired,col_tired,0
wet,col_wet,0
white,col_white,0
windy,col_windy,0
yellow,col_yellow,0
yucky,col_yucky,0
after,col_after,0
before,col_before,0
day,col_day,0
later,col_later,0
morning,col_morning,0
night,col_night,0
now,col_now,0
time,col_time,0
today,col_today,0
tomorrow,col_tomorrow,0
tonight,col_tonight,0
yesterday,col_yesterdy,0
he,col_he,0
her,col_her,0
hers,col_hers,0
him,col_him,0
his,col_his,0
I,col_i,0
it,col_it,0
me,col_me,0
mine,col_mine,0
my,col_my,0
myself,col_myself,0
our,col_our,0
she,col_she,0
that,col_that,0
their,col_their,0
them,col_them,0
these,col_these,0
they,col_they,0
this,col_this,0
those,col_those,0
us,col_us,0
we,col_we,0
you,col_you,0
your,col_your,0
yourself,col_yourself,0
how,col_how,0
what,col_what,0
when,col_when,0
where,col_where,0
which,col_which,0
who,col_who,0
why,col_why,0
about,col_about,0
above,col_above,0
around,col_around,0
at,col_prepat,0
away,col_away,0
back,col_back,0
behind,col_behind,0
beside,col_beside,0
by,col_prepby,0
down,col_down,0
for,col_for,0
here,col_here,0
inside/in,col_inside,0
into,col_into,0
next to,col_nextto,0
of,col_of,0
off,col_off,0
on,col_on,0
on top of,col_ontopof,0
out,col_out,0
over,col_over,0
there,col_there,0
to,col_prepto,0
under,col_punder,0
up,col_prepup,0
with,col_prepwith,0
a,col_a,0
all ,col_quantall,0
a lot,col_alot,0
an,col_an,0
another,col_another,0
any,col_any,0
each,col_each,0
every,col_every,0
more,col_more,0
much,col_much,0
not,col_quantnot,0
none,col_none,0
other,col_other,0
same,col_same,0
some,col_some,0
the,col_the,0
too,col_too,0
am,col_am,0
are,col_are,0
be,col_be,0
can,col_can2,0
could,col_could,0
did/did ya,col_did,0
do,col_do,0
does,col_does,0
don't,col_dont,0
going to,col_gonna,0
got to,col_gotta,0
have to,col_hafta,0
is,col_is,0
let me,col_lemme,0
need/need to,col_need,0
try/try to,col_try,0
want to,col_wanna,0
was,col_was,0
were,col_were,0
will,col_will,0
would,col_would,0
and,col_connand,0
because,col_because,0
but,col_but,0
if,col_connif,0
so,col_connso,0
then,col_connthen,0
