itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
item_1,aupa,word,sounds,understands; produces,aúpa,,,
item_220,comer,word,action_words,understands; produces,comer(se),,,
item_221,correr,word,action_words,understands; produces,correr,,,
item_222,dar,word,action_words,understands; produces,dar,,,
item_223,dormir,word,action_words,understands; produces,dormir(se),,,
item_224,encender,word,action_words,understands; produces,encender,,,
item_225,ensenar,word,action_words,understands; produces,enseñar,,,
item_226,esperar,word,action_words,understands; produces,esperar(se),,,
item_227,estar,word,action_words,understands; produces,"estar [estoy, estás…]",,,
item_228,ir,word,action_words,understands; produces,"ir(se) [voy, vas, vamos…]",,,
item_229,jugar,word,action_words,understands; produces,jugar,,,
item_230,llorar,word,action_words,understands; produces,llorar,,,
item_231,mirar,word,action_words,understands; produces,mirar,,,
item_232,pegar,word,action_words,understands; produces,pegar(se),,,
item_233,peinar,word,action_words,understands; produces,peinar(se),,,
item_234,pintar,word,action_words,understands; produces,pintar,,,
item_235,poder,word,action_words,understands; produces,poder [puedes…],,,
item_236,poner,word,action_words,understands; produces,poner(se),,,
item_237,quemar,word,action_words,understands; produces,quemar,,,
item_238,querer,word,action_words,understands; produces,querer,,,
item_239,quitar,word,action_words,understands; produces,quitar(se),,,
item_240,reir,word,action_words,understands; produces,reír,,,
item_241,sentar,word,action_words,understands; produces,sentar(se),,,
item_242,ser,word,action_words,understands; produces,"ser (eres, es…)",,,
item_243,subir,word,action_words,understands; produces,subir(se),,,
item_244,terminar,word,action_words,understands; produces,terminar/acabar(se),,,
item_245,traer,word,action_words,understands; produces,traer,,,
item_246,tirar,word,action_words,understands; produces,tirar,,,
item_247,tocar,word,action_words,understands; produces,tocar,,,
item_248,toser,word,action_words,understands; produces,toser,,,
item_249,apagado,word,descriptive_words,understands; produces,apagado,,,
item_250,bonito,word,descriptive_words,understands; produces,bonito,,,
item_251,caliente,word,descriptive_words,understands; produces,caliente,,,
item_252,contento,word,descriptive_words,understands; produces,contento,,,
item_253,encendid,word,descriptive_words,understands; produces,encendido,,,
item_254,enfadado,word,descriptive_words,understands; produces,enfadado,,,
item_255,enfermo,word,descriptive_words,understands; produces,enfermo/malito,,,
item_256,feo,word,descriptive_words,understands; produces,feo,,,
item_257,frio,word,descriptive_words,understands; produces,frío,,,
item_258,grande,word,descriptive_words,understands; produces,grande,,,
item_259,guapo,word,descriptive_words,understands; produces,guapo,,,
item_260,hambre,word,descriptive_words,understands; produces,hambre,,,
item_261,limpio,word,descriptive_words,understands; produces,limpio,,,
item_262,lleno,word,descriptive_words,understands; produces,lleno,,,
item_263,malo_,word,descriptive_words,understands; produces,malo,,,
item_264,pequeno,word,descriptive_words,understands; produces,pequeño,,,
item_265,roto,word,descriptive_words,understands; produces,roto,,,
item_266,sed,word,descriptive_words,understands; produces,sed,,,
item_267,sueno,word,descriptive_words,understands; produces,sueño,,,
item_268,sucio,word,descriptive_words,understands; produces,sucio,,,
item_269,susto,word,descriptive_words,understands; produces,susto,,,
item_270,vacio,word,descriptive_words,understands; produces,vacío,,,
item_271,ahora,word,time_words,understands; produces,ahora,,,
item_272,despues,word,time_words,understands; produces,después,,,
item_273,dia,word,time_words,understands; produces,día,,,
item_274,manana,word,time_words,understands; produces,mañana,,,
item_275,noche,word,time_words,understands; produces,noche,,,
item_276,tarde,word,time_words,understands; produces,tarde (por la),,,
item_277,ya,word,time_words,understands; produces,ya,,,
item_278,ese,word,pronouns,understands; produces,ese/esa/o,,,
item_279,mio,word,pronouns,understands; produces,mío/a,,,
item_280,otra,word,pronouns,understands; produces,otra/o,,,
item_281,parami,word,pronouns,understands; produces,(para) mí,,,
item_282,yo,word,pronouns,understands; produces,yo,,,
item_283,tu_tuyo,word,pronouns,understands; produces,tu/tuyo,,,
item_284,este,word,pronouns,understands; produces,este/a/o,,,
item_285,como,word,question_words,understands; produces,cómo,,,
item_286,cual,word,question_words,understands; produces,cuál,,,
item_287,donde,word,question_words,understands; produces,dónde,,,
item_288,porque,word,question_words,understands; produces,por qué,,,
item_289,que,word,question_words,understands; produces,qué,,,
item_290,quien,word,question_words,understands; produces,quién,,,
item_291,abajo,word,locations,understands; produces,abajo (debajo),,,
item_292,alli,word,locations,understands; produces,allí,,,
item_293,aqui,word,locations,understands; produces,aquí,,,
item_294,arriba,word,locations,understands; produces,arriba,,,
item_295,delante,word,locations,understands; produces,delante,,,
item_296,dentro,word,locations,understands; produces,dento/adentro,,,
item_297,detras,word,locations,understands; produces,detrás,,,
item_298,fuera,word,locations,understands; produces,fuera/afuera,,,
item_299,para,word,locations,understands; produces,para,,,
item_300,mas,word,quantifiers,understands; produces,más,,,
item_301,poco,word,quantifiers,understands; produces,poco,,,
item_302,todo,word,quantifiers,understands; produces,todo/a/os/as,,,
item_303,uno,word,quantifiers,understands; produces,uno/a,,,
