itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_99,E12,word,食べ物と飲み物,food_drink,かぼちゃ,Kabocha,Pumpkin,pumpkin
item_100,E13,word,食べ物と飲み物,food_drink,ガム,Gamu,Gum,gum
item_101,E14,word,食べ物と飲み物,food_drink,カレー,Karee,Curry,
item_102,E15,word,食べ物と飲み物,food_drink,牛乳,GyuuNyuu,Milk,milk
item_103,E16,word,食べ物と飲み物,food_drink,きゅうり,Kyuuri,Cucumber,cucumber
item_104,E17,word,食べ物と飲み物,food_drink,クッキー,Kukkii,Cookie,cookie
item_105,E18,word,食べ物と飲み物,food_drink,ケーキ,Keeki,Cake,cake
item_106,E19,word,食べ物と飲み物,food_drink,コーヒー,Koohii,Coffee,coffee
item_107,E20,word,食べ物と飲み物,food_drink,こおり（氷）,Koori,Ice,ice
item_108,E21,word,食べ物と飲み物,food_drink,コーン,Koon,Corn,corn
item_109,E22,word,食べ物と飲み物,food_drink,ごはん（お米のこと）,Gohan,Rice,rice
item_110,E23,word,食べ物と飲み物,food_drink,さかな,Sakana,Fish,fish (food)
item_111,E24,word,食べ物と飲み物,food_drink,サンドイッチ,Sandoicchi,Sandwich,sandwich
item_112,E25,word,食べ物と飲み物,food_drink,ジャム,Jamu,Jam,jam
item_113,E26,word,食べ物と飲み物,food_drink,ジュース,Juusu,Juice,juice
item_114,E27,word,食べ物と飲み物,food_drink,しょうゆ,Shouyu,Soy_sauce,soy sauce
item_115,E28,word,食べ物と飲み物,food_drink,すいか,Suika,Watermelon,watermelon
item_116,E29,word,食べ物と飲み物,food_drink,スープ,Suupu,Soup,soup
item_117,E30,word,食べ物と飲み物,food_drink,スパゲッティー,Supagettii,Spaghetti,spaghetti
item_118,E31,word,食べ物と飲み物,food_drink,ゼリー,Zerii,Jelly,jelly
item_119,E32,word,食べ物と飲み物,food_drink,せんべい,Senbei,Rice_crackers,cracker
item_120,E33,word,食べ物と飲み物,food_drink,大根,Daikon,Radish,radish
item_121,E34,word,食べ物と飲み物,food_drink,たまご,Tamago,Egg,egg
item_122,E35,word,食べ物と飲み物,food_drink,チーズ,Chiizu,Cheese,cheese
item_123,E36,word,食べ物と飲み物,food_drink,チョコレート,Chokoreeto,Chocolate,chocolate
item_124,E37,word,食べ物と飲み物,food_drink,とうふ（豆腐）,Toufu,Tofu,tofu
item_125,E38,word,食べ物と飲み物,food_drink,ﾄﾞｰﾅﾂ,Doonatsu,Donut,donut
item_126,E39,word,食べ物と飲み物,food_drink,トマト,Tomato,Tomato,tomato
item_127,E40,word,食べ物と飲み物,food_drink,なし（梨）,Nashi,Pear,pear
item_128,E41,word,食べ物と飲み物,food_drink,なす,Nasu,Eggplant,eggplant
item_129,E42,word,食べ物と飲み物,food_drink,なっとう（納豆）,Nattou,Natto,
item_130,E43,word,食べ物と飲み物,food_drink,肉,Niku,Meat,meat
item_131,E44,word,食べ物と飲み物,food_drink,にんじん,Ninjin,Carrot,carrot
item_132,E45,word,食べ物と飲み物,food_drink,のり（海苔）,Nori,Seaweed,
item_133,E46,word,食べ物と飲み物,food_drink,バター,Bataa,Butter,butter
item_134,E47,word,食べ物と飲み物,food_drink,バナナ,Banana,Banana,banana
item_135,E48,word,食べ物と飲み物,food_drink,パン,Pan,Bread,bread
item_136,E49,word,食べ物と飲み物,food_drink,ハム,Hamu,Ham,ham
item_137,E50,word,食べ物と飲み物,food_drink,ハンバーグ,Hanbaagu,Hamburger,hamburger
item_138,E51,word,食べ物と飲み物,food_drink,ピーマン,Piiman,Green_pepper,
item_139,E52,word,食べ物と飲み物,food_drink,ぶどう,Budou,Grape,grapes
item_140,E53,word,食べ物と飲み物,food_drink,プリン,Purin,Pudding,pudding
item_141,E54,word,食べ物と飲み物,food_drink,ほうれん草,Hourensou,Spinach,spinach
item_142,E55,word,食べ物と飲み物,food_drink,ポッキー,Pokkii,Pocky,
item_143,E56,word,食べ物と飲み物,food_drink,ホットケーキ,Hottokeeki,Pancake,pancake
item_144,E57,word,食べ物と飲み物,food_drink,ポテト（チップス）,Potetochippusu,Potato_chips,chips
item_145,E58,word,食べ物と飲み物,food_drink,豆,Mame,Bean,beans
item_146,E59,word,食べ物と飲み物,food_drink,みかん,Mikan,Orange,orange (food)
item_147,E60,word,食べ物と飲み物,food_drink,水,Mizu,Water,water (beverage)
item_148,E61,word,食べ物と飲み物,food_drink,みそしる,Misoshiru,Miso_soup,soup
item_149,E62,word,食べ物と飲み物,food_drink,ミルク,Miruku,Milk,milk
item_150,E63,word,食べ物と飲み物,food_drink,メロン,Meron,Melon,melon
item_151,E64,word,食べ物と飲み物,food_drink,もも,Momo,Peach,peach
item_152,E65,word,食べ物と飲み物,food_drink,やさい,Yasai,Vegetable,vegetable
item_153,E66,word,食べ物と飲み物,food_drink,ヨーグルト,Yooguruto,Yogurt,yogurt
item_154,E67,word,食べ物と飲み物,food_drink,ラーメン,Raamen,Ramen,noodles
item_155,E68,word,食べ物と飲み物,food_drink,リンゴ,Ringo,Apple,apple
item_156,F1,word,衣類,clothing,エプロン,Epuron,Apron,apron
item_157,F2,word,衣類,clothing,オーバー,Oobaa,Overcoat,coat
item_158,F3,word,衣類,clothing,おむつ,Omutsu,Diaper,diaper
item_159,F4,word,衣類,clothing,くつ,Kutsu,Shoes,shoe
item_160,F5,word,衣類,clothing,くつ下,Kutsushita,Socks,sock
item_161,F6,word,衣類,clothing,ジーパン,Jiipan,Jeans,jeans
item_162,F7,word,衣類,clothing,シャツ,Syatsu,Shirt,shirt
item_163,F8,word,衣類,clothing,ジャンパー,Janpaa,Jacket,jacket
item_164,F9,word,衣類,clothing,スカート,Sukaato,Skirt,skirt
item_165,F10,word,衣類,clothing,ズック,Zukku,Zuck,sneaker
item_166,F11,word,衣類,clothing,ズボン,Zubon,Pants,pants
item_167,F12,word,衣類,clothing,スリッパ,Surippa,Slippers,slipper
item_168,F13,word,衣類,clothing,セーター,Seetaa,Sweater,sweater
item_169,F14,word,衣類,clothing,ソックス,Sokkusu,Socks,sock
item_170,F15,word,衣類,clothing,タイツ,Taitsu,Tights,tights
item_171,F16,word,衣類,clothing,チャック,Chakku,Zipper,zipper
item_172,F17,word,衣類,clothing,てぶくろ,Tebukuro,Gloves,gloves
item_173,F18,word,衣類,clothing,長ぐつ,Nagagutsu,Boots,boots
item_174,F19,word,衣類,clothing,ネクタイ,Nekutai,Tie,tie (object)
item_175,F20,word,衣類,clothing,ネックレス,Nekkuresu,Necklace,necklace
item_176,F21,word,衣類,clothing,パジャマ,Pajama,Pajama,pajamas
item_177,F22,word,衣類,clothing,パンツ,Pantsu,Shorts,shorts
item_178,F23,word,衣類,clothing,ベルト,Beruto,Belt,belt
item_179,F24,word,衣類,clothing,ぼうし,Boushi,Hat,hat
item_180,F25,word,衣類,clothing,ボタン,Botan,Button,button
item_181,F26,word,衣類,clothing,マフラー,Mafuraa,Scarf,scarf
item_182,F27,word,衣類,clothing,洋服,Youfuku,Clothes,clothes
item_183,F28,word,衣類,clothing,リボン,Ribon,Ribbon,ribbon
item_184,G1,word,体の部分,body_parts,あご,Ago,Chin,chin
item_185,G2,word,体の部分,body_parts,足,Ashi,Leg,leg
item_186,G3,word,体の部分,body_parts,あたま,Atama,Head,head
item_187,G4,word,体の部分,body_parts,おしり,Oshiri,Buttocks,buttocks
item_188,G5,word,体の部分,body_parts,おチンチン,Ochinchin,Penis,penis
item_189,G6,word,体の部分,body_parts,おっぱい,Oppai,Breasts,breast
item_190,G7,word,体の部分,body_parts,おでこ,Odeko,Forehead,forehead
item_191,G8,word,体の部分,body_parts,おなか,Onaka,Stomach,tummy
item_192,G9,word,体の部分,body_parts,おへそ,Oheso,Navel,belly button
item_193,G10,word,体の部分,body_parts,顔,Kao,Face,face
item_194,G11,word,体の部分,body_parts,肩,Kata,Shoulder,shoulder
item_195,G12,word,体の部分,body_parts,かみ（髪）,Kami,Hair,hair
item_196,G13,word,体の部分,body_parts,くち,Kuchi,Mouth,mouth
item_197,G14,word,体の部分,body_parts,くび,Kubi,Neck,neck
item_198,G15,word,体の部分,body_parts,けが,Kega,Injury,
item_199,G16,word,体の部分,body_parts,しっぽ,Shippo,Tail,tail
item_200,G17,word,体の部分,body_parts,背中,Senaka,Back,back
item_201,G18,word,体の部分,body_parts,つめ,Tsume,Nail,nail (finger)
item_202,G19,word,体の部分,body_parts,手,Te,Hand,hand
item_203,G20,word,体の部分,body_parts,歯,Ha,Tooth,tooth
item_204,G21,word,体の部分,body_parts,鼻,Hana,Nose,nose
item_205,G22,word,体の部分,body_parts,舌（べろ）,Shita_bero,Tongue,tongue
item_206,G23,word,体の部分,body_parts,ほっぺ,Hoppe,Cheek,cheek
item_207,G24,word,体の部分,body_parts,まゆ・まゆ毛,Mayu_mayuge,Eyebrow,eyebrow
item_208,G25,word,体の部分,body_parts,耳,Mimi,Ear,ear
item_209,G26,word,体の部分,body_parts,目,Me,Eye,eye
item_210,G27,word,体の部分,body_parts,指,Yubi,Finger,finger
item_211,H1,word,家具と部屋,furniture_rooms,いす,Isu,Chair,chair
item_212,H2,word,家具と部屋,furniture_rooms,エアコン,Eakon,Air_conditioner,air conditioner
item_213,H3,word,家具と部屋,furniture_rooms,おしいれ,Oshiire,Closet,closet
item_214,H4,word,家具と部屋,furniture_rooms,おふろ（風呂場）,Ofuro,Bath,bath
item_215,H5,word,家具と部屋,furniture_rooms,おまる,Omaru,Potty,potty
item_216,H6,word,家具と部屋,furniture_rooms,カーテン,Kaaten,Curtain,curtain
item_217,H7,word,家具と部屋,furniture_rooms,階段,Kaidan,Stairs,stairs
item_218,H8,word,家具と部屋,furniture_rooms,げたばこ（げた箱）,Getabako,Shoes_rack,
item_219,H9,word,家具と部屋,furniture_rooms,玄関,Genkan,Entrance,
item_220,H10,word,家具と部屋,furniture_rooms,こたつ,Kotatsu,Kotatsu,
item_221,H11,word,家具と部屋,furniture_rooms,シャワー,Syawaa,Shower,shower
item_222,H12,word,家具と部屋,furniture_rooms,水道,Suidou,Water_crew,
item_223,H13,word,家具と部屋,furniture_rooms,ストーブ,Sutoobu,Stove,stove
item_224,H14,word,家具と部屋,furniture_rooms,扇風機,Senpuuki,Fan,fan
item_225,H15,word,家具と部屋,furniture_rooms,台所,Daidokoro,Kitchen,kitchen
item_226,H16,word,家具と部屋,furniture_rooms,たたみ,Tatami,Tatami,
item_227,H17,word,家具と部屋,furniture_rooms,タンス,Tansu,Wardrobe,closet
item_228,H18,word,家具と部屋,furniture_rooms,駐車場,Cyuushajou,Parking_Lot,parking lot
item_229,H19,word,家具と部屋,furniture_rooms,机,Tsukue,Desk,table
item_230,H20,word,家具と部屋,furniture_rooms,テーブル,Teeburu,Table,table
item_231,H21,word,家具と部屋,furniture_rooms,テレビ,Terebi,Television,TV
item_232,H22,word,家具と部屋,furniture_rooms,電気,Denki,Light,light
item_233,H23,word,家具と部屋,furniture_rooms,ドア,Doa,Door,door
item_234,H24,word,家具と部屋,furniture_rooms,トイレ,Toire,Toilet,toilet
item_235,H25,word,家具と部屋,furniture_rooms,ドライヤー,Doraiyaa,Hairdryer,hair dryer
item_236,H26,word,家具と部屋,furniture_rooms,ピアノ,Piano,Piano,piano
item_237,H27,word,家具と部屋,furniture_rooms,ひきだし,Hikidashi,Drawer,drawer
item_238,H28,word,家具と部屋,furniture_rooms,ビデオ,Bideo,Video,video
item_239,H29,word,家具と部屋,furniture_rooms,ベッド,Beddo,Bed,bed
item_240,H30,word,家具と部屋,furniture_rooms,部屋,Heya,Room,room
item_241,H31,word,家具と部屋,furniture_rooms,窓,Mado,Window,window
item_242,H32,word,家具と部屋,furniture_rooms,冷蔵庫,Reizouko,Refrigerator,refrigerator
item_243,H33,word,家具と部屋,furniture_rooms,レンジ,Renji,Range,microwave
item_244,I1,word,小さな家庭用品,household,アイロン,Airon,Iron,iron (object)
item_245,I2,word,小さな家庭用品,household,絵,E,Picture,picture
item_246,I3,word,小さな家庭用品,household,お金,Okane,Money,money
item_247,I4,word,小さな家庭用品,household,お皿,Osara,Dish,dish
item_248,I5,word,小さな家庭用品,household,かぎ（鍵）,Kagi,Key,key
item_249,I6,word,小さな家庭用品,household,かご,Kago,Basket,basket
item_250,I7,word,小さな家庭用品,household,かさ（傘）,Kasa,Umbrella,umbrella
item_251,I8,word,小さな家庭用品,household,かばん,Kaban,Bag,bag
item_252,I9,word,小さな家庭用品,household,かみ（紙）,Kami,Paper,paper
item_253,I10,word,小さな家庭用品,household,カメラ,Kamera,Camera,camera
item_254,I11,word,小さな家庭用品,household,缶,Kan,Can,can
item_255,I12,word,小さな家庭用品,household,くぎ,Kugi,Nail,nail (object)
item_256,I13,word,小さな家庭用品,household,くし,Kushi,Comb,comb (object)
item_257,I14,word,小さな家庭用品,household,くすり,Kusuri,Medicine,medicine
item_258,I15,word,小さな家庭用品,household,コップ,Koppu,Cup,cup
item_259,I16,word,小さな家庭用品,household,ごみ箱,Gomibako,Trash_box,trash can
item_260,I17,word,小さな家庭用品,household,財布,Saifu,Wallet,wallet
item_261,I18,word,小さな家庭用品,household,シャンプー,Syanpuu,Shampoo,shampoo
item_262,I19,word,小さな家庭用品,household,ストロー,Sutoroo,Straw,straw
item_263,I20,word,小さな家庭用品,household,スプーン,Supuun,Spoon,spoon
item_264,I21,word,小さな家庭用品,household,石鹸,Sekken,Soap,soap
item_265,I22,word,小さな家庭用品,household,ぞうきん,Zoukin,Rag,rag
item_266,I23,word,小さな家庭用品,household,そうじ機,Soujiki,Vacuum_cleaner,vacuum cleaner
item_267,I24,word,小さな家庭用品,household,タオル,Taoru,Towel,towel
item_268,I25,word,小さな家庭用品,household,茶わん,Chawan,Bowl,bowl
item_269,I26,word,小さな家庭用品,household,ティッシュ,Tissyu,Tissue,tissue
item_270,I27,word,小さな家庭用品,household,テープ,Teepu,Tape,tape
item_271,I28,word,小さな家庭用品,household,電池,Denchi,Battery,battery
item_272,I29,word,小さな家庭用品,household,でんわ（電話）,Denwa,Phone,telephone
item_273,I30,word,小さな家庭用品,household,時計,Tokei,Clock,clock
item_274,I31,word,小さな家庭用品,household,ナイフ,Naifu,Knife,knife
item_275,I32,word,小さな家庭用品,household,なべ,Nabe,Pan,pan
item_276,I33,word,小さな家庭用品,household,バケツ,Baketsu,Bucket,bucket
item_277,I34,word,小さな家庭用品,household,はこ（箱）,Hako,Box,box
item_278,I35,word,小さな家庭用品,household,はさみ,Hasami,Scissors,scissors
item_279,I36,word,小さな家庭用品,household,はし（箸）,Hashi,Chopsticks,chopstick
item_280,I37,word,小さな家庭用品,household,歯ブラシ,Haburashi,Toothbrush,toothbrush
item_281,I38,word,小さな家庭用品,household,ハンカチ,Hankachi,Handkerchief,handkerchief
item_282,I39,word,小さな家庭用品,household,びん,Bin,Bottle,bottle
item_283,I40,word,小さな家庭用品,household,フォーク,Fwooku,Fork,fork
item_284,I41,word,小さな家庭用品,household,ふとん,Futon,Futon,
item_285,I42,word,小さな家庭用品,household,フライパン,Furaipan,Frying_pan,pan
item_286,I43,word,小さな家庭用品,household,ほうき,Houki,Broom,broom
item_287,I44,word,小さな家庭用品,household,包丁,Houchou,Kitchen_knife,knife
item_288,I45,word,小さな家庭用品,household,ポット,Potto,Pot,pot
item_289,I46,word,小さな家庭用品,household,マイク,Maiku,Microphone,microphone
item_290,I47,word,小さな家庭用品,household,枕,Makura,Pillow,pillow
item_291,I48,word,小さな家庭用品,household,めがね,Megane,Glasses,glasses
item_292,I49,word,小さな家庭用品,household,めざまし,Mezamashi,Alarm_clock,clock
item_293,I50,word,小さな家庭用品,household,毛布,Moufu,Blanket,blanket
item_294,J1,word,戸外のもの,outside,雨,Ame,Rain,rain
item_295,J2,word,戸外のもの,outside,石,Ishi,Stone,stone
item_296,J3,word,戸外のもの,outside,岩,Iwa,Rock,stone
item_297,J4,word,戸外のもの,outside,枝,Eda,Branch,branch
item_298,J5,word,戸外のもの,outside,お月さん,Otsukisan,Moon,moon
item_299,J6,word,戸外のもの,outside,お天気,Otenki,Weather,
item_300,J7,word,戸外のもの,outside,おひさま,Ohisama,Sun,sun
item_301,J8,word,戸外のもの,outside,風,Kaze,Wind,wind
item_302,J9,word,戸外のもの,outside,川,Kawa,River,river
item_303,J10,word,戸外のもの,outside,木,Ki,Tree,tree
item_304,J11,word,戸外のもの,outside,草,Kusa,Grass,grass
item_305,J12,word,戸外のもの,outside,雲,Kumo,Cloud,cloud
item_306,J13,word,戸外のもの,outside,スコップ,Sukoppu,Scoop,shovel
item_307,J14,word,戸外のもの,outside,砂場,Sunaba,Sandpit,sandbox
item_308,J15,word,戸外のもの,outside,すべり台,Suberidai,Slide,slide (object)
item_309,J16,word,戸外のもの,outside,空,Sora,Sky,sky
item_310,J17,word,戸外のもの,outside,庭,Niwa,Garden,garden
item_311,J18,word,戸外のもの,outside,はしご,Hashigo,Ladder,ladder
item_312,J19,word,戸外のもの,outside,旗,Hata,Flag,flag
item_313,J20,word,戸外のもの,outside,はっぱ,Happa,Leaf,leaf
item_314,J21,word,戸外のもの,outside,花,Hana,Flower,flower
item_315,J22,word,戸外のもの,outside,プール,Puuru,Pool,pool
item_316,J23,word,戸外のもの,outside,ブランコ,Buranko,Swing,swing (object)
item_317,J24,word,戸外のもの,outside,ベランダ,Beranda,Veranda,
item_318,J25,word,戸外のもの,outside,ホース,Hoosu,Hose,hose
item_319,J26,word,戸外のもの,outside,星,Hoshi,Star,star
item_320,J27,word,戸外のもの,outside,水まき,Mizumaki,Watering,watering can
item_321,J28,word,戸外のもの,outside,道,Michi,Road,road
item_322,J29,word,戸外のもの,outside,屋根,Yane,Roof,roof
item_323,J30,word,戸外のもの,outside,雪,Yuki,Snow,snow
item_324,J31,word,戸外のもの,outside,雪だるま,Yukidaruma,Snowman,snowman
item_325,K1,word,おでかけ,places,いえ（家）,Ie,House,house
item_326,K2,word,おでかけ,places,海,Umi,Sea,sea
item_327,K3,word,おでかけ,places,映画,Eiga,Movies,movie
item_328,K4,word,おでかけ,places,おうち,Ouchi,House,house
item_329,K5,word,おでかけ,places,お仕事,Oshigoto,Job,work (place)
item_330,K6,word,おでかけ,places,おそと,Osoto,Outside,outside
item_331,K7,word,おでかけ,places,お店,Omise,Shop,store
item_332,K8,word,おでかけ,places,会社,Kaisya,Company,
item_333,K9,word,おでかけ,places,ガソリンスタンド,Gasorinsutando,Gas_station,gas station
item_334,K10,word,おでかけ,places,学校,Gakkou,School,school
item_335,K11,word,おでかけ,places,キャンプ,Kyanpu,Camp,camping
item_336,K12,word,おでかけ,places,公園,Kouen,Park,park
item_337,K13,word,おでかけ,places,サーカス,Saakasu,Circus,circus
item_338,K14,word,おでかけ,places,スーパー,Suupaa,Supermarket,market
item_339,K15,word,おでかけ,places,デパート,Depaato,Department_store,store
item_340,K16,word,おでかけ,places,動物園,Doubutsuen,Zoo,zoo
item_341,K17,word,おでかけ,places,ピクニック,Pikunikku,Picnic,picnic
item_342,K18,word,おでかけ,places,保育所,Hoikujyo,Nursery_school,nursery
item_343,K19,word,おでかけ,places,森,Mori,Woods,forest
item_344,K20,word,おでかけ,places,山,Yama,Mountain,mountain
item_345,K21,word,おでかけ,places,幼稚園,Youchien,Kindergarten,kindergarten
item_346,K22,word,おでかけ,places,レストラン,Resutoran,Restaurant,restaurant
item_347,L1,word,人々,people,赤ちゃん,Akachan,Baby,baby
item_348,L2,word,人々,people,運転手,Untensyu,Driver,driver
item_349,L3,word,人々,people,お医者さん,Oishasan,Doctor,doctor
item_350,L4,word,人々,people,王様,Oosama,King,king
item_351,L5,word,人々,people,お母さん,Okaasan,Mother,mommy
item_352,L6,word,人々,people,おじいさん,Ojiisan,Grandfather,grandpa
item_353,L7,word,人々,people,おじさん,Ojisan,Uncle,uncle
item_354,L8,word,人々,people,お相撲さん,Osumousan,Sumo_wrestler,
item_355,L9,word,人々,people,お父さん,Otousan,Father,daddy
item_356,L10,word,人々,people,おともだち,Otomodachi,Friend,friend
item_357,L11,word,人々,people,お兄さん,Oniisan,Older_brother,brother
item_358,L12,word,人々,people,お姉さん,Oneesan,Older_sister,sister
item_359,L13,word,人々,people,おばあさん,Obaasan,Grandmother,grandma
