itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_55,B10,word,動物の名前,animals,かめ,Kame,Turtle,turtle
item_56,B11,word,動物の名前,animals,カラス,Karasu,Crow,crow
item_57,B12,word,動物の名前,animals,きりん,Kirin,Giraffe ,giraffe
item_58,B13,word,動物の名前,animals,くま,Kuma,Bear,bear
item_59,B14,word,動物の名前,animals,コアラ,Koara,Koala,koala
item_60,B15,word,動物の名前,animals,さかな,Sakana,Fish,fish (animal)
item_61,B16,word,動物の名前,animals,さる,Saru,Monkey,monkey
item_62,B17,word,動物の名前,animals,しまうま,Shimauma,Zebra,zebra
item_63,B18,word,動物の名前,animals,ぞう,Zou,Elephant,elephant
item_64,B19,word,動物の名前,animals,チョウチョ,Choucho,Butterfly,butterfly
item_65,B20,word,動物の名前,animals,どうぶつ,Doubutsu,Animal,animal
item_66,B21,word,動物の名前,animals,トラ,Tora,Tiger,tiger
item_67,B22,word,動物の名前,animals,とり,Tori,Bird,bird
item_68,B23,word,動物の名前,animals,にわとり,Niwatori,Chicken,chicken
item_69,B24,word,動物の名前,animals,ねこ,Neko,Cat,cat
item_70,B25,word,動物の名前,animals,ねずみ,Nezumi,Mouse,mouse
item_71,B26,word,動物の名前,animals,はち,Hachi,Bee,bee
item_72,B27,word,動物の名前,animals,はと,Hato,Pigeon,pigeon
item_73,B28,word,動物の名前,animals,パンダ,Panda,Panda,panda
item_74,B29,word,動物の名前,animals,ひよこ,Hiyoko,Chick,chick
item_75,B30,word,動物の名前,animals,ぶた,Buta,Pig,pig
item_76,B31,word,動物の名前,animals,へび,Hebi,Snake,snake
item_77,B32,word,動物の名前,animals,ペンギン,Pengin,Penguin,penguin
item_78,B33,word,動物の名前,animals,虫,Mushi,Insect,bug
item_79,B34,word,動物の名前,animals,ライオン,Raion,Lion,lion
item_80,B35,word,動物の名前,animals,りす,Risu,Squirrel,squirrel
item_81,B36,word,動物の名前,animals,ワニ,Wani,Crocodile,crocodile
item_82,C1,word,乗り物,vehicles,汽車,Kisya,Locomotive,car
item_83,C2,word,乗り物,vehicles,車（自動車）,Kuruma,Car,car
item_84,C3,word,乗り物,vehicles,自転車,Jitensya,Bicycle,bicycle
item_85,C4,word,乗り物,vehicles,電車,Densya,Train,train
item_86,C5,word,乗り物,vehicles,トラック,Torakku,Truck,truck
item_87,C6,word,乗り物,vehicles,バス,Basu,Bus,bus
item_88,C7,word,乗り物,vehicles,パトカー,Patokaa,Police_car,police car
item_89,C8,word,乗り物,vehicles,飛行機,Hikouki,Airplane,airplane
item_90,C9,word,乗り物,vehicles,船,Fune,Ship,ship
item_91,D1,word,おもちゃ,toys,絵本,Ehon,Picture_book,book
item_92,D2,word,おもちゃ,toys,えんぴつ,Enpitsu,Pencil,pencil
item_93,D3,word,おもちゃ,toys,おもちゃ,Omocha,Toy,toy (object)
item_94,D4,word,おもちゃ,toys,つみき,Tsumiki,Building_blocks,blocks
item_95,D5,word,おもちゃ,toys,人形,Ningyoo,Doll,doll
item_96,D6,word,おもちゃ,toys,風船,Fuusen,Balloon,balloon
item_97,D7,word,おもちゃ,toys,ボール,Booru,Ball,ball
item_98,D8,word,おもちゃ,toys,本,Hon,Book,book
item_99,E1,word,食べ物と飲み物,food_drink,アイスクリーム,Aisukuriimu,Ice_cream,ice cream
item_100,E2,word,食べ物と飲み物,food_drink,あめ（飴）,Ame,Candy,candy
item_101,E3,word,食べ物と飲み物,food_drink,いちご（苺）,Ichigo,Strawberry,strawberry
item_102,E4,word,食べ物と飲み物,food_drink,うどん,Udon,Udon,noodles
item_103,E5,word,食べ物と飲み物,food_drink,おにぎり・おむすび,Onigiri_omusubi,Rice_ball,
item_104,E6,word,食べ物と飲み物,food_drink,お茶,Ocha,Tea,tea
item_105,E7,word,食べ物と飲み物,food_drink,カレー,Karee,Curry,
item_106,E8,word,食べ物と飲み物,food_drink,牛乳,Gyuunyuu,Milk,milk
item_107,E9,word,食べ物と飲み物,food_drink,ケーキ,Keeki,Cake,cake
item_108,E10,word,食べ物と飲み物,food_drink,ごはん（お米のこと）,Gohan,Rice,rice
item_109,E11,word,食べ物と飲み物,food_drink,さかな,Sakana,Fish,fish (animal)
item_110,E12,word,食べ物と飲み物,food_drink,ジュース,Juusu,Juice,juice
item_111,E13,word,食べ物と飲み物,food_drink,すいか,Suika,Watermelon,watermelon
item_112,E14,word,食べ物と飲み物,food_drink,たまご,Tamago,Egg,egg
item_113,E15,word,食べ物と飲み物,food_drink,チーズ,Chiizu,Cheese,cheese
item_114,E16,word,食べ物と飲み物,food_drink,とうふ（豆腐）,Toufu,Tofu,tofu
item_115,E17,word,食べ物と飲み物,food_drink,トマト,Tomato,Tomato,tomato
item_116,E18,word,食べ物と飲み物,food_drink,肉,Niku,Meat,meat
item_117,E19,word,食べ物と飲み物,food_drink,にんじん,Ninjin,Carrot,carrot
