word,feature,frequency
cake,is eaten with a fork,1
cake,improve calaries,1
cake,cake can be white,1
cake,Attractive,1
cake,cake can be circle,1
cake,snaks,1
cake,cake,1
cake,anniversary,1
cake,cake cutting,1
cake,is unealthy,1
cake,desired by youth,1
cake,has different shapes,1
cake,cheesecake,1
cake,shared with many people,1
cake,all different sizes,1
cake,maida,1
cake,various flavours,1
cake,messy,1
cake,made by humans,1
cake,may have candles,1
cake,often tiered,1
cake,eaten sliced,1
cake,typically eaten after main meal,1
cake,served for bithdays,1
cake,found in bakeries,1
cake,can be multi-tiered,1
cake,desert,1
cake,rich in cholastrol,1
cake,easy to prepare,1
cake,very delicious,1
doll,toy,14
doll,played with by children,9
doll,it can be made of cloth,9
doll,has hair,8
doll,used by girls,7
doll,plastic,6
doll,collectible,5
doll,immitates humans,5
doll,barbie,4
doll,is small,4
doll,can be played with,4
doll,has large eyes,4
doll,is a non living thing,4
doll,play,4
doll,cute,3
doll,can be filled with stuffing,3
doll,children play with it,3
doll,has legs,3
doll,CAN BE DRESSED UP,2
doll,is pretty,2
doll,babies,2
doll,figure,2
doll,has human features,2
doll,toy house,2
doll,is made of plastic or fabric,2
doll,has ears,2
doll,Their eyes move,2
doll,BABIES PLAY WITH,2
doll,hands,2
doll,it resembles a child,1
doll,it can wear small hats,1
doll,it can be soft,1
doll,it is an heirloom,1
doll,it can be displayed,1
doll,made of china,1
doll,is posable,1
doll,bends,1
doll,has a happy expression,1
doll,is playable,1
doll,talks,1
doll,crys,1
doll,wets diaper,1
doll,kids love them,1
doll,Best companion,1
doll,Decoration,1
doll,is portable,1
doll,is disposable,1
doll,inexpensive,1
doll,used in voodoo,1
doll,come with accessories,1
doll,can be made of paper,1
doll,ancient origins,1
doll,can be flexible,1
doll,often porcellin,1
doll,moveable parts,1
doll,scary,1
doll,chucky,1
doll,GI Joe,1
doll,He Man,1
doll,small model,1
doll,is decorative,1
doll,is entertaining,1
doll,plaything,1
doll,boy,1
doll,tiny shoes,1
doll,sold in stores,1
doll,may make sounds,1
doll,might be stuffed animal,1
doll,best friend,1
doll,all different sizes,1
doll,can be stuffed with filling,1
doll,can be dressed,1
doll,They are usually blond,1
doll,Are usually females,1
doll,Have a light weight,1
doll,non living,1
doll,inedible,1
doll,manufactured,1
doll,inanimate object,1
doll,used as an endearment,1
doll,FUR,1
doll,ELECTRONIC TOY DOLLS,1
doll,BEAUTIFUL,1
doll,GIRL CHILD PLAYS WITH IT,1
doll,GIRL'S PLAY TOY,1
doll,HAS REAL HAIR,1
doll,HAS MOVABLE ARMS,1
doll,BLINKS ITS EYES,1
doll,USED BY COLLECTORS,1
doll,human representation,1
doll,feet,1
doll,sometimes speaks,1
doll,Is a toy.,1
doll,Is a baby.,1
doll,ceramic,1
doll,porocelin,1
doll,one nose,1
doll,one mouth,1
doll,artificial voice,1
doll,use for showcase,1
doll,Object,1
doll,looks like human being,1
doll,not alive,1
doll,used to play games,1
doll,"popular doll name is ""Sally""",1
doll,some boys play with dolls (ex: GI Joe doll),1
elephant,has a trunk,20
elephant,is an animal,19
elephant,has tusks,11
elephant,mammal,9
elephant,has big ears,7
elephant,is grey in color,7
elephant,is large,6
elephant,gray,5
elephant,circus,5
elephant,lives in Asia,5
elephant,Hunted for ivory,5
elephant,herbivores,4
elephant,Live in Africa,4
elephant,IS A MAMMAL,3
elephant,HAS LARGE EARS,3
elephant,LIVES IN AFRICA,3
elephant,endangered,3
elephant,has tough skin,3
elephant,big,3
elephant,has long memories,3
elephant,grey,3
elephant,They are vegetarian,3
elephant,mostly lives in forest,3
elephant,IS VERY LARGE,2
elephant,GRAY IN COLOR,2
elephant,huge,2
elephant,intelligent,2
elephant,has four legs,2
elephant,is an old species,2
elephant,likes water,2
elephant,found in Africa and India,2
elephant,popular in circuses,2
elephant,remember things,2
elephant,pachyderm,2
elephant,It is approximately 3 Meter height and 3000 kg weight,2
elephant,it is very strong,2
elephant,has a snout,2
elephant,often hunted,2
elephant,is gentle,1
elephant,grows to old age,1
elephant,likes fruit,1
elephant,USUALLY IN CIRCUSES,1
elephant,HAS LONG TRUNK,1
elephant,very big creature,1
elephant,used to lift logs,1
elephant,it truimphets,1
elephant,in temple,1
elephant,has trunk for nose,1
elephant,can be ridden,1
elephant,Have a matriarchal society,1
elephant,Are very smart,1
elephant,hunted because of their fangs,1
elephant,Are heavy and tall,1
elephant,lives in the jungle,1
elephant,travel in herds,1
elephant,it is big size,1
elephant,small eyes,1
elephant,used to carry timber,1
elephant,eats large food,1
elephant,africa,1
elephant,parade,1
elephant,leathery hide,1
elephant,It is  large mammals of the family,1
elephant,It is living in forest.,1
elephant,It is very big.,1
elephant,"It's eat vegetable,leave,fruits etc ..., no meat",1
elephant,they are African Elephant and Asian Elephant,1
elephant,"Elephant's skin is generally very tough, at 2.5 cm (1 in) thick on the back and parts of the head",1
elephant,"Historically, elephants were considered formidable instruments of war",1
elephant,"The females spend their entire lives in tight-knit matrilineal family groups,",1
elephant,lives in africa and asia,1
elephant,sentient,1
elephant,has a tail,1
elephant,it is heavy,1
elephant,it is social,1
elephant,it long-lived,1
elephant,it migrates,1
elephant,Makes a trumpet like sound,1
elephant,Is edible,1
elephant,Weighs upwards of 500 lbs,1
elephant,lives in groups,1
elephant,can be trained,1
elephant,has large circular feet,1
elephant,Endangered Species,1
elephant,Love Peanuts,1
elephant,Large Tusks,1
elephant,Giant Ears,1
elephant,used to carry people and goods,1
elephant,dumbo,1
elephant,stampeed,1
elephant,zoo,1
elephant,scared of mice,1
elephant,tourists ride them,1
elephant,has a tunrk,1
elephant,eat grass,1
elephant,it is very friendly,1
elephant,has tasks,1
elephant,African & Indian,1
elephant,Some held capitive,1
elephant,Gentle giants,1
elephant,eats peanuts,1
jacket,warm,14
jacket,clothing,13
jacket,has sleeves,9
jacket,Has pockets,8
jacket,has a zipper,7
jacket,can have a hood,7
jacket,has buttons,6
jacket,leather,5
jacket,waste coat,5
jacket,Protects from rain,4
jacket,Provides warmth,4
jacket,used in cold weather,4
jacket,outerwear,3
jacket,made of fabric,3
jacket,can be fashionable,3
jacket,it cover our body,3
jacket,humans wear it,3
jacket,protects from elements,3
jacket,used when cold,3
jacket,waterproof,3
jacket,Made of many materials,3
jacket,CAN BE LIGHT OR HEAVY,2
jacket,funky dress,2
jacket,outer wear,2
jacket,can be lined,2
jacket,part of a suit,2
jacket,stylish,2
jacket,used by humans,2
jacket,winter,2
jacket,Are expensive,2
jacket,use in winter season,1
jacket,accessories,1
jacket,"made of leather, wool etc",1
jacket,uses in rainy season also,1
jacket,about waist length,1
jacket,non living,1
jacket,manufactured,1
jacket,soft,1
jacket,has fasteners,1
jacket,comes in sizes,1
jacket,suede,1
jacket,bikers,1
jacket,fur,1
jacket,USED IN WINTER,1
jacket,TO KEEP US WARM,1
jacket,REXIN,1
jacket,can have a zipper closure,1
jacket,can have button snaps,1
jacket,Colorful,1
jacket,Zips or buttons up,1
jacket,Many types,1
jacket,Covers arms,1
jacket,Tunic,1
jacket,keeps you dry,1
jacket,can be water repellant,1
jacket,can be thin,1
jacket,take one with you,1
jacket,spring,1
jacket,fall,1
jacket,light,1
jacket,waist length garment,1
jacket,rain jacket,1
jacket,it is made of wool,1
jacket,it has a collar,1
jacket,it is brown,1
jacket,it is protective,1
jacket,it is long,1
jacket,used when chilly outside,1
jacket,usually made of vinyl,1
jacket,sometimes made of cloth/textile,1
jacket,sometimes used in jogging,1
jacket,Worn by men & women,1
jacket,Can be sleeveless,1
jacket,Hung in a wardrobe,1
jacket,Wears out,1
jacket,Look elegant,1
jacket,Used over a shirt,1
jacket,Most used by men,1
jacket,CAN BE WORN,1
jacket,MANY DIFFERENT STYLES,1
jacket,MANY SIZES,1
jacket,USUALLY HAS A ZIPPER,1
jacket,use to protect from sun,1
jacket,protect from bullat,1
jacket,Windproof Layers,1
jacket,Collars and Wrists,1
jacket,Zippers and Wind Flaps,1
jacket,Breathability,1
jacket,is worn over the arms and chest,1
jacket,is sold at retailers,1
jacket,inanimate object,1
jacket,people wear them,1
jacket,Humans wear this,1
jacket,Used for looks,1
jacket,worn in cold climates,1
jacket,covers human torso,1
jacket,can refer to book cover,1
jacket,is a clothing item,1
jacket,is colorful,1
pencil,Has an eraser,19
pencil,used to write,12
pencil,made of wood,12
pencil,can be sharpened,12
pencil,is yellow,11
pencil,has lead,10
pencil,has graphite,10
pencil,needed in school,10
pencil,can be mechanical,6
pencil,has a point,5
pencil,comes in colors,5
pencil,Write with it,5
pencil,is a writing utensil,4
pencil,is a tool,4
pencil,used to draw,4
pencil,has a fine tip,3
pencil,used by school children,3
pencil,children carry this pencil,3
pencil,we write with,3
pencil,used for standardized tests,3
pencil,it is wooden,3
pencil,paper,2
pencil,writing implement,2
pencil,Splinters when broken,2
pencil,is thin,2
pencil,non living thing,2
pencil,becomes dull,2
pencil,plastic,2
pencil,small,2
pencil,breaks easily,2
pencil,long,1
pencil,uses carbon,1
pencil,keep in abox,1
pencil,Wood on the outside,1
pencil,Mechanical sometimes,1
pencil,Easily breakable,1
pencil,is light,1
pencil,easy to mend,1
pencil,everyone use this,1
pencil,artist use more,1
pencil,can be chewed on,1
pencil,can be multicolored,1
pencil,Non reuseable,1
pencil,non living,1
pencil,manufactured,1
pencil,hard essence,1
pencil,software,1
pencil,inanimate object,1
pencil,wooden ones are octagonal,1
pencil,pen,1
pencil,childrens art,1
pencil,story,1
pencil,sharp,1
pencil,breaks in half,1
pencil,thoughts,1
pencil,are used in offices,1
pencil,it is lightweight,1
pencil,it contains tin,1
pencil,it has stamped text,1
pencil,has graphite in the middle,1
pencil,usually has an eraser attached,1
pencil,used for test-taking,1
pencil,is a way to write words,1
pencil,can be mechanical type,1
pencil,yellow #2,1
pencil,dirty hand for lefty,1
pencil,IS USED BY STUDENTS,1
pencil,COMES IN DIFFERENT COLORS,1
pencil,They have a mine inside,1
pencil,You can erase what you wrote,1
pencil,Have an eraser on the top,1
pencil,Are cheap,1
pencil,uses lead or carbonite,1
pencil,has an eraser at the end,1
stick,comes from a tree,14
stick,made of wood,14
stick,long,8
stick,is wooden,8
stick,brown,7
stick,tool,6
stick,thin,5
stick,used to walk,5
stick,a branch,5
stick,can be a weapon,4
stick,can mean to adhere to something,4
stick,can be used to build,3
stick,is hard,3
stick,has bark,3
stick,is pointy,3
stick,used to beat,2
stick,breakable,2
stick,found in forests,2
stick,is organic matter,2
stick,is useful,2
stick,will burn,2
stick,is pointed,2
stick,yard/meter stick,2
stick,it can be carved,2
stick,it has weight,2
stick,is from a tree or bush,2
stick,Is an object,2
stick,is a limb,2
stick,sturdy,2
stick,used for firewood,2
stick,can be used to hit,2
stick,part of a plant,1
stick,wood structure member,1
stick,used by teachers,1
stick,supporting leg,1
stick,fexible,1
stick,long and slender,1
stick,can mean that something is adhesive,1
stick,"""stick with it""",1
stick,"can me to ""put in"" (""stick it in""",1
stick,usually long and cylinder shaped,1
stick,"can refer to the countryside (""I live in the sticks"")",1
stick,it is brownish,1
stick,it is firm,1
stick,it cracks loudly,1
stick,it can be burned for fuel,1
stick,is light,1
stick,is flamable,1
stick,can be broken with a crack,1
stick,can be used as a club,1
stick,Used to reach things,1
stick,Used in construction,1
stick,Used to punish,1
stick,organic,1
stick,plant-like,1
stick,can produce loud noises,1
stick,helpful,1
stick,used to make shelter,1
stick,poke someone's eye out,1
stick,a stem,1
stick,a cane,1
stick,a rod,1
stick,used to play drums,1
stick,timber,1
stick,rough,1
stick,dark brown in color,1
stick,becomes brittle with age,1
stick,dead,1
stick,brittle,1
stick,combustible,1
stick,many uses by humans,1
stick,USED TO HIT A BASEBALL,1
stick,CAN BE LIGHT OR HEAVY,1
stick,CAN BE FOUND IN FORESTS,1
stick,USED TO BUILD THINGS,1
stick,makes a cracking sound,1
stick,It can be short,1
stick,It can be held,1
stick,has bark on it,1
stick,used to roast marshmallows,1
stick,used for hiking,1
stick,used for fetch,1
stick,in the lawn,1
stick,can be made of metal,1
stick,can be used to reach,1
stick,typically strait,1
stick,toy for children,1
stick,weak,1
stick,repairable,1
stick,tacky,1
stick,boring,1
stick,cylindrical,1
stick,may be used as an aid to mobility,1
stick,solid,1
stick,may be used to play fetch with a dog,1
stick,SUPPORT,1
stick,dogs fetch them,1
stick,can splinter,1
stick,is a dog toy,1
stick,is biodegradable,1
stick,part of nature,1
stick,has a rough texture,1
stick,can be used for fire,1
stick,yard,1
stick,ice cream,1
stick,popsickle,1
stick,poke,1
stick,outside,1
stick,hotdog,1
stick,marshmellow,1
stick,kabob,1
table,has four legs,16
table,Made of wood,13
table,used for eating,9
table,furniture,8
table,usually accompanied by chairs,8
table,non living thing,6
table,has legs to support it,5
table,some are folding tables,5
table,can be used for dining,4
table,is wooden,4
table,has a flat surface,4
table,can be made of metal,3
table,dining room,3
table,flat,3
table,multiple versions found in almost every home,3
table,use in school,3
table,kitchen,2
table,used for eating at,2
table,can be various heights,2
table,Used in restaurants,2
table,data base,2
table,has a flat top,2
table,work,2
table,is multipurposed,2
table,sturdy,2
table,used place things on,2
table,used by people,2
table,it is solid,1
table,it has four corners,1
table,it has beveled edges,1
table,it is very old,1
table,it is made of oak,1
table,it is scratched,1
table,it is varnished,1
table,can be solid or folding,1
table,can me made of various materials,1
table,can refer to a surface for gambling,1
table,can be various shapes,1
table,often a place to conduct gatherings,1
table,Most are rounded,1
table,Families use them,1
table,Are used every day,1
table,Good for studying,1
table,Used with tablecloth,1
table,glass,1
table,long,1
table,small,1
table,can be used to hold things off of a floor,1
table,can be used in classrooms,1
table,collection of related data,1
table,office,1
table,sitting,1
table,seating,1
table,sleeping,1
table,cutting vegetable,1
table,use in hospital,1
table,keeping lamp,1
table,used for gathering around,1
table,some tables have a leaf,1
table,people sit there,1
table,has plates,1
table,is for dinner,1
table,is for lunch,1
table,is for breakfast,1
table,inanimate object,1
table,coffee,1
table,side,1
table,end,1
table,picnic,1
table,use for reading,1
table,use for stand,1
table,use for diffrent purposes,1
table,"dining table, study table, centre table etc",1
table,has small and big size,1
table,made of tree,1
table,utilitarian,1
table,drink,1
table,draw,1
table,color,1
table,plastic,1
table,play games,1
table,is decor,1
table,is hard,1
table,used to eat food off of,1
table,Usually food drink related,1
table,Has four legs normally,1
table,A necessity for restuarants,1
table,not edible,1
table,non living,1
table,manufactured,1
table,made of wood or metal`,1
table,usually in a house,1
table,Multipurpose,1
table,list,1
table,board,1
table,chart,1
table,carpenter,1
table,many of the tables are colourful,1
table,its in furniture showrooms,1
table,its have drayars,1
table,its very nice looking,1
table,many models,1
table,many things kept on that,1
table,CAN BE COVERED,1
table,USED FOR DINNERS,1
table,HAS MATCHING CHAIRS,1
table,DIFFERENT STYLES,1
table,used by humans,1
table,made of wood or steel,1
table,CHAIR,1
table,USED TO WRITE,1
table,USED TO SERVE GUEST,1
table,WOODEN PIECE,1
table,FLAT SURFACE,1
table,LIVING ROOM,1
table,used as workspace,1
truck,is a vehicle,12
truck,has wheels,12
truck,hauls things,10
truck,has an engine,8
truck,VEHICLE,6
truck,made of metal,5
truck,used for transportation,5
truck,used to transport people and goods,5
truck,mostly everyone here in Texas has a truck,5
truck,runs on gas,4
truck,has a bed,4
truck,expensive,4
truck,big,3
truck,used for working,3
truck,tires,3
truck,men like to drive,3
truck,is large,3
truck,is very heavy,3
truck,is a machine,2
truck,gas guzzler,2
truck,used to travel,2
truck,hauling,2
truck,different colors,2
truck,different sizes,2
truck,used to carry objects,2
truck,has windows,2
truck,it can carry heavy load,2
truck,usually bigger than a car,2
truck,runs on gasoline,2
truck,is sturdy,2
truck,carries cargo,2
truck,sounds very loud,2
truck,is used for commercial reasons,2
truck,it travels on road,2
truck,it carries things from one place to another place,2
truck,vechicle,2
truck,driven by people,2
truck,it runs on fuel,2
truck,it has two doors,2
truck,4 Tyres,2
truck,requires a driver,2
truck,can pull trailers,2
truck,USED TO CARRY GOODS,1
truck,RUNS ON ROAD,1
truck,IRON BODY,1
truck,VERY LARGE,1
truck,used for pleasure,1
truck,old,1
truck,new,1
truck,used in grapes of wrath,1
truck,farm,1
truck,has a small cabin,1
truck,different models,1
truck,different types,1
truck,manufactured,1
truck,humans operate it,1
truck,has lights,1
truck,has an airbag,1
truck,it is mobile,1
truck,is powefrul,1
truck,it can tow something,1
truck,can be big or small,1
truck,can be heavy duty,1
truck,gas- or diesel-powered,1
truck,driven by adults,1
truck,made of steel,1
truck,may be used for passengers,1
truck,has storage,1
truck,is rugged,1
truck,protects from weather,1
truck,used by humans,1
truck,usually used as a noun,1
truck,"can be used as a verb (""the truck driver trucks corn"")",1
truck,"short for ""pickup truck""",1
truck,semi-truck,1
truck,can have several axles,1
truck,can be closed or open in back,1
truck,used in construction,1
truck,can have a flatbed,1
truck,has more power than a sedan,1
truck,comes in different styles,1
truck,is a skateboard part,1
truck,runs on petrol or disel,1
truck,lorry,1
truck,automobile,1
truck,hauls trash,1
truck,fire,1
truck,dump,1
truck,ice cream,1
truck,extreme horse power,1
truck,it is red,1
truck,it hauls items,1
truck,it has a hood,1
truck,Used to load some luggage,1
truck,Heavy Vehicle,1
truck,Uses Patrol,1
truck,A key to start Engine,1
truck,Used to travel distance,1
truck,Big Body,1
truck,It is beautiful,1
truck,has a motor,1
truck,pick,1
truck,semi,1
truck,often used by businesses,1
truck,require special license,1
truck,often specialized equipment,1
truck,Used in industries,1
truck,Used in long trips,1
truck,Have a big capacity,1
truck,Have a noisy horn,1
truck,moves things around,1
truck,is built,1
truck,is made of metal and plastics,1
truck,pickup,1
truck,motor carriers,1
truck,tow,1
truck,road train,1
truck,forklift,1
truck,tanker,1
truck,is useful,1
truck,small penis,1
truck,guys drive them often,1
truck,popular in Texas,1
