definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
коляска,vehicles,NA,word,produces,NA,item_86,stroller,stroller
кораблик,vehicles,NA,word,produces,NA,item_87,ship,boat
машина,vehicles,NA,word,produces,NA,item_88,car,car
паровоз,vehicles,NA,word,produces,NA,item_89,steam engine,locomotive
поезд,vehicles,NA,word,produces,NA,item_90,train,train
пожарная машина,vehicles,NA,word,produces,NA,item_91,firetruck,firetruck
самолет,vehicles,NA,word,produces,NA,item_92,aeroplane/plane,airplane
санки,vehicles,NA,word,produces,NA,item_93,sled,sled
трактор,vehicles,NA,word,produces,NA,item_94,tractor,tractor
альбом,toys,NA,word,produces,NA,item_95,album,album
ведро,toys,NA,word,produces,NA,item_96,bucket,bucket
грабли,toys,NA,word,produces,NA,item_97,rake,rake (object)
игрушка,toys,NA,word,produces,NA,item_98,toy,toy (object)
карандаш,toys,NA,word,produces,NA,item_99,pencil,pen/pencil
кисточка,toys,NA,word,produces,NA,item_100,brush,brush (object)
клей,toys,NA,word,produces,NA,item_101,glue,glue (object)
книга,toys,NA,word,produces,NA,item_102,book,book
краски,toys,NA,word,produces,NA,item_103,paint,paint (object)
кубики,toys,NA,word,produces,NA,item_104,block,blocks
кукла,toys,NA,word,produces,NA,item_105,doll,doll
лопатка,toys,NA,word,produces,NA,item_106,shovel/scoop,shovel
мозаика/пазл,toys,NA,word,produces,NA,item_107,puzzle,puzzle
мяч,toys,NA,word,produces,NA,item_108,ball,ball
песенка,toys,NA,word,produces,NA,item_109,song,song
пластилин,toys,NA,word,produces,NA,item_110,plasticine/dough,play dough
ручка,toys,NA,word,produces,NA,item_111,pen,pen/pencil
совок,toys,NA,word,produces,NA,item_112,shovel/scoop,spade
сказка,toys,NA,word,produces,NA,item_113,story,story
фломастер,toys,NA,word,produces,NA,item_114,felt pen,marker
формочка,toys,NA,word,produces,NA,item_115,mold,mold
фотографии,toys,NA,word,produces,NA,item_116,photo,picture
шарик,toys,NA,word,produces,NA,item_117,bead,balloon
юла,toys,NA,word,produces,NA,item_118,spin top,top
апельсин,food_drink,NA,word,produces,NA,item_119,orange,orange (food)
арбуз,food_drink,NA,word,produces,NA,item_120,watermelon,watermelon
банан,food_drink,NA,word,produces,NA,item_121,banana,banana
блины,food_drink,NA,word,produces,NA,item_122,pancake,pancake
булка,food_drink,NA,word,produces,NA,item_123,loaf (baguette),bun
варенье,food_drink,NA,word,produces,NA,item_124,jam,jam
виноград,food_drink,NA,word,produces,NA,item_125,grapes,grapes
витамины,food_drink,NA,word,produces,NA,item_126,vitamins,vitamin
вода,food_drink,NA,word,produces,NA,item_127,water,water (beverage)
груша,food_drink,NA,word,produces,NA,item_128,pear,pear
горох,food_drink,NA,word,produces,NA,item_129,peas,peas
грибы,food_drink,NA,word,produces,NA,item_130,mushrooms,mushroom
еда,food_drink,NA,word,produces,NA,item_131,food,food
изюм,food_drink,NA,word,produces,NA,item_132,raisin,raisin
йогурт,food_drink,NA,word,produces,NA,item_133,yogurt,yogurt
капуста,food_drink,NA,word,produces,NA,item_134,cabbage,cabbage
картошка,food_drink,NA,word,produces,NA,item_135,potato,potato
каша,food_drink,NA,word,produces,NA,item_136,porridge,cereal
кефир,food_drink,NA,word,produces,NA,item_137,yogurt drink,yogurt drink
киви,food_drink,NA,word,produces,NA,item_138,kiwi,kiwi
колбаса,food_drink,NA,word,produces,NA,item_139,sausage,sausage
компот,food_drink,NA,word,produces,NA,item_140,compote,compote
конфета,food_drink,NA,word,produces,NA,item_141,sweet,candy
котлета,food_drink,NA,word,produces,NA,item_142,cutlet,cutlet
кофе,food_drink,NA,word,produces,NA,item_143,coffee,coffee
кукуруза,food_drink,NA,word,produces,NA,item_144,corn,corn
курица (food),food_drink,NA,word,produces,NA,item_145,chicken,chicken (food)
лук,food_drink,NA,word,produces,NA,item_146,onion,onion
макароны,food_drink,NA,word,produces,NA,item_147,spaghetti/noodle (pasta),pasta
малина,food_drink,NA,word,produces,NA,item_148,raspberry,raspberry
мандарин,food_drink,NA,word,produces,NA,item_149,tangerine,tangerine
масло,food_drink,NA,word,produces,NA,item_150,butter,butter
мед,food_drink,NA,word,produces,NA,item_151,honey,honey
молоко,food_drink,NA,word,produces,NA,item_152,milk,milk
морковка,food_drink,NA,word,produces,NA,item_153,carrot,carrot
мороженое,food_drink,NA,word,produces,NA,item_154,ice cream,ice cream
мясо,food_drink,NA,word,produces,NA,item_155,meat,meat
огурец,food_drink,NA,word,produces,NA,item_156,cucumber,cucumber
оладьи,food_drink,NA,word,produces,NA,item_157,thick pancake,pancake
печенье,food_drink,NA,word,produces,NA,item_158,cookie,cookie
пирог,food_drink,NA,word,produces,NA,item_159,pie,cake
помидор,food_drink,NA,word,produces,NA,item_160,tomato,tomato
пряник,food_drink,NA,word,produces,NA,item_161,spice-cake,cookie
рис,food_drink,NA,word,produces,NA,item_162,rice,rice
рыба,food_drink,NA,word,produces,NA,item_163,fish,fish (food)
сахар,food_drink,NA,word,produces,NA,item_164,sugar,sugar
свекла,food_drink,NA,word,produces,NA,item_165,beet,beet
слива,food_drink,NA,word,produces,NA,item_166,plum,plum
сметана,food_drink,NA,word,produces,NA,item_167,sour cream,sour cream
сок,food_drink,NA,word,produces,NA,item_168,juice,juice
соль,food_drink,NA,word,produces,NA,item_169,salt,salt
сосиска,food_drink,NA,word,produces,NA,item_170,sausage,hot dog
суп,food_drink,NA,word,produces,NA,item_171,soup,soup
сыр,food_drink,NA,word,produces,NA,item_172,cheese,cheese
творог,food_drink,NA,word,produces,NA,item_173,cottage cheese,cottage cheese
торт,food_drink,NA,word,produces,NA,item_174,cake,cake
тыква,food_drink,NA,word,produces,NA,item_175,pumpkin,pumpkin
фасоль,food_drink,NA,word,produces,NA,item_176,beans,beans
фрукт,food_drink,NA,word,produces,NA,item_177,fruit,fruit
хлеб,food_drink,NA,word,produces,NA,item_178,bread,bread
чай,food_drink,NA,word,produces,NA,item_179,tea,tea
черника,food_drink,NA,word,produces,NA,item_180,blueberry,blueberry
чипсы,food_drink,NA,word,produces,NA,item_181,crisps,chips
чупа-чупс,food_drink,NA,word,produces,NA,item_182,chupa-chups (lollipop),lollipop
шоколад,food_drink,NA,word,produces,NA,item_183,chocolate,chocolate
яблоко,food_drink,NA,word,produces,NA,item_184,apple,apple
ягода,food_drink,NA,word,produces,NA,item_185,berry,berry
яйцо,food_drink,NA,word,produces,NA,item_186,egg,egg
босоножки,clothing,NA,word,produces,NA,item_187,open-toe sandals,sandal
ботинки,clothing,NA,word,produces,NA,item_188,boots,boots
брюки,clothing,NA,word,produces,NA,item_189,pants,pants
бусы,clothing,NA,word,produces,NA,item_190,beads,beads
валенки,clothing,NA,word,produces,NA,item_191,felt boot,boots
варежки/рукавицы,clothing,NA,word,produces,NA,item_192,mittens,mitten
колготки,clothing,NA,word,produces,NA,item_193,tights,tights
комбинезон,clothing,NA,word,produces,NA,item_194,bib/snowsuit,snowsuit
кофта,clothing,NA,word,produces,NA,item_195,jacket,sweater
кроссовки,clothing,NA,word,produces,NA,item_196,sneakers,shoe
куртка,clothing,NA,word,produces,NA,item_197,coat,coat
майка,clothing,NA,word,produces,NA,item_198,undershirt,shirt
носки,clothing,NA,word,produces,NA,item_199,socks,sock
обувь,clothing,NA,word,produces,NA,item_200,footwear,shoe
одежда,clothing,NA,word,produces,NA,item_201,clothes,clothes
пальто,clothing,NA,word,produces,NA,item_202,coat,coat
перчатки,clothing,NA,word,produces,NA,item_203,gloves,glove
пижама,clothing,NA,word,produces,NA,item_204,pyjamas,pajamas
платье,clothing,NA,word,produces,NA,item_205,dress,dress (object)
пуговица,clothing,NA,word,produces,NA,item_206,button,button
рубашка,clothing,NA,word,produces,NA,item_207,shirt,shirt
сапоги,clothing,NA,word,produces,NA,item_208,boots,boots
свитер,clothing,NA,word,produces,NA,item_209,sweater,sweater
тапки,clothing,NA,word,produces,NA,item_210,slippers,slipper
трусы,clothing,NA,word,produces,NA,item_211,underpants,underpants
туфли,clothing,NA,word,produces,NA,item_212,shoes,shoe
шапка,clothing,NA,word,produces,NA,item_213,hat,hat
шарф,clothing,NA,word,produces,NA,item_214,scarf,scarf
шорты,clothing,NA,word,produces,NA,item_215,shorts,shorts
штаны,clothing,NA,word,produces,NA,item_216,pants,pants
брови,body_parts,NA,word,produces,NA,item_217,brows,eyebrow
волосы,body_parts,NA,word,produces,NA,item_218,hair,hair
глазки,body_parts,NA,word,produces,NA,item_219,eyes,eye
голова,body_parts,NA,word,produces,NA,item_220,head,head
губы,body_parts,NA,word,produces,NA,item_221,lips,lip
живот,body_parts,NA,word,produces,NA,item_222,tummy,tummy
зубы,body_parts,NA,word,produces,NA,item_223,teeth,tooth
колено,body_parts,NA,word,produces,NA,item_224,knee,knee
ладонь,body_parts,NA,word,produces,NA,item_225,palm,palm
лицо,body_parts,NA,word,produces,NA,item_226,face,face
лоб,body_parts,NA,word,produces,NA,item_227,forehead,forehead
нога,body_parts,NA,word,produces,NA,item_228,leg/foot,leg
ногти,body_parts,NA,word,produces,NA,item_229,nails,nail (body part)
нос,body_parts,NA,word,produces,NA,item_230,nose,nose
палец,body_parts,NA,word,produces,NA,item_231,finger/toe,finger
плечи,body_parts,NA,word,produces,NA,item_232,shoulders,shoulder
пупок,body_parts,NA,word,produces,NA,item_233,belly button,belly button
ресницы,body_parts,NA,word,produces,NA,item_234,eyelashes,eyelash
рот,body_parts,NA,word,produces,NA,item_235,mouth,mouth
рука,body_parts,NA,word,produces,NA,item_236,arm/hand,arm
спина,body_parts,NA,word,produces,NA,item_237,back,back (body part)
ушки,body_parts,NA,word,produces,NA,item_238,ears,ear
шея,body_parts,NA,word,produces,NA,item_239,neck,neck
щека,body_parts,NA,word,produces,NA,item_240,cheek,cheek
язык,body_parts,NA,word,produces,NA,item_241,tongue,tongue
банка,household,NA,word,produces,NA,item_242,jar,jar
бумага,household,NA,word,produces,NA,item_243,paper,paper
бутылочка,household,NA,word,produces,NA,item_244,bottle,bottle
веник,household,NA,word,produces,NA,item_245,broom,broom
вилка,household,NA,word,produces,NA,item_246,fork,fork
гвоздь,household,NA,word,produces,NA,item_247,nail,nail (object)
горшок,household,NA,word,produces,NA,item_248,potty,potty
деньги,household,NA,word,produces,NA,item_249,money,money
картинка,household,NA,word,produces,NA,item_250,picture,picture
кастрюля,household,NA,word,produces,NA,item_251,saucepan,pot
ключи,household,NA,word,produces,NA,item_252,keys,key
коляска,household,NA,word,produces,NA,item_253,pram,stroller
компьютер,household,NA,word,produces,NA,item_254,computer,computer
корзина,household,NA,word,produces,NA,item_255,basket,basket
коробка,household,NA,word,produces,NA,item_256,box,box
кошелек,household,NA,word,produces,NA,item_257,purse,wallet
кружка,household,NA,word,produces,NA,item_258,mug,cup
лампа,household,NA,word,produces,NA,item_259,lamp,lamp
лекарство,household,NA,word,produces,NA,item_260,medicine,medicine
ложка,household,NA,word,produces,NA,item_261,spoon,spoon
магнитофон,household,NA,word,produces,NA,item_262,tape recorder,voice recorder
молоток,household,NA,word,produces,NA,item_263,hammer,hammer
монетка,household,NA,word,produces,NA,item_264,coin,penny
мусор,household,NA,word,produces,NA,item_265,garbage/trash,trash
мыло,household,NA,word,produces,NA,item_266,soap,soap
нож,household,NA,word,produces,NA,item_267,knife,knife
ножницы,household,NA,word,produces,NA,item_268,scissors,scissors
одеяло,household,NA,word,produces,NA,item_269,blanket/quilt,blanket
платок,household,NA,word,produces,NA,item_270,handkerchief,tissue
плита,household,NA,word,produces,NA,item_271,stove,stove
подушка,household,NA,word,produces,NA,item_272,pillow,pillow
полотенце,household,NA,word,produces,NA,item_273,towel,towel
посуда,household,NA,word,produces,NA,item_274,crockery,dish
пылесос,household,NA,word,produces,NA,item_275,vacuum,vacuum
радио,household,NA,word,produces,NA,item_276,radio,radio
расческа,household,NA,word,produces,NA,item_277,comb,comb (object)
свет,household,NA,word,produces,NA,item_278,light,light (object)
совок (для мусора),household,NA,word,produces,NA,item_279,dustpan,dustpan
соска,household,NA,word,produces,NA,item_280,pacifier/dummy,pacifier
стакан,household,NA,word,produces,NA,item_281,glass,glass
стиральная машина,household,NA,word,produces,NA,item_282,washing mashine,washing machine
сумка,household,NA,word,produces,NA,item_283,bag,purse
таблетка,household,NA,word,produces,NA,item_284,tablet/pill,pill
таз,household,NA,word,produces,NA,item_285,bowl,sink
тарелка,household,NA,word,produces,NA,item_286,plate,plate
телевизор,household,NA,word,produces,NA,item_287,TV,TV
телефон,household,NA,word,produces,NA,item_288,telephone,telephone
тряпка,household,NA,word,produces,NA,item_289,cloth,rag
утюг,household,NA,word,produces,NA,item_290,iron,iron (object)
фотоаппарат,household,NA,word,produces,NA,item_291,camera,camera
холодильник,household,NA,word,produces,NA,item_292,refrigerator,refrigerator
чайник,household,NA,word,produces,NA,item_293,teapot/kettle,teapot
часы,household,NA,word,produces,NA,item_294,watch/clock,watch (object)
чашка,household,NA,word,produces,NA,item_295,cup,cup
шампунь,household,NA,word,produces,NA,item_296,shampoo,shampoo
швабра,household,NA,word,produces,NA,item_297,mop,mop (object)
балкон,furniture_rooms,NA,word,produces,NA,item_298,balcony,balcony
ванна,furniture_rooms,NA,word,produces,NA,item_299,bathtub,bathtub
дверь,furniture_rooms,NA,word,produces,NA,item_300,door,door
диван,furniture_rooms,NA,word,produces,NA,item_301,sofa,couch
душ,furniture_rooms,NA,word,produces,NA,item_302,shower,shower
зеркало,furniture_rooms,NA,word,produces,NA,item_303,mirror,mirror
ковер,furniture_rooms,NA,word,produces,NA,item_304,carpet,carpet
комната,furniture_rooms,NA,word,produces,NA,item_305,room,room
коридор,furniture_rooms,NA,word,produces,NA,item_306,corridor,corridor
кран,furniture_rooms,NA,word,produces,NA,item_307,fauset/tap,faucet
кресло,furniture_rooms,NA,word,produces,NA,item_308,arm-chair,armchair
кровать,furniture_rooms,NA,word,produces,NA,item_309,bed,bed
кухня,furniture_rooms,NA,word,produces,NA,item_310,kitchen,kitchen
лестница,furniture_rooms,NA,word,produces,NA,item_311,stairs,ladder
лифт,furniture_rooms,NA,word,produces,NA,item_312,elevator,elevator
манеж,furniture_rooms,NA,word,produces,NA,item_313,playpen,play pen
мебель,furniture_rooms,NA,word,produces,NA,item_314,furniture,furniture
окно,furniture_rooms,NA,word,produces,NA,item_315,window,window
печка,furniture_rooms,NA,word,produces,NA,item_316,stone oven/fireplace,oven
пол,furniture_rooms,NA,word,produces,NA,item_317,floor,floor
стол,furniture_rooms,NA,word,produces,NA,item_318,table,table
стул,furniture_rooms,NA,word,produces,NA,item_319,chair,chair
ступеньки,furniture_rooms,NA,word,produces,NA,item_320,stairs,stairs
туалет,furniture_rooms,NA,word,produces,NA,item_321,bathroom,bathroom
шкаф,furniture_rooms,NA,word,produces,NA,item_322,wardrobe/closet,closet
береза,outside,NA,word,produces,NA,item_323,birch,birch
ветер,outside,NA,word,produces,NA,item_324,wind,wind
грязь,outside,NA,word,produces,NA,item_325,mud/dirt,mud
дерево,outside,NA,word,produces,NA,item_326,tree,tree
дождь,outside,NA,word,produces,NA,item_327,rain,rain
дорога,outside,NA,word,produces,NA,item_328,road,road
дрова,outside,NA,word,produces,NA,item_329,firewood,firewood
елка,outside,NA,word,produces,NA,item_330,fir,fir
звезда,outside,NA,word,produces,NA,item_331,star,star
камень,outside,NA,word,produces,NA,item_332,stone,rock (object)
колодец,outside,NA,word,produces,NA,item_333,well,well (object)
куст,outside,NA,word,produces,NA,item_334,bush,bush
лед,outside,NA,word,produces,NA,item_335,ice,ice
лужа,outside,NA,word,produces,NA,item_336,pool,puddle
луна,outside,NA,word,produces,NA,item_337,moon,moon
мороз,outside,NA,word,produces,NA,item_338,frost,frost
небо,outside,NA,word,produces,NA,item_339,sky,sky
палка,outside,NA,word,produces,NA,item_340,stick,stick
парник,outside,NA,word,produces,NA,item_341,greenhouse,greenhouse
песок,outside,NA,word,produces,NA,item_342,sand,sand
скамейка,outside,NA,word,produces,NA,item_343,bench,bench
снег,outside,NA,word,produces,NA,item_344,snow,snow
снеговик,outside,NA,word,produces,NA,item_345,snowman,snowman
солнце,outside,NA,word,produces,NA,item_346,sun,sun
сосна,outside,NA,word,produces,NA,item_347,pine,pine
сосулька,outside,NA,word,produces,NA,item_348,icicle,icicle
трава,outside,NA,word,produces,NA,item_349,grass,grass
цветы,outside,NA,word,produces,NA,item_350,flowers,flower
облако,outside,NA,word,produces,NA,item_351,cloud,cloud
баня,places,NA,word,produces,NA,item_352,banya,bathhouse
бассейн,places,NA,word,produces,NA,item_353,pool,pool
гараж,places,NA,word,produces,NA,item_354,garage,garage
горка,places,NA,word,produces,NA,item_355,slide,slide (object)
город,places,NA,word,produces,NA,item_356,city,city
гости,places,NA,word,produces,NA,item_357,on a visit,outing
группа,places,NA,word,produces,NA,item_358,playgroup,nursery
дача,places,NA,word,produces,NA,item_359,country house,cabin
двор,places,NA,word,produces,NA,item_360,yard,yard
детский сад,places,NA,word,produces,NA,item_361,kindergarten,kindergarten
дом,places,NA,word,produces,NA,item_362,house,house
зоопарк,places,NA,word,produces,NA,item_363,zoo,zoo
качели,places,NA,word,produces,NA,item_364,swing,swing (object)
лес,places,NA,word,produces,NA,item_365,woods,forest
магазин,places,NA,word,produces,NA,item_366,shop,store
озеро,places,NA,word,produces,NA,item_367,lake,lake
парк,places,NA,word,produces,NA,item_368,park,park
песочница,places,NA,word,produces,NA,item_369,sandbox,sandbox
площадка (детская),places,NA,word,produces,NA,item_370,playground,playground
работа,places,NA,word,produces,NA,item_371,job,work (place)
река,places,NA,word,produces,NA,item_372,river,river
сад/садик,places,NA,word,produces,NA,item_373,garden,garden
улица,places,NA,word,produces,NA,item_374,street,street
церковь,places,NA,word,produces,NA,item_375,church,church
мама,people,NA,word,produces,NA,item_376,mommy,mommy
папа,people,NA,word,produces,NA,item_377,daddy,daddy
бабушка,people,NA,word,produces,NA,item_378,grandma,grandma
дедушка,people,NA,word,produces,NA,item_379,grandpa,grandpa
брат,people,NA,word,produces,NA,item_380,brother,brother
сестра,people,NA,word,produces,NA,item_381,sister,sister
дочка,people,NA,word,produces,NA,item_382,daughter,daughter
сын,people,NA,word,produces,NA,item_383,son,son
воспитательница,people,NA,word,produces,NA,item_384,teacher,teacher
няня,people,NA,word,produces,NA,item_385,nurse/babysitter,babysitter
девочка,people,NA,word,produces,NA,item_386,girl,girl
мальчик,people,NA,word,produces,NA,item_387,boy,boy
малыш,people,NA,word,produces,NA,item_388,baby,baby
ребенок,people,NA,word,produces,NA,item_389,child,child
дети,people,NA,word,produces,NA,item_390,children,child
гость,people,NA,word,produces,NA,item_391,visitor,guest
друг,people,NA,word,produces,NA,item_392,friend,friend
подруга,people,NA,word,produces,NA,item_393,(female) friend,friend
дядя,people,NA,word,produces,NA,item_394,uncle,uncle
тетя,people,NA,word,produces,NA,item_395,aunt,aunt
доктор/врач,people,NA,word,produces,NA,item_396,doctor,doctor
клоун,people,NA,word,produces,NA,item_397,clown,clown
имя ребенка,people,NA,word,produces,NA,item_398,child´s own name,child's own name
имя мамы,people,NA,word,produces,NA,item_399,mother´s name,mother's name
имя папы,people,NA,word,produces,NA,item_400,father´s name,father's name
имя брата,people,NA,word,produces,NA,item_401,brother´s name,brother
имя сестры,people,NA,word,produces,NA,item_402,sister´s name,sister
имя воспитательницы/няни,people,NA,word,produces,NA,item_403,nurse`s/babysitter`s/teacher`s name,babysitter's name
имена знакомых детей,people,NA,word,produces,NA,item_404,names of friends,friends' names
клички домаш-них животных,people,NA,word,produces,NA,item_405,pets´ names,pet's name
люди,people,NA,word,produces,NA,item_406,people,people
человек,people,NA,word,produces,NA,item_407,man,person
пока,games_routines,NA,word,produces,NA,item_408,bye,bye
до свидания,games_routines,NA,word,produces,NA,item_409,good-bye,bye
доброе утро,games_routines,NA,word,produces,NA,item_410,good morning,good morning
здравствуй/те,games_routines,NA,word,produces,NA,item_411,How do you do,hello
привет,games_routines,NA,word,produces,NA,item_412,hi/hallo,hi
спокойной ночи,games_routines,NA,word,produces,NA,item_413,Good night/night- night,good night
cпасибо,games_routines,NA,word,produces,NA,item_414,thank you,thank you
пожалуйста,games_routines,NA,word,produces,NA,item_415,please,please
нельзя,games_routines,NA,word,produces,NA,item_416,no/don´t,don't
можно,games_routines,NA,word,produces,NA,item_417,can/let me,can (auxiliary)
не буду,games_routines,NA,word,produces,NA,item_418,don´t,no
не хочу,games_routines,NA,word,produces,NA,item_419,don´t,no
да,games_routines,NA,word,produces,NA,item_420,yes,yes
нет (routine),games_routines,NA,word,produces,NA,item_421,no,no
давай (напр. давай пойдем),games_routines,NA,word,produces,NA,item_422,Let`s,let's
пусть/пускай,games_routines,NA,word,produces,NA,item_423,let,let
завтрак,games_routines,NA,word,produces,NA,item_424,breakfast,breakfast
обед,games_routines,NA,word,produces,NA,item_425,lunch,lunch
полдник,games_routines,NA,word,produces,NA,item_426,afternoon snack,lunch
ужин,games_routines,NA,word,produces,NA,item_427,dinner,dinner
кто там?,games_routines,NA,word,produces,NA,item_428,who´s there?,who's there
бегать/бежать,action_words,NA,word,produces,NA,item_429,run,run
бояться,action_words,NA,word,produces,NA,item_430,afraid of,be scared
брать,action_words,NA,word,produces,NA,item_431,take,take
бросать,action_words,NA,word,produces,NA,item_432,throw,throw
варить,action_words,NA,word,produces,NA,item_433,boil,cook
взять,action_words,NA,word,produces,NA,item_434,take,take
видеть,action_words,NA,word,produces,NA,item_435,see,see
включить,action_words,NA,word,produces,NA,item_436,turn on,turn on
вставать,action_words,NA,word,produces,NA,item_437,get up,wake
вытирать,action_words,NA,word,produces,NA,item_438,wipe,wipe
говорить,action_words,NA,word,produces,NA,item_439,talk,talk
гулять,action_words,NA,word,produces,NA,item_440,go for a walk,walk
дать,action_words,NA,word,produces,NA,item_441,give,give
делать,action_words,NA,word,produces,NA,item_442,make,make
достать,action_words,NA,word,produces,NA,item_443,reach/touch,take out
дуть,action_words,NA,word,produces,NA,item_444,blow,blow
есть,action_words,NA,word,produces,NA,item_445,eat,eat
ездить/ехать,action_words,NA,word,produces,NA,item_446,drive,drive
ждать,action_words,NA,word,produces,NA,item_447,wait,wait
закрыть,action_words,NA,word,produces,NA,item_448,close,close
залезть,action_words,NA,word,produces,NA,item_449,climb,climb
