itemID,item,gloss,uni_lemma,definition,category,type,choices
item_147,bufanda,scarf,scarf,bufanda,,word,produces
item_148,buzo,sweatshirt,,buzo,,word,produces
item_149,calzoncillo,underpants,,calzoncillo,,word,produces
item_150,camisa,shirt,shirt,camisa,,word,produces
item_151,campera,jacket,,campera,,word,produces
item_152,cartera,bag,,cartera,,word,produces
item_153,cierre,zip,,cierre,,word,produces
item_154,collar,necklace,necklace,collar,,word,produces
item_155,gorra_gorro,cap,hat,gorra_gorro,,word,produces
item_156,guantes,gloves,glove,guantes,,word,produces
item_157,hebilla_pelo_gomita,"bubkle, barrette",,hebilla_pelo_gomita,,word,produces
item_158,malla,swimwear,,malla,,word,produces
item_159,medias,"tights, socks",tights,medias,,word,produces
item_160,mochila,bagpack,,mochila,,word,produces
item_161,ojotas,flip flops,,ojotas,,word,produces
item_162,pantalones,pants,pants,pantalones,,word,produces
item_163,pañales,diaper,diaper,pañales,,word,produces
item_164,pijama,pajamas,pajamas,pijama,,word,produces
item_165,pollera,skirt,,pollera,,word,produces
item_166,pullover,sweter,,pullover,,word,produces
item_167,remera,t-shirt,,remera,,word,produces
item_168,ropa,clothes,clothing,ropa,,word,produces
item_169,saco,coat,,saco,,word,produces
item_170,shorts,shorts,shorts,shorts,,word,produces
item_171,sombrero,hat,hat,sombrero,,word,produces
item_172,vestido,dress,dress (object),vestido,,word,produces
item_173,zapatilla,slippers,,zapatilla,,word,produces
item_174,zapato,shoe,shoe,zapato,,word,produces
item_175,barba,beard,beard,barba,,word,produces
item_176,bigote,moustache,mustache,bigote,,word,produces
item_177,boca,mouth,mouth,boca,,word,produces
item_178,brazo,arm,arm,brazo,,word,produces
item_179,cabeza,head,head,cabeza,,word,produces
item_180,cachete,cheek,cheek,cachete,,word,produces
item_181,cara,face,face,cara,,word,produces
item_182,cola_culo,ass,,cola_culo,,word,produces
item_183,dedo,finger,finger,dedo,,word,produces
item_184,dientes,teeth,tooth,dientes,,word,produces
item_185,garganta_cuello,"throat, neck",,garganta_cuello,,word,produces
item_186,hombro,shoulder,shoulder,hombro,,word,produces
item_187,labios,lips,lips,labios,,word,produces
item_188,lengua,tongue,tongue,lengua,,word,produces
item_189,mano,hand,hand,mano,,word,produces
item_190,nariz,nose,nose,nariz,,word,produces
item_191,ojos,eyes,eye,ojos,,word,produces
item_192,ombligo_pupo,belly button,belly button,ombligo_pupo,,word,produces
item_193,oreja,ear,ear,oreja,,word,produces
item_194,panza,belly,tummy,panza,,word,produces
item_195,pecho_teta,breast,breast,pecho_teta,,word,produces
item_196,pelo,hair,hair,pelo,,word,produces
item_197,pene_pito,penis,penis,pene_pito,,word,produces
item_198,piernas_patas,leg,leg,piernas_patas,,word,produces
item_199,pies.pata,foot,foot,pies.pata,,word,produces
item_200,rodilla,knee,knee,rodilla,,word,produces
item_201,uñas,nails,,uñas,,word,produces
item_202,vagina,vagina,vagina,vagina,,word,produces
item_203,birome_lapicera,pen,,birome_lapicera,,word,produces
item_204,bolitas,marbles,,bolitas,,word,produces
item_205,burbujas,bubbles,bubbles,burbujas,,word,produces
item_206,crayones,crayons,crayon,crayones,,word,produces
item_207,cubos,cubes,,cubos,,word,produces
item_208,Fibras,markers,,Fibras,,word,produces
item_209,Globo,balloon,balloon,Globo,,word,produces
item_210,Hoja_papel,paper,paper,Hoja_papel,,word,produces
item_211,Juguete_chiche,toy (object),toy (object),Juguete_chiche,,word,produces
item_212,lapiz,pencil,pen/pencil,lapiz,,word,produces
item_213,Libro_cuento,book,book,Libro_cuento,,word,produces
item_214,muñeca,doll,doll,muñeca,,word,produces
item_215,osito,teddy bear,teddybear,osito,,word,produces
item_216,patines,roller skates,roller skates,patines,,word,produces
item_217,película,movie,,película,,word,produces
item_218,pelota,ball,ball,pelota,,word,produces
item_219,peluche,"soft toys, plushy toys",,peluche,,word,produces
item_220,pinturitas,painting,painting,pinturitas,,word,produces
item_221,plastilina,clay,clay,plastilina,,word,produces
item_222,tambor,drum,drum,tambor,,word,produces
item_223,alfombra,rug,,alfombra,,word,produces
item_224,almohada,pillow,pillow,almohada,,word,produces
item_225,balde,bucket,,balde,,word,produces
item_226,basura,garbage can,trash,basura,,word,produces
item_227,bolsa_bolsita,bag,bag,bolsa_bolsita,,word,produces
item_228,botella,bottle,bottle,botella,,word,produces
item_229,caja,box,box,caja,,word,produces
item_230,camara,camera,camera,camara,,word,produces
item_231,canasta,basket,basket,canasta,,word,produces
item_232,celular_Celu,mobile phone,,celular_Celu,,word,produces
item_233,cepillo,brush,brush (object),cepillo,,word,produces
item_234,cepillo_de_dientes,toothbrush,toothbrush,cepillo_de_dientes,,word,produces
item_235,shampu,shampoo,shampoo,shampu,,word,produces
item_236,chupete,pacifier,pacifier,chupete,,word,produces
item_237,cigarrillos_puchos,cigarettes,,cigarrillos_puchos,,word,produces
item_238,clavo,nail,nail (object),clavo,,word,produces
item_239,cuadro,picture,picture,cuadro,,word,produces
item_240,cuchara,spoon,spoon,cuchara,,word,produces
item_241,cuchillo,knife,knife,cuchillo,,word,produces
item_242,diario,newspaper,,diario,,word,produces
item_243,dinero_plata,money,money,dinero_plata,,word,produces
item_244,escoba,broom,broom,escoba,,word,produces
item_245,espejo,mirror,mirror,espejo,,word,produces
item_246,fosforo,matches,,fosforo,,word,produces
item_247,fotos,photos,photo,fotos,,word,produces
item_248,frazada,blanket,,frazada,,word,produces
item_249,jabón,soap,soap,jabón,,word,produces
item_250,lámpara,lamp,lamp,lámpara,,word,produces
item_251,llave,key,key,llave,,word,produces
item_252,luz,light,light (object),luz,,word,produces
item_253,mamadera_meme,bottle (baby´s),,mamadera_meme,,word,produces
item_254,martillo,hammer,hammer,martillo,,word,produces
item_255,olla,cooking pot,pot,olla,,word,produces
item_256,pañuelo,handkerchief,tissue,pañuelo,,word,produces
item_257,papel,paper,paper,papel,,word,produces
item_258,pasta_de_dientes,toothpaste,toothpaste,pasta_de_dientes,,word,produces
item_259,peine,hair comb,comb (object),peine,,word,produces
item_260,pelela,"potty trainer,  potty seat",,pelela,,word,produces
item_261,plancha,iron,iron,plancha,,word,produces
item_262,plato,plate,plate,plato,,word,produces
item_263,reloj,watch,watch (object),reloj,,word,produces
item_264,remedio,medicine,,remedio,,word,produces
item_265,servilleta,napkin,napkin,servilleta,,word,produces
item_266,tacho_de_basura,trash can,,tacho_de_basura,,word,produces
item_267,taza,cup,cup,taza,,word,produces
item_268,telefono,phone,telephone,telefono,,word,produces
item_269,tenedor,fork,fork,tenedor,,word,produces
item_270,tijeras,scissors,scissors,tijeras,,word,produces
item_271,toalla,towel,towel,toalla,,word,produces
item_272,trapo,cloth,cloth,trapo,,word,produces
item_273,vaso,glass,glass,vaso,,word,produces
item_274,vela,candle,candle,vela,,word,produces
item_275,banco_mueble,bench,,banco_mueble,,word,produces
item_276,bañadera,bathtub,,bañadera,,word,produces
item_277,baño,bathroom,,baño,,word,produces
item_278,biblioteca,library,,biblioteca,,word,produces
item_279,cajón,drawer,drawer,cajón,,word,produces
item_280,cama,bed,bed,cama,,word,produces
item_281,cochera_garage,garage,,cochera_garage,,word,produces
item_282,cocina,kitchen,,cocina,,word,produces
item_283,computadora_compu,computer (PC),,computadora_compu,,word,produces
item_284,cuna,crib,crib,cuna,,word,produces
item_285,ducha,shower,,ducha,,word,produces
item_286,escaleras,stairs,stairs,escaleras,,word,produces
item_287,estufa,stove,stove,estufa,,word,produces
item_288,habitación_pieza,room,,habitación_pieza,,word,produces
item_289,heladera,refrigerator,,heladera,,word,produces
item_290,horno,oven,oven,horno,,word,produces
item_291,inodoro,toilet,,inodoro,,word,produces
item_292,lavarropas,washing machine,,lavarropas,,word,produces
item_293,mesa,table ,table,mesa,,word,produces
item_294,mueble,furniture,furniture,mueble,,word,produces
item_295,patio,playground,,patio,,word,produces
item_296,pileta_de_lavar_manos,sink,,pileta_de_lavar_manos,,word,produces
item_297,piso,floor,,piso,,word,produces
item_298,placard,closet,,placard,,word,produces
item_299,puerta,door,door,puerta,,word,produces
item_300,silla,chair,chair,silla,,word,produces
item_301,sillón,sofa,,sillón,,word,produces
item_302,televisión_tele,tv,tv,televisión_tele,,word,produces
item_303,ventana,window,window,ventana,,word,produces
item_304,árbol,tree,tree,árbol,,word,produces
item_305,arena,sand,,arena,,word,produces
item_306,bandera,flag,flag,bandera,,word,produces
item_307,cielo,sky,sky,cielo,,word,produces
item_308,cucha,pet´s bed,,cucha,,word,produces
item_309,estrella,star,star,estrella,,word,produces
item_310,flor,flower,flower,flor,,word,produces
item_311,fuego,fire,fire,fuego,,word,produces
item_312,hamaca,swing,,hamaca,,word,produces
item_313,hojas,leaves,,hojas,,word,produces
item_314,humo,smoke,,humo,,word,produces
item_315,lluvia,rain,rain,lluvia,,word,produces
item_316,luna,moon,moon,luna,,word,produces
item_317,maceta,flower pot,flower pot,maceta,,word,produces
item_318,manguera,hose,hose,manguera,,word,produces
item_319,nieve,snow,snow,nieve,,word,produces
item_320,nube,cloud,cloud,nube,,word,produces
item_321,pala,shovel,shovel (object),pala,,word,produces
item_322,palo,stick,stick,palo,,word,produces
item_323,pasto,grass,grass,pasto,,word,produces
item_324,piedra,stone,rock (object),piedra,,word,produces
item_325,pileta_de_natación_Pile,swiming pool,,pileta_de_natación_Pile,,word,produces
item_326,planta,plant,plant (object),planta,,word,produces
item_327,reja,grill,grill (object),reja,,word,produces
item_328,sol,sun,sun,sol,,word,produces
item_329,techo,ceiling,roof,techo,,word,produces
item_330,tierra_barro,soil_mud,earth,tierra_barro,,word,produces
item_331,timbre,doorbell,doorbell,timbre,,word,produces
item_332,tobogán,slide,,tobogán,,word,produces
item_333,viento_aire,wind,wind,viento_aire,,word,produces
item_334,Banco_plaza,bench,,Banco_plaza,,word,produces
item_335,bosque,forest,forest,bosque,,word,produces
item_336,calesita,carrousel,,calesita,,word,produces
item_337,calle,street,street,calle,,word,produces
item_338,campo,field,field,campo,,word,produces
item_339,casa,home,home,casa,,word,produces
item_340,cerro_montaña,"hill, mountain",,cerro_montaña,,word,produces
item_341,circo,circus,circus,circo,,word,produces
item_342,cumpleaños_cumple,birthday party,,cumpleaños_cumple,,word,produces
item_343,escuela_cole,school,school,escuela_cole,,word,produces
item_344,fiesta,party,party,fiesta,,word,produces
item_345,hospital_clínica,hospital,hospital,hospital_clínica,,word,produces
item_346,iglesia_templo,church,church,iglesia_templo,,word,produces
item_347,jardín,garden/day care,garden,jardín,,word,produces
item_348,mar,sea,,mar,,word,produces
item_349,pelotero,balls pool (?),,pelotero,,word,produces
item_350,playa,beach,beach,playa,,word,produces
item_351,plaza,playground,,plaza,,word,produces
item_352,río,river,river,río,,word,produces
item_353,supermercado_súper,supermarket,,supermercado_súper,,word,produces
item_354,vereda,sidewalk,,vereda,,word,produces
item_355,zoológico,zoo,zoo,zoológico,,word,produces
item_356,abuela,grandmother,grandma,abuela,,word,produces
item_357,abuelo,grandfather,grandpa,abuelo,,word,produces
item_358,amiga, friend (feminine),friend,amiga,,word,produces
item_359,amigo, friend (masculine),friend,amigo,,word,produces
item_360,bebé,baby,baby,bebé,,word,produces
item_361,doctor,doctor,doctor,doctor,,word,produces
item_362,familia,family,family,familia,,word,produces
item_363,hermana,sister,sister,hermana,,word,produces
item_364,hermano,brother,brother,hermano,,word,produces
item_365,madrina,godmother,godmother,madrina,,word,produces
item_366,maestra_seño,teacher,teacher,maestra_seño,,word,produces
item_367,mamá_mami,mommy,mommy,mamá_mami,,word,produces
item_368,niña_nena,girl,girl,niña_nena,,word,produces
item_369,niñera,nanny,,niñera,,word,produces
item_370,niño_nene,boy,boy,niño_nene,,word,produces
item_371,padrino,godfather,godfather,padrino,,word,produces
item_372,papá_papi,daddy,daddy,papá_papi,,word,produces
item_373,payaso,clown,clown,payaso,,word,produces
item_374,policía,police,police,policía,,word,produces
item_375,prima,cousin (feminine),cousin,prima,,word,produces
item_376,primo,cousin (masculine),cousin,primo,,word,produces
item_377,señor,man,man,señor,,word,produces
item_378,señora,woman,woman,señora,,word,produces
item_379,tía,aunt,aunt,tía,,word,produces
item_380,tío,uncle,uncle,tío,,word,produces
item_381,nombre_del_niño_a,child's name,,nombre_del_niño_a,,word,produces
item_382,a_ver_a_pasear," Look, let´s go (for a walk)",,a_ver_a_pasear,,word,produces
item_383,adiós_chau,bye-bye,bye,adiós_chau,,word,produces
item_384,ahí_voy,I'm going there,,ahí_voy,,word,produces
item_385,al_agua_pato,"""ducks"" to water!",,al_agua_pato,,word,produces
item_386,arriba_las_manos,hands up!,,arriba_las_manos,,word,produces
item_387,basta,stop it !,,basta,,word,produces
item_388,besitos,kisses,kiss,besitos,,word,produces
item_389,bravo,hurra!,,bravo,,word,produces
item_390,buenas_noches,good night,good night,buenas_noches,,word,produces
item_391,buenos_días,good morning,,buenos_días,,word,produces
item_392,chas_chas,childish expression for a gentle pat to the back,,chas_chas,,word,produces
item_393,cosquillita,tickle,,cosquillita,,word,produces
item_394,cuco_acá_está,peekaboo,,cuco_acá_está,,word,produces
item_395,dale,okay ,,dale,,word,produces
item_396,gol,goal (soccer),,gol,,word,produces
item_397,gracias,thank you,thank you,gracias,,word,produces
item_398,hola,hi!,hi,hola,,word,produces
item_399,ojitos,winking,,ojitos,,word,produces
item_400,okey,okay,okay,okey,,word,produces
item_401,perdón,sorry,,perdón,,word,produces
item_402,pis,pee,,pis,,word,produces
item_403,por_favor_porfi,please,please,por_favor_porfi,,word,produces
item_404,pumba,ohh ohh,,pumba,,word,produces
item_405,qué_linda_manito,social game with hands,,qué_linda_manito,,word,produces
item_406,salud_chin_chin,cheers,bless you,salud_chin_chin,,word,produces
item_407,shhh,shhh,shh,shhh,,word,produces
item_408,siesta_noni_noni,nap ,,siesta_noni_noni,,word,produces
item_409,tortitas,pat-a-cake,,tortitas,,word,produces
item_410,uno_dos_tres,one two three,one two three,uno_dos_tres,,word,produces
item_411,upa,stand up!,,upa,,word,produces
item_412,vamos,let's go,,vamos,,word,produces
item_413,viva_viva,hurrah,,viva_viva,,word,produces
item_414,ya_está_listo,done_ready!,,ya_está_listo,,word,produces
item_415,abrir,open (action),open (action),abrir,,word,produces
item_416,acabar,finish,finish,acabar,,word,produces
item_417,acompañar,join,join,acompañar,,word,produces
item_418,acostar_se,lay down,lay down,acostar_se,,word,produces
item_419,agarrar,grab,grab,agarrar,,word,produces
item_420,almorzar,launch,launch,almorzar,,word,produces
item_421,andar,walk,walk,andar,,word,produces
item_422,apagar,turn off,turn off,apagar,,word,produces
item_423,apurar_se,hurry up,hurry,apurar_se,,word,produces
item_424,arreglar_se,fix,fix,arreglar_se,,word,produces
item_425,asustar_se,frighten,frighten,asustar_se,,word,produces
item_426,atar,tie,,atar,,word,produces
item_427,ayudar,help,help,ayudar,,word,produces
item_428,bailar,dance,dance,bailar,,word,produces
item_429,comer_se,eat,eat,comer_se,,word,produces
item_430,comprar,buy,buy,comprar,,word,produces
item_431,correr,run,run,correr,,word,produces
item_432,cortar,cut (action),cut (action),cortar,,word,produces
item_433,dar,give,give,dar,,word,produces
item_434,decir,say,say,decir,,word,produces
item_435,dejar,leave,,dejar,,word,produces
item_436,desayunar,eat breakfast,eat breakfast,desayunar,,word,produces
item_437,dibujar,draw,draw,dibujar,,word,produces
item_438,doler,hurt (action),hurt (action),doler,,word,produces
item_439,dormir_se,sleep,sleep,dormir_se,,word,produces
item_440,empujar,push,push,empujar,,word,produces
item_441,encontrar,find,find,encontrar,,word,produces
item_442,enseñar,teach,teach,enseñar,,word,produces
item_443,ir_se,go,go,ir_se,,word,produces
item_444,jugar,play,play,jugar,,word,produces
item_445,juntar,put together,,juntar,,word,produces
item_446,lastimar_se,hurt (action),hurt (action),lastimar_se,,word,produces
item_447,lavar_se,wash,wash,lavar_se,,word,produces
item_448,leer,read,read,leer,,word,produces
item_449,levantar_se,lift (action),lift (action),levantar_se,,word,produces
item_450,llevar_se,take,take,llevar_se,,word,produces
item_451,llorar,cry,mourn,llorar,,word,produces
item_452,meter_se,put,put,meter_se,,word,produces
item_453,mirar,see,see,mirar,,word,produces
item_454,morder,bite,bite,morder,,word,produces
item_455,mostrar,show,,mostrar,,word,produces
item_456,mover,move,,mover,,word,produces
item_457,prestar,lend,,prestar,,word,produces
item_458,quedarse,stay,,quedarse,,word,produces
item_459,quemar_se,burn (action),burn (action),quemar_se,,word,produces
item_460,querer,want,want,querer,,word,produces
item_461,quitar_se,remove,remove,quitar_se,,word,produces
item_462,regalar,give,give,regalar,,word,produces
item_463,respirar,breathe,,respirar,,word,produces
item_464,romper,break,breathe,romper,,word,produces
item_465,saber,know,know,saber,,word,produces
item_466,sacar,take,take,sacar,,word,produces
item_467,salir_se,leave,leave,salir_se,,word,produces
item_468,saltar,jump,jump,saltar,,word,produces
item_469,saludar,greet,greet,saludar,,word,produces
item_470,sentar_se,sit-down,sit,sentar_se,,word,produces
item_471,bajar_se,come down,come down,bajar_se,,word,produces
item_472,bañar_se,bathe,,bañar_se,,word,produces
item_473,barrer,sweep,sweep,barrer,,word,produces
item_474,besar,kiss,kiss,besar,,word,produces
item_475,buscar,search,search,buscar,,word,produces
item_476,caer_se,fall,fall,caer_se,,word,produces
item_477,callar_se,shut up,shut up,callar_se,,word,produces
item_478,caminar,walk,walk,caminar,,word,produces
item_479,cantar,sing,sing,cantar,,word,produces
item_480,cenar,eat dinner,eat dinner,cenar,,word,produces
