itemID,item,type,category,choices,definition,complexity_category,new_lemma,gloss,uni_lemma
item_34,jirafa,word,animals,produces,jirafa,NA,giraffe,giraffe,giraffe
item_35,hormiga,word,animals,produces,hormiga,NA,ant,ant,ant
item_36,hippotmo,word,animals,produces,hipopótamo,NA,hippopotamus,hippotmo,hippopotamus
item_37,guajolot,word,animals,produces,guajolote,NA,turkey,turkey,turkey
item_38,gato,word,animals,produces,gato,NA,cat,cat,cat
item_39,ganso,word,animals,produces,ganso,NA,NA,goose,goose
item_40,gallina,word,animals,produces,gallina,NA,hen,hen,hen
item_41,foca,word,animals,produces,foca,NA,NA,seal,seal (animal)
item_42,elefante,word,animals,produces,elefante,NA,elephant,elephant,elephant
item_43,conejo,word,animals,produces,conejo,NA,bunny,rabbit,bunny
item_44,cocdrilo,word,animals,produces,cocodrilo,NA,NA,crocodile,crocodile
item_45,cebra,word,animals,produces,cebra,NA,NA,zebra,zebra
item_46,caballo,word,animals,produces,caballo,NA,horse,horse,horse
item_47,burro,word,animals,produces,burro,NA,donkey,donkey,donkey
item_48,buho,word,animals,produces,búho,NA,owl,owl,owl
item_49,buey,word,animals,produces,buey,NA,NA,ox,ox
item_50,borrego,word,animals,produces,borrego,NA,lamb,lamb,lamb
item_51,bicho,word,animals,produces,bicho,NA,NA,bug,bug
item_52,ardilla,word,animals,produces,ardilla,NA,squirrel,squirrel,squirrel
item_53,arana,word,animals,produces,araña,NA,spider,spider,spider
item_54,animal,word,animals,produces,animal,NA,animal,animal,animal
item_55,abeja,word,animals,produces,abeja,NA,bee,bee,bee
item_56,trineo,word,vehicles,produces,trineo,NA,NA,sled,sled
item_57,tricicl1,word,vehicles,produces,triciclo (vehicles),NA,NA,tricycle,tricycle
item_58,tren,word,vehicles,produces,tren,NA,train,train,train
item_59,tractor,word,vehicles,produces,tractor,NA,NA,tractor,tractor
item_60,moto,word,vehicles,produces,moto,NA,motorcycle,motorbike,motorcycle
item_61,helicptr,word,vehicles,produces,helicóptero,NA,NA,helicopter,helicopter
item_62,carro,word,vehicles,produces,carro/coche,NA,car,car,car
item_63,carreola,word,vehicles,produces,carreola,NA,stroller,stroller,stroller
item_64,camion,word,vehicles,produces,camión/troca,NA,truck,camion,truck
item_65,camibomb,word,vehicles,produces,camión de bombero,NA,NA,firetruck,firetruck
item_66,biciclet,word,vehicles,produces,bicicleta,NA,bicycle,bike,bicycle
item_67,barco,word,vehicles,produces,barco,NA,boat,boat,boat
item_68,avion,word,vehicles,produces,avión,NA,airplane,airplane,airplane
item_69,autobus,word,vehicles,produces,autobús,NA,NA,bus,bus
item_70,agua,word,food_drink,produces,agua,NA,water (beverage),water,water (beverage)
item_71,arroz,word,food_drink,produces,arroz,NA,rice,rice,rice
item_72,atole,word,food_drink,produces,atole,NA,atole,porridge,atole
item_73,atun,word,food_drink,produces,atún,NA,NA,tuna fish,tuna
item_74,azucar,word,food_drink,produces,azúcar,NA,NA,sugar,sugar
item_75,cafe,word,food_drink,produces,café,NA,coffee,coffee,coffee
item_76,calabaza,word,food_drink,produces,calabaza,NA,NA,pumpkin,pumpkin
item_77,carne,word,food_drink,produces,carne,NA,meat,meat,meat
item_78,cereal,word,food_drink,produces,cereal,NA,cereal,cereal,cereal
item_79,chicharo,word,food_drink,produces,chícharo,NA,NA,pea,peas
item_80,chicle,word,food_drink,produces,chicle,NA,NA,chewing gum,gum
item_81,chile,word,food_drink,produces,chile,NA,chili,chili,chili
item_82,chocolat,word,food_drink,produces,chocolate,NA,NA,chocolate,chocolate
item_83,comida,word,food_drink,produces,comida,NA,food,food,food
item_84,dulce,word,food_drink,produces,dulce,NA,candy,sweet candy,candy
item_85,durazno,word,food_drink,produces,durazno,NA,NA,peach,peach
item_86,ejotes,word,food_drink,produces,ejotes,NA,NA,green beans,beans
item_87,elote,word,food_drink,produces,elote,NA,NA,corncob,corn
item_88,espgueti,word,food_drink,produces,espagueti,NA,NA,spaghetti,pasta
item_89,fresa,word,food_drink,produces,fresa,NA,NA,strawberry,strawberry
item_90,frijoles,word,food_drink,produces,frijoles,NA,beans,beans,beans
item_91,galleta,word,food_drink,produces,galleta,NA,cookie,cookie,cookie
item_92,gellatin,word,food_drink,produces,gelatina,NA,NA,jelly,jelly
item_93,hamburgs,word,food_drink,produces,hamburguesa,NA,NA,hamburger,hamburger
item_94,helado,word,food_drink,produces,helado/nieve,NA,ice cream,ice cream,ice cream
item_95,hielo,word,food_drink,produces,hielo,NA,NA,ice,ice
item_96,hotcakes,word,food_drink,produces,hot cakes,NA,NA,hotcakes,pancake
item_97,huevo,word,food_drink,produces,huevo,NA,egg,egg,egg
item_98,jamon,word,food_drink,produces,jamón,NA,ham,ham,ham
item_99,jugo,word,food_drink,produces,jugo,NA,juice,juice,juice
item_100,leche,word,food_drink,produces,leche,NA,milk,milk,milk
item_101,licuado,word,food_drink,produces,licuado,NA,NA,smoothie,smoothie
item_102,limonad,word,food_drink,produces,limonada,NA,NA,lemonade,lemonade
item_103,mani,word,food_drink,produces,cacahuete/maní,NA,NA,peanut,peanut
item_104,mantqila,word,food_drink,produces,mantequilla,NA,NA,butter,butter
item_105,manzana,word,food_drink,produces,manzana,NA,apple,apple,apple
item_106,melon,word,food_drink,produces,melón,NA,NA,melon,melon
item_107,mermelad,word,food_drink,produces,mermelada,NA,NA,marmalade,jam
item_108,naranja,word,food_drink,produces,naranja,NA,orange (food),orange (fruit),orange (food)
item_109,paleta,word,food_drink,produces,paleta,NA,lollipop,lollipop,lollipop
item_110,palomtas,word,food_drink,produces,palomitas,NA,NA,popcorn,popcorn
item_111,pan,word,food_drink,produces,pan,NA,bread,bread,bread
item_112,pandulc,word,food_drink,produces,pan dulce,NA,NA,sweet bread,pastry
item_113,papas,word,food_drink,produces,papas,NA,NA,potatoes,potato
item_114,papitas,word,food_drink,produces,papitas,NA,NA,chips,chips
item_115,pasas,word,food_drink,produces,pasas,NA,NA,raisins,raisin
item_116,pastel,word,food_drink,produces,pastel,NA,cake,cake,cake
item_117,pentbttr,word,food_drink,produces,peanut butter,NA,NA,peanut butter,peanut butter
item_118,pescado2,word,food_drink,produces,pescado (food_drink),NA,NA,fish (food),fish (food)
item_119,platano,word,food_drink,produces,plátano/banana,NA,banana,banana,banana
item_120,pollo,word,food_drink,produces,pollo,NA,chicken (food),chicken,chicken (food)
item_121,quesdila,word,food_drink,produces,quesadilla,NA,quesadilla,quesadilla,quesadilla
item_122,queso,word,food_drink,produces,queso,NA,cheese,cheese,cheese
item_123,sal,word,food_drink,produces,sal,NA,NA,salt,salt
item_124,salchch,word,food_drink,produces,salchicha,NA,hot dog,hot dog,hot dog
item_125,salsa,word,food_drink,produces,salsa,NA,NA,salsa,sauce
item_126,sandia,word,food_drink,produces,sandía,NA,NA,watermelon,watermelon
item_127,soda,word,food_drink,produces,soda/refresco,NA,soda,soda water,soda
item_128,sopa,word,food_drink,produces,sopa,NA,soup,soup,soup
item_129,taco,word,food_drink,produces,taco,NA,NA,taco,taco
item_130,te1,word,food_drink,produces,té (food),NA,NA,tea,tea
item_131,torta,word,food_drink,produces,torta/lonche,NA,NA,lunch sub,sandwich
item_132,tortila,word,food_drink,produces,tortilla,NA,tortilla,tortilla,tortilla
item_133,uvas,word,food_drink,produces,uvas,NA,grapes,grapes,grapes
item_134,vainilla,word,food_drink,produces,vainilla,NA,NA,vanilla,vanilla
item_135,vitamina,word,food_drink,produces,vitaminas,NA,NA,vitamin,vitamin
item_136,yoghurt,word,food_drink,produces,yoghurt,NA,NA,yogurt,yogurt
item_137,zanahori,word,food_drink,produces,zanahoria,NA,NA,carrot,carrot
item_138,boton,word,clothing,produces,botón,NA,button,button,button
item_139,bufanda,word,clothing,produces,bufanda,NA,NA,scarf,scarf
item_140,calcetin,word,clothing,produces,calcetín,NA,NA,sock,sock
item_141,calzon,word,clothing,produces,calzón,NA,underpants,underwear,underpants
item_142,camisa,word,clothing,produces,camisa,NA,NA,shirt,shirt
item_143,chancla,word,clothing,produces,chancla,NA,NA,slipper,slipper
item_144,cierre,word,clothing,produces,cierre,NA,zipper,zipper,zipper
item_145,collar,word,clothing,produces,collar,NA,necklace,necklace,necklace
item_146,falda,word,clothing,produces,falda,NA,skirt,skirt,skirt
item_147,gorra,word,clothing,produces,gorra,NA,NA,cap,hat
item_148,guantes,word,clothing,produces,guantes,NA,NA,gloves,glove
item_149,lentes,word,clothing,produces,lentes,NA,glasses,eyeglasses,glasses
item_150,medias,word,clothing,produces,medias,NA,NA,tights,tights
item_151,panal,word,clothing,produces,pañal,NA,diaper,diaper,diaper
item_152,pantalon,word,clothing,produces,pantalón,NA,pants,pants,pants
item_153,pijama,word,clothing,produces,pijama,NA,pajamas,pajamas,pajamas
item_154,playera,word,clothing,produces,playera,NA,t-shirt,t-shirt,t-shirt
item_155,ropas,word,clothing,produces,ropa,NA,NA,clothes,clothes
item_156,shorts,word,clothing,produces,shorts,NA,shorts,shorts,shorts
item_157,sombrero,word,clothing,produces,sombrero,NA,hat,hat,hat
item_158,sueter,word,clothing,produces,suéter,NA,sweater,sweater,sweater
item_159,vestido,word,clothing,produces,vestido,NA,dress (object),dress,dress (object)
item_160,zapato,word,clothing,produces,zapato,NA,shoe,shoe,shoe
item_161,barba,word,body_parts,produces,barba,NA,NA,beard,beard
item_162,bigote,word,body_parts,produces,bigote,NA,moustache,moustache,mustache
item_163,boca,word,body_parts,produces,boca,NA,mouth,mouth,mouth
item_164,brazo,word,body_parts,produces,brazo,NA,NA,arm,arm
item_165,cabeza,word,body_parts,produces,cabeza,NA,head,head,head
item_166,cachete,word,body_parts,produces,cachete,NA,cheek,cachete,cheek
item_167,cara,word,body_parts,produces,cara,NA,face,face,face
item_168,chichi,word,body_parts,produces,chichi/pecho,NA,breast,breast,breast
item_169,dedo,word,body_parts,produces,dedo,NA,NA,finger,finger
item_170,dientes,word,body_parts,produces,dientes,NA,tooth,teeth,tooth
item_171,gargnta,word,body_parts,produces,garganta/anginas,NA,NA,throat,throat
item_172,hombro,word,body_parts,produces,hombro,NA,NA,shoulder,shoulder
item_173,labios,word,body_parts,produces,labios,NA,NA,lips,lip
item_174,lengua,word,body_parts,produces,lengua,NA,tongue,tongue,tongue
item_175,mano,word,body_parts,produces,mano,NA,NA,hand,hand
item_176,nalgas,word,body_parts,produces,nalgas,NA,NA,buttocks,butt
item_177,nariz,word,body_parts,produces,nariz,NA,nose,nose,nose
item_178,ojos,word,body_parts,produces,ojos,NA,eye,eyes,eye
item_179,ombligo,word,body_parts,produces,ombligo,NA,belly button,belly button,belly button
item_180,oreja,word,body_parts,produces,oreja,NA,NA,ear,ear
item_181,panza,word,body_parts,produces,panza,NA,tummy,belly,tummy
item_182,pelo,word,body_parts,produces,pelo,NA,hair,hair,hair
item_183,pene,word,body_parts,produces,pene,NA,NA,penis,penis
item_184,piernas,word,body_parts,produces,piernas,NA,leg,legs,leg
item_185,pies,word,body_parts,produces,pies,NA,foot,feet,foot
item_186,rodilla,word,body_parts,produces,rodilla,NA,knee,knee,knee
item_187,vagina,word,body_parts,produces,vagina,NA,NA,vagina,vagina
item_188,bat,word,toys,produces,bat,NA,NA,bat,bat (object)
item_189,burbujas,word,toys,produces,burbujas,NA,NA,bubbles,bubbles
item_190,colores,word,toys,produces,colores,NA,NA,colors,colors
item_191,crayolas,word,toys,produces,crayolas,NA,NA,crayons,crayon
item_192,globo,word,toys,produces,globo/bomba,NA,balloon,air balloon,balloon
item_193,hoja,word,toys,produces,hoja/papel,NA,NA,paper,paper
item_194,juguete,word,toys,produces,juguete,NA,toy (object),toy,toy (object)
item_195,lapiz,word,toys,produces,lápiz,NA,pen/pencil,pencil,pen/pencil
item_196,libro,word,toys,produces,libro,NA,book,book,book
item_197,muneca,word,toys,produces,muñeca,NA,doll,baby doll,doll
item_198,osito,word,toys,produces,osito,NA,teddybear,teddy bear,teddybear
item_199,patines,word,toys,produces,patines,NA,NA,roller skates,skate (object)
item_200,pelota,word,toys,produces,pelota,NA,ball,ball,ball
item_201,pintura,word,toys,produces,pinturas,NA,NA,painting,painting
item_202,plastlin,word,toys,produces,plastilina,NA,NA,clay,clay
item_203,pluma,word,toys,produces,pluma/plumones,NA,NA,pen,pen
item_204,tambor,word,toys,produces,tambor,NA,drum,drum,drum (object)
item_205,tricicl2,word,toys,produces,triciclo (toys),NA,NA,tricycle (toy),tricycle
item_206,botas,word,clothing,produces,botas,NA,boots,boots,boots
item_207,bolsa1,word,clothing,produces,bolsa (clothing),NA,NA,purse,purse
item_208,babera,word,clothing,produces,babero,NA,bib,bib,bib
item_209,aretes,word,clothing,produces,aretes,NA,earrings,earrings,earring
item_210,abrigo,word,clothing,produces,abrigo,NA,NA,coat,coat
item_211,almohada,word,household,produces,almohada,NA,pillow,pillow,pillow
item_212,aspirdor,word,household,produces,aspiradora,NA,vacuum,vacuum cleaner,vacuum
item_213,basura,word,household,produces,basura,NA,trash,garbage can,trash
item_214,bolsa2,word,household,produces,bolsa (household),NA,NA,bag,bag
item_215,botlmaml,word,household,produces,botella/mamila,NA,bottle,bottle,bottle
item_216,caja,word,household,produces,caja,NA,box,box,box
item_217,camara,word,household,produces,cámara,NA,NA,camera,camera
item_218,canasta,word,household,produces,canasta,NA,NA,basket,basket
item_219,cassette,word,household,produces,cassette,NA,NA,cassette,tape (object)
item_220,cepidnte,word,household,produces,cepillo de dientes,NA,toothbrush,toothbrush,toothbrush
item_221,cepillo,word,household,produces,cepillo,NA,brush (object),brush,brush (object)
item_222,cerills,word,household,produces,cerillos,NA,NA,matches,matches
item_223,chupete,word,household,produces,chupón/chupete,NA,pacifier,pacifier,pacifier
item_224,cigarrs,word,household,produces,cigarros,NA,cigarette,cigarettes,cigarette
item_225,clavo,word,household,produces,clavo,NA,NA,nail,nail (object)
item_226,cobija,word,household,produces,cobija,NA,blanket,blanket,blanket
item_227,cuadro,word,household,produces,cuadro,NA,picture,picture,picture
item_228,cubeta,word,household,produces,cubeta,NA,NA,tray,tray
item_229,cuchara,word,household,produces,cuchara,NA,spoon,spoon,spoon
item_230,cuchillo,word,household,produces,cuchillo,NA,knife,knife,knife
item_231,dinero,word,household,produces,dinero,NA,money,money,money
item_232,escoba,word,household,produces,escoba,NA,broom,broom,broom
item_233,espejo,word,household,produces,espejo,NA,mirror,mirror,mirror
item_234,fotos,word,household,produces,fotos,NA,photos,photos,photo
item_235,jabon,word,household,produces,jabón,NA,soap,soap,soap
item_236,lampara,word,household,produces,lámpara,NA,NA,lamp,lamp
item_237,llave,word,household,produces,llave,NA,NA,key,key
item_238,luz,word,household,produces,luz,NA,light,light,light (object)
item_239,martillo,word,household,produces,martillo,NA,hammer,hammer,hammer
item_240,medicina,word,household,produces,medicina,NA,medicine,medicine,medicine
item_241,olla,word,household,produces,olla,NA,NA,cooking pot,pot
item_242,panuelo,word,household,produces,pañuelo,NA,NA,handkerchief,tissue
item_243,papel,word,household,produces,papel,NA,paper,paper,paper
item_244,pastdnte,word,household,produces,pasta de dientes,NA,NA,toothpaste,toothpaste
item_245,peine,word,household,produces,peine,NA,comb (object),hair comb,comb (object)
item_246,peridco,word,household,produces,periódico,NA,NA,newspaper,newspaper
item_247,plancha,word,household,produces,plancha,NA,NA,iron,iron (object)
item_248,plato,word,household,produces,plato,NA,plate,dish,plate
item_249,radio,word,household,produces,radio,NA,radio,radio,radio
item_250,reloj,word,household,produces,reloj,NA,watch (object),watch,watch (object)
item_251,servleta,word,household,produces,servilleta,NA,NA,napkin,napkin
item_252,tapete,word,household,produces,tapete,NA,NA,rug,rug
item_253,taza,word,household,produces,taza,NA,cup,cup,cup
item_254,telefono,word,household,produces,teléfono,NA,telephone,phone,telephone
item_255,tenedor,word,household,produces,tenedor,NA,fork,fork,fork
item_256,tijeras,word,household,produces,tijeras,NA,scissors,pair of scissors,scissors
item_257,toalla,word,household,produces,toalla,NA,towel,towel,towel
item_258,trapo,word,household,produces,trapo,NA,cloth,cloth,cloth
item_259,vasos,word,household,produces,vasos,NA,NA,glasses,glass
item_260,vela,word,household,produces,vela,NA,candle,candle,candle
item_261,albrpisc,word,outside,produces,alberca/piscina,NA,pool,pool,pool
item_262,arbol,word,outside,produces,árbol,NA,tree,tree,tree
item_263,bandera,word,outside,produces,bandera,NA,NA,flag,flag
item_264,cielo,word,outside,produces,cielo,NA,sky,sky,sky
item_265,coldera,word,outside,produces,coladera,NA,NA,drain,drain (object)
item_266,columpio,word,outside,produces,columpio,NA,swing (object),swing,swing (object)
item_267,estrella,word,outside,produces,estrella,NA,star,star,star
item_268,flor,word,outside,produces,flor,NA,flower,flower,flower
item_269,fuego,word,outside,produces,fuego,NA,NA,fire,fire
item_270,hojas,word,outside,produces,hojas,NA,NA,leaves,leaf
item_271,lena,word,outside,produces,leña,NA,NA,firewood,firewood
item_272,lluvia,word,outside,produces,lluvia,NA,rain,rain,rain
item_273,luna,word,outside,produces,luna,NA,moon,moon,moon
item_274,maceta,word,outside,produces,maceta,NA,NA,flower pot,flower pot
item_275,manguera,word,outside,produces,manguera,NA,NA,hose,hose
item_276,muncniev,word,outside,produces,muñeco de nieve,NA,NA,snowman,snowman
item_277,nieve,word,outside,produces,nieve,NA,snow,snow,snow
item_278,nube,word,outside,produces,nube,NA,cloud,cloud,cloud
item_279,pala,word,outside,produces,pala,NA,NA,shovel,shovel
item_280,palo,word,outside,produces,palo,NA,NA,stick,stick
item_281,pasto,word,outside,produces,pasto,NA,NA,grass,grass
item_282,piedra,word,outside,produces,piedra,NA,rock (object),stone,rock (object)
item_283,planta,word,outside,produces,planta,NA,plant,plant,plant
item_284,reja,word,outside,produces,reja,NA,NA,grill,grill (object)
item_285,resbadla,word,outside,produces,resbaladilla,NA,slide (object),slide,slide (object)
item_286,sol,word,outside,produces,sol,NA,sun,sun,sun
item_287,tanque,word,outside,produces,tanque,NA,NA,tank,NA
item_288,techo,word,outside,produces,techo,NA,roof,ceiling,roof
item_289,tierra,word,outside,produces,tierra,NA,NA,earth,soil
item_290,timbre,word,outside,produces,timbre,NA,NA,doorbell,doorbell
item_291,vientair,word,outside,produces,viento/aire,NA,NA,wind,wind
item_292,bacinica,word,furniture_rooms,produces,bacinica,NA,potty,potty,potty
item_293,banco1,word,furniture_rooms,produces,banco (outside),NA,NA,bench,bench
item_294,bano,word,furniture_rooms,produces,baño,NA,bathroom,bath,bathroom
item_295,cajon,word,furniture_rooms,produces,cajón,NA,drawer,drawer,drawer
item_296,cama,word,furniture_rooms,produces,cama,NA,bed,bed,bed
item_297,champu,word,furniture_rooms,produces,champú,NA,NA,shampoo,shampoo
item_298,cochera,word,furniture_rooms,produces,cochera/garage,NA,NA,garage,garage
item_299,cocina,word,furniture_rooms,produces,cocina,NA,kitchen,kitchen room,kitchen
item_300,comptdra,word,furniture_rooms,produces,computadora,NA,NA,computer,computer
item_301,cuarto,word,furniture_rooms,produces,cuarto,NA,room,room,room
item_302,cuna,word,furniture_rooms,produces,cuna,NA,crib,crib,crib
item_303,escalera,word,furniture_rooms,produces,escaleras,NA,NA,stairs,stairs
item_304,estufa,word,furniture_rooms,produces,estufa,NA,stove,stove,stove
item_305,horno,word,furniture_rooms,produces,horno,NA,oven,oven,oven
item_306,lavabo,word,furniture_rooms,produces,lavabo,NA,sink,sink,sink
item_307,lavadora,word,furniture_rooms,produces,lavadora,NA,NA,washing machine,washing machine
item_308,librero,word,furniture_rooms,produces,librero,NA,NA,bookcase,bookshelf
item_309,mesa,word,furniture_rooms,produces,mesa,NA,table,table top,table
item_310,mueble,word,furniture_rooms,produces,mueble,NA,NA,piece of furniture,furniture
item_311,patio1,word,furniture_rooms,produces,patio (outside),NA,NA,patio,patio
item_312,puerta,word,furniture_rooms,produces,puerta,NA,door,gate,door
item_313,recamara,word,furniture_rooms,produces,recámara,NA,bedroom,bedroom,bedroom
item_314,refrgrdr,word,furniture_rooms,produces,refrigerador,NA,refrigerator,refrigerator,refrigerator
item_315,regadera,word,furniture_rooms,produces,regadera/ducha,NA,shower,watering can,shower
item_316,ropero,word,furniture_rooms,produces,ropero/closet,NA,closet,closet,closet
item_317,sala,word,furniture_rooms,produces,sala,NA,living room,living room,living room
item_318,secadora,word,furniture_rooms,produces,secadora,NA,NA,tumble dryer,dryer
item_319,silla,word,furniture_rooms,produces,silla,NA,chair,chair,chair
item_320,sillon,word,furniture_rooms,produces,sillón,NA,NA,lounge chair,couch
item_321,sofa,word,furniture_rooms,produces,sofá,NA,couch,sofa,couch
item_322,televisn,word,furniture_rooms,produces,televisión,NA,tv,television,TV
item_323,tina,word,furniture_rooms,produces,tina,NA,bathtub,tub,bathtub
item_324,ventana,word,furniture_rooms,produces,ventana,NA,window,window,window
item_325,banco2,word,places,produces,banco (places),NA,NA,bank,bank
item_326,bosque,word,places,produces,bosque,NA,NA,forest,forest
item_327,calle,word,places,produces,calle,NA,NA,street,street
item_328,campo,word,places,produces,campo,NA,NA,field,field
item_329,casa,word,places,produces,casa,NA,NA,home,home
item_330,cerro,word,places,produces,cerro,NA,NA,hill,hill
item_331,cine,word,places,produces,cine,NA,NA,movie theater,movie
item_332,circo,word,places,produces,circo,NA,NA,circus,circus
item_333,escuela,word,places,produces,escuela,NA,NA,school,school
item_334,fabrica,word,places,produces,fábrica,NA,NA,factory,factory
item_335,fiesta,word,places,produces,fiesta,NA,NA,party,party
item_336,hospitl,word,places,produces,hospital/clínica,NA,NA,hospital,hospital
item_337,iglstmpl,word,places,produces,iglesia/templo,NA,NA,church,church
item_338,jardin,word,places,produces,jardín,NA,NA,garden,garden
item_339,oficina,word,places,produces,oficina,NA,NA,office,office
item_340,parque,word,places,produces,parque,NA,NA,park,park
item_341,patio2,word,places,produces,patio (places),NA,NA,playground,yard
item_342,playa,word,places,produces,playa,NA,NA,beach,beach
item_343,rancho,word,places,produces,rancho,NA,NA,ranch,farm
item_344,rio,word,places,produces,río,NA,NA,river,river
item_345,tienmerc,word,places,produces,tienda/mercado,NA,NA,market,market
item_346,zoologic,word,places,produces,zoológico,NA,NA,zoo,zoo
item_347,abuela,word,people,produces,abuela,NA,grandma,grandmother,grandma
item_348,abuelo,word,people,produces,abuelo,NA,grandpa,grandfather,grandpa
item_349,amiga,word,people,produces,amiga,NA,NA,female friend,friend
item_350,amigo,word,people,produces,amigo,NA,NA,male friend,friend
item_351,bebe,word,people,produces,bebé,NA,baby,baby,baby
item_352,cura,word,people,produces,cura,NA,NA,cure,priest
item_353,doctor,word,people,produces,doctor,NA,NA,doctor,doctor
item_354,enfermer,word,people,produces,enfermera,NA,NA,nurse,nurse
item_355,familia,word,people,produces,familia,NA,family,family,family
item_356,hermana,word,people,produces,hermana,NA,sister,sister,sister
item_357,hermano,word,people,produces,hermano,NA,brother,brother,brother
item_358,madrina,word,people,produces,madrina,NA,godmother,godmother,godmother
item_359,maestra,word,people,produces,maestra,NA,teacher,teacher,teacher
item_360,mama,word,people,produces,mamá,NA,NA,mommy,mommy
item_361,nana,word,people,produces,nana,NA,babysitter,babysitter,babysitter
item_362,nina,word,people,produces,niña,NA,girl,girl,girl
item_363,nino,word,people,produces,niño,NA,boy,boy,boy
item_364,nombrnin,word,people,produces,(nombre del niño/a),NA,child's own name,child's own name,child's own name
item_365,padrino,word,people,produces,padrino,NA,godfather,godfather,godfather
item_366,papa,word,people,produces,papá,NA,NA,daddy,daddy
item_367,payaso,word,people,produces,payaso,NA,NA,clown,clown
item_368,persona,word,people,produces,persona,NA,person,person,person
item_369,policia,word,people,produces,policía,NA,NA,police,police
item_370,prima,word,people,produces,prima,NA,NA,female cousin,cousin
item_371,primo,word,people,produces,primo,NA,NA,male cousin,cousin
item_372,senor,word,people,produces,señor,NA,man,man,man
item_373,senora,word,people,produces,señora,NA,woman,woman,woman
item_374,tia,word,people,produces,tía,NA,aunt,aunt,aunt
item_375,tio,word,people,produces,tío,NA,uncle,uncle,uncle
item_376,acerrin,word,games_routines,produces,acerrín,NA,kid's song,sawdust (game),kid's song
item_377,adiosbye,word,games_routines,produces,adíos/byebye,NA,bye,bye bye,bye
item_378,ahitevoy,word,games_routines,produces,ahí te voy,NA,NA,I'm going there,NA
item_379,alagapat,word,games_routines,produces,al agua patos...,NA,NA,ducks to water,NA
item_380,aver,word,games_routines,produces,a ver...,NA,NA,let's see,NA
item_381,besitos,word,games_routines,produces,besitos,NA,kiss,little kisses,kiss
item_382,bravo,word,games_routines,produces,bravo,NA,NA,brave,bravo
item_383,buendias,word,games_routines,produces,buenos días,NA,NA,good day,good morning
item_384,buennoch,word,games_routines,produces,buenas noches,NA,good night,good night,good night
item_385,cosqlits,word,games_routines,produces,cosquillitas,NA,tickle,tickles,tickle
item_386,gracias,word,games_routines,produces,gracias,NA,thank you,thank you,thank you
item_387,hola,word,games_routines,produces,hola,NA,hi,hi,hi
item_388,manosarb,word,games_routines,produces,manos arriba,NA,NA,hands up,hands up
item_389,ojitos,word,games_routines,produces,ojitos,NA,look at me,eyes,look at me
item_390,okay,word,games_routines,produces,okay,NA,NA,okay,NA
item_391,ponetata,word,games_routines,produces,pon pon tata,NA,NA,Pon pon tata (song),NA
item_392,porfavor,word,games_routines,produces,por favor,NA,please,please,please
item_393,salud,word,games_routines,produces,salud,NA,NA,bless you,bless you
item_394,shhh,word,games_routines,produces,shhh,NA,NA,shhh,shh
item_395,siesta,word,games_routines,produces,siesta,NA,NA,nap,nap
