itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_147,pao,word,food_drink,produces,Pão,,,,Pão
item_148,papa,word,food_drink,produces,Papa,,,,Papa
item_149,pera,word,food_drink,produces,Pêra,,,,Pêra
item_150,pessego,word,food_drink,produces,Pêssego,,,,Pêssego
item_151,pizza,word,food_drink,produces,Piza,,,,Pizza
item_152,queijo,word,food_drink,produces,Queijo,,,,Queijo
item_153,rissol,word,food_drink,produces,Rissol,,,,Rissol
item_154,salsicha,word,food_drink,produces,Salsicha,,,,Salsicha
item_155,sopa,word,food_drink,produces,Sopa,,,,Sopa
item_156,sumo,word,food_drink,produces,Sumo,,,,Sumo
item_157,tangerina,word,food_drink,produces,Tangerina,,,,Tangerina
item_158,tomate,word,food_drink,produces,Tomate,,,,Tomate
item_159,uvas,word,food_drink,produces,Uvas,,,,Uvas
item_160,vinho,word,food_drink,produces,Vinho,,,,Vinho
item_161,anel,word,clothing,produces,Anel,,,,Anel
item_162,babete,word,clothing,produces,Babete,,,,Babete
item_163,bata,word,clothing,produces,Bata,,,,Bata
item_164,bibe,word,clothing,produces,Bibe,,,,Bibe
item_165,bone,word,clothing,produces,Boné,,,,Boné
item_166,botao,word,clothing,produces,Botão,,,,Botão
item_167,botas,word,clothing,produces,Botas,,,,Botas
item_168,cachecol,word,clothing,produces,Cachecol,,,,Cachecol
item_169,calcas,word,clothing,produces,Calças,,,,Calças
item_170,calcoes,word,clothing,produces,Calções,,,,Calções
item_171,camisa,word,clothing,produces,Camisa,,,,Camisa
item_172,camisola,word,clothing,produces,Camisola,,,,Camisola
item_173,casaco,word,clothing,produces,Casaco,,,,Casaco
item_174,chapeu,word,clothing,produces,Chapéu,,,,Chapéu
item_175,chinelos,word,clothing,produces,Chinelos,,,,Chinelos
item_176,cinto,word,clothing,produces,Cinto,,,,Cinto
item_177,colar,word,clothing,produces,Colar / Fio,,,,Colar
item_178,cuecas,word,clothing,produces,Cuecas,,,,Cuecas
item_179,fato_banho,word,clothing,produces,Fato de banho,,,,Fato_banho
item_180,fato_treino,word,clothing,produces,Fato de Treino,,,,Fato_treino
item_181,fita,word,clothing,produces,Fita,,,,Fita
item_182,fralda,word,clothing,produces,Fralda,,,,Fralda
item_183,gancho,word,clothing,produces,Gancho,,,,Gancho
item_184,gorro,word,clothing,produces,Gorro,,,,Gorro
item_185,guarda_chuva,word,clothing,produces,Guarda-Chuva / Chapéu de chuva,,,,Guarda_chuva
item_186,kispo,word,clothing,produces,Kispo / Blusão,,,,Kispo
item_187,luvas,word,clothing,produces,Luvas,,,,Luvas
item_188,meias,word,clothing,produces,Meias,,,,Meias
item_189,mochila,word,clothing,produces,Mochila,,,,Mochila
item_190,pantufas,word,clothing,produces,Pantufas,,,,Pantufas
item_191,pasta,word,clothing,produces,Pasta,,,,Pasta
item_192,pijama,word,clothing,produces,Pijama,,,,Pijama
item_193,relogio,word,clothing,produces,Relógio,,,,Relógio
item_194,roupa,word,clothing,produces,Roupa,,,,Roupa
item_195,saia,word,clothing,produces,Saia,,,,Saia
item_196,sandalias,word,clothing,produces,Sandálias,,,,Sandálias
item_197,sapatilhas,word,clothing,produces,Sapatilhas / Ténis,,,,Sapatilhas
item_198,sapato,word,clothing,produces,Sapato,,,,Sapato
item_199,totos,word,clothing,produces,Totós (elásticos de cabelo),,,,Totós
item_200,vestido,word,clothing,produces,Vestido,,,,Vestido
item_201,barriga,word,body_parts,produces,Barriga,,,,Barriga
item_202,boca,word,body_parts,produces,Boca,,,,Boca
item_203,bochechas,word,body_parts,produces,Bochechas,,,,Bochechas
item_204,bracos,word,body_parts,produces,Braços,,,,Braços
item_205,cabeca,word,body_parts,produces,Cabeça,,,,Cabeça
item_206,cabelo,word,body_parts,produces,Cabelo,,,,Cabelo
item_207,cara,word,body_parts,produces,Cara,,,,Cara
item_208,costas,word,body_parts,produces,Costas,,,,Costas
