"definition","uni_lemma","gloss","category","item","type","choices","complexity_category","itemID"
"kolač",,"cake","food_drink","kolac","word","produces",,"item_116"
"krafna",,"donut","food_drink","krafna","word","produces",,"item_117"
"krastavac",,"cucumber","food_drink","krastavac","word","produces",,"item_118"
"kruh",,"bread","food_drink","kruh","word","produces",,"item_119"
"krumpir",,"potato","food_drink","krumpir","word","produces",,"item_120"
"kruška",,"pear","food_drink","kruska","word","produces",,"item_121"
"kukuruz",,"corn","food_drink","kukuruz","word","produces",,"item_122"
"lizalica",,"lollipop","food_drink","lizalica","word","produces",,"item_123"
"mahune",,"green beans","food_drink","mahune","word","produces",,"item_124"
"marmelada",,"jam","food_drink","marmelada","word","produces",,"item_125"
"maslac",,"butter","food_drink","maslac","word","produces",,"item_126"
"med",,"honey","food_drink","med","word","produces",,"item_127"
"meso",,"meat","food_drink","meso","word","produces",,"item_128"
"mlijeko",,"milk","food_drink","mlijeko","word","produces",,"item_129"
"mrkve","carrots","carrots","food_drink","mrkve","word","produces",,"item_130"
"naranča",,"orange","food_drink","naranca","word","produces",,"item_131"
"njoke",,"gnocchi","food_drink","njoke","word","produces",,"item_132"
"orasi",,"walnuts","food_drink","orasi","word","produces",,"item_133"
"palačinka",,"pancake","food_drink","palacinka","word","produces",,"item_134"
"pecivo",,"rolls","food_drink","pecivo","word","produces",,"item_135"
"piće",,"drink","food_drink","pice","word","produces",,"item_136"
"pizza",,"pizza","food_drink","pizza","word","produces",,"item_137"
"pomfrit",,"french fries","food_drink","pomfrit","word","produces",,"item_138"
"puding",,"pudding","food_drink","puding","word","produces",,"item_139"
"riba (food)",,"fish","food_drink","riba","word","produces",,"item_140"
"salama",,"salami","food_drink","salama","word","produces",,"item_141"
"salata",,"lettuce","food_drink","salata","word","produces",,"item_142"
"sendvič",,"sandwich","food_drink","sendvic","word","produces",,"item_143"
"sir",,"cheese","food_drink","sir","word","produces",,"item_144"
"sladole","ice cream","ice cream","food_drink","sladole","word","produces",,"item_145"
"sok",,"juice","food_drink","sok","word","produces",,"item_146"
"sol",,"salt","food_drink","sol","word","produces",,"item_147"
"šećer",,"sugar","food_drink","secer","word","produces",,"item_148"
"špageti",,"spaghetti","food_drink","spageti","word","produces",,"item_149"
"špinat",,"spinach","food_drink","spinat","word","produces",,"item_150"
"tijesto",,"pasta","food_drink","tijesto","word","produces",,"item_151"
"trešnja",,"cherry","food_drink","tresnja","word","produces",,"item_152"
"umak",,"sauce","food_drink","umak","word","produces",,"item_153"
"voda (beverage)",,"water","food_drink","voda","word","produces",,"item_154"
"žvaka (žvakaća guma)",,"chewing gum","food_drink","zvaka_(zvakaca_guma)","word","produces",,"item_155"
"cipela","shoe","shoe","clothing","cipela","word","produces",,"item_156"
"čarapa","sock","sock","clothing","carapa","word","produces",,"item_157"
"čizme",,"boots","clothing","cizme","word","produces",,"item_158"
"gaćice",,"underpants","clothing","gacice","word","produces",,"item_159"
"gumb",,"button","clothing","gumb","word","produces",,"item_160"
"haljina",,"dress","clothing","haljina","word","produces",,"item_161"
"hlače",,"pants","clothing","hlace","word","produces",,"item_162"
"hulahopke",,"tights","clothing","hulahopke","word","produces",,"item_163"
"jakna",,"jacket","clothing","jakna","word","produces",,"item_164"
"kapa",,"hat","clothing","kapa","word","produces",,"item_165"
"kaput",,"coat","clothing","kaput","word","produces",,"item_166"
"(kratke) hlačice",,"shorts","clothing","(kratke)_hlacice","word","produces",,"item_167"
"lančić",,"necklace","clothing","lancic","word","produces",,"item_168"
"majica",,"shirt","clothing","majica","word","produces",,"item_169"
"Skafander (odijelce)",,"snowsuit","clothing","Skafander_(odijelce)","word","produces",,"item_170"
"papuče",,"slipper","clothing","papuce","word","produces",,"item_171"
"pelena",,"diaper","clothing","pelena","word","produces",,"item_172"
"pidžama",,"pajamas","clothing","pidzama","word","produces",,"item_173"
"pojas",,"belt","clothing","pojas","word","produces",,"item_174"
