Participant ID:,Sex:,Infant Birthdate:,Test Date:,Age (Months),Primary Caregiver:,Prim. Caregiver Education:,Secondary Caregiver: ,Sec. Caregiver Education: ,Income:,mom_ed,choo choo,meow,ouch,uh oh,bird,dog,duck,kitty,lion,mouse,car,stroller,ball,book,doll,bread,candy,cereal,cookie,juice,toast,hat,pants,shoe,sock,eye,head,leg,nose,tooth,chair,couch,kitchen,table,television,blanket,bottle,cup,dish,lamp,radio,spoon,flower,home,moon,outside,plant,rain,rock,water,babysitter,girl,grandma,mommy,bath,don't ,hi,night night,patty cake,please,wait,break,feed,finish,help,jump,kick,kiss,push,sing,smile,night,today,all gone,big,broken,dark,fast,hurt,pretty,soft,I,me,how,who,away,out,other,some,Total,Notes:
AS-022,M,2009-08-12,2010-11-30,15.62,Mother,Graduate Degree,Father,College Degree,"$61,000-$80,000",Graduate Degree,0,0,0,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
AS-023,M,2009-05-10,2010-11-30,18.71,Mother,College Degree,Father,College Degree,"$81,000-$100,000",College Degree,2,2,2,2,1,2,2,1,1,1,2,0,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,0,2,1,0,0,1,2,2,2,1,0,2,2,2,0,0,1,2,2,1,2,1,0,2,0,0,2,0,1,1,1,1,1,1,1,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,65,
AS-024,F,2009-04-24,2010-12-02,19.3,Mother,Graduate Degree,Father,Gradaute Degree,"Above $150,000",Graduate Degree,2,2,2,2,1,1,2,1,1,2,1,1,2,1,1,2,0,1,1,2,1,2,0,2,1,2,2,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,
AS-025,F,2009-05-29,2010-12-02,18.15,Nanny,College Degree,Mother,Graduate Degree,"Above $150,000",Graduate Degree,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,0,0,2,0,2,0,1,0,1,1,0,1,1,1,0,0,1,0,0,2,1,0,0,1,0,2,1,0,1,0,0,0,1,2,0,1,2,1,2,2,2,0,2,2,0,2,2,1,2,0,1,1,1,1,0,0,2,0,0,0,1,2,1,0,1,0,0,1,0,1,1,0,58,
AS-026,F,2009-04-23,2010-12-06,19.46,Mother,High School Diploma,,,"Less than $25,000",High School Diploma,0,1,2,2,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36,
AS-027,M,2009-07-20,2010-12-06,16.57,Mother,College Degree,Father,Graduate Degree,"$121,000-$150,000",College Degree,2,2,2,2,1,2,2,2,1,0,2,1,2,2,1,1,1,1,2,0,0,1,1,2,1,2,1,1,2,1,1,1,1,1,0,2,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,0,1,2,1,2,2,1,0,2,1,1,2,1,1,2,0,1,1,1,0,1,0,2,1,1,1,0,2,0,1,0,0,0,1,1,1,1,0,73,
AS-028,M,2008-12-04,2010-12-07,24.1,Mother,Graduate Degree,Grandmother/Grandfather,College Degree,"$61,000-$80,000",Graduate Degree,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,89,
AS-029,F,2008-11-14,2010-12-07,24.76,Mother,Graduate Degree,Father,Graduate Degree,"Above $150,000",Graduate Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,2,2,0,0,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,0,2,2,2,2,0,2,2,2,2,2,1,1,0,2,2,2,80,
AS-030,F,2008-11-14,2010-12-09,24.82,Mother,Graduate Degree,Father,Graduate Degree,"Above $150,000",Graduate Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2,84,
AS-031,M,2009-05-15,2010-12-09,18.84,Mother,Graduate Degree,Father,Graduate Degree,"$101,000-$120,000",Graduate Degree,2,2,2,2,1,2,2,2,0,0,2,2,2,2,1,1,0,1,2,2,0,2,2,2,2,1,1,1,1,2,2,1,1,0,2,0,2,2,0,0,1,1,1,1,2,2,2,1,1,2,2,0,0,2,2,0,2,0,0,0,1,0,1,1,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,56,
AS-032,F,2009-01-27,2011-02-21,24.82,Mother,College Degree,,,"$61,000-$80,000",College Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,78,
AS-033,M,2009-03-06,2011-02-22,23.61,Mother,Graduate Degree,Father,Gradaute,"Above $150,000",Graduate Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,89,
AS-034,M,2009-02-10,2011-02-25,24.49,Father,College Degree,Mother,MD,"Above $150,000",Graduate Degree,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,0,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,0,0,1,2,2,2,2,2,1,2,2,2,0,2,2,2,2,1,2,2,1,2,0,0,0,0,2,2,2,2,2,2,2,2,0,2,2,1,1,2,1,1,2,2,1,0,0,0,2,2,1,77,
AS-035,F,2009-10-19,2011-02-28,16.34,Mother,Graduate Degree,Father,Graduate Degree,,Graduate Degree,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,
AS-036,F,2009-02-27,2011-03-04,24.16,Mother,College Degree,Father,High School Diploma,"$41,000-$60,000",College Degree,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,0,2,2,2,2,2,1,1,2,2,2,1,1,1,2,0,0,85,
AS-037,M,2009-08-20,2011-03-07,18.54,Mother,College Degree,Father,College Degree,"Above $150,000",College Degree,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,0,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,1,2,0,1,1,0,2,0,2,0,1,1,2,1,1,2,1,1,0,1,1,1,2,1,0,1,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,61,
AS-038,F,2009-10-10,2011-03-08,16.9,Mother,College Degree,Father,College Degree,"$121,000-$150,000",College Degree,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
AS-039,F,2009-11-20,2011-03-14,15.75,Mother,Graduate Degree,Father,Graduate Degree,"Above $150,000",Graduate Degree,0,2,2,2,2,1,1,1,0,1,1,1,2,2,1,1,0,0,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,2,1,1,1,0,2,0,0,1,2,2,1,2,2,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,55,
AS-040,M,2009-11-25,2011-03-15,15.62,Mother,College Degree,Father,College Degree,"$41,000-$60,000",College Degree,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89,
AS-041,F,2009-08-28,2011-03-16,18.58,Mother,Graduate Degree,Father,Graduate Degree,"$81,000-$100,000",Graduate Degree,1,2,1,2,2,1,1,2,1,0,1,1,2,1,1,2,0,1,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,2,2,1,2,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,74,
AS-042,M,2009-11-07,2011-03-17,16.27,Mother,College Degree,Father,Graduate Degree,"$81,000-$100,000",College Degree,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,
AS-043,M,2009-02-20,2011-03-18,24.85,Mother,College Degree,Daycare,,"$81,000-$100,000",College Degree,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,0,2,1,0,2,2,2,2,0,2,2,2,1,2,0,2,2,2,2,1,2,2,2,0,2,0,0,0,0,0,0,75,
AS-044,F,2009-12-13,2011-03-28,15.45,Mother,Graduate Degree,,,"$101,000-$120,000",Graduate Degree,0,0,0,0,1,2,1,2,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
AS-045,M,2009-12-17,2011-03-29,15.35,Mother,Graduate Degree,Father,College Degree,"$101,000-$120,000",Graduate Degree,0,1,0,1,1,2,1,2,0,0,1,1,1,2,0,0,0,0,1,1,0,2,1,2,2,1,0,1,2,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,2,2,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,0,1,1,2,1,1,0,0,1,1,1,2,2,1,1,1,1,1,1,68,
AS-046,M,2009-08-21,2011-03-29,19.23,Mother,College Degree,Father,Some College,"$81,000-$100,000",College Degree,0,1,2,2,2,2,2,2,1,0,1,1,2,1,2,0,1,0,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,0,2,1,1,2,1,2,1,0,1,0,2,1,2,2,1,2,0,2,2,1,0,0,0,1,2,0,2,1,2,2,2,0,2,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,70,
AS-047,M,2009-11-20,2011-03-31,16.31,Mother,College Degree,Father,College Degree,"$61,000-$80,000",College Degree,0,1,2,2,2,2,2,2,0,0,2,1,2,2,0,0,0,1,2,1,0,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,0,1,2,2,1,1,2,1,1,2,1,0,1,2,1,1,1,1,1,0,1,1,0,2,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,71,
AS-048,F,2009-08-21,2011-03-31,19.3,Mother,High School Diploma,Father,High School Diploma,"Less than $25,000",High School Diploma,1,1,1,2,2,2,2,2,1,0,2,1,2,2,2,1,0,1,2,1,0,1,1,2,2,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,2,2,0,1,1,2,2,0,2,2,0,2,1,0,0,0,1,0,0,2,0,1,1,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,58,
AS-049,M,2009-12-17,2011-04-01,15.45,Daycare,,Mother,Graduate Degree,"$121,000-$150,000",Graduate Degree,0,0,0,1,0,2,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,
AS-050,M,2010-01-30,2011-04-04,14.1,Mother,College Degree,Father,College Degree,"$81,000-$100,000",College Degree,0,1,0,2,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,
AS-051,M,2009-04-05,2011-04-06,24.03,Mother,Graduate Degree,Father,College Degree,"$61,000-$80,000",Graduate Degree,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,0,0,1,2,0,1,86,
AS-052,F,2009-08-22,2011-04-08,19.53,Grandparent,College Degree,Mother,Graduate Degree,"Above $150,000",Graduate Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,1,0,1,0,2,2,2,2,2,2,1,1,1,2,2,2,0,2,2,2,2,1,1,1,1,2,2,0,1,80,
AS-053,F,2009-12-08,2011-04-08,15.98,Mother,College Degree,Grandmother/father*,No High School,"$25,000-$40,000",College Degree,0,0,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
AS-054,F,2009-09-03,2011-04-11,19.23,Mother,College Degree,Father,Graduate Degree,"$121,000-$150,000",College Degree,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,1,1,2,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
