CatGram,Semantic Cat,category,definition,itemID
Nouns,small houseold items,household,feuille,item_220
Nouns,small houseold items,household,fourchette,item_221
Nouns,small houseold items,household,horloge,item_222
Nouns,small houseold items,household,lampe,item_223
Nouns,small houseold items,household,lumière,item_224
Nouns,small houseold items,household,lunettes,item_225
Nouns,small houseold items,household,marteau,item_226
Nouns,small houseold items,household,médicaments,item_227
Nouns,small houseold items,household,montre,item_228
Nouns,small houseold items,household,mouchoir,item_229
Nouns,small houseold items,household,musique,item_230
Nouns,small houseold items,household,ordures,item_231
Nouns,small houseold items,household,oreiller,item_232
Nouns,small houseold items,household,panier,item_233
Nouns,small houseold items,household,papier,item_234
Nouns,small houseold items,household,peigne,item_235
Nouns,small houseold items,household,photo,item_236
Nouns,small houseold items,household,plante,item_237
Nouns,small houseold items,household,plat,item_238
Nouns,small houseold items,household,plateau,item_239
Nouns,small houseold items,household,porte-monnaie,item_240
Nouns,small houseold items,household,pot,item_241
Nouns,small houseold items,household,poubelle,item_242
Nouns,small houseold items,household,radio,item_243
Nouns,small houseold items,household,savon,item_244
Nouns,small houseold items,household,seau,item_245
Nouns,small houseold items,household,serpillière,item_246
Nouns,small houseold items,household,serviette,item_247
Nouns,small houseold items,household,serviette de table,item_248
Nouns,small houseold items,household,sirop,item_249
Nouns,small houseold items,household,sous/pièces,item_250
Nouns,small houseold items,household,sucette,item_251
Nouns,small houseold items,household,tasse,item_252
Nouns,small houseold items,household,télécommande ,item_253
Nouns,small houseold items,household,téléphone,item_254
Nouns,small houseold items,household,trotteur,item_255
Nouns,small houseold items,household,verre,item_256
Nouns,body parts,body_parts,aïe bobo,item_257
Nouns,body parts,body_parts,bouche,item_258
Nouns,body parts,body_parts,bras,item_259
Nouns,body parts,body_parts,cheveux,item_260
Nouns,body parts,body_parts,cheville,item_261
Nouns,body parts,body_parts,coeur,item_262
Nouns,body parts,body_parts,dent,item_263
Nouns,body parts,body_parts,doigt,item_264
Nouns,body parts,body_parts,doigt de pied,item_265
Nouns,body parts,body_parts,fesses,item_266
Nouns,body parts,body_parts,figure/visage,item_267
Nouns,body parts,body_parts,genou,item_268
Nouns,body parts,body_parts,jambe,item_269
Nouns,body parts,body_parts,joue,item_270
Nouns,body parts,body_parts,langue,item_271
Nouns,body parts,body_parts,lèvre,item_272
Nouns,body parts,body_parts,main,item_273
Nouns,body parts,body_parts,menton,item_274
Nouns,body parts,body_parts,nez,item_275
Nouns,body parts,body_parts,nombril,item_276
Nouns,body parts,body_parts,oreille,item_277
Nouns,body parts,body_parts,pénis,item_278
Nouns,body parts,body_parts,pied,item_279
Nouns,body parts,body_parts,pouce,item_280
Nouns,body parts,body_parts,tête,item_281
Nouns,body parts,body_parts,vagin,item_282
Nouns,body parts,body_parts,ventre,item_283
Nouns,body parts,body_parts,yeux,item_284
Nouns,food and drinks,food_drink,baguette,item_285
Nouns,food and drinks,food_drink,banane,item_286
Nouns,food and drinks,food_drink,beignet,item_287
Nouns,food and drinks,food_drink,beurre,item_288
Nouns,food and drinks,food_drink,boisson,item_289
Nouns,food and drinks,food_drink,bonbons,item_290
Nouns,food and drinks,food_drink,bretzel,item_291
Nouns,food and drinks,food_drink,café,item_292
Nouns,food and drinks,food_drink,carotte,item_293
Nouns,food and drinks,food_drink,céréales,item_294
Nouns,food and drinks,food_drink,chewing-gum,item_295
Nouns,food and drinks,food_drink,chips,item_296
Nouns,food and drinks,food_drink,chocolat,item_297
Nouns,food and drinks,food_drink,clémentine,item_298
Nouns,food and drinks,food_drink,coca,item_299
Nouns,food and drinks,food_drink,compote,item_300
Nouns,food and drinks,food_drink,confiture,item_301
Nouns,food and drinks,food_drink,cornflakes,item_302
Nouns,food and drinks,food_drink,courge,item_303
Nouns,food and drinks,food_drink,crêpe,item_304
Nouns,food and drinks,food_drink,eau,item_305
Nouns,food and drinks,food_drink,esquimau,item_306
Nouns,food and drinks,food_drink,flan,item_307
Nouns,food and drinks,food_drink,fraise,item_308
Nouns,food and drinks,food_drink,frites,item_309
Nouns,food and drinks,food_drink,fromage,item_310
Nouns,food and drinks,food_drink,gâteau,item_311
Nouns,food and drinks,food_drink,gâteaux apéro,item_312
Nouns,food and drinks,food_drink,glace,item_313
Nouns,food and drinks,food_drink,glaçon,item_314
Nouns,food and drinks,food_drink,hamburger,item_315
Nouns,food and drinks,food_drink,haricot,item_316
Nouns,food and drinks,food_drink,haricots verts,item_317
Nouns,food and drinks,food_drink,jus de fruit,item_318
Nouns,food and drinks,food_drink,kiwi,item_319
Nouns,food and drinks,food_drink,lait,item_320
Nouns,food and drinks,food_drink,limonade,item_321
Nouns,food and drinks,food_drink,madeleine,item_322
Nouns,food and drinks,food_drink,maïs,item_323
Nouns,food and drinks,food_drink,mayonnaise,item_324
Nouns,food and drinks,food_drink,melon,item_325
Nouns,food and drinks,food_drink,noisettes,item_326
Nouns,food and drinks,food_drink,nourriture,item_327
Nouns,food and drinks,food_drink,nutella,item_328
Nouns,food and drinks,food_drink,oeuf,item_329
Nouns,food and drinks,food_drink,orange,item_330
Nouns,food and drinks,food_drink,pain,item_331
Nouns,food and drinks,food_drink,pâtes,item_332
Nouns,food and drinks,food_drink,petits gâteaux,item_333
Nouns,food and drinks,food_drink,petits pois,item_334
Nouns,food and drinks,food_drink,petits pots,item_335
Nouns,food and drinks,food_drink,pizza,item_336
Nouns,food and drinks,food_drink,poisson,item_337
Nouns,food and drinks,food_drink,pomme,item_338
Nouns,food and drinks,food_drink,pomme de terre,item_339
Nouns,food and drinks,food_drink,pop-corn,item_340
Nouns,food and drinks,food_drink,poulet,item_341
Nouns,food and drinks,food_drink,purée,item_342
Nouns,food and drinks,food_drink,raisin,item_343
Nouns,food and drinks,food_drink,raisins secs,item_344
Nouns,food and drinks,food_drink,sandwich,item_345
Nouns,food and drinks,food_drink,sauce,item_346
Nouns,food and drinks,food_drink,sel,item_347
Nouns,food and drinks,food_drink,soupe,item_348
Nouns,food and drinks,food_drink,spaghetti,item_349
Nouns,food and drinks,food_drink,sucette,item_350
Nouns,food and drinks,food_drink,sucre,item_351
Nouns,food and drinks,food_drink,tartine,item_352
Nouns,food and drinks,food_drink,thon,item_353
Nouns,food and drinks,food_drink,vanille,item_354
Nouns,food and drinks,food_drink,viande,item_355
Nouns,food and drinks,food_drink,vitamines,item_356
Nouns,food and drinks,food_drink,yaourt,item_357
Nouns,furniture and rooms,furniture_rooms,baignoire,item_358
Nouns,furniture and rooms,furniture_rooms,banc,item_359
Nouns,furniture and rooms,furniture_rooms,berceau,item_360
Nouns,furniture and rooms,furniture_rooms,canapé,item_361
Nouns,furniture and rooms,furniture_rooms,cave,item_362
Nouns,furniture and rooms,furniture_rooms,chaise,item_363
Nouns,furniture and rooms,furniture_rooms,chaise haute,item_364
Nouns,furniture and rooms,furniture_rooms,chambre,item_365
Nouns,furniture and rooms,furniture_rooms,cuisine,item_366
Nouns,furniture and rooms,furniture_rooms,cuisinière,item_367
Nouns,furniture and rooms,furniture_rooms,douche,item_368
Nouns,furniture and rooms,furniture_rooms,entrée,item_369
Nouns,furniture and rooms,furniture_rooms,escalier,item_370
Nouns,furniture and rooms,furniture_rooms,étendage,item_371
Nouns,furniture and rooms,furniture_rooms,évier,item_372
Nouns,furniture and rooms,furniture_rooms,fauteuil,item_373
Nouns,furniture and rooms,furniture_rooms,fenêtre,item_374
Nouns,furniture and rooms,furniture_rooms,four,item_375
Nouns,furniture and rooms,furniture_rooms,frigo,item_376
Nouns,furniture and rooms,furniture_rooms,garage,item_377
Nouns,furniture and rooms,furniture_rooms,lavabo,item_378
Nouns,furniture and rooms,furniture_rooms,lit,item_379
Nouns,furniture and rooms,furniture_rooms,machine à laver,item_380
Nouns,furniture and rooms,furniture_rooms,parc,item_381
Nouns,furniture and rooms,furniture_rooms,pièce,item_382
Nouns,furniture and rooms,furniture_rooms,porte,item_383
Nouns,furniture and rooms,furniture_rooms,pot,item_384
Nouns,furniture and rooms,furniture_rooms,salle de bain,item_385
Nouns,furniture and rooms,furniture_rooms,salon,item_386
Nouns,furniture and rooms,furniture_rooms,table,item_387
Nouns,furniture and rooms,furniture_rooms,télé,item_388
Nouns,furniture and rooms,furniture_rooms,tiroir,item_389
Nouns,furniture and rooms,furniture_rooms,wc,item_390
Nouns,People,people,bébé,item_391
Nouns,People,people,clown,item_392
Nouns,People,people,copain/ine,item_393
Nouns,People,people,dame,item_394
Nouns,People,people,docteur,item_395
Nouns,People,people,enfant,item_396
Nouns,People,people,facteur,item_397
Nouns,People,people,fille,item_398
Nouns,People,people,frère,item_399
Nouns,People,people,garçon,item_400
Nouns,People,people,gens,item_401
Nouns,People,people,grand-mère,item_402
Nouns,People,people,grand-père,item_403
Nouns,People,people,infirmière,item_404
Nouns,People,people,maître/sse,item_405
Nouns,People,people,maman,item_406
Nouns,People,people,monsieur,item_407
Nouns,People,people,nom de la nounou,item_410
Nouns,People,people,nom de l'animal domestique,item_408
Nouns,People,people,nom de l'enfant,item_409
Nouns,People,people,nounou,item_411
Nouns,People,people,oncle,item_412
Nouns,People,people,papa,item_413
Nouns,People,people,personne,item_414
Nouns,People,people,police,item_415
Nouns,People,people,pompier,item_416
Nouns,People,people,soeur,item_417
Nouns,People,people,tante,item_418
Predicates,descriptive words,descriptive_words,attention,item_419
Predicates,descriptive words,descriptive_words,avoir faim,item_420
Predicates,descriptive words,descriptive_words,avoir peur,item_421
Predicates,descriptive words,descriptive_words,avoir soif,item_422
Predicates,descriptive words,descriptive_words,avoir sommeil,item_423
Predicates,descriptive words,descriptive_words,beau/belle,item_424
Predicates,descriptive words,descriptive_words,bien,item_425
Predicates,descriptive words,descriptive_words,blanc/he,item_426
Predicates,descriptive words,descriptive_words,blessé,item_427
Predicates,descriptive words,descriptive_words,bleu,item_428
Predicates,descriptive words,descriptive_words,bon/ne,item_429
Predicates,descriptive words,descriptive_words,bruyant/e,item_430
Predicates,descriptive words,descriptive_words,cassé,item_431
Predicates,descriptive words,descriptive_words,chaud/e,item_432
Predicates,descriptive words,descriptive_words,coincé,item_433
Predicates,descriptive words,descriptive_words,collant/e,item_434
Predicates,descriptive words,descriptive_words,content/te,item_435
Predicates,descriptive words,descriptive_words,coquin/e,item_436
Predicates,descriptive words,descriptive_words,dégoutant/e,item_437
Predicates,descriptive words,descriptive_words,dernier/e,item_438
Predicates,descriptive words,descriptive_words,doux/ce,item_439
Predicates,descriptive words,descriptive_words,dur,item_440
Predicates,descriptive words,descriptive_words,endormi,item_441
Predicates,descriptive words,descriptive_words,être réveillé,item_442
Predicates,descriptive words,descriptive_words,fatigué,item_443
Predicates,descriptive words,descriptive_words,fort/e,item_444
Predicates,descriptive words,descriptive_words,fou/folle,item_445
Predicates,descriptive words,descriptive_words,froid,item_446
Predicates,descriptive words,descriptive_words,gentil/le,item_447
Predicates,descriptive words,descriptive_words,grand,item_448
Predicates,descriptive words,descriptive_words,haut/e,item_449
Predicates,descriptive words,descriptive_words,jaune,item_450
Predicates,descriptive words,descriptive_words,joli,item_451
Predicates,descriptive words,descriptive_words,lent/e,item_452
Predicates,descriptive words,descriptive_words,long/ue,item_453
Predicates,descriptive words,descriptive_words,lourd/e,item_454
Predicates,descriptive words,descriptive_words,malade,item_455
Predicates,descriptive words,descriptive_words,marron,item_456
Predicates,descriptive words,descriptive_words,méchant/e,item_457
Predicates,descriptive words,descriptive_words,mieux,item_458
Predicates,descriptive words,descriptive_words,mignon/ne,item_459
Predicates,descriptive words,descriptive_words,minuscule,item_460
Predicates,descriptive words,descriptive_words,mouillé,item_461
Predicates,descriptive words,descriptive_words,neuf/ve,item_462
Predicates,descriptive words,descriptive_words,noir,item_463
Predicates,descriptive words,descriptive_words,orange,item_464
Predicates,descriptive words,descriptive_words,parti,item_465
Predicates,descriptive words,descriptive_words,pas bon,item_466
Predicates,descriptive words,descriptive_words,petit/e,item_467
Predicates,descriptive words,descriptive_words,plein/ne,item_468
Predicates,descriptive words,descriptive_words,premier/ère,item_469
Predicates,descriptive words,descriptive_words,propre,item_470
Predicates,descriptive words,descriptive_words,rouge,item_471
Predicates,descriptive words,descriptive_words,sale,item_472
Predicates,descriptive words,descriptive_words,sec/che,item_473
Predicates,descriptive words,descriptive_words,sombre,item_474
Predicates,descriptive words,descriptive_words,tendre,item_475
Predicates,descriptive words,descriptive_words,tranquille,item_476
Predicates,descriptive words,descriptive_words,triste,item_477
Predicates,descriptive words,descriptive_words,venteux,item_478
Predicates,descriptive words,descriptive_words,vert/e,item_479
Predicates,descriptive words,descriptive_words,vide,item_480
Predicates,descriptive words,descriptive_words,vieux/vieille,item_481
Predicates,descriptive words,descriptive_words,vilain/e,item_482
Predicates,descriptive words,descriptive_words,vite,item_483
Predicates,actions,action_words,acheter,item_484
Predicates,actions,action_words,aider,item_485
Predicates,actions,action_words,aimer,item_486
Predicates,actions,action_words,aimer bien,item_487
Predicates,actions,action_words,aller,item_488
Predicates,actions,action_words,aller bien avec,item_489
Predicates,actions,action_words,apporter,item_490
Predicates,actions,action_words,arracher,item_491
Predicates,actions,action_words,arrêter,item_492
Predicates,actions,action_words,attendre,item_493
Predicates,actions,action_words,attraper,item_494
Predicates,actions,action_words,avoir,item_495
Predicates,actions,action_words,balancer,item_496
Predicates,actions,action_words,balayer,item_497
Predicates,actions,action_words,boire,item_498
Predicates,actions,action_words,cacher,item_499
Predicates,actions,action_words,casser,item_500
Predicates,actions,action_words,chanter,item_501
Predicates,actions,action_words,chatouiller,item_502
Predicates,actions,action_words,conduire,item_503
Predicates,actions,action_words,construire,item_504
Predicates,actions,action_words,couper,item_505
Predicates,actions,action_words,courir,item_506
Predicates,actions,action_words,courir après,item_507
Predicates,actions,action_words,couvrir,item_508
Predicates,actions,action_words,cuisiner,item_509
Predicates,actions,action_words,danser,item_510
Predicates,actions,action_words,déchirer,item_511
Predicates,actions,action_words,déposer,item_512
Predicates,actions,action_words,dessiner,item_513
Predicates,actions,action_words,détester,item_514
Predicates,actions,action_words,dire,item_515
Predicates,actions,action_words,donner,item_516
Predicates,actions,action_words,donner un coup de pied,item_517
Predicates,actions,action_words,dormir,item_518
Predicates,actions,action_words,éclabousser,item_519
Predicates,actions,action_words,écouter,item_520
Predicates,actions,action_words,écrire,item_521
Predicates,actions,action_words,entendre,item_522
Predicates,actions,action_words,essuyer,item_523
Predicates,actions,action_words,être debout,item_524
Predicates,actions,action_words,faire,item_525
Predicates,actions,action_words,faire bravo,item_526
Predicates,actions,action_words,faire de la peinture,item_527
Predicates,actions,action_words,faire du patin,item_528
Predicates,actions,action_words,faire du vélo/moto,item_529
Predicates,actions,action_words,faire semblant,item_530
Predicates,actions,action_words,faire un bisou,item_531
Predicates,actions,action_words,fermer,item_532
Predicates,actions,action_words,finir,item_533
Predicates,actions,action_words,frapper à la porte,item_534
Predicates,actions,action_words,glisser,item_535
Predicates,actions,action_words,goûter,item_536
Predicates,actions,action_words,goutter,item_537
Predicates,actions,action_words,grimper,item_538
Predicates,actions,action_words,jeter,item_539
Predicates,actions,action_words,jouer,item_540
Predicates,actions,action_words,laver,item_541
Predicates,actions,action_words,lécher,item_542
Predicates,actions,action_words,lire,item_543
Predicates,actions,action_words,manger,item_544
Predicates,actions,action_words,marcher,item_545
Predicates,actions,action_words,mettre,item_546
Predicates,actions,action_words,montrer,item_547
Predicates,actions,action_words,mordre,item_548
Predicates,actions,action_words,nager,item_549
Predicates,actions,action_words,nettoyer,item_550
Predicates,actions,action_words,nourrir,item_551
Predicates,actions,action_words,ouvrir,item_552
Predicates,actions,action_words,parler,item_553
Predicates,actions,action_words,partager,item_554
Predicates,actions,action_words,penser,item_555
Predicates,actions,action_words,pleurer,item_556
Predicates,actions,action_words,porter,item_557
Predicates,actions,action_words,pousser,item_558
Predicates,actions,action_words,prendre,item_559
Predicates,actions,action_words,prendre dans ses bras,item_560
Predicates,actions,action_words,ramasser,item_561
Predicates,actions,action_words,recevoir,item_562
Predicates,actions,action_words,regarder,item_563
Predicates,actions,action_words,renverser,item_564
Predicates,actions,action_words,réparer,item_565
Predicates,actions,action_words,rester,item_566
Predicates,actions,action_words,s'asseoir,item_567
Predicates,actions,action_words,sauter,item_568
Predicates,actions,action_words,se cogner,item_569
Predicates,actions,action_words,se dépêcher,item_570
Predicates,actions,action_words,se réveiller,item_571
Predicates,actions,action_words,sécher,item_572
Predicates,actions,action_words,secouer,item_573
Predicates,actions,action_words,souffler,item_574
Predicates,actions,action_words,souhaiter,item_575
Predicates,actions,action_words,sourire,item_576
Predicates,actions,action_words,taper,item_577
Predicates,actions,action_words,tenir,item_578
Predicates,actions,action_words,tirer,item_579
Predicates,actions,action_words,tomber,item_580
Predicates,actions,action_words,toucher,item_581
Predicates,actions,action_words,travailler,item_582
Predicates,actions,action_words,trouver,item_583
Predicates,actions,action_words,verser,item_584
Predicates,actions,action_words,voir,item_585
CCI,words about time,time_words,après,item_586
CCI,words about time,time_words,aujourd'hui,item_587
CCI,words about time,time_words,avant,item_588
CCI,words about time,time_words,ce soir,item_589
CCI,words about time,time_words,demain,item_590
CCI,words about time,time_words,heure,item_591
CCI,words about time,time_words,hier,item_592
CCI,words about time,time_words,jour,item_593
CCI,words about time,time_words,maintenant,item_594
CCI,words about time,time_words,matin,item_595
CCI,words about time,time_words,nuit,item_596
CCI,Auxiliaries,helping_verbs,a fait,item_597
CCI,Auxiliaries,helping_verbs,aller,item_598
CCI,Auxiliaries,helping_verbs,avoir à faire,item_599
CCI,Auxiliaries,helping_verbs,avoir besoin de,item_600
CCI,Auxiliaries,helping_verbs,devoir faire,item_601
CCI,Auxiliaries,helping_verbs,essayer de,item_602
CCI,Auxiliaries,helping_verbs,est,item_603
CCI,Auxiliaries,helping_verbs,était,item_604
CCI,Auxiliaries,helping_verbs,être,item_605
CCI,Auxiliaries,helping_verbs,faire,item_606
CCI,Auxiliaries,helping_verbs,fait,item_607
CCI,Auxiliaries,helping_verbs,laisse-moi,item_608
CCI,Auxiliaries,helping_verbs,ne pas,item_609
CCI,Auxiliaries,helping_verbs,peux,item_610
CCI,Auxiliaries,helping_verbs,pourrait,item_611
CCI,Auxiliaries,helping_verbs,sont,item_612
CCI,Auxiliaries,helping_verbs,suis,item_613
CCI,Auxiliaries,helping_verbs,vouloir,item_614
CCI,question words,question_words,comment,item_615
CCI,question words,question_words,le/la/les/quel(les),item_616
CCI,question words,question_words,où,item_617
