itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_1,NA,word,understands; produces,sounds,ach,NA,oh,oh
item_59,NA,word,understands; produces,animals,mravec,NA,ant,ant
item_60,NA,word,understands; produces,animals,mucha,NA,fly,fly (animal)
item_61,NA,word,understands; produces,animals,myška,NA,mouse,mouse
item_62,NA,word,understands; produces,animals,opica,NA,monkey,monkey
item_63,NA,word,understands; produces,animals,ovca / baran,NA,sheep / ram,sheep
item_64,NA,word,understands; produces,animals,papagáj,NA,parrot,parrot
item_65,NA,word,understands; produces,animals,parôžky,NA,stag,deer
item_66,NA,word,understands; produces,animals,pavúk,NA,spider,spider
item_67,NA,word,understands; produces,animals,pes / havo,NA,dog,dog
item_68,NA,word,understands; produces,animals,prasa /sviňa / svinka,NA,pig / sow,pig
item_69,NA,word,understands; produces,animals,včela,NA,honey bee,bee
item_70,NA,word,understands; produces,animals,veverička,NA,squirrel,squirrel
item_71,NA,word,understands; produces,animals,vlk,NA,Wolf,wolf
item_72,NA,word,understands; produces,animals,vrabec,NA,sparrow,sparrow
item_73,NA,word,understands; produces,animals,vrana,NA,Crow,crow
item_74,NA,word,understands; produces,animals,vtáčik,NA,bird,bird
item_75,NA,word,understands; produces,animals,zajac,NA,Hare,bunny
item_76,NA,word,understands; produces,animals,zebra,NA,zebra,zebra
item_77,NA,word,understands; produces,animals,zobák,NA,beak,beak
item_78,NA,word,understands; produces,animals,zviera,NA,the animal,animal
item_79,NA,word,understands; produces,animals,žaba,NA,frog,frog
item_80,NA,word,understands; produces,animals,žirafa,NA,giraffe,giraffe
item_81,NA,word,understands; produces,vehicles,auto,NA,car,car
item_82,NA,word,understands; produces,vehicles,autobus,NA,the bus,bus
item_83,NA,word,understands; produces,vehicles,bager,NA,excavator,NA
item_84,NA,word,understands; produces,vehicles,bicykel,NA,a bike,bicycle
item_85,NA,word,understands; produces,vehicles,džíp,NA,jeep,jeep
item_86,NA,word,understands; produces,vehicles,typy áut (fábia; mercede; /…),NA,Types of cars (Fabia / Mercedes / ...),NA
item_87,NA,word,understands; produces,vehicles,formula,NA,formula,NA
item_88,NA,word,understands; produces,vehicles,kamión,NA,truck,truck
item_89,NA,word,understands; produces,vehicles,kočiar /kočík,NA,carriage / stroller,stroller
item_90,NA,word,understands; produces,vehicles,lietadlo,NA,a plane,airplane
item_91,NA,word,understands; produces,vehicles,loď / čln,NA,ship / boat,boat
item_92,NA,word,understands; produces,vehicles,lokomotíva / rušeň,NA,locomotive / locomotive,locomotive
item_93,NA,word,understands; produces,vehicles,miešačka,NA,mixer,NA
item_94,NA,word,understands; produces,vehicles,mercedes,NA,mercedes,NA
item_95,NA,word,understands; produces,vehicles,motorka,NA,motorbike,motorcycle
item_96,NA,word,understands; produces,vehicles,raketa,NA,rocket,rocket
item_97,NA,word,understands; produces,vehicles,sanitka,NA,ambulance,ambulance
item_98,NA,word,understands; produces,vehicles,traktor,NA,tractor,tractor
item_99,NA,word,understands; produces,vehicles,trojkolka,NA,tricycle,tricycle
item_100,NA,word,understands; produces,vehicles,vagón,NA,wagon,car
item_101,NA,word,understands; produces,vehicles,vlak,NA,the train,train
item_102,NA,word,understands; produces,vehicles,vlečka,NA,train,train
item_103,NA,word,understands; produces,vehicles,volant,NA,steering wheel,NA
item_104,NA,word,understands; produces,vehicles,vozík,NA,trolley,trolley
item_105,NA,word,understands; produces,vehicles,vrtuľník / helikoptéra,NA,helicopter / helicopter,helicopter
item_106,NA,word,understands; produces,vehicles,žeriav,NA,crane,crane
item_107,NA,word,understands; produces,toys,bábika,NA,doll,doll
item_108,NA,word,understands; produces,toys,balón,NA,balloon,balloon
item_109,NA,word,understands; produces,toys,bublina / bublifuk,NA,Bubble / Bubble Blower,bubbles
item_110,NA,word,understands; produces,toys,bubon,NA,drum,drum (object)
item_111,NA,word,understands; produces,toys,dráčik,NA,dragon,dragon
item_112,NA,word,understands; produces,toys,guľka,NA,bullet,ball
item_113,NA,word,understands; produces,toys,kocka,NA,hot girl,blocks
item_114,NA,word,understands; produces,toys,lopta / gól,NA,ball / goal,ball
item_115,NA,word,understands; produces,toys,panák / figúrka,NA,dummy / figurine,NA
item_116,NA,word,understands; produces,toys,vedierko / kýblik,NA,bucket / pail,bucket
item_117,NA,word,understands; produces,toys,formička,NA,mold,NA
item_118,NA,word,understands; produces,toys,puzzle / skladačka,NA,puzzle / Jigsaw,puzzle
item_119,NA,word,understands; produces,toys,obrázok,NA,a picture,picture
item_120,NA,word,understands; produces,toys,písmenká / abeceda,NA,letters / alphabet,alphabet
item_121,NA,word,understands; produces,toys,kniha,NA,a book,book
item_122,NA,word,understands; produces,toys,karta,NA,card,card
item_123,NA,word,understands; produces,toys,pexeso,NA,Memory Game,NA
item_124,NA,word,understands; produces,toys,rozprávka,NA,fairy tale,story
item_125,NA,word,understands; produces,toys,hračka,NA,plaything,toy (object)
item_126,NA,word,understands; produces,toys,fixa,NA,fixa,NA
item_127,NA,word,understands; produces,toys,farbička / pastelka,NA,dye / crayon,crayon
item_128,NA,word,understands; produces,toys,farby,NA,color,NA
item_129,NA,word,understands; produces,toys,veža,NA,tower,tower
item_130,NA,word,understands; produces,toys,vlajka / zástavka,NA,Flag / stop,stop
item_131,NA,word,understands; produces,food_drink,ananás,NA,pineapple,pineapple
item_132,NA,word,understands; produces,food_drink,banán,NA,banana,banana
item_133,NA,word,understands; produces,food_drink,cestoviny / rezance,NA,pasta / noodles,pasta
item_134,NA,word,understands; produces,food_drink,cibuľa,NA,onions,onion
item_135,NA,word,understands; produces,food_drink,cukor,NA,sugar,sugar
item_136,NA,word,understands; produces,food_drink,cukríky,NA,candies,candy
item_137,NA,word,understands; produces,food_drink,čaj,NA,tea,tea
item_138,NA,word,understands; produces,food_drink,čokoláda,NA,chocolate,chocolate
item_139,NA,word,understands; produces,food_drink,džús,NA,juice,juice
item_140,NA,word,understands; produces,food_drink,fazuľka,NA,beans,beans
item_141,NA,word,understands; produces,food_drink,guláš,NA,stew,soup
item_142,NA,word,understands; produces,food_drink,halušky,NA,gnocchi,pasta
item_143,NA,word,understands; produces,food_drink,hrach,NA,peas,peas
item_144,NA,word,understands; produces,food_drink,hruška,NA,pear,pear
item_145,NA,word,understands; produces,food_drink,huba / hríbik,NA,mushroom,mushroom
item_146,NA,word,understands; produces,food_drink,chlieb,NA,bread,bread
item_147,NA,word,understands; produces,food_drink,chrumky,NA,nibbles,snack
item_148,NA,word,understands; produces,food_drink,jablko,NA,Apple,apple
item_149,NA,word,understands; produces,food_drink,jahoda,NA,strawberry,strawberry
item_150,NA,word,understands; produces,food_drink,jedlo / ham,NA,food / Ham,food
item_151,NA,word,understands; produces,food_drink,jogurt,NA,yogurt,yogurt
item_152,NA,word,understands; produces,food_drink,kakao / granko,NA,Cocoa,cocoa
item_153,NA,word,understands; produces,food_drink,kaša,NA,mash,NA
item_154,NA,word,understands; produces,food_drink,káva,NA,coffee,coffee
item_155,NA,word,understands; produces,food_drink,keksík,NA,cookie,cookie
item_156,NA,word,understands; produces,food_drink,klobása,NA,sausage,sausage
item_157,NA,word,understands; produces,food_drink,koláčik,NA,tartlet,cake
item_158,NA,word,understands; produces,food_drink,kompót,NA,compote,jam
item_159,NA,word,understands; produces,food_drink,kôrka,NA,crust,NA
item_160,NA,word,understands; produces,food_drink,krupica,NA,meal,porridge
item_161,NA,word,understands; produces,food_drink,kukurica,NA,sweet corn,corn
item_162,NA,word,understands; produces,food_drink,lízatko / lízanka,NA,sucker / lollipop,lollipop
item_163,NA,word,understands; produces,food_drink,maslo,NA,butter,butter
item_164,NA,word,understands; produces,food_drink,mäso,NA,meat,meat
item_165,NA,word,understands; produces,food_drink,med,NA,honey,honey
item_166,NA,word,understands; produces,food_drink,mlieko,NA,milk,milk
item_167,NA,word,understands; produces,food_drink,mrkva,NA,a carrot,carrot
item_168,NA,word,understands; produces,food_drink,obed / večera,NA,lunch / dinner,lunch
item_169,NA,word,understands; produces,food_drink,orech,NA,walnut,nut
item_170,NA,word,understands; produces,food_drink,palacinka,NA,pancake,pancake
item_171,NA,word,understands; produces,food_drink,paradajka,NA,tomato,tomato
item_172,NA,word,understands; produces,food_drink,piškóta,NA,sponge,biscuit
item_173,NA,word,understands; produces,food_drink,polievka,NA,soup,soup
item_174,NA,word,understands; produces,food_drink,pivo,NA,beer,beer
item_175,NA,word,understands; produces,food_drink,pomaranč,NA,orange,orange (food)
item_176,NA,word,understands; produces,food_drink,rožok,NA,roll,bun
item_177,NA,word,understands; produces,food_drink,ryža,NA,rice,rice
item_178,NA,word,understands; produces,food_drink,slivka,NA,plum,plum
item_179,NA,word,understands; produces,food_drink,soľ,NA,salt,salt
item_180,NA,word,understands; produces,food_drink,syr,NA,cheese,cheese
item_181,NA,word,understands; produces,food_drink,šalát,NA,salad,salad
item_182,NA,word,understands; produces,food_drink,tyčinky,NA,chopsticks,NA
item_183,NA,word,understands; produces,food_drink,vajíčko,NA,egg,egg
item_184,NA,word,understands; produces,food_drink,voda,NA,water,water (beverage)
item_185,NA,word,understands; produces,food_drink,zemiak,NA,potato,potato
item_186,NA,word,understands; produces,food_drink,zmrzlina,NA,ice cream,ice cream
item_187,NA,word,understands; produces,food_drink,džem / lekvár,NA,jam / marmalade,jam
item_188,NA,word,understands; produces,clothing,body,NA,points,NA
item_189,NA,word,understands; produces,clothing,bunda,NA,a jacket,coat
item_190,NA,word,understands; produces,clothing,čiapka,NA,a cap,hat
item_191,NA,word,understands; produces,clothing,čižmy,NA,boots,boots
item_192,NA,word,understands; produces,clothing,klobúk,NA,a hat,hat
item_193,NA,word,understands; produces,clothing,košeľa,NA,shirt,shirt
item_194,NA,word,understands; produces,clothing,mašľa / gumička,NA,bow / rubber,NA
item_195,NA,word,understands; produces,clothing,nohavice,NA,trousers,pants
item_196,NA,word,understands; produces,clothing,oblečenie,NA,clothes,clothes
item_197,NA,word,understands; produces,clothing,pančuchy,NA,hosiery,tights
item_198,NA,word,understands; produces,clothing,papučky,NA,slippers,slipper
item_199,NA,word,understands; produces,clothing,plienka,NA,diaper,diaper
item_200,NA,word,understands; produces,clothing,podbradník,NA,bib,bib
item_201,NA,word,understands; produces,clothing,ponožky,NA,socks,sock
item_202,NA,word,understands; produces,clothing,pršiplášť,NA,raincoat,raincoat
item_203,NA,word,understands; produces,clothing,pyžamo,NA,pajamas,pajamas
item_204,NA,word,understands; produces,clothing,rukavice,NA,gloves,glove
item_205,NA,word,understands; produces,clothing,sandálky,NA,Sandals,sandal
item_206,NA,word,understands; produces,clothing,sukňa,NA,skirt,skirt
item_207,NA,word,understands; produces,clothing,svetrík / pulóver,NA,Sweatshirt / pullover,sweater
item_208,NA,word,understands; produces,clothing,šál,NA,scarf,scarf
item_209,NA,word,understands; produces,clothing,šaty,NA,clothes,dress (object)
item_210,NA,word,understands; produces,clothing,tepláky,NA,tracksuit,tracksuit
item_211,NA,word,understands; produces,clothing,topánky,NA,Shoes,shoe
item_212,NA,word,understands; produces,clothing,tričko,NA,shirt,shirt
item_213,NA,word,understands; produces,body_parts,boľavé miesto,NA,sore,NA
item_214,NA,word,understands; produces,body_parts,brada,NA,beard,chin
item_215,NA,word,understands; produces,body_parts,bruško,NA,tummy,tummy
item_216,NA,word,understands; produces,body_parts,cop / vrkoč,NA,braid,braid (object)
item_217,NA,word,understands; produces,body_parts,čelo,NA,forehead,forehead
item_218,NA,word,understands; produces,body_parts,hlava,NA,head,head
item_219,NA,word,understands; produces,body_parts,hrča,NA,bump,bump
item_220,NA,word,understands; produces,body_parts,chrbátik,NA,back,back (body part)
item_221,NA,word,understands; produces,body_parts,jazyk,NA,language,tongue
item_222,NA,word,understands; produces,body_parts,kaka / hovienko,NA,poop,poop
item_223,NA,word,understands; produces,body_parts,kolienko,NA,knuckle,knee
item_224,NA,word,understands; produces,body_parts,líčko,NA,cheek,cheek
item_225,NA,word,understands; produces,body_parts,nechty,NA,nails,nail (body part)
item_226,NA,word,understands; produces,body_parts,noha,NA,leg,leg
item_227,NA,word,understands; produces,body_parts,nos,NA,nose,nose
item_228,NA,word,understands; produces,body_parts,oko,NA,eye,eye
item_229,NA,word,understands; produces,body_parts,palec,NA,thumb,thumb
item_230,NA,word,understands; produces,body_parts,prsník *,NA,breast,breast
item_231,NA,word,understands; produces,body_parts,pohlavné orgány ženské / mužské *,NA,genital organs of female / male,NA
item_232,NA,word,understands; produces,body_parts,prsty,NA,fingers,finger
item_233,NA,word,understands; produces,body_parts,pupok,NA,belly button,belly button
item_234,NA,word,understands; produces,body_parts,ruka,NA,hand,hand
item_235,NA,word,understands; produces,body_parts,soplík,NA,snot,snot
item_236,NA,word,understands; produces,body_parts,ucho,NA,ear,ear
item_237,NA,word,understands; produces,body_parts,ústa / pusa,NA,mouth / mouth,mouth
item_238,NA,word,understands; produces,body_parts,vlasy,NA,hair,hair
item_239,NA,word,understands; produces,body_parts,zadok*,NA,butt,butt
item_240,NA,word,understands; produces,body_parts,zuby,NA,teeth,tooth
item_241,NA,word,understands; produces,furniture_rooms,lampa,NA,light,lamp
item_242,NA,word,understands; produces,furniture_rooms,dvere,NA,the doors,door
item_243,NA,word,understands; produces,furniture_rooms,koberec,NA,carpet,carpet
item_244,NA,word,understands; produces,furniture_rooms,kôš,NA,bin,trash
item_245,NA,word,understands; produces,furniture_rooms,kuchyňa,NA,the kitchen,kitchen
item_246,NA,word,understands; produces,furniture_rooms,okno,NA,window,window
item_247,NA,word,understands; produces,furniture_rooms,paplónik,NA,comforter,blanket
item_248,NA,word,understands; produces,furniture_rooms,počítač,NA,computer,computer
item_249,NA,word,understands; produces,furniture_rooms,posteľ,NA,a bed,bed
item_250,NA,word,understands; produces,furniture_rooms,práčka,NA,washing machine,washing machine
item_251,NA,word,understands; produces,furniture_rooms,rádio,NA,radio,radio
item_252,NA,word,understands; produces,furniture_rooms,rúra / sporák,NA,oven / stove,oven
item_253,NA,word,understands; produces,furniture_rooms,sedačka,NA,seat,couch
item_254,NA,word,understands; produces,furniture_rooms,schody,NA,stairs,stairs
item_255,NA,word,understands; produces,furniture_rooms,skriňa,NA,cupboard,closet
item_256,NA,word,understands; produces,furniture_rooms,stena,NA,the wall,wall
item_257,NA,word,understands; produces,furniture_rooms,stolička / kreslo,NA,chair / chair,chair
item_258,NA,word,understands; produces,furniture_rooms,stôl,NA,table,table
item_259,NA,word,understands; produces,furniture_rooms,televízor,NA,TV,TV
item_260,NA,word,understands; produces,furniture_rooms,vaňa,NA,bath,bathtub
item_261,NA,word,understands; produces,furniture_rooms,video,NA,video,video
item_262,NA,word,understands; produces,furniture_rooms,záchod,NA,washroom,bathroom
item_263,NA,word,understands; produces,furniture_rooms,zrkadlo,NA,mirror,mirror
item_264,NA,word,understands; produces,household,bodka,NA,dot,NA
item_265,NA,word,understands; produces,household,cumeľ / dudel,NA,pacifier,pacifier
item_266,NA,word,understands; produces,household,dáždnik,NA,an umbrella,umbrella
item_267,NA,word,understands; produces,household,diera,NA,the hole,NA
item_268,NA,word,understands; produces,household,dvd,NA,DVD,NA
item_269,NA,word,understands; produces,household,fajka,NA,pipe,pipe
item_270,NA,word,understands; produces,household,fľaša,NA,a bottle,bottle
item_271,NA,word,understands; produces,household,gombík,NA,button,button
item_272,NA,word,understands; produces,household,hodiny,NA,hours,clock
item_273,NA,word,understands; produces,household,kamera,NA,video camera,camera
item_274,NA,word,understands; produces,household,kefa,NA,brush,brush (object)
item_275,NA,word,understands; produces,household,kladivo,NA,hammer,hammer
item_276,NA,word,understands; produces,household,kľúče,NA,keys,key
item_277,NA,word,understands; produces,household,koliesko,NA,ring,ring (object)
item_278,NA,word,understands; produces,household,kosť,NA,bone,bone
item_279,NA,word,understands; produces,household,košík,NA,basket,basket
item_280,NA,word,understands; produces,household,krhlička,NA,spout,faucet
item_281,NA,word,understands; produces,household,kvety,NA,flowers,flower
item_282,NA,word,understands; produces,household,lepidlo,NA,glue,glue (object)
item_283,NA,word,understands; produces,household,liek / kvapky / sirup,NA,medication / drops / syrup,medicine
item_284,NA,word,understands; produces,household,lopata / lopatka,NA,bucket / shovel,shovel
item_285,NA,word,understands; produces,household,lyžička,NA,spoon,spoon
item_286,NA,word,understands; produces,household,metla,NA,whisk,broom
item_287,NA,word,understands; produces,household,miska / mištička,NA,bowl / bowls,bowl
item_288,NA,word,understands; produces,household,mydlo,NA,soap,soap
item_289,NA,word,understands; produces,household,naberačka,NA,scoop,ladle
item_290,NA,word,understands; produces,household,nálepky,NA,stickers,sticker
item_291,NA,word,understands; produces,household,nočník,NA,potty,potty
item_292,NA,word,understands; produces,household,nôž,NA,knife,knife
item_293,NA,word,understands; produces,household,okuliare,NA,spectacles,glasses
item_294,NA,word,understands; produces,household,palica,NA,stick,stick
item_295,NA,word,understands; produces,household,papier,NA,paper,paper
item_296,NA,word,understands; produces,household,pena,NA,foam,foam
item_297,NA,word,understands; produces,household,peniažky,NA,money,money
item_298,NA,word,understands; produces,household,pero / ceruzka,NA,pen / pencil,pen
item_299,NA,word,understands; produces,household,pokrievka,NA,pokrievka,cover (object)
item_300,NA,word,understands; produces,household,prádlo,NA,clothes,laundry
item_301,NA,word,understands; produces,household,pumpa,NA,pump,pump (object)
item_302,NA,word,understands; produces,household,smeti,NA,trash,trash
item_303,NA,word,understands; produces,household,udica,NA,fishing rod,NA
item_304,NA,word,understands; produces,household,sviečka / kahanček,NA,Candle,candle
item_305,NA,word,understands; produces,household,šálka / pohár,NA,cup / cup,cup
item_306,NA,word,understands; produces,household,šampón,NA,shampoo,shampoo
item_307,NA,word,understands; produces,household,škatuľka / krabička,NA,box / box,box
item_308,NA,word,understands; produces,household,šnúrka,NA,lace,lace (object)
item_309,NA,word,understands; produces,household,špongia,NA,sponge,sponge
item_310,NA,word,understands; produces,household,tanier,NA,a plate,plate
item_311,NA,word,understands; produces,household,taška,NA,bag,bag
item_312,NA,word,understands; produces,household,telefón,NA,phone,telephone
item_313,NA,word,understands; produces,household,váha,NA,weight,NA
item_314,NA,word,understands; produces,household,vankúš,NA,pillow,pillow
item_315,NA,word,understands; produces,household,vareška,NA,wooden spoon,spoon
item_316,NA,word,understands; produces,household,váza,NA,vase,vase
item_317,NA,word,understands; produces,household,ventilator,NA,ventilator,NA
item_318,NA,word,understands; produces,household,vrchnák,NA,lid,cover (object)
item_319,NA,word,understands; produces,household,vysávač,NA,vacuum cleaner,vacuum
item_320,NA,word,understands; produces,household,zástrčka / elektrika,NA,electrical plug,outlet
item_321,NA,word,understands; produces,household,zubná pasta,NA,toothpaste,toothpaste
item_322,NA,word,understands; produces,household,zvonček,NA,bell,bell
item_323,NA,word,understands; produces,household,svetlo,NA,the light,light (object)
item_324,NA,word,understands; produces,outside,búda,NA,shed,shed
item_325,NA,word,understands; produces,outside,dážď,NA,the rain,rain
item_326,NA,word,understands; produces,outside,dom,NA,House,house
item_327,NA,word,understands; produces,outside,domov,NA,Home,home
item_328,NA,word,understands; produces,outside,garáž,NA,garage,garage
item_329,NA,word,understands; produces,outside,hojdačka,NA,swing,swing (object)
item_330,NA,word,understands; produces,outside,jasle / škola,NA,nursery / school,school
item_331,NA,word,understands; produces,outside,kostol*,NA,church,church
item_332,NA,word,understands; produces,outside,obchod,NA,the shop,store
item_333,NA,word,understands; produces,outside,park,NA,the park,park
item_334,NA,word,understands; produces,outside,pieskovisko / piesok,NA,sandbox,sandbox
item_335,NA,word,understands; produces,outside,plaváreň,NA,swimming pool,swimming pool
item_336,NA,word,understands; produces,outside,slniečko,NA,shine,sun
item_337,NA,word,understands; produces,outside,sneh,NA,snow,snow
item_338,NA,word,understands; produces,outside,strom,NA,a tree,tree
item_339,NA,word,understands; produces,outside,tma,NA,dark,dark
item_340,NA,word,understands; produces,outside,vonku,NA,outdoors,outside
item_341,NA,word,understands; produces,outside,záhrada / pole,NA,garden / field,garden
item_342,NA,word,understands; produces,outside,značka,NA,mark,sign
item_343,NA,word,understands; produces,outside,bazén / kúpalisko,NA,Pool / pool,pool
item_344,NA,word,understands; produces,outside,jama/diera,NA,pit / hole,hole
item_345,NA,word,understands; produces,outside,škôlka,NA,nursery school,kindergarten
item_346,NA,word,understands; produces,outside,reštaurácia,NA,a restaurant,restaurant
item_347,NA,word,understands; produces,outside,balkón,NA,balcony,balcony
item_348,NA,word,understands; produces,outside,cesta,NA,the road,street
item_349,NA,word,understands; produces,outside,more,NA,the sea,sea
item_350,NA,word,understands; produces,outside,kameň,NA,stone,stone
item_351,NA,word,understands; produces,outside,dym,NA,smoke,smoke
item_352,NA,word,understands; produces,outside,hviezda,NA,star,star
item_353,NA,word,understands; produces,outside,koľajnice,NA,rails,rail
item_354,NA,word,understands; produces,outside,mesiac,NA,a month,moon
item_355,NA,word,understands; produces,outside,mrak/oblak,NA,cloud / cloud,cloud
item_356,NA,word,understands; produces,outside,tunel,NA,tunnel,tunnel
item_357,NA,word,understands; produces,outside,šmýkačka,NA,slide,slide (object)
item_358,NA,word,understands; produces,outside,tráva,NA,grass,grass
item_359,NA,word,understands; produces,outside,komín,NA,chimney,chimney
item_360,NA,word,understands; produces,outside,vietor,NA,wind,wind
item_361,NA,word,understands; produces,outside,zoo,NA,Zoo,zoo
item_362,NA,word,understands; produces,outside,názvy kvetov (napr. tulipán...),NA,names of flowers (eg. tulip ...),NA
item_363,NA,word,understands; produces,outside,snehuliak,NA,snowman,snowman
item_364,NA,word,understands; produces,outside,strecha,NA,roof,roof
item_365,NA,word,understands; produces,people,anjelik,NA,cherub,NA
item_366,NA,word,understands; produces,people,bábo / bábätko,NA,the baby / baby,baby
item_367,NA,word,understands; produces,people,braček / sestrička,NA,brother / sister,brother
item_368,NA,word,understands; produces,people,bubák,NA,ghost,ghost
item_369,NA,word,understands; produces,people,deti,NA,children,children
item_370,NA,word,understands; produces,people,dievča,NA,girl,girl
item_371,NA,word,understands; produces,people,chlapec,NA,boy,boy
item_372,NA,word,understands; produces,people,ježibaba,NA,witch,witch
item_373,NA,word,understands; produces,people,kamarát / kamarátka,NA,buddy / friend,friend
item_374,NA,word,understands; produces,people,kráľ,NA,the king,king
item_375,NA,word,understands; produces,people,krstná mama,NA,godmother,godmother
item_376,NA,word,understands; produces,people,krstný otec,NA,Godfather,godfather
item_377,NA,word,understands; produces,people,lekár / lekárka,NA,he / she will,doctor
item_378,NA,word,understands; produces,people,mama*,NA,mother*,mommy
item_379,NA,word,understands; produces,people,Mikuláš,NA,Saint Nicholas,NA
item_380,NA,word,understands; produces,people,vlastné mená blízkych osôb**,NA,proper names of close relatives **,NA
item_381,NA,word,understands; produces,people,otec*,NA,father*,daddy
item_382,NA,word,understands; produces,people,stará mama*,NA,Grandma*,grandma
item_383,NA,word,understands; produces,people,starý otec*,NA,grandfather*,neighbor
item_384,NA,word,understands; produces,people,sused,NA,neighbor,neighbor
item_385,NA,word,understands; produces,people,šašo,NA,clown,clown
item_386,NA,word,understands; produces,people,teta,NA,aunt,aunt
item_387,NA,word,understands; produces,people,ujo,NA,uncle,uncle
item_388,NA,word,understands; produces,people,vlastné meno dieťaťa,NA,Customized child,NA
item_389,NA,word,understands; produces,action_words,báť sa,NA,be afraid,fear
item_390,NA,word,understands; produces,action_words,bežať,NA,run,run
item_391,NA,word,understands; produces,action_words,bolieť,NA,hurt,hurt (action)
item_392,NA,word,understands; produces,action_words,búchať,NA,thump,hit
item_393,NA,word,understands; produces,action_words,cikať*,NA,pee *,pee
item_394,NA,word,understands; produces,action_words,cúvať,NA,reverse,reverse
item_395,NA,word,understands; produces,action_words,cvičiť,NA,take exercise,exercise
item_396,NA,word,understands; produces,action_words,česať,NA,tease,brush (action)
item_397,NA,word,understands; produces,action_words,čistiť,NA,to clean,clean (action)
