"","expr","type","time","n"
"58","EnglishWS","local",11.197617079,5825
"59","EnglishWS","local",11.197617079,5825
"60","EnglishWS","local",11.197617079,5825
"61","NorwegianWS","local",43.339126026,12969
"62","NorwegianWS","local",43.339126026,12969
"63","NorwegianWS","local",43.339126026,12969
"64","NorwegianWS","local",43.339126026,12969
"65","NorwegianWS","local",43.339126026,12969
"66","NorwegianWS","local",43.339126026,12969
"67","NorwegianWS","local",43.339126026,12969
"68","NorwegianWS","local",43.339126026,12969
"69","NorwegianWS","local",43.339126026,12969
"70","NorwegianWS","local",43.339126026,12969
"71","DanishWS","local",7.624926091,3714
"72","DanishWS","local",7.624926091,3714
"73","DanishWS","local",7.624926091,3714
"74","DanishWS","local",7.624926091,3714
"75","DanishWS","local",7.624926091,3714
"76","DanishWS","local",7.624926091,3714
"77","DanishWS","local",7.624926091,3714
"78","DanishWS","local",7.624926091,3714
"79","DanishWS","local",7.624926091,3714
"80","DanishWS","local",7.624926091,3714
"81","NorwegianWS","local",14.032561132,12969
"82","NorwegianWS","local",14.032561132,12969
"83","NorwegianWS","local",14.032561132,12969
"84","NorwegianWS","local",14.032561132,12969
"85","NorwegianWS","local",14.032561132,12969
"86","NorwegianWS","local",14.032561132,12969
"87","NorwegianWS","local",14.032561132,12969
"88","NorwegianWS","local",14.032561132,12969
"89","NorwegianWS","local",14.032561132,12969
"90","NorwegianWS","local",14.032561132,12969
"91","EnglishWG","local",4.532590817,2416
"92","EnglishWG","local",4.532590817,2416
"93","EnglishWG","local",4.532590817,2416
"94","EnglishWG","local",4.532590817,2416
"95","EnglishWG","local",4.532590817,2416
"96","EnglishWG","local",4.532590817,2416
"97","EnglishWG","local",4.532590817,2416
"98","EnglishWG","local",4.532590817,2416
"99","EnglishWG","local",4.532590817,2416
"100","EnglishWG","local",4.532590817,2416
"101","NorwegianWS","local",13.020754902,12969
"102","NorwegianWS","local",13.020754902,12969
"103","NorwegianWS","local",13.020754902,12969
"104","NorwegianWS","local",13.020754902,12969
"105","NorwegianWS","local",13.020754902,12969
"106","NorwegianWS","local",13.020754902,12969
"107","NorwegianWS","local",13.020754902,12969
"108","NorwegianWS","local",13.020754902,12969
"109","NorwegianWS","local",13.020754902,12969
"110","NorwegianWS","local",13.020754902,12969
"111","NorwegianWG","local",4.550281897,3025
"112","NorwegianWG","local",4.550281897,3025
"113","NorwegianWG","local",4.550281897,3025
"114","NorwegianWG","local",4.550281897,3025
"115","NorwegianWG","local",4.550281897,3025
"116","NorwegianWG","local",4.550281897,3025
"117","NorwegianWG","local",4.550281897,3025
"118","NorwegianWG","local",4.550281897,3025
"119","NorwegianWG","local",4.550281897,3025
"120","NorwegianWG","local",4.550281897,3025
"121","SpanishWS","local",1.095081455,1094
"122","SpanishWS","local",1.095081455,1094
"123","SpanishWS","local",1.095081455,1094
"124","SpanishWS","local",1.095081455,1094
"125","SpanishWS","local",1.095081455,1094
"126","SpanishWS","local",1.095081455,1094
"127","SpanishWS","local",1.095081455,1094
"128","SpanishWS","local",1.095081455,1094
"129","SpanishWS","local",1.095081455,1094
"130","SpanishWS","local",1.095081455,1094
"131","NorwegianWG","local",2.206333243,3025
"132","NorwegianWG","local",2.206333243,3025
"133","NorwegianWG","local",2.206333243,3025
"134","NorwegianWG","local",2.206333243,3025
"135","NorwegianWG","local",2.206333243,3025
"136","NorwegianWG","local",2.206333243,3025
"137","NorwegianWG","local",2.206333243,3025
"138","NorwegianWG","local",2.206333243,3025
"139","NorwegianWG","local",2.206333243,3025
"140","NorwegianWG","local",2.206333243,3025
"141","NorwegianWG","local",1.308960607,3025
"142","NorwegianWG","local",1.308960607,3025
"143","NorwegianWG","local",1.308960607,3025
"144","NorwegianWG","local",1.308960607,3025
"145","NorwegianWG","local",1.308960607,3025
"146","NorwegianWG","local",1.308960607,3025
"147","NorwegianWG","local",1.308960607,3025
"148","NorwegianWG","local",1.308960607,3025
"149","NorwegianWG","local",1.308960607,3025
"150","NorwegianWG","local",1.308960607,3025
"151","EnglishWG","local",1.446122151,2416
"152","EnglishWG","local",1.446122151,2416
"153","EnglishWG","local",1.446122151,2416
"154","EnglishWG","local",1.446122151,2416
"155","EnglishWG","local",1.446122151,2416
"156","EnglishWG","local",1.446122151,2416
"157","EnglishWG","local",1.446122151,2416
"158","EnglishWG","local",1.446122151,2416
"159","EnglishWG","local",1.446122151,2416
"160","EnglishWG","local",1.446122151,2416
"161","DanishWS","local",3.705034763,3714
"162","DanishWS","local",3.705034763,3714
"163","DanishWS","local",3.705034763,3714
"164","DanishWS","local",3.705034763,3714
"165","DanishWS","local",3.705034763,3714
"166","DanishWS","local",3.705034763,3714
"167","DanishWS","local",3.705034763,3714
"168","DanishWS","local",3.705034763,3714
"169","DanishWS","local",3.705034763,3714
"170","DanishWS","local",3.705034763,3714
"171","NorwegianWS","local",15.053308661,12969
"172","NorwegianWS","local",15.053308661,12969
"173","NorwegianWS","local",15.053308661,12969
"174","NorwegianWS","local",15.053308661,12969
"175","NorwegianWS","local",15.053308661,12969
"176","NorwegianWS","local",15.053308661,12969
"177","NorwegianWS","local",15.053308661,12969
"178","NorwegianWS","local",15.053308661,12969
"179","NorwegianWS","local",15.053308661,12969
"180","NorwegianWS","local",15.053308661,12969
"181","EnglishWS","local",8.472948054,5825
"182","EnglishWS","local",8.472948054,5825
"183","EnglishWS","local",8.472948054,5825
"184","EnglishWS","local",8.472948054,5825
"185","EnglishWS","local",8.472948054,5825
"186","EnglishWS","local",8.472948054,5825
"187","EnglishWS","local",8.472948054,5825
"188","EnglishWS","local",8.472948054,5825
"189","EnglishWS","local",8.472948054,5825
"190","EnglishWS","local",8.472948054,5825
"191","EnglishWG","local",1.680712422,2416
"192","EnglishWG","local",1.680712422,2416
"193","EnglishWG","local",1.680712422,2416
"194","EnglishWG","local",1.680712422,2416
"195","EnglishWG","local",1.680712422,2416
"196","EnglishWG","local",1.680712422,2416
"197","EnglishWG","local",1.680712422,2416
"198","EnglishWG","local",1.680712422,2416
"199","EnglishWG","local",1.680712422,2416
"200","EnglishWG","local",1.680712422,2416
"201","SpanishWS","local",1.704506175,1094
"202","SpanishWS","local",1.704506175,1094
"203","SpanishWS","local",1.704506175,1094
"204","SpanishWS","local",1.704506175,1094
"205","SpanishWS","local",1.704506175,1094
"206","SpanishWS","local",1.704506175,1094
"207","SpanishWS","local",1.704506175,1094
"208","SpanishWS","local",1.704506175,1094
"209","SpanishWS","local",1.704506175,1094
"210","SpanishWS","local",1.704506175,1094
"211","NorwegianWS","local",14.684606151,12969
"212","NorwegianWS","local",14.684606151,12969
"213","NorwegianWS","local",14.684606151,12969
"214","NorwegianWS","local",14.684606151,12969
"215","NorwegianWS","local",14.684606151,12969
"216","NorwegianWS","local",14.684606151,12969
"217","NorwegianWS","local",14.684606151,12969
"218","NorwegianWS","local",14.684606151,12969
"219","NorwegianWS","local",14.684606151,12969
"220","NorwegianWS","local",14.684606151,12969
"221","DanishWS","local",4.494496031,3714
"222","DanishWS","local",4.494496031,3714
"223","DanishWS","local",4.494496031,3714
"224","DanishWS","local",4.494496031,3714
"225","DanishWS","local",4.494496031,3714
"226","DanishWS","local",4.494496031,3714
"227","DanishWS","local",4.494496031,3714
"228","DanishWS","local",4.494496031,3714
"229","DanishWS","local",4.494496031,3714
"230","DanishWS","local",4.494496031,3714
"231","EnglishWG","local",2.24893383,2416
"232","EnglishWG","local",2.24893383,2416
"233","EnglishWG","local",2.24893383,2416
"234","EnglishWG","local",2.24893383,2416
"235","EnglishWG","local",2.24893383,2416
"236","EnglishWG","local",2.24893383,2416
"237","EnglishWG","local",2.24893383,2416
"238","EnglishWG","local",2.24893383,2416
"239","EnglishWG","local",2.24893383,2416
"240","EnglishWG","local",2.24893383,2416
"241","SpanishWS","local",1.737257442,1094
"242","SpanishWS","local",1.737257442,1094
"243","SpanishWS","local",1.737257442,1094
"244","SpanishWS","local",1.737257442,1094
"245","SpanishWS","local",1.737257442,1094
"246","SpanishWS","local",1.737257442,1094
"247","SpanishWS","local",1.737257442,1094
"248","SpanishWS","local",1.737257442,1094
"249","SpanishWS","local",1.737257442,1094
"250","SpanishWS","local",1.737257442,1094
"251","EnglishWG","local",1.913515041,2416
"252","EnglishWG","local",1.913515041,2416
"253","EnglishWG","local",1.913515041,2416
"254","EnglishWG","local",1.913515041,2416
"255","EnglishWG","local",1.913515041,2416
"256","EnglishWG","local",1.913515041,2416
"257","EnglishWG","local",1.913515041,2416
"258","EnglishWG","local",1.913515041,2416
"259","EnglishWG","local",1.913515041,2416
"260","EnglishWG","local",1.913515041,2416
"261","NorwegianWG","local",1.707157918,3025
"262","NorwegianWG","local",1.707157918,3025
"263","NorwegianWG","local",1.707157918,3025
"264","NorwegianWG","local",1.707157918,3025
"265","NorwegianWG","local",1.707157918,3025
"266","NorwegianWG","local",1.707157918,3025
"267","NorwegianWG","local",1.707157918,3025
"268","NorwegianWG","local",1.707157918,3025
"269","NorwegianWG","local",1.707157918,3025
"270","NorwegianWG","local",1.707157918,3025
"271","DanishWS","local",3.712077113,3714
"272","DanishWS","local",3.712077113,3714
"273","DanishWS","local",3.712077113,3714
"274","DanishWS","local",3.712077113,3714
"275","DanishWS","local",3.712077113,3714
"276","DanishWS","local",3.712077113,3714
"277","DanishWS","local",3.712077113,3714
"278","DanishWS","local",3.712077113,3714
"279","DanishWS","local",3.712077113,3714
"280","DanishWS","local",3.712077113,3714
"281","EnglishWS","local",5.621298461,5825
"282","EnglishWS","local",5.621298461,5825
"283","EnglishWS","local",5.621298461,5825
"284","EnglishWS","local",5.621298461,5825
"285","EnglishWS","local",5.621298461,5825
"286","EnglishWS","local",5.621298461,5825
"287","EnglishWS","local",5.621298461,5825
"288","EnglishWS","local",5.621298461,5825
"289","EnglishWS","local",5.621298461,5825
"290","EnglishWS","local",5.621298461,5825
"291","DanishWS","local",3.173521298,3714
"292","DanishWS","local",3.173521298,3714
"293","DanishWS","local",3.173521298,3714
"294","DanishWS","local",3.173521298,3714
"295","DanishWS","local",3.173521298,3714
"296","DanishWS","local",3.173521298,3714
"297","DanishWS","local",3.173521298,3714
"298","DanishWS","local",3.173521298,3714
"299","DanishWS","local",3.173521298,3714
"300","DanishWS","local",3.173521298,3714
"301","DanishWS","local",7.318507901,3714
"302","DanishWS","local",7.318507901,3714
"303","DanishWS","local",7.318507901,3714
"304","DanishWS","local",7.318507901,3714
"305","DanishWS","local",7.318507901,3714
"306","DanishWS","local",7.318507901,3714
"307","DanishWS","local",7.318507901,3714
"308","DanishWS","local",7.318507901,3714
"309","DanishWS","local",7.318507901,3714
"310","DanishWS","local",7.318507901,3714
"311","SpanishWG","local",3.811190128,778
"312","SpanishWG","local",3.811190128,778
"313","SpanishWG","local",3.811190128,778
"314","SpanishWG","local",3.811190128,778
"315","SpanishWG","local",3.811190128,778
"316","SpanishWG","local",3.811190128,778
"317","SpanishWG","local",3.811190128,778
"318","SpanishWG","local",3.811190128,778
"319","SpanishWG","local",3.811190128,778
"320","SpanishWG","local",3.811190128,778
"321","NorwegianWG","local",3.813707441,3025
"322","NorwegianWG","local",3.813707441,3025
"323","NorwegianWG","local",3.813707441,3025
"324","NorwegianWG","local",3.813707441,3025
"325","NorwegianWG","local",3.813707441,3025
"326","NorwegianWG","local",3.813707441,3025
"327","NorwegianWG","local",3.813707441,3025
"328","NorwegianWG","local",3.813707441,3025
"329","NorwegianWG","local",3.813707441,3025
"330","NorwegianWG","local",3.813707441,3025
"331","SpanishWG","local",2.28753191,778
"332","SpanishWG","local",2.28753191,778
"333","SpanishWG","local",2.28753191,778
"334","SpanishWG","local",2.28753191,778
"335","SpanishWG","local",2.28753191,778
"336","SpanishWG","local",2.28753191,778
"337","SpanishWG","local",2.28753191,778
"338","SpanishWG","local",2.28753191,778
"339","SpanishWG","local",2.28753191,778
"340","SpanishWG","local",2.28753191,778
"341","NorwegianWG","local",5.115116277,3025
"342","NorwegianWG","local",5.115116277,3025
"343","NorwegianWG","local",5.115116277,3025
"344","NorwegianWG","local",5.115116277,3025
"345","NorwegianWG","local",5.115116277,3025
"346","NorwegianWG","local",5.115116277,3025
"347","NorwegianWG","local",5.115116277,3025
"348","NorwegianWG","local",5.115116277,3025
"349","NorwegianWG","local",5.115116277,3025
"350","NorwegianWG","local",5.115116277,3025
"351","NorwegianWG","local",6.917148298,3025
"352","NorwegianWG","local",6.917148298,3025
"353","NorwegianWG","local",6.917148298,3025
"354","NorwegianWG","local",6.917148298,3025
"355","NorwegianWG","local",6.917148298,3025
"356","NorwegianWG","local",6.917148298,3025
"357","NorwegianWG","local",6.917148298,3025
"358","NorwegianWG","local",6.917148298,3025
"359","NorwegianWG","local",6.917148298,3025
"360","NorwegianWG","local",6.917148298,3025
"361","NorwegianWS","local",51.463659514,12969
"362","NorwegianWS","local",51.463659514,12969
"363","NorwegianWS","local",51.463659514,12969
"364","NorwegianWS","local",51.463659514,12969
"365","NorwegianWS","local",51.463659514,12969
"366","NorwegianWS","local",51.463659514,12969
"367","NorwegianWS","local",51.463659514,12969
"368","NorwegianWS","local",51.463659514,12969
"369","NorwegianWS","local",51.463659514,12969
"370","NorwegianWS","local",51.463659514,12969
"371","SpanishWG","local",3.668647044,778
"372","SpanishWG","local",3.668647044,778
"373","SpanishWG","local",3.668647044,778
"374","SpanishWG","local",3.668647044,778
"375","SpanishWG","local",3.668647044,778
"376","SpanishWG","local",3.668647044,778
"377","SpanishWG","local",3.668647044,778
"378","SpanishWG","local",3.668647044,778
"379","SpanishWG","local",3.668647044,778
"380","SpanishWG","local",3.668647044,778
"381","SpanishWS","local",7.688963274,1094
"382","SpanishWS","local",7.688963274,1094
"383","SpanishWS","local",7.688963274,1094
"384","SpanishWS","local",7.688963274,1094
"385","SpanishWS","local",7.688963274,1094
"386","SpanishWS","local",7.688963274,1094
"387","SpanishWS","local",7.688963274,1094
"388","SpanishWS","local",7.688963274,1094
"389","SpanishWS","local",7.688963274,1094
"390","SpanishWS","local",7.688963274,1094
"391","SpanishWG","local",0.972352285,778
"392","SpanishWG","local",0.972352285,778
"393","SpanishWG","local",0.972352285,778
"394","SpanishWG","local",0.972352285,778
"395","SpanishWG","local",0.972352285,778
"396","SpanishWG","local",0.972352285,778
"397","SpanishWG","local",0.972352285,778
"398","SpanishWG","local",0.972352285,778
"399","SpanishWG","local",0.972352285,778
"400","SpanishWG","local",0.972352285,778
"401","SpanishWG","local",2.675333768,778
"402","SpanishWG","local",2.675333768,778
"403","SpanishWG","local",2.675333768,778
"404","SpanishWG","local",2.675333768,778
"405","SpanishWG","local",2.675333768,778
"406","SpanishWG","local",2.675333768,778
"407","SpanishWG","local",2.675333768,778
"408","SpanishWG","local",2.675333768,778
"409","SpanishWG","local",2.675333768,778
"410","SpanishWG","local",2.675333768,778
"411","DanishWS","local",7.909359458,3714
"412","DanishWS","local",7.909359458,3714
"413","DanishWS","local",7.909359458,3714
"414","DanishWS","local",7.909359458,3714
"415","DanishWS","local",7.909359458,3714
"416","DanishWS","local",7.909359458,3714
"417","DanishWS","local",7.909359458,3714
"418","DanishWS","local",7.909359458,3714
"419","DanishWS","local",7.909359458,3714
"420","DanishWS","local",7.909359458,3714
"421","EnglishWS","local",11.986761966,5825
"422","EnglishWS","local",11.986761966,5825
"423","EnglishWS","local",11.986761966,5825
"424","EnglishWS","local",11.986761966,5825
"425","EnglishWS","local",11.986761966,5825
"426","EnglishWS","local",11.986761966,5825
"427","EnglishWS","local",11.986761966,5825
"428","EnglishWS","local",11.986761966,5825
"429","EnglishWS","local",11.986761966,5825
"430","EnglishWS","local",11.986761966,5825
"431","DanishWS","local",10.917845989,3714
"432","DanishWS","local",10.917845989,3714
"433","DanishWS","local",10.917845989,3714
"434","DanishWS","local",10.917845989,3714
"435","DanishWS","local",10.917845989,3714
"436","DanishWS","local",10.917845989,3714
"437","DanishWS","local",10.917845989,3714
"438","DanishWS","local",10.917845989,3714
"439","DanishWS","local",10.917845989,3714
"440","DanishWS","local",10.917845989,3714
"441","EnglishWS","local",12.948978276,5825
"442","EnglishWS","local",12.948978276,5825
"443","EnglishWS","local",12.948978276,5825
"444","EnglishWS","local",12.948978276,5825
"445","EnglishWS","local",12.948978276,5825
"446","EnglishWS","local",12.948978276,5825
"447","EnglishWS","local",12.948978276,5825
"448","EnglishWS","local",12.948978276,5825
"449","EnglishWS","local",12.948978276,5825
"450","EnglishWS","local",12.948978276,5825
"451","EnglishWG","local",5.648858784,2416
"452","EnglishWG","local",5.648858784,2416
"453","EnglishWG","local",5.648858784,2416
"454","EnglishWG","local",5.648858784,2416
"455","EnglishWG","local",5.648858784,2416
"456","EnglishWG","local",5.648858784,2416
"457","EnglishWG","local",5.648858784,2416
"458","EnglishWG","local",5.648858784,2416
"459","EnglishWG","local",5.648858784,2416
"460","EnglishWG","local",5.648858784,2416
"461","EnglishWS","local",10.266615293,5825
"462","EnglishWS","local",10.266615293,5825
"463","EnglishWS","local",10.266615293,5825
"464","EnglishWS","local",10.266615293,5825
"465","EnglishWS","local",10.266615293,5825
"466","EnglishWS","local",10.266615293,5825
"467","EnglishWS","local",10.266615293,5825
"468","EnglishWS","local",10.266615293,5825
"469","EnglishWS","local",10.266615293,5825
"470","EnglishWS","local",10.266615293,5825
"471","EnglishWG","local",3.105068567,2416
"472","EnglishWG","local",3.105068567,2416
"473","EnglishWG","local",3.105068567,2416
"474","EnglishWG","local",3.105068567,2416
"475","EnglishWG","local",3.105068567,2416
"476","EnglishWG","local",3.105068567,2416
"477","EnglishWG","local",3.105068567,2416
"478","EnglishWG","local",3.105068567,2416
"479","EnglishWG","local",3.105068567,2416
"480","EnglishWG","local",3.105068567,2416
"481","DanishWS","local",15.168101139,3714
"482","DanishWS","local",15.168101139,3714
"483","DanishWS","local",15.168101139,3714
"484","DanishWS","local",15.168101139,3714
"485","DanishWS","local",15.168101139,3714
"486","DanishWS","local",15.168101139,3714
"487","DanishWS","local",15.168101139,3714
"488","DanishWS","local",15.168101139,3714
"489","DanishWS","local",15.168101139,3714
"490","DanishWS","local",15.168101139,3714
"491","NorwegianWG","local",5.639795876,3025
"492","NorwegianWG","local",5.639795876,3025
"493","NorwegianWG","local",5.639795876,3025
"494","NorwegianWG","local",5.639795876,3025
"495","NorwegianWG","local",5.639795876,3025
"496","NorwegianWG","local",5.639795876,3025
"497","NorwegianWG","local",5.639795876,3025
"498","NorwegianWG","local",5.639795876,3025
"499","NorwegianWG","local",5.639795876,3025
"500","NorwegianWG","local",5.639795876,3025
"501","SpanishWS","local",4.584903722,1094
"502","SpanishWS","local",4.584903722,1094
"503","SpanishWS","local",4.584903722,1094
"504","SpanishWS","local",4.584903722,1094
"505","SpanishWS","local",4.584903722,1094
"506","SpanishWS","local",4.584903722,1094
"507","SpanishWS","local",4.584903722,1094
"508","SpanishWS","local",4.584903722,1094
"509","SpanishWS","local",4.584903722,1094
"510","SpanishWS","local",4.584903722,1094
"511","NorwegianWS","local",57.340763231,12969
"512","NorwegianWS","local",57.340763231,12969
"513","NorwegianWS","local",57.340763231,12969
"514","NorwegianWS","local",57.340763231,12969
"515","NorwegianWS","local",57.340763231,12969
"516","NorwegianWS","local",57.340763231,12969
"517","NorwegianWS","local",57.340763231,12969
"518","NorwegianWS","local",57.340763231,12969
"519","NorwegianWS","local",57.340763231,12969
"520","NorwegianWS","local",57.340763231,12969
"521","SpanishWG","local",3.201402418,778
"522","SpanishWG","local",3.201402418,778
"523","SpanishWG","local",3.201402418,778
"524","SpanishWG","local",3.201402418,778
"525","SpanishWG","local",3.201402418,778
"526","SpanishWG","local",3.201402418,778
"527","SpanishWG","local",3.201402418,778
"528","SpanishWG","local",3.201402418,778
"529","SpanishWG","local",3.201402418,778
"530","SpanishWG","local",3.201402418,778
"531","SpanishWS","local",8.302849317,1094
"532","SpanishWS","local",8.302849317,1094
"533","SpanishWS","local",8.302849317,1094
"534","SpanishWS","local",8.302849317,1094
"535","SpanishWS","local",8.302849317,1094
"536","SpanishWS","local",8.302849317,1094
"537","SpanishWS","local",8.302849317,1094
"538","SpanishWS","local",8.302849317,1094
"539","SpanishWS","local",8.302849317,1094
"540","SpanishWS","local",8.302849317,1094
"541","SpanishWS","local",8.644976134,1094
"542","SpanishWS","local",8.644976134,1094
"543","SpanishWS","local",8.644976134,1094
"544","SpanishWS","local",8.644976134,1094
"545","SpanishWS","local",8.644976134,1094
"546","SpanishWS","local",8.644976134,1094
"547","SpanishWS","local",8.644976134,1094
"548","SpanishWS","local",8.644976134,1094
"549","SpanishWS","local",8.644976134,1094
"550","SpanishWS","local",8.644976134,1094
"551","SpanishWS","local",2.150002023,1094
"552","SpanishWS","local",2.150002023,1094
"553","SpanishWS","local",2.150002023,1094
"554","SpanishWS","local",2.150002023,1094
"555","SpanishWS","local",2.150002023,1094
"556","SpanishWS","local",2.150002023,1094
"557","SpanishWS","local",2.150002023,1094
"558","SpanishWS","local",2.150002023,1094
"559","SpanishWS","local",2.150002023,1094
"560","SpanishWS","local",2.150002023,1094
"561","EnglishWG","local",2.582134499,2416
"562","EnglishWG","local",2.582134499,2416
"563","EnglishWG","local",2.582134499,2416
"564","EnglishWG","local",2.582134499,2416
"565","EnglishWG","local",2.582134499,2416
"566","EnglishWG","local",2.582134499,2416
"567","EnglishWG","local",2.582134499,2416
"568","EnglishWG","local",2.582134499,2416
"569","EnglishWG","local",2.582134499,2416
"570","EnglishWG","local",2.582134499,2416
"571","SpanishWS","local",5.384525689,1094
"572","SpanishWS","local",5.384525689,1094
"573","SpanishWS","local",5.384525689,1094
"574","SpanishWS","local",5.384525689,1094
"575","SpanishWS","local",5.384525689,1094
"576","SpanishWS","local",5.384525689,1094
"577","SpanishWS","local",5.384525689,1094
"578","SpanishWS","local",5.384525689,1094
"579","SpanishWS","local",5.384525689,1094
"580","SpanishWS","local",5.384525689,1094
"581","SpanishWG","local",1.113279623,778
"582","SpanishWG","local",1.113279623,778
"583","SpanishWG","local",1.113279623,778
"584","SpanishWG","local",1.113279623,778
"585","SpanishWG","local",1.113279623,778
"586","SpanishWG","local",1.113279623,778
"587","SpanishWG","local",1.113279623,778
"588","SpanishWG","local",1.113279623,778
"589","SpanishWG","local",1.113279623,778
"590","SpanishWG","local",1.113279623,778
"591","NorwegianWS","local",25.779240607,12969
"592","NorwegianWS","local",25.779240607,12969
"593","NorwegianWS","local",25.779240607,12969
"594","NorwegianWS","local",25.779240607,12969
"595","NorwegianWS","local",25.779240607,12969
"596","NorwegianWS","local",25.779240607,12969
"597","NorwegianWS","local",25.779240607,12969
"598","NorwegianWS","local",25.779240607,12969
"599","NorwegianWS","local",25.779240607,12969
"600","NorwegianWS","local",25.779240607,12969
"601","SpanishWG","local",0.708051336,778
"602","SpanishWG","local",0.708051336,778
"603","SpanishWG","local",0.708051336,778
"604","SpanishWG","local",0.708051336,778
"605","SpanishWG","local",0.708051336,778
"606","SpanishWG","local",0.708051336,778
"607","SpanishWG","local",0.708051336,778
"608","SpanishWG","local",0.708051336,778
"609","SpanishWG","local",0.708051336,778
"610","SpanishWG","local",0.708051336,778
"611","DanishWS","local",5.903357126,3714
"612","DanishWS","local",5.903357126,3714
"613","DanishWS","local",5.903357126,3714
"614","DanishWS","local",5.903357126,3714
"615","DanishWS","local",5.903357126,3714
"616","DanishWS","local",5.903357126,3714
"617","DanishWS","local",5.903357126,3714
"618","DanishWS","local",5.903357126,3714
"619","DanishWS","local",5.903357126,3714
"620","DanishWS","local",5.903357126,3714
"621","EnglishWS","local",4.445793924,5825
"622","EnglishWS","local",4.445793924,5825
"623","EnglishWS","local",4.445793924,5825
"624","EnglishWS","local",4.445793924,5825
"625","EnglishWS","local",4.445793924,5825
"626","EnglishWS","local",4.445793924,5825
"627","EnglishWS","local",4.445793924,5825
"628","EnglishWS","local",4.445793924,5825
"629","EnglishWS","local",4.445793924,5825
"630","EnglishWS","local",4.445793924,5825
"631","SpanishWS","local",2.074172015,1094
"632","SpanishWS","local",2.074172015,1094
"633","SpanishWS","local",2.074172015,1094
"634","SpanishWS","local",2.074172015,1094
"635","SpanishWS","local",2.074172015,1094
"636","SpanishWS","local",2.074172015,1094
"637","SpanishWS","local",2.074172015,1094
"638","SpanishWS","local",2.074172015,1094
"639","SpanishWS","local",2.074172015,1094
"640","SpanishWS","local",2.074172015,1094
"641","EnglishWS","local",4.03854807,5825
"642","EnglishWS","local",4.03854807,5825
"643","EnglishWS","local",4.03854807,5825
"644","EnglishWS","local",4.03854807,5825
"645","EnglishWS","local",4.03854807,5825
"646","EnglishWS","local",4.03854807,5825
"647","EnglishWS","local",4.03854807,5825
"648","EnglishWS","local",4.03854807,5825
"649","EnglishWS","local",4.03854807,5825
"650","EnglishWS","local",4.03854807,5825
"651","SpanishWG","local",1.037941909,778
"652","SpanishWG","local",1.037941909,778
"653","SpanishWG","local",1.037941909,778
"654","SpanishWG","local",1.037941909,778
"655","SpanishWG","local",1.037941909,778
"656","SpanishWG","local",1.037941909,778
"657","SpanishWG","local",1.037941909,778
"658","SpanishWG","local",1.037941909,778
"659","SpanishWG","local",1.037941909,778
"660","SpanishWG","local",1.037941909,778
"661","NorwegianWS","local",11.109318548,12969
"662","NorwegianWS","local",11.109318548,12969
"663","NorwegianWS","local",11.109318548,12969
"664","NorwegianWS","local",11.109318548,12969
"665","NorwegianWS","local",11.109318548,12969
"666","NorwegianWS","local",11.109318548,12969
