Subject,Lang,Lang2,Com30AL,Pro30AL,Com30Eng,Pro30Eng,ComLongerAL,ProLongerAL,ComLongerEng,ProLongerEng,AgeAtEngCDI,gender,mumlang,dadlang,EngExp,lang_exp1,lang_exp2,MumEd,DadEd,NumberSibs,AL30_aeroplane,AL30_ball,AL30_bed,AL30_big,AL30_book,AL30_car,AL30_chair,AL30_cold,AL30_cup,AL30_dirty,AL30_door,AL30_elephant,AL30_fall,AL30_fish,AL30_flower,AL30_hot,AL30_lion,AL30_milk,AL30_mummy,AL30_nose,AL30_play,AL30_scissors,AL30_shoes,AL30_sky,AL30_soap,AL30_sock,AL30_table,AL30_tree,AL30_what,AL30_where,Eng30_aeroplane,Eng30_ball,Eng30_bed,Eng30_big,Eng30_book,Eng30_car,Eng30_chair,Eng30_cold,Eng30_cup,Eng30_dirty,Eng30_door,Eng30_elephant,Eng30_fall,Eng30_fish,Eng30_flower,Eng30_hot,Eng30_lion,Eng30_milk,Eng30_mummy,Eng30_nose,Eng30_play,Eng30_scissors,Eng30_shoes,Eng30_sky,Eng30_soap,Eng30_sock,Eng30_table,Eng30_tree,Eng30_what,Eng30_where,Eng_aeroplane,Eng_all,Eng_arm,Eng_aunt,Eng_back,Eng_ball,Eng_balloon,Eng_bed,Eng_bib,Eng_big,Eng_block,Eng_book,Eng_bowl,Eng_broom,Eng_brush,Eng_butter,Eng_cake,Eng_call,Eng_car,Eng_carry,Eng_catch,Eng_cereal,Eng_chair,Eng_clean,Eng_cocksound,Eng_cold,Eng_cup,Eng_dinner,Eng_dirty,Eng_donkey,Eng_door,Eng_drop,Eng_elephant,Eng_fall,Eng_fast,Eng_finish,Eng_fish,Eng_flower,Eng_glass,Eng_go,Eng_goodbye,Eng_goose,Eng_happy,Eng_her,Eng_hot,Eng_I,Eng_in,Eng_jacket,Eng_key,Eng_kitten,Eng_lamp,Eng_light,Eng_lion,Eng_meat,Eng_milk,Eng_money,Eng_mouth,Eng_mummy,Eng_nap,Eng_nose,Eng_not,Eng_now,Eng_old,Eng_other,Eng_outside,Eng_peekaboo,Eng_pen,Eng_penguin,Eng_pig,Eng_play,Eng_scissors,Eng_shoes,Eng_sky,Eng_soap,Eng_sock,Eng_soft,Eng_some,Eng_spectacles,Eng_splash,Eng_squirrel,Eng_swim,Eng_swing,Eng_table,Eng_tea,Eng_there,Eng_tickle,Eng_today,Eng_toe,Eng_tomorrow,Eng_tree,Eng_walk,Eng_wall,Eng_wantto,Eng_watch,Eng_wet,Eng_what,Eng_where,Eng_why,Eng_yes,Eng_zip,AL_CDI_Length
180,Welsh,Welsh,19,2,22,5,242,53,67,12,23.5,2,1,2,29.87,English;29.87;,Welsh;70.13;,7,3,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,2,1,1,0,2,1,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,0,1,0,0,2,0,2,2,1,1,0,1,1,0,1,1,2,1,1,0,0,1,0,1,2,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,2,0,0,0,2,2,0,1,0,2,0,1,1,0,1,1,1,0,0,2,0,1,2,1,1,1,1,1,1,1,2,1,0,1,1,0,1,1,0,1,1,0,1,2,0,1,1,1,0,1,1,0,1,0,2,1,0,2,0,1,1,1,1,2,0,430
257,Welsh,Welsh,30,30,30,30,427,425,99,98,23.6,1,1,1,48.57,English;48.57;,Welsh;51.43;,7,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,430
270,Welsh,Welsh,30,13,14,4,389,153,44,11,24.8,1,1,2,25.65,English;25.65;,Welsh;74.35;,7,4,0,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,2,1,0,0,2,0,0,2,0,0,0,2,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,2,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,2,1,1,0,1,0,0,1,2,0,0,1,0,0,2,0,0,2,0,0,1,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,2,1,2,0,430
323,Welsh,Welsh,4,4,30,30,59,59,100,99,25,1,1,2,91.2,English;91.20;,Welsh;8.80;,6,4,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,430
331,Welsh,Welsh,19,9,2,2,220,74,7,3,23.6,2,1,1,0,English;0.00;,Welsh;100.00;,7,7,1,1,2,1,0,2,2,2,0,1,0,1,0,0,0,1,0,1,2,2,2,1,0,2,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,430
333,Welsh,Welsh,19,5,27,20,213,102,77,56,23.2,2,1,2,38.73,English;38.73;,Welsh;61.27;,7,7,0,1,2,0,2,1,2,0,1,1,1,1,2,0,0,1,1,1,0,2,1,0,1,0,0,0,0,1,1,0,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,0,2,1,2,0,0,2,2,1,0,2,2,2,1,2,2,2,2,1,0,2,0,2,0,2,2,2,0,2,1,1,2,1,2,2,0,2,0,2,2,1,1,2,2,0,2,2,2,2,0,2,0,2,2,2,0,1,2,1,0,2,0,2,2,1,2,0,0,0,2,2,2,2,2,2,1,1,2,1,0,2,0,0,2,2,1,2,2,1,2,2,2,0,1,0,2,2,1,1,1,2,0,0,2,2,1,430
344,Welsh,Welsh,17,4,27,12,191,42,70,30,23.8,2,1,2,65.41,English;65.41;,Welsh;34.59;,7,6,2,2,1,1,0,1,2,0,0,1,0,1,1,0,0,0,0,0,1,2,2,0,0,1,1,0,1,1,1,0,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,0,2,1,0,2,1,1,0,1,2,0,1,2,0,2,1,2,1,2,2,2,1,0,1,0,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,0,1,1,0,1,1,1,0,2,2,0,1,0,2,0,1,1,1,0,0,0,1,0,1,0,1,2,0,2,1,0,0,2,2,2,0,0,1,1,0,2,1,0,2,0,0,1,2,0,1,2,1,0,2,2,0,2,0,1,1,1,2,1,2,0,1,0,2,1,430
353,Welsh,Welsh,14,5,20,7,121,53,50,20,24.1,1,1,2,17.18,English;17.18;,Welsh;82.82;,7,7,1,2,2,0,0,1,2,1,0,1,0,2,1,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,2,2,0,1,1,0,1,1,2,1,0,1,0,2,1,1,0,2,1,0,0,0,2,0,1,2,0,0,0,0,1,2,1,1,0,0,1,0,0,2,0,1,1,2,1,1,0,2,0,2,0,1,0,1,2,0,0,1,1,1,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,1,1,0,0,0,1,2,0,1,1,1,0,2,1,0,0,0,0,0,2,1,1,2,0,2,0,2,1,0,1,2,0,0,1,0,2,0,1,0,1,0,430
357,Welsh,Welsh,16,4,27,21,145,50,79,54,23.8,2,1,2,60.23,English;60.23;,Welsh;39.77;,6,6,2,2,1,1,1,1,2,1,0,0,0,2,0,0,0,1,0,0,1,2,1,1,0,1,0,0,0,0,1,0,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,0,2,2,2,2,0,2,2,0,2,2,1,1,1,2,0,2,2,1,2,2,2,2,1,2,2,1,0,2,1,2,1,2,1,2,1,2,1,0,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,2,0,2,0,2,0,1,2,2,2,0,2,0,1,2,1,2,2,1,2,0,1,0,0,1,2,2,2,2,2,0,2,2,0,2,0,0,1,2,0,1,2,2,2,1,2,0,2,0,1,2,0,2,1,1,1,1,2,2,0,430
359,Welsh,Welsh,6,3,30,27,81,31,90,75,23.5,2,1,2,78.27,English;78.27;,Welsh;21.73;,7,7,0,1,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,0,2,1,2,2,2,1,0,2,2,0,2,2,2,2,2,2,1,2,0,2,2,1,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,1,1,0,2,2,430
378,Welsh,Welsh,16,6,13,9,164,61,36,15,24.1,2,1,1,2.05,English;2.05;,Welsh;97.95;,4,6,1,1,2,1,0,1,2,1,0,1,0,2,2,0,0,1,0,1,1,2,1,1,0,0,0,0,0,2,0,0,0,1,2,0,0,1,2,0,0,0,0,1,2,0,2,0,2,1,2,2,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,1,0,2,1,1,0,2,0,0,1,2,0,2,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0,0,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,430
379,Welsh,Welsh,16,6,13,7,145,60,34,14,23.6,2,1,2,43.76,English;43.76;,Welsh;56.24;,4,6,1,2,2,1,0,1,0,1,0,1,0,2,2,0,0,1,0,1,1,2,2,0,0,0,1,0,0,1,0,0,1,2,2,0,0,1,2,0,1,0,0,0,1,0,1,0,2,0,2,2,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,1,2,1,0,0,0,1,1,1,0,0,1,2,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,430
382,Welsh,Welsh,15,10,7,7,138,85,16,16,24.3,2,1,1,39.45,English;39.45;,Welsh;60.55;,6,3,1,2,2,1,0,0,2,1,0,0,0,2,0,2,0,2,0,1,2,2,2,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,430
413,Welsh,Welsh,27,3,30,24,297,60,93,52,23.5,1,1,2,58.71,English;58.71;,Welsh;41.29;,7,6,1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,0,1,2,2,2,1,1,0,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,2,1,2,2,0,2,1,2,1,1,2,1,2,1,2,2,1,2,0,2,2,1,2,2,1,0,1,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,0,1,0,2,1,2,1,2,2,2,2,2,2,1,430
414,Welsh,Welsh,19,16,8,7,180,141,16,12,23.6,1,1,1,19.04,English;19.04;,Welsh;80.96;,6,6,2,2,2,2,0,1,2,2,2,2,2,2,0,0,1,0,0,0,2,2,2,1,0,2,2,2,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,430
416,Welsh,Welsh,17,5,20,9,160,50,43,15,23.6,2,1,2,80.38,English;80.38;,Welsh;19.62;,7,7,0,2,1,1,0,2,2,1,0,0,0,1,1,0,1,0,0,1,2,2,1,0,0,1,0,0,1,1,0,0,1,2,2,1,0,2,2,1,0,1,0,1,1,0,2,1,1,1,2,2,2,0,0,2,0,0,1,1,0,0,1,2,0,0,0,0,2,2,1,2,0,0,2,1,0,1,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,1,2,0,2,0,1,0,0,1,0,0,0,0,1,0,2,1,1,2,1,2,0,0,0,0,1,2,0,1,1,0,0,2,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,430
490,Welsh,Welsh,17,8,3,1,131,64,8,3,23.8,1,1,1,0.54,English;0.54;,Welsh;99.46;,7,6,0,0,2,0,2,1,2,0,1,0,0,1,1,0,1,1,0,1,2,2,2,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
496,Welsh,Welsh,18,13,30,27,198,148,93,74,24.8,1,1,1,14.28,English;14.28;,Welsh;85.72;,4,6,0,2,2,1,0,2,2,1,0,1,0,2,2,0,0,2,0,2,2,2,2,0,0,2,1,0,0,2,1,0,0,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,2,0,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,0,0,2,2,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,2,2,2,0,2,1,2,0,2,2,2,1,1,2,1,2,1,2,2,430
498,Welsh,Welsh,15,4,16,9,98,28,29,15,23.6,2,1,2,50.73,English;50.73;,Welsh;49.27;,7,6,0,0,1,1,0,1,2,1,0,0,0,1,2,0,0,1,0,0,2,2,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,2,1,2,0,1,2,2,0,0,1,2,1,0,2,1,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,0,1,0,2,0,2,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,2,2,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,430
