itemID,item,type,category,choices,definition
item_159,PUSH,word,action_words,understands; produces,PUSH
item_160,PUT,word,action_words,understands; produces,PUT
item_161,READ,word,action_words,understands; produces,READ
item_162,RIDE_IN,word,action_words,understands; produces,RIDE-IN
item_163,RUN,word,action_words,understands; produces,RUN
item_164,SAY,word,action_words,understands; produces,SAY
item_165,SEARCH_FOR,word,action_words,understands; produces,SEARCH-FOR
item_166,SEE,word,action_words,understands; produces,SEE
item_167,SHAKE,word,action_words,understands; produces,SHAKE
item_168,SHARE,word,action_words,understands; produces,SHARE
item_169,SHOW,word,action_words,understands; produces,SHOW
item_170,SIGN,word,action_words,understands; produces,SIGN
item_171,SIT,word,action_words,understands; produces,SIT
item_172,SKATE,word,action_words,understands; produces,SKATE
item_173,SLEEP,word,action_words,understands; produces,SLEEP
item_174,SLIDE,word,action_words,understands; produces,SLIDE
item_175,SMILE,word,action_words,understands; produces,SMILE
item_176,SPILL,word,action_words,understands; produces,SPILL
item_177,STAND,word,action_words,understands; produces,STAND
item_178,STAY,word,action_words,understands; produces,STAY
item_179,STOP,word,action_words,understands; produces,STOP
item_180,SWIM,word,action_words,understands; produces,SWIM
item_181,SWING,word,action_words,understands; produces,SWING
item_182,TAKE_PILL,word,action_words,understands; produces,TAKE-PILL
item_183,TALK,word,action_words,understands; produces,TALK
item_184,TASTE,word,action_words,understands; produces,TASTE
item_185,TEACH,word,action_words,understands; produces,TEACH
item_186,TEAR_RIP,word,action_words,understands; produces,TEAR/RIP
item_187,TELL,word,action_words,understands; produces,TELL
item_188,THINK,word,action_words,understands; produces,THINK
item_189,THROW,word,action_words,understands; produces,THROW
item_190,TOUCH,word,action_words,understands; produces,TOUCH
item_191,WAIT,word,action_words,understands; produces,WAIT
item_192,WALK,word,action_words,understands; produces,WALK
item_193,WASH,word,action_words,understands; produces,WASH
item_194,WATCH,word,action_words,understands; produces,WATCH
item_195,WORK,word,action_words,understands; produces,WORK
item_196,BASEMENT,word,furniture_rooms,understands; produces,BASEMENT
item_197,BATHROOM_TOILET,word,furniture_rooms,understands; produces,BATHROOM/TOILET
item_198,BATHTUB,word,furniture_rooms,understands; produces,BATHTUB
item_199,BED,word,furniture_rooms,understands; produces,BED
item_200,BEDROOM,word,furniture_rooms,understands; produces,BEDROOM
item_201,CLOSET,word,furniture_rooms,understands; produces,CLOSET
item_202,DOOR,word,furniture_rooms,understands; produces,DOOR
item_203,DRAWER,word,furniture_rooms,understands; produces,DRAWER
item_204,DRYER,word,furniture_rooms,understands; produces,DRYER
item_205,GARAGE,word,furniture_rooms,understands; produces,GARAGE
item_206,KITCHEN,word,furniture_rooms,understands; produces,KITCHEN
item_207,LIVING_ROOM,word,furniture_rooms,understands; produces,LIVING ROOM
item_208,MIRROR,word,furniture_rooms,understands; produces,MIRROR
item_209,REFRIGERATOR,word,furniture_rooms,understands; produces,REFRIGERATOR
item_210,ROCKING_CHAIR,word,furniture_rooms,understands; produces,ROCKING CHAIR
item_211,ROOM,word,furniture_rooms,understands; produces,ROOM
item_212,SHOWER,word,furniture_rooms,understands; produces,SHOWER
item_213,STAIRS,word,furniture_rooms,understands; produces,STAIRS
item_214,TABLE,word,furniture_rooms,understands; produces,TABLE
item_215,TV,word,furniture_rooms,understands; produces,TV
item_216,WASH_MACHINE,word,furniture_rooms,understands; produces,WASH MACHINE
item_217,WINDOW,word,furniture_rooms,understands; produces,WINDOW
item_218,BALL,word,toys,understands; produces,BALL
item_219,BALLOON,word,toys,understands; produces,BALLOON
item_220,BAT,word,toys,understands; produces,BAT
