itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_28,28_ezis,word,produces,animals,ezis,NA,hendgehog,hedgehog
item_29,29_gailis,word,produces,animals,gailis,NA,rooster,rooster
item_30,30_govs,word,produces,animals,govs,NA,cow,cow
item_31,31_kakis,word,produces,animals,kaķis,NA,cat,cat
item_32,32_kaza,word,produces,animals,kaza,NA,goat,goat
item_33,33_krokodils,word,produces,animals,krokodils,NA,crocodile,crocodile
item_34,34_kukainis,word,produces,animals,kukainis,NA,bug,bug
item_35,35_lacis,word,produces,animals,lācis,NA,bear,bear
item_36,36_lapsa,word,produces,animals,lapsa,NA,fox,fox
item_37,37_lauva,word,produces,animals,lauva,NA,lion,lion
item_38,38_marite,word,produces,animals,mārīte,NA,ladybug,ladybug
item_39,39_musa,word,produces,animals,muša,NA,fly,fly (animal)
item_40,40_pele,word,produces,animals,pele,NA,mouse,mouse
item_41,41_pertikis,word,produces,animals,pērtiķis,NA,monkey,monkey
item_42,42_pile,word,produces,animals,pīle,NA,duck,duck
item_43,43_pingvins,word,produces,animals,pingvīns,NA,penguin,penguin
item_44,44_puce,word,produces,animals,pūce,NA,owl,owl
item_45,45_putns,word,produces,animals,putns,NA,bird,bird
item_46,46_sivens,word,produces,animals,sivēns,NA,piglet,pig
item_47,47_skudra,word,produces,animals,skudra,NA,ant,ant
item_48,48_suns,word,produces,animals,suns,NA,dog,dog
item_49,49_taurenis,word,produces,animals,taurenis,NA,butterfly,butterfly
item_50,50_tigeris,word,produces,animals,tīģeris,NA,tiger,tiger
item_51,51_varde,word,produces,animals,varde,NA,frog,frog
item_52,52_varna,word,produces,animals,vārna,NA,crow,crow
item_53,53_vavere,word,produces,animals,vāvere,NA,squirrel,squirrel
item_54,54_vilks,word,produces,animals,vilks,NA,wolf,wolf
item_55,55_vista,word,produces,animals,vista,NA,hen,chicken (animal)
item_56,56_zakis,word,produces,animals,zaķis,NA,hare,bunny
item_57,57_zilonis,word,produces,animals,zilonis,NA,elephant,elephant
item_58,58_zirgs,word,produces,animals,zirgs,NA,horse,horse
item_59,59_zirneklis,word,produces,animals,zirneklis,NA,spider,spider
item_60,60_zivs,word,produces,animals,zivs,NA,fish,fish (animal)
item_61,61_zoss,word,produces,animals,zoss,NA,goose,goose
item_62,62_zvirbulis,word,produces,animals,zvirbulis,NA,sparrow,sparrow
item_63,63_zirafe,word,produces,animals,žirafe,NA,giraffe,giraffe
item_64,64_autobuss,word,produces,vehicles,autobuss,NA,bus,bus
item_65,65_helikopter,word,produces,vehicles,helikopters,NA,helicopter,helicopter
item_66,66_kugis,word,produces,vehicles,kuģis,NA,ship,boat
item_67,67_laiva,word,produces,vehicles,laiva,NA,boat,boat
item_68,68_lidmasina,word,produces,vehicles,lidmašīna,NA,airplane,airplane
item_69,69_masina,word,produces,vehicles,mašīna,NA,car,car
item_70,70_motocikls,word,produces,vehicles,motocikls,NA,motorbike,motorcycle
item_71,71_ragavinas,word,produces,vehicles,ragaviņas,NA,sled,sled
item_72,72_ratini,word,produces,vehicles,ratiņi,NA,pram,stroller
item_73,73_ritenis__,word,produces,vehicles,ritenis / velosipēds,NA,bicycle,bicycle
item_74,74_traktors,word,produces,vehicles,traktors,NA,tractor,tractor
item_75,75_tramvajs,word,produces,vehicles,tramvajs,NA,tram,tram
item_76,76_trolejbuss,word,produces,vehicles,trolejbuss,NA,trolleybus,trolley
item_77,77_vilciens,word,produces,vehicles,vilciens,NA,train,train
item_78,78_balons,word,produces,toys,balons,NA,balloon,balloon
item_79,79_bumba,word,produces,toys,bumba,NA,ball,ball
item_80,80_davana,word,produces,toys,dāvana,NA,gift,present
item_81,81_formina_s,word,produces,toys,formiņa (smilšu k.),NA,sand mold,sandbox
item_82,82_grabeklis,word,produces,toys,grābeklis,NA,rake,rake (object)
item_83,83_gramata,word,produces,toys,grāmata,NA,book,book
item_84,84_klucisi,word,produces,toys,klucīši,NA,blocks,blocks
item_85,85_krasas,word,produces,toys,krāsas,NA,paints,paint (object)
item_86,86_lapsta,word,produces,toys,lāpsta,NA,rake,shovel
item_87,87_lelle,word,produces,toys,lelle,NA,doll,doll
item_88,88_ota,word,produces,toys,ota,NA,paintbrush,brush (object)
item_89,89_pasaka,word,produces,toys,pasaka,NA,fairytale,story
item_90,90_pildspalva,word,produces,toys,pildspalva,NA,pen,pen
item_91,91_plastilins,word,produces,toys,plastilīns,NA,playdough,play dough
item_92,92_rotallieta,word,produces,toys,rotaļlieta/mantiņa,NA,toy,toy (object)
item_93,93_spainitis,word,produces,toys,spainītis,NA,bucket,bucket
item_94,94_spele,word,produces,toys,spēle,NA,game,game
item_95,95_zimulis,word,produces,toys,zīmulis,NA,pencil/crayon,pencil
item_96,96_abols,word,produces,food_drink,ābols,NA,apple,apple
item_97,97_apelsins,word,produces,food_drink,apelsīns,NA,orage,orange (food)
item_98,98_arbuzs,word,produces,food_drink,arbūzs,NA,watermelon,watermelon
item_99,99_avenes,word,produces,food_drink,avenes,NA,raspberries,raspberry
item_100,100_banans,word,produces,food_drink,banāns,NA,banana,banana
item_101,101_biezpiens,word,produces,food_drink,biezpiens,NA,quark/cottage cheese,cottage cheese
item_102,102_bumbieris,word,produces,food_drink,bumbieris,NA,pear,pear
item_103,103_burkans,word,produces,food_drink,burkāns,NA,carrot,carrot
item_104,104_cepums,word,produces,food_drink,cepums,NA,cookie,cookie
item_105,105_cisins,word,produces,food_drink,cīsiņš,NA,hotdog,hot dog
item_106,106_citrons,word,produces,food_drink,citrons,NA,lemon,lemon
item_107,107_cukurs,word,produces,food_drink,cukurs,NA,sugar,sugar
item_108,108_desa,word,produces,food_drink,desa,NA,sausage,sausage
item_109,109_gala,word,produces,food_drink,gaļa,NA,meat,meat
item_110,110_griki,word,produces,food_drink,griķi,NA,buckwheat,porridge
item_111,111_gurkis,word,produces,food_drink,gurķis,NA,cucumber,cucumber
item_112,112_ievarijums,word,produces,food_drink,ievārījums,NA,jam,jam
item_113,113_jogurts,word,produces,food_drink,jogurts,NA,yoghurt,yogurt
item_114,114_kafija,word,produces,food_drink,kafija,NA,coffee,coffee
item_115,115_kakao,word,produces,food_drink,kakao,NA,cocoa,hot chocolate
item_116,116_kaposti,word,produces,food_drink,kāposti,NA,cabbage,cabbage
item_117,117_kartupeli,word,produces,food_drink,kartupeļi,NA,potatoes,potato
item_118,118_kefirs,word,produces,food_drink,kefīrs,NA,kefir,kefir
item_119,119_kompots,word,produces,food_drink,kompots,NA,fruit drink,compote
item_120,120_konfekte,word,produces,food_drink,konfekte,NA,candy,candy
item_121,121_kotlete,word,produces,food_drink,kotlete,NA,meatballs,meatball
item_122,122_krejums,word,produces,food_drink,krējums,NA,sour cream,cream
item_123,123_kirbis,word,produces,food_drink,ķirbis,NA,pumpkin,pumpkin
item_124,124_kirsi,word,produces,food_drink,ķirši,NA,cherries,cherry
item_125,125_limonade,word,produces,food_drink,limonāde,NA,lemonade,lemonade
item_126,126_maize,word,produces,food_drink,maize,NA,bread,bread
item_127,127_makaroni,word,produces,food_drink,makaroni,NA,macaroni,pasta
item_128,128_mandarins,word,produces,food_drink,mandarīns,NA,tangerine,tangerine
item_129,129_manna,word,produces,food_drink,manna,NA,semolina,pudding
item_130,130_medus,word,produces,food_drink,medus,NA,honey,honey
item_131,131_mellenes,word,produces,food_drink,mellenes,NA,blueberries,blueberry
item_132,132_merce,word,produces,food_drink,mērce,NA,gravy/sauce,gravy
item_133,133_ola,word,produces,food_drink,ola,NA,egg,egg
item_134,134_pankuka,word,produces,food_drink,pankūka,NA,pancake,pancake
item_135,135_piens,word,produces,food_drink,piens,NA,milk,milk
item_136,136_piparkukas,word,produces,food_drink,piparkūkas,NA,gingerbread,gingerbread
item_137,137_piradzins,word,produces,food_drink,pīrādziņš,NA,pie/hot pocket,dumpling
item_138,138_plume,word,produces,food_drink,plūme,NA,plum,plum
item_139,139_putra,word,produces,food_drink,putra,NA,porridge,porridge
item_140,140_rieksti,word,produces,food_drink,rieksti,NA,nuts,nut
item_141,141_risi,word,produces,food_drink,rīsi,NA,rice,rice
item_142,142_rozines,word,produces,food_drink,rozīnes,NA,raisins,raisin
item_143,143_salati,word,produces,food_drink,salāti,NA,salad,salad
item_144,144_saldejums,word,produces,food_drink,saldējums,NA,icecream,ice cream
item_145,145_sals,word,produces,food_drink,sāls,NA,salt,salt
item_146,146_senes,word,produces,food_drink,sēnes,NA,mushrooms,mushroom
item_147,147_sierins,word,produces,food_drink,sieriņš,NA,curd snack,NA
item_148,148_siers,word,produces,food_drink,siers,NA,cheese,cheese
item_149,149_sula,word,produces,food_drink,sula,NA,juice,juice
item_150,150_sviestmaiz,word,produces,food_drink,sviestmaize,NA,sandwich,sandwich
item_151,151_sviests,word,produces,food_drink,sviests,NA,butter,butter
item_152,152_sokolade,word,produces,food_drink,šokolāde,NA,chocolate,chocolate
item_153,153_teja,word,produces,food_drink,tēja,NA,tea,tea
item_154,154_tomats,word,produces,food_drink,tomāts,NA,tomato,tomato
item_155,155_torte_kuk,word,produces,food_drink,torte/kūka,NA,cake,cake
item_156,156_udens,word,produces,food_drink,ūdens,NA,water,water (beverage)
item_157,157_upenes,word,produces,food_drink,upenes,NA,black currants,berry
item_158,158_vinogas,word,produces,food_drink,vīnogas,NA,grapes,grapes
item_159,159_vista,word,produces,food_drink,vista,NA,chicken,chicken (food)
item_160,160_zemenes,word,produces,food_drink,zemenes,NA,strawberries,strawberry
item_161,161_zirni,word,produces,food_drink,zirņi,NA,peas,peas
item_162,162_zivs,word,produces,food_drink,zivs,NA,fish,fish (food)
item_163,163_zupa,word,produces,food_drink,zupa,NA,soup,soup
item_164,164_apavi,word,produces,clothing,apavi,NA,shoes,shoe
item_165,165_apgerbs,word,produces,clothing,apģērbs,NA,clothes,clothes
item_166,166_bikses,word,produces,clothing,bikses,NA,trousers,pants
item_167,167_biksites,word,produces,clothing,biksītes,NA,knickers,underpants
item_168,168_botes,word,produces,clothing,botes,NA,high overshoes,boot
item_169,169_cepure,word,produces,clothing,cepure,NA,hat,hat
item_170,170_cimdi,word,produces,clothing,cimdi,NA,mittens,mitten
item_171,171_cibas,word,produces,clothing,čības,NA,slippers,slipper
item_172,172_dzemperis,word,produces,clothing,džemperis,NA,jumper,sweater
item_173,173_jaka,word,produces,clothing,jaka,NA,cardigan,jacket
item_174,174_kapuce,word,produces,clothing,kapuce,NA,hood,hood
item_175,175_kedas,word,produces,clothing,kedas,NA,sneakers,sneaker
item_176,176_kleita,word,produces,clothing,kleita,NA,dress,dress (object)
item_177,177_kombinezon,word,produces,clothing,kombinezons,NA,overalls,overalls
item_178,178_krekls,word,produces,clothing,krekls,NA,shirt,shirt
item_179,179_krelles,word,produces,clothing,krelles,NA,beads,beads
item_180,180_kurpes,word,produces,clothing,kurpes,NA,shoes,shoe
item_181,181_metelis,word,produces,clothing,mētelis,NA,coat,coat
item_182,182_pampers_au,word,produces,clothing,pampers/autiņbiksītes,NA,diaper,diaper
item_183,183_pidzama,word,produces,clothing,pidžama,NA,pajamas,pajamas
item_184,184_pirkstaini,word,produces,clothing,pirkstaiņi,NA,gloves,glove
item_185,185_pogas,word,produces,clothing,pogas,NA,buttons,button
item_186,186_sandales,word,produces,clothing,sandales,NA,sandals,sandal
item_187,187_svarki,word,produces,clothing,svārki,NA,skirt,skirt
item_188,188_salle,word,produces,clothing,šalle,NA,scarf,scarf
item_189,189_sorti_isbi,word,produces,clothing,šorti/īsbikses,NA,shorts,shorts
item_190,190_zabaki,word,produces,clothing,zābaki,NA,boots,boot
item_191,191_zekbikses,word,produces,clothing,zeķbikses,NA,tights,tights
item_192,192_zekes,word,produces,clothing,zeķes,NA,socks,sock
item_193,193_acs_acis,word,produces,body_parts,acs/acis,NA,eye/eyes,eye
item_194,194_auss_ausis,word,produces,body_parts,auss/ausis,NA,ear/ears,ear
item_195,195_celis,word,produces,body_parts,celis,NA,knee,knee
item_196,196_deguns,word,produces,body_parts,deguns,NA,nose,nose
item_197,197_dibens,word,produces,body_parts,dibens,NA,bottom,butt
item_198,198_elkonis,word,produces,body_parts,elkonis,NA,elbow,elbow
item_199,199_galva,word,produces,body_parts,galva,NA,head,head
item_200,200_kaja,word,produces,body_parts,kāja,NA,leg,leg
item_201,201_kakls,word,produces,body_parts,kakls,NA,neck,neck
item_202,202_lupas,word,produces,body_parts,lūpas,NA,lip,lip
item_203,203_mati,word,produces,body_parts,mati,NA,hear,hair
item_204,204_mele,word,produces,body_parts,mēle,NA,tongue,tongue
item_205,205_mugura,word,produces,body_parts,mugura,NA,back,back (body part)
item_206,206_mute,word,produces,body_parts,mute,NA,mouth,mouth
item_207,207_naba,word,produces,body_parts,naba,NA,navel/belly-button,belly button
item_208,208_nagi,word,produces,body_parts,nagi,NA,nails,nail (body part)
item_209,209_piere,word,produces,body_parts,piere,NA,forehead,forehead
item_210,210_pirksts_pi,word,produces,body_parts,pirksts/pirksti,NA,finger/fingers (also toe/toes),finger
item_211,211_plauksta,word,produces,body_parts,plauksta,NA,palm,palm
item_212,212_plecs_plec,word,produces,body_parts,plecs/pleci,NA,shoulder/shoulders,shoulder
item_213,213_roka,word,produces,body_parts,roka,NA,arm,arm
item_214,214_seja,word,produces,body_parts,seja,NA,face,face
item_215,215_sirds,word,produces,body_parts,sirds,NA,heart,heart
item_216,216_skropstas,word,produces,body_parts,skropstas,NA,eyelashes,eyelash
item_217,217_uzacs_uzac,word,produces,body_parts,uzacs/uzacis,NA,eyebrows,eyebrow
item_218,218_vaigi,word,produces,body_parts,vaigi,NA,cheeks,cheek
item_219,219_veders,word,produces,body_parts,vēders,NA,tummy,tummy
item_220,220_zobi,word,produces,body_parts,zobi,NA,teeth,tooth
item_221,221_zods,word,produces,body_parts,zods,NA,chin,chin
item_222,222_amurs,word,produces,household,āmurs,NA,hammer,hammer
item_223,223_atkritumi,word,produces,household,atkritumi,NA,trash/garbage,trash
item_224,224_atslegas,word,produces,household,atslēgas,NA,keys,key
item_225,225_attels,word,produces,household,attēls,NA,picture,picture
item_226,226_birste,word,produces,household,birste,NA,brush,brush (object)
item_227,227_bloda,word,produces,household,bļoda,NA,dish,dish
item_228,228_brilles,word,produces,household,brilles,NA,glasses,glasses
item_229,229_burka,word,produces,household,burka,NA,jar,jar
item_230,230_daksina,word,produces,household,dakšiņa,NA,fork,fork
item_231,231_dators,word,produces,household,dators,NA,computer,computer
item_232,232_dvielis,word,produces,household,dvielis,NA,towel,towel
item_233,233_fotoaparat,word,produces,household,fotoaparāts,NA,camera,camera
item_234,234_gaisma,word,produces,household,gaisma,NA,light,light (object)
item_235,235_glaze,word,produces,household,glāze,NA,class,glass
item_236,236_gludeklis,word,produces,household,gludeklis,NA,iron,iron (object)
item_237,237_grozs,word,produces,household,grozs,NA,basket,basket
item_238,238_karote,word,produces,household,karote,NA,spoon,spoon
item_239,239_kaste,word,produces,household,kaste,NA,box,box
item_240,240_katls,word,produces,household,katls,NA,pot,pot
item_241,241_knupis,word,produces,household,knupis,NA,comforter,blanket
item_242,242_kruze,word,produces,household,krūze,NA,mug,mug
item_243,243_kemme,word,produces,household,ķemme,NA,comb,comb (object)
item_244,244_kerra,word,produces,household,ķerra,NA,barrow,wheelbarrow
item_245,245_lampa,word,produces,household,lampa,NA,lamp,lamp
item_246,246_lupata,word,produces,household,lupata,NA,rag,rag
item_247,247_maisins,word,produces,household,maisiņš,NA,bag,bag
item_248,248_maks,word,produces,household,maks,NA,purse,wallet
item_249,249_matu_suka,word,produces,household,matu suka,NA,hairbrush,brush (object)
item_250,250_nagla,word,produces,household,nagla,NA,nail,nail (object)
item_251,251_nauda,word,produces,household,nauda,NA,money,money
item_252,252_nazis,word,produces,household,nazis,NA,knife,knife
item_253,253_palags,word,produces,household,palags,NA,bed sheet,sheet
item_254,254_panna,word,produces,household,panna,NA,pan,pan
item_255,255_papirs,word,produces,household,papīrs,NA,paper,paper
item_256,256_pudele,word,produces,household,pudele,NA,bottle,bottle
item_257,257_pulkstenis,word,produces,household,pulkstenis,NA,clock,clock
item_258,258_puteklsuce,word,produces,household,putekļsūcējs,NA,vacuum,vacuum
item_259,259_radio,word,produces,household,radio,NA,radio,radio
item_260,260_salvetes,word,produces,household,salvetes,NA,tissues,tissue
item_261,261_sega,word,produces,household,sega,NA,blanket,blanket
item_262,262_slota,word,produces,household,slota,NA,broom,broom
item_263,263_soma,word,produces,household,soma,NA,purse,bag
item_264,264_spilvens,word,produces,household,spilvens,NA,pillow,pillow
item_265,265_skeres,word,produces,household,šķēres,NA,scissors,scissors
item_266,266_skivis,word,produces,household,šķīvis,NA,plate,plate
item_267,267_telefons,word,produces,household,telefons,NA,phone,telephone
item_268,268_trauki,word,produces,household,trauki,NA,dishes/crockery,dish
item_269,269_tualetes_p,word,produces,household,tualetes papīrs,NA,toilet paper,toilet paper
item_270,270_zales,word,produces,household,zāles,NA,medicine,medicine
item_271,271_ziepes,word,produces,household,ziepes,NA,soap,soap
item_272,272_zobu_birst,word,produces,household,zobu birste,NA,toothbrush,toothbrush
item_273,273_zobu_pasta,word,produces,household,zobu pasta,NA,toothpaste,toothpaste
item_274,274_atvilktne,word,produces,furniture_rooms,atvilktne,NA,drawer,drawer
item_275,275_balkons,word,produces,furniture_rooms,balkons,NA,balcony,balcony
item_276,276_divans,word,produces,furniture_rooms,dīvāns,NA,couch,couch
item_277,277_durvis,word,produces,furniture_rooms,durvis,NA,door,door
item_278,278_dusa,word,produces,furniture_rooms,duša,NA,shower,shower
item_279,279_gaitenis,word,produces,furniture_rooms,gaitenis,NA,corridor,corridor
item_280,280_galds,word,produces,furniture_rooms,galds,NA,table,table
item_281,281_garaza,word,produces,furniture_rooms,garāža,NA,garage,garage
item_282,282_grida,word,produces,furniture_rooms,grīda,NA,floor,floor
item_283,283_griesti,word,produces,furniture_rooms,griesti,NA,ceiling,ceiling
item_284,284_gulta,word,produces,furniture_rooms,gulta,NA,bed,bed
item_285,285_istaba,word,produces,furniture_rooms,istaba,NA,room,room
item_286,286_izlietne,word,produces,furniture_rooms,izlietne,NA,sink,sink
item_287,287_jumts,word,produces,furniture_rooms,jumts,NA,roof,roof
item_288,288_kapnes,word,produces,furniture_rooms,kāpnes,NA,stairs,stairs
item_289,289_krans,word,produces,furniture_rooms,krāns,NA,tap/faucet,faucet
item_290,290_krasns,word,produces,furniture_rooms,krāsns,NA,oven,oven
item_291,291_kresls,word,produces,furniture_rooms,krēsls,NA,chair/armchair,chair
item_292,292_ledusskapi,word,produces,furniture_rooms,ledusskapis,NA,fridge,refrigerator
item_293,293_lifts,word,produces,furniture_rooms,lifts,NA,elevator,elevator
item_294,294_lodzija,word,produces,furniture_rooms,lodžija,NA,loggia,balcony
item_295,295_logs,word,produces,furniture_rooms,logs,NA,window,window
item_296,296_mebeles,word,produces,furniture_rooms,mēbeles,NA,furniture,furniture
item_297,297_paklajs,word,produces,furniture_rooms,paklājs,NA,carpet,carpet
item_298,298_plaukts,word,produces,furniture_rooms,plaukts,NA,shelf,shelf
item_299,299_plits,word,produces,furniture_rooms,plīts,NA,stove,stove
item_300,300_podins,word,produces,furniture_rooms,podiņš,NA,potty,potty
item_301,301_skapis,word,produces,furniture_rooms,skapis,NA,closet,closet
item_302,302_spogulis,word,produces,furniture_rooms,spogulis,NA,mirror,mirror
item_303,303_televizors,word,produces,furniture_rooms,televizors,NA,TV,TV
item_304,304_tualete,word,produces,furniture_rooms,tualete,NA,toilet,toilet
item_305,305_vanna,word,produces,furniture_rooms,vanna,NA,bath,bath
item_306,306_velasmasin,word,produces,furniture_rooms,veļasmašīna,NA,washing machine,washing machine
item_307,307_virtuve,word,produces,furniture_rooms,virtuve,NA,kitchen,kitchen
item_308,308_akmens,word,produces,outside,akmens,NA,stone,rock (object)
item_309,309_cels,word,produces,outside,ceļš,NA,road,road
item_310,310_ciekurs,word,produces,outside,čiekurs,NA,conifer cone,pine cone
item_311,311_darzs,word,produces,outside,dārzs,NA,garden,garden
item_312,312_debesis,word,produces,outside,debesis,NA,sky,sky
item_313,313_dobe,word,produces,outside,dobe,NA,planting bed,bed
item_314,314_dubli,word,produces,outside,dubļi,NA,mud,mud
item_315,315_ezers,word,produces,outside,ezers,NA,lake,lake
item_316,316_iela,word,produces,outside,iela,NA,street,street
item_317,317_ietve_trot,word,produces,outside,ietve/trotuārs,NA,pavement,pavement
item_318,318_jura,word,produces,outside,jūra,NA,sea,sea
item_319,319_slidkalnin,word,produces,outside,slidkalniņš,NA,slide,slide (object)
item_320,320_kastanis,word,produces,outside,kastanis,NA,chestnut,chestnut
item_321,321_koks,word,produces,outside,koks,NA,tree,tree
item_322,322_krums,word,produces,outside,krūms,NA,bush,bush
item_323,323_lasteka,word,produces,outside,lāsteka,NA,icicle,icicle
item_324,324_ledus,word,produces,outside,ledus,NA,ice,ice
item_325,325_lietus,word,produces,outside,lietus,NA,rain,rain
item_326,326_makonis,word,produces,outside,mākonis,NA,cloud,cloud
item_327,327_meness,word,produces,outside,mēness,NA,moon,moon
item_328,328_nuja,word,produces,outside,nūja,NA,stick,stick
item_329,329_ozolzile_z,word,produces,outside,ozolzīle/zīle,NA,acorn,acorn
item_330,330_pelke,word,produces,outside,peļķe,NA,puddle,puddle
item_331,331_plava,word,produces,outside,pļava,NA,field,field
item_332,332_puke,word,produces,outside,puķe,NA,flower,flower
item_333,333_saule,word,produces,outside,saule,NA,sun,sun
item_334,334_smilsukast,word,produces,outside,smilšukaste,NA,sandbox,sandbox
item_335,335_smiltis,word,produces,outside,smiltis,NA,sand,sand
item_336,336_sniegavirs,word,produces,outside,sniegavīrs,NA,snowman,snowman
item_337,337_sniegs,word,produces,outside,sniegs,NA,snow,snow
item_338,338_sols,word,produces,outside,sols,NA,bench,bench
item_339,339_supoles,word,produces,outside,šūpoles,NA,swings,swing (object)
item_340,340_taka,word,produces,outside,taka,NA,path,path
item_341,341_upe,word,produces,outside,upe,NA,river,river
item_342,342_vejs,word,produces,outside,vējš,NA,wind,wind
item_343,343_zale,word,produces,outside,zāle,NA,grass,grass
item_344,344_zvaigznes,word,produces,outside,zvaigznes,NA,stars,star
item_345,345_ara,word,produces,places,ārā,NA,outside,outside
item_346,346_baseins,word,produces,places,baseins,NA,(swimming) pool,pool
item_347,347_baznica,word,produces,places,baznīca,NA,church,church
item_348,348_bernudarzs,word,produces,places,bērnudārzs,NA,kindergarten,kindergarten
item_349,349_ciemos_,word,produces,places,ciemos,NA,on a visit (i.e. visit someone as guests),outing
item_350,350_cirks,word,produces,places,cirks,NA,circus,circus
item_351,351_darbs,word,produces,places,darbs,NA,work,work (place)
item_352,352_grupa_b_d,word,produces,places,grupa (b/d),NA,class/group (in the kindergarten),group
item_353,353_kino,word,produces,places,kino,NA,movies,movie
item_354,354_koncerts,word,produces,places,koncerts,NA,concert,concert
item_355,355_lauki,word,produces,places,lauki,NA,countryside,country
item_356,356_maja,word,produces,places,māja,NA,house,house
item_357,357_majas_,word,produces,places,mājas,NA,home,home
item_358,358_mezs,word,produces,places,mežs,NA,forest/woods,forest
item_359,359_pagalms,word,produces,places,pagalms,NA,yard,yard
item_360,360_parks,word,produces,places,parks,NA,park,park
item_361,361_pilseta,word,produces,places,pilsēta,NA,city,city
item_362,362_pludmale,word,produces,places,pludmale,NA,beach,beach
item_363,363_rotallauku,word,produces,places,rotaļlaukums,NA,playground,playground
item_364,364_skola,word,produces,places,skola,NA,school,school
item_365,365_teatris,word,produces,places,teātris,NA,theater,theater
item_366,366_tirgus,word,produces,places,tirgus,NA,market,market
item_367,367_veikals,word,produces,places,veikals,NA,shop,store
item_368,368_zoologiska,word,produces,places,zooloģiskais dārzs/zvērudārzs,NA,zoo,zoo
item_369,369_arsts,word,produces,people,ārsts,NA,doctor,doctor
item_370,370_audzinataj,word,produces,people,audzinātāja,NA,kindergarten teacher,teacher
item_371,371_aukle,word,produces,people,aukle,NA,nanny,babysitter
item_372,372_berna_vard,word,produces,people,bērna vārds,NA,child´s own name,child's own name
item_373,373_berns,word,produces,people,bērns,NA,child,child
item_374,374_bralis,word,produces,people,brālis,NA,brother,brother
item_375,375_ciemins,word,produces,people,ciemiņš,NA,guest,guest
item_376,376_cilveks,word,produces,people,cilvēks,NA,person,person
item_377,377_dels,word,produces,people,dēls,NA,son,son
item_378,378_draudzene,word,produces,people,draudzene,NA,friend (f),friend
item_379,379_draugs,word,produces,people,draugs,NA,friend (m),friend
item_380,380_klauns,word,produces,people,klauns,NA,clown,clown
item_381,381_krustmate,word,produces,people,krustmāte,NA,godmother,godmother
item_382,382_krusttevs,word,produces,people,krusttēvs,NA,godfather,godfather
item_383,383_laudis,word,produces,people,ļaudis,NA,people,people
item_384,384_masa,word,produces,people,māsa,NA,sister,sister
item_385,385_mate_vai_a,word,produces,people,māte*,NA,mother,mommy
item_386,386_mazulis_be,word,produces,people,mazulis/bēbis,NA,baby,baby
item_387,387_meita,word,produces,people,meita,NA,daughter,daughter
item_388,388_meitene,word,produces,people,meitene,NA,girl,girl
item_389,389_onkulis,word,produces,people,onkulis,NA,man,uncle
item_390,390_tevocis,word,produces,people,tēvocis,NA,unle,uncle
item_391,391_policists,word,produces,people,policists,NA,policeman,police
item_392,392_puika_zens,word,produces,people,puika/zēns,NA,boy,boy
item_393,393_skolotajs,word,produces,people,skolotājs,NA,teacher,teacher
item_394,394_tante,word,produces,people,tante,NA,aunt,aunt
item_395,395_tevs_vai_a,word,produces,people,tēvs*,NA,father,daddy
item_396,396_ugunsdzese,word,produces,people,ugunsdzēsējs,NA,fireman,firefighter
