itemID,category,definition,choices,item,type,gloss,uni_lemma
item_1,animals,ezel,produces;doesn't produce,ezel,word,donkey,donkey
item_80,action_words,poetsen/kuisen,produces;doesn't produce,poetsen/kuisen,word,to polish,polish
item_81,action_words,vervelen,produces;doesn't produce,vervelen,word,to get/be bored,be bored
item_82,descriptive_words,diep,produces;doesn't produce,diep,word,deep,deep
item_83,descriptive_words,verschillend,produces;doesn't produce,verschillend,word,different/differing,different
item_84,descriptive_words,duur,produces;doesn't produce,duur,word,expensive,expensive
item_85,descriptive_words,fijn,produces;doesn't produce,fijn,word,nice,nice
item_86,descriptive_words,half,produces;doesn't produce,half,word,half,half
item_87,descriptive_words,verloren,produces;doesn't produce,verloren,word,lost,lost
item_88,descriptive_words,bijzonder,produces;doesn't produce,bijzonder,word,special,special
item_89,locations,ervoor(plaats),produces;doesn't produce,ervoor(plaats),word,in front of,in front of
item_90,time_words,week,produces;doesn't produce,week,word,week,weel
item_91,pronouns,zij/ze,produces;doesn't produce,zij/ze,word,she,3SG
item_92,locations,erboven,produces;doesn't produce,erboven,word,above,above
item_93,locations,tussen,produces;doesn't produce,tussen,word,between,between
item_94,locations,bovenin,produces;doesn't produce,bovenin,word,above,above
item_95,quantifiers,elk,produces;doesn't produce,elk,word,each,each
item_96,helping_verbs,mogen,produces;doesn't produce,mogen,word,may/can,may
item_97,helping_verbs,nodigzijn,produces;doesn't produce,nodigzijn,word,to be needed/necessary,to be needed
item_98,other,waren,produces;doesn't produce,waren,word,were,be
item_99,connecting_words,hoewel,produces;doesn't produce,hoewel,word,although,although
item_100,connecting_words,eigenlijk,produces;doesn't produce,eigenlijk,word,actually,actually
